"Date","Cases.Cumulative","CI.Lower","CI.Upper","Level","Level_Name"
2020-06-09,77253,NA,NA,"State","Texas"
2020-06-10,79757,NA,NA,"State","Texas"
2020-06-11,81583,NA,NA,"State","Texas"
2020-06-12,83680,NA,NA,"State","Texas"
2020-06-13,85551.7602549922,84958.8669373165,86144.6535726679,"State","Texas"
2020-06-14,87423.5205099843,86447.0848013649,88399.9562186038,"State","Texas"
2020-06-15,89295.2807649765,87926.8362041446,90663.7253258084,"State","Texas"
2020-06-16,91167.0410199687,89384.8816975576,92949.2003423798,"State","Texas"
2020-06-17,93038.8012749609,90818.2813827894,95259.3211671323,"State","Texas"
2020-06-18,94910.561529953,92226.6430076075,97594.4800522985,"State","Texas"
2020-06-19,96782.3217849452,93610.3902164935,99954.2533533969,"State","Texas"
2020-06-20,98654.0820399374,94970.221265168,102337.942814707,"State","Texas"
2020-06-21,100525.84229493,96306.9102584155,104744.774331444,"State","Texas"
2020-06-22,102397.602549922,97621.2284300727,107173.976669771,"State","Texas"
