Date,Group_Type,Group,Deaths_Monthly,Cases_Monthly,Deaths_PCT,Cases_PCT
2020-06-01,Gender,Male,847,54097,0.626016260162602,0.493288713001295
2020-06-01,Gender,Unknown,0,2151,0,0.0196141009975745
2020-07-01,Age,<1 years,2,1543,0.000299625468164794,0.00632579267142775
2020-07-01,Age,1-9 years,4,9142,0.000599250936329588,0.0374791941686277
2020-07-01,Age,10-19 years,8,23496,0.00119850187265918,0.0963258746648519
2020-07-01,Age,20-29 years,56,51105,0.00838951310861423,0.2095136970015
2020-07-01,Age,30-39 years,140,44990,0.0209737827715356,0.184444207574553
2020-07-01,Age,40-49 years,364,40859,0.0545318352059925,0.167508465821041
2020-07-01,Age,50-59 years,813,33638,0.121797752808989,0.137904740039849
2020-07-01,Age,60-69 years,1394,21325,0.208838951310861,0.0874254884758242
2020-07-01,Age,70-79 years,1748,10536,0.26187265917603,0.0431941358303064
2020-07-01,Age,80+ years,2146,6153,0.321498127340824,0.02522527693279
2020-07-01,Age,Unknown,,1135,,0.0046531268192291
2020-07-01,Race,Asian,110,2632,0.0164794007490637,0.0107903346151639
2020-07-01,Race,Black,660,16734,0.098876404494382,0.068603897967383
2020-07-01,Race,Hispanic,4083,68105,0.611685393258427,0.279208107509778
2020-07-01,Race,Other,23,523,0.00344569288389513,0.00214412804093112
2020-07-01,Race,Unknown,3,115883,0.000449438202247191,0.475082198407688
2020-07-01,Race,White,1796,40045,0.269063670411985,0.164171333459057
2020-07-01,Gender,Female,2732,123576,0.409288389513109,0.506620968998286
2020-07-01,Gender,Male,3943,115303,0.590711610486891,0.472704389107994
2020-07-01,Gender,Unknown,0,5043,0,0.0206746418937201
2020-08-01,Age,<1 years,1,1385,0.000206782464846981,0.00606982268229189
2020-08-01,Age,1-9 years,1,8874,0.000206782464846981,0.0388906906011973
2020-08-01,Age,10-19 years,4,22642,0.000827129859387924,0.099229548860977
2020-08-01,Age,20-29 years,16,46679,0.0033085194375517,0.204572745838775
2020-08-01,Age,30-39 years,60,40272,0.0124069478908189,0.176493789935927
2020-08-01,Age,40-49 years,282,37539,0.0583126550868486,0.164516298679101
2020-08-01,Age,50-59 years,626,31907,0.12944582299421,0.139833813952265
2020-08-01,Age,60-69 years,1059,20427,0.218982630272953,0.0895222151127629
2020-08-01,Age,70-79 years,1201,10584,0.248345740281224,0.0463848399056877
2020-08-01,Age,80+ years,1586,6942,0.327956989247312,0.0304236166501591
2020-08-01,Age,Unknown,,927,,0.0040626177808553
2020-08-01,Race,Asian,67,2071,0.0138544251447477,0.00907624749099387
2020-08-01,Race,Black,414,11598,0.0856079404466501,0.0508287389669469
2020-08-01,Race,Hispanic,2925,55616,0.604838709677419,0.243739536677506
2020-08-01,Race,Other,17,386,0.00351530190239868,0.00169166177282648
2020-08-01,Race,Unknown,5,126784,0.0010339123242349,0.555636389134798
2020-08-01,Race,White,1408,31723,0.291149710504549,0.139027425956928
2020-08-01,Gender,Female,2110,116265,0.43631100082713,0.50953641455355
2020-08-01,Gender,Male,2726,107124,0.56368899917287,0.469475584850424
2020-08-01,Gender,Unknown,0,4789,0,0.0209880005960259
2020-09-01,Age,<1 years,0,671,0,0.00559115414420345
2020-09-01,Age,1-9 years,0,4430,0,0.036913282949063
2020-09-01,Age,10-19 years,2,14549,0.00093764650726676,0.121230553865896
2020-09-01,Age,20-29 years,12,25587,0.00562587904360056,0.213205456166518
2020-09-01,Age,30-39 years,42,20402,0.019690576652602,0.170001083234037
2020-09-01,Age,40-49 years,116,18670,0.0543834974214721,0.15556907283499
2020-09-01,Age,50-59 years,276,15613,0.129395218002813,0.130096407829282
2020-09-01,Age,60-69 years,445,10200,0.208626347866854,0.084992209047504
2020-09-01,Age,70-79 years,562,5306,0.26347866854196,0.044212613843731
2020-09-01,Age,80+ years,678,3558,0.317862165963432,0.0296472823324529
2020-09-01,Age,Unknown,,1025,,0.0085408837523227
2020-09-01,Race,Asian,35,1423,0.0164088138771683,0.0118572464190783
2020-09-01,Race,Black,187,6904,0.0876699484294421,0.05752805992784
2020-09-01,Race,Hispanic,1150,30769,0.539146741678387,0.256384831390456
