"FIPS","City","Population"
77176,"Wells",792
14668,"Childress",6048
7396,"Bellevue",347
11644,"Byers",452
19456,"Dean",463
33284,"Henrietta",3118
37924,"Jolly",163
57044,"Petrolia",670
79696,"Windthorst",17
49464,"Morton",1813
78328,"Whiteface",412
8488,"Blackwell",15
10528,"Bronte",999
62564,"Robert Lee",1048
15916,"Coleman",4274
52668,"Novice",128
65672,"Santa Anna",1007
1924,"Allen",105623
3300,"Anna",15000
8872,"Blue Ridge",926
13024,"Carrollton",2
13684,"Celina",16299
19000,"Dallas",52147
25224,"Fairview",9141
25488,"Farmersville",3630
27684,"Frisco",123417
29000,"Garland",387
33020,"Hebron",0
38068,"Josephine",1957
41800,"Lavon",3724
44308,"Lowry Crossing",1727
45012,"Lucas",8553
45744,"McKinney",199177
47496,"Melissa",12117
50100,"Murphy",20500
50760,"Nevada",1257
51036,"New Hope",628
55152,"Parker",5177
58016,"Plano",281587
59576,"Princeton",13894
59696,"Prosper",23519
61796,"Richardson",34920
63668,"Royse City",1585
64064,"Sachse",8172
64220,"St. Paul",1051
73592,"Trenton",0
74924,"Van Alstyne",0
77740,"Weston",540
80356,"Wylie",50994
20716,"Dodson",107
77152,"Wellington",2068
16168,"Columbus",3646
21844,"Eagle Lake",3777
77020,"Weimar",2226
11224,"Bulverde",5300
25168,"Fair Oaks Ranch",450
28248,"Garden Ridge",4130
50820,"New Braunfels",74801
65000,"San Antonio",0
66128,"Schertz",1222
66704,"Selma",27
69608,"Spring Branch",254
16192,"Comanche",4197
19672,"De Leon",2198
31628,"Gustine",468
22552,"Eden",1294
54636,"Paint Rock",296
11968,"Callisburg",383
27984,"Gainesville",16886
42868,"Lindsay",1149
49932,"Muenster",1645
53154,"Oak Ridge",242
57476,"Pilot Point",0
65408,"Sanger",1
74756,"Valley View",845
16624,"Copperas Cove",32563
24864,"Evant",276
29168,"Gatesville",12401
45672,"McGregor",0
53520,"Oglesby",465
69120,"South Mountain",365
54600,"Paducah",1094
17516,"Crane",3682
17768,"Crosbyton",1612
44032,"Lorenzo",1138
60356,"Ralls",1806
75032,"Van Horn",1870
18524,"Dalhart",5695
72476,"Texline",539
1240,"Addison",16263
5372,"Balch Springs",25007
13024,"Carrollton",56834
13492,"Cedar Hill",47370
15796,"Cockrell Hill",4154
16216,"Combine",885
16612,"Coppell",40597
19000,"Dallas",1260370
20092,"DeSoto",52988
21628,"Duncanville",38751
25452,"Farmers Branch",48158
25752,"Ferris",2
29000,"Garland",239541
29840,"Glenn Heights",10252
30464,"Grand Prairie",133445
30644,"Grapevine",0
33824,"Highland Park",9083
35612,"Hutchins",5866
37000,"Irving",239798
41212,"Lancaster",39228
42508,"Lewisville",1204
47892,"Mesquite",140801
54444,"Ovilla",373
61796,"Richardson",86403
63572,"Rowlett",59072
64064,"Sachse",17874
66428,"Seagoville",16835
71156,"Sunnyvale",6841
74492,"University Park",24985
79576,"Wilmer",4772
80356,"Wylie",619
1108,"Ackerly",156
41164,"Lamesa",9147
44170,"Los Ybanez",19
53436,"O'Donnell",119
33320,"Hereford",14622
16564,"Cooper",1993
56468,"Pecan Gap",185
3768,"Argyle",4381
4600,"Aubrey",4895
5768,"Bartonville",1785
13024,"Carrollton",82412
13684,"Celina",0
16612,"Coppell",824
16636,"Copper Canyon",1493
16696,"Corinth",22099
17024,"Corral City",49
17852,"Cross Roads",1516
19000,"Dallas",31056
19972,"Denton",141541
20540,"DISH",439
21028,"Double Oak",3068
26232,"Flower Mound",78875
27000,"Fort Worth",9502
27684,"Frisco",77073
30644,"Grapevine",0
31715,"Hackberry",1077
32720,"Haslet",0
33020,"Hebron",215
33476,"Hickory Creek",4795
33848,"Highland Village",16668
38332,"Justin",4279
39916,"Krugerville",1836
39928,"Krum",5018
40516,"Lake Dallas",8063
41050,"Lakewood Village",964
42508,"Lewisville",108008
42808,"Lincoln Park",558
43012,"Little Elm",53126
52212,"Northlake",3348
53130,"Oak Point",5762
57476,"Pilot Point",4522
58016,"Plano",6090
58664,"Ponder",2369
59696,"Prosper",1060
59748,"Providence Village",7377
