"FIPS","City","Population"
45804,"McLendon-Chisholm",3455
48858,"Mobile City",210
62828,"Rockwall",45888
63572,"Rowlett",8267
63668,"Royse City",12208
80356,"Wylie",1454
5456,"Ballinger",3642
48396,"Miles",872
79876,"Winters",2448
22192,"Easton",52
33212,"Henderson",13154
39124,"Kilgore",3515
49728,"Mount Enterprise",436
51168,"New London",1014
54432,"Overton",2306
61508,"Reklaw",161
71924,"Tatum",1116
33188,"Hemphill",1244
57644,"Pineland",800
10384,"Broaddus",197
65024,"San Augustine",1888
15436,"Cleveland",0
15892,"Coldspring",932
58556,"Point Blank",752
67424,"Shepherd",2413
3600,"Aransas Pass",7565
17000,"Corpus Christi",0
31064,"Gregory",1886
36008,"Ingleside",10192
36020,"Ingleside on the Bay",607
40472,"Lake City",531
40738,"Lakeside",303
47040,"Mathis",4715
53376,"Odem",2360
58904,"Portland",17268
65612,"San Patricio",375
68036,"Sinton",5354
71684,"Taft",2867
61880,"Richland Springs",309
65648,"San Saba",3168
22960,"Eldorado",1579
68624,"Snyder",11023
1648,"Albany",1934
45048,"Lueders",0
49320,"Moran",260
13732,"Center",5175
35636,"Huxley",382
37684,"Joaquin",805
72188,"Tenaha",1146
73076,"Timpson",1134
70544,"Stratford",2057
72464,"Texhoma",323
4156,"Arp",1030
11212,"Bullard",3659
33578,"Hideaway",3174
42820,"Lindale",6464
50876,"New Chapel Hill",646
51756,"Noonday",722
54432,"Overton",197
73724,"Troup",1978
74144,"Tyler",106985
78388,"Whitehouse",8905
79828,"Winona",608
29876,"Glen Rose",2699
24552,"Escobares",2575
40288,"La Grulla",1701
62168,"Rio Grande City",14511
63020,"Roma",11490
10132,"Breckenridge",5423
70232,"Sterling City",998
4408,"Aspermont",835
68756,"Sonora",2786
32156,"Happy",597
39904,"Kress",681
73868,"Tulia",4655
4000,"Arlington",398854
5168,"Azle",11093
7132,"Bedford",49049
7552,"Benbrook",23502
8860,"Blue Mound",2445
11428,"Burleson",9983
15988,"Colleyville",27091
17960,"Crowley",16421
19084,"Dalworthington Gardens",2370
22588,"Edgecliff Village",3026
24768,"Euless",57197
24912,"Everman",6201
26232,"Flower Mound",260
26544,"Forest Hill",12988
27000,"Fort Worth",900073
30464,"Grand Prairie",61070
30644,"Grapevine",55281
31928,"Haltom City",43874
32720,"Haslet",1923
35576,"Hurst",38655
38632,"Keller",47213
38896,"Kennedale",8645
40744,"Lakeside",1593
41056,"Lake Worth",4896
46452,"Mansfield",70135
50772,"Newark",0
52356,"North Richland Hills",70670
55020,"Pantego",2519
56640,"Pelican Bay",2005
61604,"Reno",8
61844,"Richland Hills",7953
62384,"River Oaks",7630
62504,"Roanoke",0
64112,"Saginaw",24310
65660,"Sansom Park",5748
69032,"Southlake",31420
73710,"Trophy Club",496
76672,"Watauga",24481
77620,"Westlake",1685
77788,"Westover Hills",683
78076,"Westworth Village",2757
78544,"White Settlement",17851
1000,"Abilene",117710
11128,"Buffalo Gap",557
35816,"Impact",30
41872,"Lawn",321
47796,"Merkel",2617
73580,"Trent",349
74048,"Tuscola",739
74132,"Tye",1333
10720,"Brownfield",9358
47316,"Meadow",585
77164,"Wellman",203
72896,"Throckmorton",761
80188,"Woodson",241
48478,"Miller's Cove",160
49800,"Mount Pleasant",15978
71732,"Talco",497
79720,"Winfield",520
64472,"San Angelo",101004
5000,"Austin",923523
7156,"Bee Cave",6841
10197,"Briarcliff",1819
13552,"Cedar Park",8447
17612,"Creedmoor",224
23044,"Elgin",1030
38020,"Jonestown",2105
40264,"Lago Vista",7556
40984,"Lakeway",15981
42016,"Leander",2257
46440,"Manor",13866
50200,"Mustang Ridge",502
57176,"Pflugerville",65142
58586,"Point Venture",1033
63008,"Rollingwood",1585
63500,"Round Rock",1779
65552,"San Leanna",507
71324,"Sunset Valley",672
72578,"The Hills",2487
75752,"Volente",599
76924,"Webberville",485
77632,"West Lake Hills",3286
31340,"Groveton",1023
73664,"Trinity",2756
14584,"Chester",311
16048,"Colmesneil",591
37112,"Ivanhoe",1436
80212,"Woodville",2428
8224,"Big Sandy",1412
15172,"Clarksville City",0
22168,"East Mountain",861
29564,"Gilmer",5143
29660,"Gladewater",2496
54216,"Ore City",1228
74312,"Union Grove",385
76576,"Warren City",8
45432,"McCamey",2060
60668,"Rankin",851
64004,"Sabinal",1673
74588,"Uvalde",16001
19792,"Del Rio",35760
12496,"Canton",3861
22612,"Edgewood",1525
22744,"Edom",392
27804,"Fruitvale",428
30476,"Grand Saline",3173
74912,"Van",2741
79564,"Wills Point",3651
75428,"Victoria",66916
35528,"Huntsville",42241
51396,"New Waverly",1071
62408,"Riverside",549
10636,"Brookshire",5816
33200,"Hempstead",8355
38476,"Katy",2081
56108,"Pattison",620
57615,"Pine Island",1159
59336,"Prairie View",6953
76228,"Waller",2894
5720,"Barstow",386
30440,"Grandfalls",403
48936,"Monahans",7816
59996,"Pyote",132
72800,"Thorntonville",541
79036,"Wickett",559
10156,"Brenham",17863
11536,"Burton",292
22905,"El Cenizo",3161
41464,"Laredo",262491
62138,"Rio Bravo",4634
21988,"East Bernard",2342
22864,"El Campo",11539
78136,"Wharton",8637
48852,"Mobeetie",95
67160,"Shamrock",1764
78208,"Wheeler",1477
11368,"Burkburnett",11270
13198,"Cashion Community",355
22984,"Electra",2730
36104,"Iowa Park",6339
58400,"Pleasant Valley",330
79000,"Wichita Falls",104683
75308,"Vernon",10323
45228,"Lyford",2540
60836,"Raymondville",10880
65636,"San Perlita",556
5000,"Austin",55385
5732,"Bartlett",1044
13552,"Cedar Park",71015
17312,"Coupland",317
26136,"Florence",1274
29336,"Georgetown",79604
30548,"Granger",1505
35624,"Hutto",27947
37396,"Jarrell",1832
42016,"Leander",60351
42664,"Liberty Hill",2931
57176,"Pflugerville",238
63500,"Round Rock",131593
71948,"Taylor",17383
72776,"Thorndale",2
72824,"Thrall",977
77056,"Weir",530
23272,"Elmendorf",2
26160,"Floresville",8045
41764,"La Vernia",1428
51588,"Nixon",8
59096,"Poth",2284
70376,"Stockdale",1649
39004,"Kermit",6486
48936,"Monahans",0
79768,"Wink",1028
2284,"Alvord",1573
4672,"Aurora",1512
9748,"Boyd",1518
10264,"Bridgeport",6653
14620,"Chico",1177
19528,"Decatur",7094
27000,"Fort Worth",0
40450,"Lake Bridgeport",399
50772,"Newark",1232
50920,"New Fairview",1544
55056,"Paradise",561
61700,"Rhome",1845
63782,"Runaway Bay",1576
69800,"Springtown",2
1636,"Alba",543
32816,"Hawkins",1321
48648,"Mineola",4766
60188,"Quitman",1849
79816,"Winnsboro",2603
80440,"Yantis",428
19984,"Denver City",4911
57968,"Plains",1655
30392,"Graham",8622
50868,"Newcastle",573
54000,"Olney",3099
18020,"Crystal City",7158
