"Date","County","Doses_Allocated_1","Doses_Allocated_2","Doses_Administered","At_Least_One_Vaccinated","Fully_Vaccinated","Population_Over_16","Population_Over_65","Population_Phase_1A_Healthcare","Population_Phase1A_Care_Residents","Population_Phase_1B_Medical_Condition"
2020-12-20,"Grimes",300,NA,10,NA,NA,"23245","5134","234","311","9653"
2020-12-20,"Guadalupe",2000,NA,301,NA,NA,"130517","23614","3801","1225","49282"
2020-12-20,"Hale",1200,NA,40,NA,NA,"25476","4604","873","399","10561"
2020-12-20,"Hamilton",400,NA,7,NA,NA,"6832","2146","481","296","2427"
2020-12-20,"Hansford",200,NA,1,NA,NA,"3987","812","139","84","1616"
2020-12-20,"Hardeman",100,NA,1,NA,NA,"3190","912","102","16","1146"
2020-12-20,"Hardin",1600,NA,31,NA,NA,"45112","9762","1003","527","16190"
2020-12-20,"Harris",85975,NA,22765,NA,NA,"3601939","514167","225769","27623","1408024"
2020-12-20,"Harrison",800,NA,189,NA,NA,"51900","11607","3063","608","20509"
2020-12-20,"Hays",4900,NA,748,NA,NA,"183380","26187","5488","1907","61462"
2020-12-20,"Hemphill",300,NA,1,NA,NA,"2827","606","104","98","1066"
2020-12-20,"Henderson",1400,NA,155,NA,NA,"67238","18534","2043","998","26544"
2020-12-20,"Hidalgo",16475,NA,7074,NA,NA,"620824","98328","54962","17074","286328"
2020-12-20,"Hill",200,NA,37,NA,NA,"29198","7684","862","523","11381"
2020-12-20,"Hockley",300,NA,46,NA,NA,"17799","3453","483","263","6829"
2020-12-20,"Hood",900,NA,73,NA,NA,"50193","15416","1720","867","16867"
2020-12-20,"Hopkins",700,NA,84,NA,NA,"29175","6887","1192","620","11166"
2020-12-20,"Houston",700,NA,NA,NA,NA,"18929","5176","634","538","7399"
2020-12-20,"Howard",1000,NA,8,NA,NA,"29544","4813","1456","454","12143"
2020-12-20,"Hunt",400,NA,63,NA,NA,"77878","15810","4112","947","31096"
2020-12-20,"Hutchinson",200,NA,7,NA,NA,"16258","3581","504","246","6098"
2020-12-20,"Jackson",600,NA,6,NA,NA,"11425","2720","380","237","4205"
2020-12-20,"Jasper",800,NA,14,NA,NA,"28056","7187","1597","374","11687"
2020-12-20,"Jefferson",2875,NA,207,NA,NA,"197382","37595","13127","2431","90120"
2020-12-20,"Jim Wells",300,NA,57,NA,NA,"30579","6358","3897","985","12474"
2020-12-20,"Johnson",800,NA,509,NA,NA,"135345","25151","3559","1471","53224"
2020-12-20,"Karnes",100,NA,4,NA,NA,"12669","2211","370","244","5177"
2020-12-20,"Kaufman",300,NA,489,NA,NA,"102341","16113","2857","1189","40613"
2020-12-20,"Kendall",1100,NA,181,NA,NA,"37890","9152","1091","801","12702"
2020-12-20,"Kerr",1400,NA,12,NA,NA,"43793","14769","2805","1022","13990"
2020-12-20,"Kimble",100,NA,4,NA,NA,"3651","1288","90","0","1243"
2020-12-20,"Kleberg",300,NA,38,NA,NA,"24188","4046","1401","341","9265"
2020-12-20,"Knox",100,NA,NA,NA,NA,"2808","736","95","127","976"
2020-12-20,"Lamar",1200,NA,15,NA,NA,"39402","9726","3115","745","14986"
2020-12-20,"Lavaca",600,NA,10,NA,NA,"16004","4775","820","612","5435"
2020-12-20,"Lee",300,NA,3,NA,NA,"13993","3219","334","226","5333"
2020-12-20,"Leon",200,NA,2,NA,NA,"13946","4334","155","74","4662"
2020-12-20,"Liberty",1200,NA,55,NA,NA,"66868","11399","1398","614","28567"
2020-12-20,"Limestone",200,NA,6,NA,NA,"18871","4670","2332","1060","7512"
2020-12-20,"Lubbock",17975,NA,2648,NA,NA,"244992","39476","20974","4093","83028"
2020-12-20,"Madison",200,NA,2,NA,NA,"11595","2264","299","258","4451"
2020-12-20,"Mason",100,NA,2,NA,NA,"3521","1250","104","0","1147"
2020-12-20,"Matagorda",1100,NA,8,NA,NA,"28247","6391","1113","369","11409"
2020-12-20,"Maverick",500,NA,6,NA,NA,"42606","7003","2970","1198","18727"
2020-12-20,"Mcculloch",100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-20,"Mclennan",2700,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-20,"Medina",100,NA,72,NA,NA,"41263","8757","899","536","16090"
2020-12-20,"Midland",700,NA,834,NA,NA,"131025","18438","5950","1288","49538"
2020-12-20,"Milam",400,NA,15,NA,NA,"19689","5245","532","297","7641"
2020-12-20,"Mills",100,NA,3,NA,NA,"4006","1416","149","152","1305"
2020-12-20,"Mitchell",300,NA,1,NA,NA,"6958","1259","265","96","2753"
2020-12-20,"Montgomery",9300,NA,2144,NA,NA,"467232","81457","20255","3836","157396"
2020-12-20,"Moore",200,NA,8,NA,NA,"14986","2372","448","176","6143"
2020-12-20,"Morris",100,NA,13,NA,NA,"9830","2730","77","179","3692"
2020-12-20,"Nacogdoches",2400,NA,8,NA,NA,"51773","9953","2530","755","19948"
