"District","Date","County","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Cayuga ISD (1902)","2020-09-20","Anderson,Freestone,Henderson",544,415,0,0,2,0,0,0,2,3,0,12,4,0,13,6
"Elkhart ISD (1903)","2020-09-20","Anderson,Houston,Leon",1207,1095,0,1,0,1,0,2,0,0,1,5,13,0,3,16
"Frankston ISD (1904)","2020-09-20","Anderson,Cherokee,Henderson",760,688,0,1,0,0,0,1,0,1,1,3,0,0,5,0
"Neches ISD (1906)","2020-09-20","Anderson,Cherokee",317,313,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,0,1,4
"Palestine ISD (1907)","2020-09-20","Anderson,Cherokee",3384,2857,0,0,6,4,0,10,0,2,0,18,20,1,31,8
"Westwood ISD (1908)","2020-09-20","Anderson,Freestone,Leon",1358,1102,0,1,4,0,0,4,1,0,3,12,3,1,12,5
"Slocum ISD (1909)","2020-09-20","Anderson,Cherokee,Houston",350,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews ISD (2901)","2020-09-20","Andrews,Ector,Gaines,Martin,Midland,Winkler",4145,3389,0,0,0,2,0,2,0,4,5,13,13,0,34,1
"Pineywoods Community Academy (3801)","2020-09-20","Angelina",988,653,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,1,2
"Hudson ISD (3902)","2020-09-20","Angelina,Houston,Trinity",2793,2309,0,0,1,0,0,0,1,4,3,9,4,0,12,8
"Lufkin ISD (3903)","2020-09-20","Angelina,Nacogdoches",7386,5612,0,2,8,1,1,9,1,12,5,21,11,3,26,20
"Huntington ISD (3904)","2020-09-20","Angelina,Nacogdoches",1571,1420,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,0,5,0
"Diboll ISD (3905)","2020-09-20","Angelina,Polk,Trinity",1872,1478,NA,NA,NA,NA,NA,NA,NA,2,0,4,1,0,2,5
"Zavalla ISD (3906)","2020-09-20","Angelina,Jasper,Nacogdoches,Polk,San Augustine,Tyler",302,266,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,3,0
"Central ISD (3907)","2020-09-20","Angelina,Cherokee,Houston,Nacogdoches",1439,1203,0,0,1,0,0,1,0,2,0,2,4,0,8,0
"Aransas County ISD (4901)","2020-09-20","Aransas,Calhoun,Nueces,Refugio,San Patricio",2994,1746,NA,NA,NA,NA,NA,NA,NA,1,1,5,0,0,1,6
"Archer City ISD (5901)","2020-09-20","Archer,Clay,Jack,Wichita,Young",512,477,0,0,0,1,0,1,0,0,0,1,2,0,2,1
"Holliday ISD (5902)","2020-09-20","Archer,Baylor,Wichita",1044,994,0,2,1,1,0,0,4,1,2,5,4,0,3,9
"Windthorst ISD (5904)","2020-09-20","Archer,Clay",416,404,NA,NA,NA,NA,NA,NA,NA,0,2,6,9,3,1,13
"Claude ISD (6902)","2020-09-20","Armstrong,Briscoe,Carson,Donley,Potter,Randall,Swisher",318,308,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"Charlotte ISD (7901)","2020-09-20","Atascosa,Frio,La Salle",413,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jourdanton ISD (7902)","2020-09-20","Atascosa",1554,1238,0,1,0,0,0,1,0,1,1,3,1,0,5,1
"Lytle ISD (7904)","2020-09-20","Atascosa,Bexar,Medina",1728,999,0,0,4,0,0,4,0,0,1,9,0,0,9,1
"Pleasanton ISD (7905)","2020-09-20","Atascosa,Bexar,Karnes,Live Oak,McMullen,Wilson",3419,2211,NA,NA,NA,NA,NA,NA,NA,1,0,1,5,0,4,3
"Poteet ISD (7906)","2020-09-20","Atascosa,Bexar,Frio,Medina",1590,570,NA,NA,NA,NA,NA,NA,NA,1,0,5,1,0,7,0
"Bellville ISD (8901)","2020-09-20","Austin,Colorado,Fayette,Waller,Washington",2223,2017,NA,NA,NA,NA,NA,NA,NA,0,0,1,3,0,0,4
"Sealy ISD (8902)","2020-09-20","Austin,Colorado,Fort Bend,Waller",2790,2148,NA,NA,NA,NA,NA,NA,NA,0,1,4,3,0,1,7
"Brazos ISD (8903)","2020-09-20","Austin,Colorado,Fort Bend,Wharton",781,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muleshoe ISD (9901)","2020-09-20","Bailey,Lamb,Parmer",1346,1205,1,0,9,4,0,13,1,1,1,18,8,0,27,1
"Medina ISD (10901)","2020-09-20","Bandera,Kerr,Medina",276,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bandera ISD (10902)","2020-09-20","Bandera,Bexar,Kendall,Kerr,Medina",2160,1731,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Bastrop ISD (11901)","2020-09-20","Bastrop,Caldwell,Lee,Travis",10342,5277,1,1,0,0,0,2,0,2,3,6,5,0,13,3
"Elgin ISD (11902)","2020-09-20","Bastrop,Lee,Travis,Williamson",4610,1611,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,0,4
"Smithville ISD (11904)","2020-09-20","Bastrop,Caldwell,Fayette,Lee",1706,1145,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Mcdade ISD (11905)","2020-09-20","Bastrop,Lee",335,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seymour ISD (12901)","2020-09-20","Archer,Baylor,Foard,Haskell,Knox,Throckmorton,Wilbarger",616,585,0,0,0,1,0,0,1,0,0,1,1,0,1,1
"St Mary's Academy Charter School (13801)","2020-09-20","Bee",399,193,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,1,1
"Beeville ISD (13901)","2020-09-20","Bee,Goliad,Live Oak,Refugio",3098,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pawnee ISD (13902)","2020-09-20","Bee,Karnes,Live Oak",185,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pettus ISD (13903)","2020-09-20","Bee,Goliad,Karnes",345,260,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Skidmore-Tynan ISD (13905)","2020-09-20","Bee,Live Oak,Refugio,San Patricio",805,462,NA,NA,NA,NA,NA,NA,NA,0,0,8,10,0,0,18
"Richard Milburn Alter High School (Killeen) (14801)","2020-09-20","Bell",1924,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Priority Charter Schools (14803)","2020-09-20","Bell",784,527,0,0,1,1,0,2,0,0,0,2,1,0,3,0
"Orenda Charter School (14804)","2020-09-20","Bell",1819,886,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0
"Academy ISD (14901)","2020-09-20","Bell",1749,1432,0,0,1,0,0,0,1,0,0,3,2,0,0,5
"Bartlett ISD (14902)","2020-09-20","Bell,Milam,Williamson",369,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belton ISD (14903)","2020-09-20","Bell,Coryell",12381,7693,3,1,7,2,0,4,9,7,4,19,11,0,15,26
"Holland ISD (14905)","2020-09-20","Bell,Milam",650,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Killeen ISD (14906)","2020-09-20","Bell,Burnet,Coryell,Williamson",42894,24284,5,3,16,9,0,0,33,19,16,39,71,0,5,140
"Rogers ISD (14907)","2020-09-20","Bell,Falls,Milam",883,823,0,0,2,0,0,1,1,0,0,2,2,0,3,1
"Salado ISD (14908)","2020-09-20","Bell,Williamson",2114,1784,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,0,2,1
"Temple ISD (14909)","2020-09-20","Bell",8290,5491,1,0,5,1,0,0,7,1,3,29,10,0,2,41
"Troy ISD (14910)","2020-09-20","Bell,Falls,McLennan",1475,1277,0,1,0,0,0,1,0,2,1,0,2,0,2,3
"Por Vida Academy (15801)","2020-09-20","Bexar",134,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Gervin Academy (15802)","2020-09-20","Bexar",871,207,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"New Frontiers Public Schools Inc (15805)","2020-09-20","Bexar",493,87,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"School Of Excellence In Education (15806)","2020-09-20","Bexar",367,123,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2
"Southwest Preparatory School (15807)","2020-09-20","Bexar",844,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inspire Academies (15808)","2020-09-20","Bexar",577,359,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Bexar County Academy (15809)","2020-09-20","Bexar",262,122,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Positive Solutions Charter School (15814)","2020-09-20","Bexar",104,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heritage Academy (15815)","2020-09-20","Bexar",614,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jubilee Academies (15822)","2020-09-20","Bexar",6308,2279,NA,NA,NA,NA,NA,NA,NA,2,0,1,9,3,9,0
"Lighthouse Public Schools (15825)","2020-09-20","Bexar",276,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"School Of Science And Technology (15827)","2020-09-20","Bexar",3330,803,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,2,1
"Harmony Science Acad (San Antonio) (15828)","2020-09-20","Bexar",4442,342,0,1,0,0,1,0,0,1,2,7,5,1,14,0
"Brooks Academies Of Texas (15830)","2020-09-20","Bexar",3047,846,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,2,0
"School Of Science And Technology Discovery (15831)","2020-09-20","Bexar",4804,1212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry Ford Academy Alameda School For Art + Design (15833)","2020-09-20","Bexar",102,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basis Texas (15834)","2020-09-20","Bexar",3070,101,0,0,0,4,0,0,4,1,0,0,4,0,1,4
"Great Hearts Texas (15835)","2020-09-20","Bexar",6670,3681,0,0,1,1,0,1,1,4,2,1,4,0,6,5
"Eleanor Kolitz Hebrew Language Academy (15836)","2020-09-20","Bexar",466,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Compass Rose Academy (15838)","2020-09-20","Bexar",1134,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Promesa Academy Charter School (15839)","2020-09-20","Bexar",198,63,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1
"San Antonio Preparatory Charter School (15840)","2020-09-20","Bexar",209,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Gathering Place (15841)","2020-09-20","Bexar",350,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alamo Heights ISD (15901)","2020-09-20","Bexar",4507,2782,0,1,0,0,0,1,0,3,3,2,5,2,11,0
"Harlandale ISD (15904)","2020-09-20","Bexar",12437,1756,0,1,3,1,0,5,0,0,1,11,9,1,19,1
"Edgewood ISD (15905)","2020-09-20","Bexar",8974,2123,0,0,0,1,0,0,1,1,1,0,11,0,5,8
"Randolph Field ISD (15906)","2020-09-20","Bexar",1420,953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Antonio ISD (15907)","2020-09-20","Bexar",45664,10533,4,2,1,4,0,8,3,13,5,5,33,0,53,3
"South San Antonio ISD (15908)","2020-09-20","Bexar",8195,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Somerset ISD (15909)","2020-09-20","Atascosa,Bexar",4050,1892,0,0,0,2,0,0,2,1,2,2,6,0,3,8
"North East ISD (15910)","2020-09-20","Bexar",60091,10618,NA,NA,NA,NA,NA,NA,NA,7,6,20,24,0,8,49
"East Central ISD (15911)","2020-09-20","Bexar,Guadalupe,Wilson",9621,3023,0,0,1,0,0,0,1,0,3,3,10,0,14,2
"Southwest ISD (15912)","2020-09-20","Atascosa,Bexar,Medina",13348,3505,0,1,3,2,0,4,2,3,1,3,9,0,7,9
"Lackland ISD (15913)","2020-09-20","Bexar",874,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ft Sam Houston ISD (15914)","2020-09-20","Bexar",1494,456,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Northside ISD (15915)","2020-09-20","Bandera,Bexar,Medina",103238,18216,5,2,12,9,1,16,11,15,5,39,71,6,81,43
"Judson ISD (15916)","2020-09-20","Bexar,Comal,Guadalupe",23282,7698,0,0,2,3,0,5,0,4,1,6,7,0,18,0
"Southside ISD (15917)","2020-09-20","Atascosa,Bexar,Wilson",5546,739,1,0,2,0,0,3,0,1,0,2,4,1,6,0
"Johnson City ISD (16901)","2020-09-20","Blanco,Burnet,Gillespie,Hays,Llano,Travis",820,587,NA,NA,NA,NA,NA,NA,NA,0,1,3,1,0,0,5
"Blanco ISD (16902)","2020-09-20","Blanco,Comal,Gillespie,Hays,Kendall",1028,917,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Borden County ISD (17901)","2020-09-20","Borden,Dawson,Garza,Howard,Lynn,Mitchell,Scurry",231,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clifton ISD (18901)","2020-09-20","Bosque,Coryell,Hill",962,871,0,1,0,0,0,1,0,1,3,3,0,0,4,3
"Meridian ISD (18902)","2020-09-20","Bosque,Hill",406,386,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"Morgan ISD (18903)","2020-09-20","Bosque,Hill",137,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valley Mills ISD (18904)","2020-09-20","Bosque,Coryell,Hill,McLennan",653,544,NA,NA,NA,NA,NA,NA,NA,0,1,3,1,0,3,2
"Walnut Springs ISD (18905)","2020-09-20","Bosque,Somervell",173,149,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Iredell ISD (18906)","2020-09-20","Bosque,Erath,Hamilton,Somervell",148,137,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Kopperl ISD (18907)","2020-09-20","Bosque,Hill,Johnson,Somervell",168,137,NA,NA,NA,NA,NA,NA,NA,0,1,8,6,0,1,14
"Cranfills Gap ISD (18908)","2020-09-20","Bosque,Coryell,Hamilton",131,120,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,4,1,9
"Dekalb ISD (19901)","2020-09-20","Bowie,Cass,Morris,Red River",770,705,0,0,1,2,0,2,1,0,2,12,14,1,7,20
"Hooks ISD (19902)","2020-09-20","Bowie",870,764,0,0,2,2,0,1,3,2,0,5,5,0,5,7
"Maud ISD (19903)","2020-09-20","Bowie,Cass",473,408,NA,NA,NA,NA,NA,NA,NA,0,1,4,3,0,1,7
"New Boston ISD (19905)","2020-09-20","Bowie,Cass",1188,948,0,0,1,0,0,1,0,0,2,14,7,0,13,10
"Redwater ISD (19906)","2020-09-20","Bowie,Cass",NA,NA,0,0,1,1,0,2,0,0,0,4,2,0,6,0
"Texarkana ISD (19907)","2020-09-20","Bowie",7570,5046,1,0,0,10,0,1,10,11,13,26,52,0,1,101
"Liberty-Eylau ISD (19908)","2020-09-20","Bowie,Cass",2310,1710,2,1,2,8,1,2,10,6,1,11,24,1,6,35
"Simms ISD (19909)","2020-09-20","Bowie,Cass",487,464,NA,NA,NA,NA,NA,NA,NA,0,0,3,4,0,4,3
"Malta ISD (19910)","2020-09-20","Bowie",219,217,1,0,0,0,0,1,0,2,0,0,0,0,2,0
"Red Lick ISD (19911)","2020-09-20","Bowie",517,483,NA,NA,NA,NA,NA,NA,NA,0,4,0,2,0,3,3
"Pleasant Grove ISD (19912)","2020-09-20","Bowie",2246,1945,0,0,7,8,0,5,10,1,6,21,13,0,27,14
"Hubbard ISD (19913)","2020-09-20","Bowie",78,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leary ISD (19914)","2020-09-20","Bowie",108,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alvin ISD (20901)","2020-09-20","Brazoria,Fort Bend,Galveston,Harris",26817,14563,0,1,10,5,0,16,0,4,8,37,20,0,69,0
"Angleton ISD (20902)","2020-09-20","Brazoria,Fort Bend,Galveston",6811,3554,NA,NA,NA,NA,NA,NA,NA,7,7,6,18,14,24,0
"Danbury ISD (20904)","2020-09-20","Brazoria",740,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazosport ISD (20905)","2020-09-20","Brazoria,Galveston",11397,6978,1,0,3,2,0,6,0,14,5,19,14,0,52,0
"Sweeny ISD (20906)","2020-09-20","Brazoria,Matagorda",1833,1280,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Columbia-Brazoria ISD (20907)","2020-09-20","Brazoria,Fort Bend,Matagorda,Wharton",2841,1969,NA,NA,NA,NA,NA,NA,NA,1,1,4,0,0,6,0
"Pearland ISD (20908)","2020-09-20","Brazoria,Galveston,Harris",20991,10416,0,2,11,4,3,4,10,5,3,27,11,3,6,37
"Damon ISD (20910)","2020-09-20","Brazoria,Fort Bend,Wharton",111,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazos School For Inquiry & Creativity (21803)","2020-09-20","Brazos",341,251,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Arrow Academy (21805)","2020-09-20","Brazos",686,214,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0
"College Station ISD (21901)","2020-09-20","Brazos,Burleson,Grimes",13642,10161,2,1,4,3,0,0,10,14,8,27,31,0,0,80
"Bryan ISD (21902)","2020-09-20","Brazos,Burleson,Grimes,Leon,Madison,Robertson",15715,11141,2,3,13,4,0,0,22,17,8,37,36,0,0,98
"Terlingua Csd (22004)","2020-09-20","Brewster,Presidio",100,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alpine ISD (22901)","2020-09-20","Brewster,Jeff Davis,Pecos,Presidio",906,798,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0,3
"Marathon ISD (22902)","2020-09-20","Brewster,Pecos,Terrell",59,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Vicente ISD (22903)","2020-09-20","Brewster",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silverton ISD (23902)","2020-09-20","Armstrong,Briscoe,Floyd,Swisher",181,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brooks County ISD (24901)","2020-09-20","Brooks,Duval,Hidalgo,Jim Hogg,Jim Wells,Kenedy,Kleberg,Starr",1438,628,NA,NA,NA,NA,NA,NA,NA,6,1,9,2,0,18,0
"Bangs ISD (25901)","2020-09-20","Brown,Coleman",840,799,NA,NA,NA,NA,NA,NA,NA,0,2,10,5,0,0,17
"Brownwood ISD (25902)","2020-09-20","Brown,Mills",3437,2951,0,0,5,0,0,2,3,7,1,24,11,0,30,13
"Blanket ISD (25904)","2020-09-20","Brown,Comanche",173,146,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"May ISD (25905)","2020-09-20","Brown,Comanche,Eastland",252,242,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,3,0
"Zephyr ISD (25906)","2020-09-20","Brown,Comanche,Mills",206,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brookesmith ISD (25908)","2020-09-20","Brown,Coleman,McCulloch,Mills,San Saba",168,131,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1
"Early ISD (25909)","2020-09-20","Brown",1158,1064,NA,NA,NA,NA,NA,NA,NA,1,0,4,1,0,2,4
"Caldwell ISD (26901)","2020-09-20","Brazos,Burleson,Lee,Milam,Robertson",1720,1384,NA,NA,NA,NA,NA,NA,NA,0,1,17,6,0,1,23
"Somerville ISD (26902)","2020-09-20","Burleson,Lee,Washington",538,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snook ISD (26903)","2020-09-20","Brazos,Burleson,Washington",500,438,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,1,0,2
"Burnet Cisd (27903)","2020-09-20","Bell,Burnet,Lampasas,Llano,San Saba,Travis,Williamson",3081,2475,0,0,0,1,0,1,0,1,2,2,3,0,8,0
"Marble Falls ISD (27904)","2020-09-20","Blanco,Burnet,Llano,Travis",4094,3373,0,1,1,2,0,4,0,4,3,6,8,0,15,6
"Lockhart ISD (28902)","2020-09-20","Bastrop,Caldwell,Hays,Travis",5998,1857,NA,NA,NA,NA,NA,NA,NA,2,0,3,3,0,5,3
"Luling ISD (28903)","2020-09-20","Caldwell,Gonzales,Guadalupe",1353,968,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,0,7,1
"Prairie Lea ISD (28906)","2020-09-20","Caldwell,Guadalupe",179,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calhoun County ISD (29901)","2020-09-20","Aransas,Calhoun,Jackson,Matagorda,Refugio,Victoria",3563,2869,0,1,0,0,0,1,0,2,2,16,19,2,37,0
"Cross Plains ISD (30901)","2020-09-20","Brown,Callahan,Coleman,Eastland",363,355,0,1,0,0,0,1,0,1,1,1,0,0,3,0
"Clyde Cisd (30902)","2020-09-20","Callahan,Coleman,Jones,Shackelford,Taylor",1395,1255,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2
"Baird ISD (30903)","2020-09-20","Callahan,Coleman,Eastland,Shackelford",268,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eula ISD (30906)","2020-09-20","Callahan,Shackelford,Taylor",459,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University Of Texas Rio Grande Valley (31505)","2020-09-20","Cameron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brownsville ISD (31901)","2020-09-20","Cameron",40121,283,5,3,3,3,1,11,2,19,12,24,129,65,91,28
"Harlingen Cisd (31903)","2020-09-20","Cameron,Willacy",17806,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Feria ISD (31905)","2020-09-20","Cameron,Hidalgo",3078,921,NA,NA,NA,NA,NA,NA,NA,0,0,0,15,2,13,0
"Los Fresnos Cisd (31906)","2020-09-20","Cameron,Willacy",10398,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Point Isabel ISD (31909)","2020-09-20","Cameron,Willacy",2064,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rio Hondo ISD (31911)","2020-09-20","Cameron,Willacy",2127,404,0,0,0,1,1,0,0,0,0,0,4,2,2,0
"San Benito Cisd (31912)","2020-09-20","Cameron",9719,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Maria ISD (31913)","2020-09-20","Cameron,Hidalgo",572,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Rosa ISD (31914)","2020-09-20","Cameron,Hidalgo",911,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Texas ISD (31916)","2020-09-20","Cameron",4208,79,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,2,1
"Pittsburg ISD (32902)","2020-09-20","Camp,Franklin,Morris,Titus,Upshur,Wood",2395,2059,0,0,0,2,0,1,1,3,0,11,10,1,8,15
"Groom ISD (33901)","2020-09-20","Armstrong,Carson,Donley,Gray",141,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panhandle ISD (33902)","2020-09-20","Armstrong,Carson,Hutchinson,Moore,Potter,Randall",681,676,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"White Deer ISD (33904)","2020-09-20","Carson,Gray,Hutchinson,Roberts",352,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlanta ISD (34901)","2020-09-20","Bowie,Cass",1840,1634,0,0,1,3,0,2,2,3,2,18,19,0,16,26
"Avinger ISD (34902)","2020-09-20","Cass,Marion,Morris",140,116,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"Hughes Springs ISD (34903)","2020-09-20","Cass,Morris",1118,1083,0,0,1,1,1,1,0,1,0,5,5,2,7,2
"Linden-Kildare Cisd (34905)","2020-09-20","Cass,Marion",628,570,0,0,1,0,0,0,1,1,0,6,7,0,3,11
"Mcleod ISD (34906)","2020-09-20","Cass,Marion",407,381,NA,NA,NA,NA,NA,NA,NA,0,2,9,8,1,15,3
"Queen City ISD (34907)","2020-09-20","Bowie,Cass",952,874,0,0,11,3,0,2,12,1,0,25,27,2,12,39
"Bloomburg ISD (34909)","2020-09-20","Cass",251,251,0,0,1,1,0,1,1,0,1,3,3,0,6,1
"Dimmitt ISD (35901)","2020-09-20","Castro,Deaf Smith,Parmer,Randall",1200,1125,0,0,0,2,0,0,2,0,2,8,6,0,2,14
"Hart ISD (35902)","2020-09-20","Castro,Hale,Lamb,Swisher",201,185,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,2,0
"Nazareth ISD (35903)","2020-09-20","Castro,Swisher",249,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anahuac ISD (36901)","2020-09-20","Chambers,Galveston,Liberty",1320,1138,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Barbers Hill ISD (36902)","2020-09-20","Chambers,Galveston,Harris,Liberty",6417,5802,2,0,4,8,0,14,0,5,2,16,19,0,42,0
"East Chambers ISD (36903)","2020-09-20","Chambers,Galveston,Jefferson,Liberty",1500,1040,NA,NA,NA,NA,NA,NA,NA,3,3,7,13,7,7,12
"Alto ISD (37901)","2020-09-20","Anderson,Cherokee,Houston,Nacogdoches",636,527,NA,NA,NA,NA,NA,NA,NA,0,2,8,3,0,1,12
"Jacksonville ISD (37904)","2020-09-20","Anderson,Cherokee",4749,3910,1,2,3,4,0,2,8,11,8,41,34,3,47,44
"Rusk ISD (37907)","2020-09-20","Anderson,Cherokee,Nacogdoches,Rusk",1993,1652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Summerfield ISD (37908)","2020-09-20","Cherokee,Rusk",537,496,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,0,1,3
"Wells ISD (37909)","2020-09-20","Angelina,Cherokee,Houston,Nacogdoches",267,231,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,1,1
