"Date","Viral_Tests","Antibody_Tests","Tests_Total","Positive_Rate","Viral_Tests_New_Avg","Antibody_Tests_New_Avg","Total_Tests_New_Avg","Hospital_Total"
2020-05-09,472782,16512,489294,0.0675,NA,NA,NA,1735
2020-05-10,496328,17650,513978,0.0593,NA,NA,NA,1626
2020-05-11,506771,18926,525697,0.0637114430384,NA,NA,NA,1525
2020-05-12,511385,26787,538172,0.0692,NA,NA,NA,1725
2020-05-13,556776,30655,587431,0.0537,NA,NA,NA,1676
2020-05-14,587313,35971,623284,0.0503,NA,NA,NA,1648
2020-05-15,609630,36362,645992,0.0509,NA,NA,NA,1716
2020-05-16,638739,39732,678471,0.0483,23708,3317,27025,1791
2020-05-17,650355,42921,693276,0.0497,22004,3610,25614,1512
2020-05-18,679845,43168,723013,0.044720144337,24725,3463,28188,1551
2020-05-19,700146,44791,744937,0.047,26966,2572,29538,1732
2020-05-20,720928,49313,770241,0.0543,23450,2665,26116,1791
2020-05-21,740181,60252,800433,0.0551,21838,3469,25307,1680
2020-05-22,762706,71731,834437,0.0539,21868,5053,26921,1578
2020-05-23,NA,NA,870935,NA,NA,NA,27495,1688
2020-05-24,805654,80700,886354,0.0487,22186,5397,27583,1572
2020-05-25,821233,84841,906074,0.0515,20198,5953,26152,1511
2020-05-26,855674,87565,943239,0.0427,22218,6111,28329,1534
2020-05-27,873218,88643,961861,0.0433,21756,5619,27374,1645
2020-05-28,893275,96719,989994,0.049,21871,5210,27080,1692
2020-05-29,928517,98932,1027449,0.0456,23687,3886,27573,1701
2020-05-30,951865,102928,1054793,NA,NA,NA,26265,1752
2020-05-31,970031,103460,1073491,0.0543810873784,23482,3251,26734,1684
2020-06-01,986224,107452,1093676,0.054,23570,3230,26800,1756
2020-06-02,1006768,110506,1117274,0.0662369121209313,21585,3277,24862,1773
2020-06-03,1038555,112313,1150868,0.062599418158065,23620,3381,27001,1799
2020-06-04,1061576,113372,1174948,0.0602729633216677,24043,2379,26422,1796
2020-06-05,1093277,115910,1209187,0.064378489924739,23537,2425,25963,1855
2020-06-06,1092012,126943,1218955,0.0800231185826311,20021,3431,23452,1822
2020-06-07,1120316,135583,1255899,0.0711381708087966,21469,4589,26058,1878
2020-06-08,1147355,138784,1286139,0.0666290161421452,23019,4476,27495,1935
2020-06-09,1161087,140962,1302049,0.0692396918072305,22046,4351,26396,2056
2020-06-10,1206320,142573,1348893,0.0684648168569129,23966,4323,28289,2153
2020-06-11,1226957,143174,1370131,0.0705220067601478,23626,4257,27883,2008
2020-06-12,1260319,144050,1404369,0.0722393170579854,23863,4020,27883,2166
2020-06-13,1295983,146967,1442950,0.0610773100097563,29139,2861,31999,2242
2020-06-14,1314761,149090,1463851,0.0662192393736018,27778,1930,29707,2287
2020-06-15,1348442,150573,1499015,0.0670953368442515,28727,1684,30411,2326
2020-06-16,NA,NA,NA,NA,NA,NA,NA,2518
