"Date","Viral_Tests","Antibody_Tests","Tests_Total","Positive_Rate","Viral_Tests_New_Avg","Antibody_Tests_New_Avg","Total_Tests_New_Avg","Hospital_Total"
2020-02-15,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-16,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-17,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-18,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-19,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-20,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-21,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-22,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-23,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-24,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-25,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-27,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-28,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04,NA,NA,63751,0.1056,NA,NA,NA,827
2020-04-05,NA,NA,70938,0.0933,NA,NA,NA,1132
2020-04-06,NA,NA,85357,0.0889099985852,NA,NA,NA,1153
2020-04-07,NA,NA,88649,0.1094,NA,NA,NA,1252
2020-04-08,NA,NA,96258,0.1107,NA,NA,NA,1491
2020-04-09,NA,NA,106134,0.100351636462,NA,NA,NA,1439
2020-04-10,NA,NA,115918,0.1055125178708,NA,NA,NA,1532
2020-04-11,NA,NA,120533,0.1136,NA,NA,NA,1514
2020-04-12,NA,NA,124553,0.1248,NA,NA,NA,1338
2020-04-13,NA,NA,133226,0.1386,NA,NA,NA,1176
2020-04-14,NA,NA,146467,0.1101,NA,NA,NA,1409
2020-04-15,NA,NA,151810,0.1105,NA,NA,NA,1538
2020-04-16,NA,NA,158547,0.1188,NA,NA,NA,1459
2020-04-17,NA,NA,169536,0.1063,NA,NA,NA,1522
2020-04-18,NA,NA,176239,0.1023,NA,NA,NA,1321
2020-04-19,NA,NA,182710,0.0935,NA,NA,NA,1471
2020-04-20,NA,NA,190394,0.0971172684019,NA,NA,NA,1411
2020-04-21,NA,NA,205399,0.0945,NA,NA,NA,1419
2020-04-22,NA,NA,216783,0.0858,NA,NA,NA,1678
2020-04-23,NA,NA,225078,0.0825,NA,NA,NA,1649
2020-04-24,NA,NA,242547,0.0744,NA,NA,NA,1674
2020-04-25,NA,NA,262816,0.0637,NA,NA,NA,1597
2020-04-26,NA,NA,276021,0.0612,NA,NA,NA,1542
2020-04-27,NA,NA,290517,0.0583,NA,NA,NA,1563
2020-04-28,NA,NA,300384,0.0629,NA,NA,NA,1682
2020-04-29,NA,NA,314790,0.0610670666381,NA,NA,NA,1702
2020-04-30,NA,NA,330300,0.0583813270989,NA,NA,NA,1686
2020-05-01,NA,NA,351775,0.0588,NA,NA,NA,1778
2020-05-02,NA,NA,380648,0.0573,NA,NA,NA,1725
2020-05-03,NA,NA,390560,0.0604,NA,NA,NA,1540
2020-05-04,NA,NA,407398,0.0602,NA,NA,NA,1533
2020-05-05,NA,NA,427210,0.0567549240692,NA,NA,NA,1888
2020-05-06,NA,NA,438938,0.0593,NA,NA,NA,1812
2020-05-07,NA,NA,455162,0.0585,NA,NA,NA,1750
2020-05-08,NA,NA,477118,0.0589,NA,NA,NA,1734
