"Date","County","Race","Fully_Vaccinated","At_Least_One_Vaccinated","All_Vaccinated"
2021-02-14,"Anderson","Asian",4,NA,NA
2021-02-14,"Anderson","Black",15,NA,NA
2021-02-14,"Anderson","Hispanic",11,NA,NA
2021-02-14,"Anderson","White",209,NA,NA
2021-02-14,"Anderson","Other",45,NA,NA
2021-02-14,"Anderson","Unknown",172,NA,NA
2021-02-21,"Anderson","Asian",13,NA,NA
2021-02-21,"Anderson","Black",79,NA,NA
2021-02-21,"Anderson","Hispanic",45,NA,NA
2021-02-21,"Anderson","White",1108,NA,NA
2021-02-21,"Anderson","Other",83,NA,NA
2021-02-21,"Anderson","Unknown",217,NA,NA
2021-02-28,"Anderson","Asian",13,18,NA
2021-02-28,"Anderson","Black",100,193,NA
2021-02-28,"Anderson","Hispanic",50,81,NA
2021-02-28,"Anderson","White",1348,1896,NA
2021-02-28,"Anderson","Other",121,224,NA
2021-02-28,"Anderson","Unknown",267,756,NA
2021-03-07,"Anderson","Asian",13,22,NA
2021-03-07,"Anderson","Black",121,252,NA
2021-03-07,"Anderson","Hispanic",58,111,NA
2021-03-07,"Anderson","White",1589,2349,NA
2021-03-07,"Anderson","Other",129,243,NA
2021-03-07,"Anderson","Unknown",293,600,NA
2021-03-07,"Anderson","Asian",13,22,NA
2021-03-07,"Anderson","Black",121,252,NA
2021-03-07,"Anderson","Hispanic",58,111,NA
2021-03-07,"Anderson","White",1589,2349,NA
2021-03-07,"Anderson","Other",129,243,NA
2021-03-07,"Anderson","Unknown",293,600,NA
2021-02-14,"Andrews","Asian",4,NA,NA
2021-02-14,"Andrews","Black",4,NA,NA
2021-02-14,"Andrews","Hispanic",18,NA,NA
2021-02-14,"Andrews","White",180,NA,NA
2021-02-14,"Andrews","Other",9,NA,NA
2021-02-14,"Andrews","Unknown",406,NA,NA
2021-02-21,"Andrews","Asian",4,NA,NA
2021-02-21,"Andrews","Black",4,NA,NA
2021-02-21,"Andrews","Hispanic",32,NA,NA
2021-02-21,"Andrews","White",203,NA,NA
2021-02-21,"Andrews","Other",11,NA,NA
2021-02-21,"Andrews","Unknown",416,NA,NA
2021-02-28,"Andrews","Asian",7,18,NA
2021-02-28,"Andrews","Black",6,21,NA
2021-02-28,"Andrews","Hispanic",277,1133,NA
2021-02-28,"Andrews","White",854,1356,NA
2021-02-28,"Andrews","Other",31,69,NA
2021-02-28,"Andrews","Unknown",775,1179,NA
2021-03-07,"Andrews","Asian",9,18,NA
2021-03-07,"Andrews","Black",8,25,NA
2021-03-07,"Andrews","Hispanic",326,1439,NA
2021-03-07,"Andrews","White",897,1530,NA
2021-03-07,"Andrews","Other",32,73,NA
2021-03-07,"Andrews","Unknown",837,1217,NA
2021-03-07,"Andrews","Asian",9,18,NA
2021-03-07,"Andrews","Black",8,25,NA
2021-03-07,"Andrews","Hispanic",326,1439,NA
2021-03-07,"Andrews","White",897,1530,NA
2021-03-07,"Andrews","Other",32,73,NA
2021-03-07,"Andrews","Unknown",837,1217,NA
2021-02-14,"Angelina","Asian",12,NA,NA
2021-02-14,"Angelina","Black",86,NA,NA
2021-02-14,"Angelina","Hispanic",65,NA,NA
2021-02-14,"Angelina","White",985,NA,NA
2021-02-14,"Angelina","Other",207,NA,NA
2021-02-14,"Angelina","Unknown",2065,NA,NA
2021-02-21,"Angelina","Asian",18,NA,NA
2021-02-21,"Angelina","Black",127,NA,NA
2021-02-21,"Angelina","Hispanic",100,NA,NA
2021-02-21,"Angelina","White",1256,NA,NA
2021-02-21,"Angelina","Other",227,NA,NA
2021-02-21,"Angelina","Unknown",2727,NA,NA
2021-02-28,"Angelina","Asian",23,81,NA
2021-02-28,"Angelina","Black",188,924,NA
2021-02-28,"Angelina","Hispanic",169,640,NA
2021-02-28,"Angelina","White",1698,4242,NA
2021-02-28,"Angelina","Other",295,694,NA
2021-02-28,"Angelina","Unknown",3119,4046,NA
2021-03-07,"Angelina","Asian",38,101,NA
2021-03-07,"Angelina","Black",291,1218,NA
2021-03-07,"Angelina","Hispanic",254,932,NA
2021-03-07,"Angelina","White",2523,5390,NA
2021-03-07,"Angelina","Other",384,777,NA
2021-03-07,"Angelina","Unknown",3311,4066,NA
2021-03-07,"Angelina","Asian",38,101,NA
2021-03-07,"Angelina","Black",291,1218,NA
2021-03-07,"Angelina","Hispanic",254,932,NA
2021-03-07,"Angelina","White",2523,5390,NA
2021-03-07,"Angelina","Other",384,777,NA
2021-03-07,"Angelina","Unknown",3311,4066,NA
2021-02-14,"Aransas","Asian",6,NA,NA
2021-02-14,"Aransas","Black",2,NA,NA
2021-02-14,"Aransas","Hispanic",27,NA,NA
2021-02-14,"Aransas","White",260,NA,NA
2021-02-14,"Aransas","Other",19,NA,NA
2021-02-14,"Aransas","Unknown",109,NA,NA
2021-02-21,"Aransas","Asian",8,NA,NA
2021-02-21,"Aransas","Black",8,NA,NA
2021-02-21,"Aransas","Hispanic",78,NA,NA
2021-02-21,"Aransas","White",554,NA,NA
2021-02-21,"Aransas","Other",55,NA,NA
2021-02-21,"Aransas","Unknown",326,NA,NA
2021-02-28,"Aransas","Asian",11,18,NA
2021-02-28,"Aransas","Black",9,13,NA
2021-02-28,"Aransas","Hispanic",126,249,NA
2021-02-28,"Aransas","White",841,1801,NA
2021-02-28,"Aransas","Other",64,131,NA
2021-02-28,"Aransas","Unknown",689,1000,NA
2021-03-07,"Aransas","Asian",13,30,NA
2021-03-07,"Aransas","Black",9,15,NA
2021-03-07,"Aransas","Hispanic",187,304,NA
2021-03-07,"Aransas","White",1180,2190,NA
2021-03-07,"Aransas","Other",83,161,NA
2021-03-07,"Aransas","Unknown",758,1069,NA
2021-03-07,"Aransas","Asian",13,30,NA
2021-03-07,"Aransas","Black",9,15,NA
2021-03-07,"Aransas","Hispanic",187,304,NA
2021-03-07,"Aransas","White",1180,2190,NA
2021-03-07,"Aransas","Other",83,161,NA
2021-03-07,"Aransas","Unknown",758,1069,NA
2021-02-14,"Archer","Asian",1,NA,NA
2021-02-14,"Archer","Black",0,NA,NA
2021-02-14,"Archer","Hispanic",6,NA,NA
2021-02-14,"Archer","White",204,NA,NA
2021-02-14,"Archer","Other",24,NA,NA
2021-02-14,"Archer","Unknown",117,NA,NA
2021-02-21,"Archer","Asian",3,NA,NA
2021-02-21,"Archer","Black",1,NA,NA
2021-02-21,"Archer","Hispanic",7,NA,NA
2021-02-21,"Archer","White",306,NA,NA
2021-02-21,"Archer","Other",67,NA,NA
2021-02-21,"Archer","Unknown",238,NA,NA
2021-02-28,"Archer","Asian",3,3,NA
2021-02-28,"Archer","Black",1,4,NA
2021-02-28,"Archer","Hispanic",14,20,NA
2021-02-28,"Archer","White",544,740,NA
2021-02-28,"Archer","Other",82,195,NA
2021-02-28,"Archer","Unknown",303,446,NA
2021-03-07,"Archer","Asian",3,3,NA
2021-03-07,"Archer","Black",1,4,NA
2021-03-07,"Archer","Hispanic",16,27,NA
2021-03-07,"Archer","White",641,845,NA
2021-03-07,"Archer","Other",156,210,NA
2021-03-07,"Archer","Unknown",353,440,NA
2021-03-07,"Archer","Asian",3,3,NA
2021-03-07,"Archer","Black",1,4,NA
2021-03-07,"Archer","Hispanic",16,27,NA
2021-03-07,"Archer","White",641,845,NA
2021-03-07,"Archer","Other",156,210,NA
2021-03-07,"Archer","Unknown",353,440,NA
2021-02-14,"Armstrong","Asian",3,NA,NA
2021-02-14,"Armstrong","Black",0,NA,NA
2021-02-14,"Armstrong","Hispanic",1,NA,NA
2021-02-14,"Armstrong","White",31,NA,NA
2021-02-14,"Armstrong","Other",26,NA,NA
2021-02-14,"Armstrong","Unknown",61,NA,NA
2021-02-21,"Armstrong","Asian",3,NA,NA
2021-02-21,"Armstrong","Black",0,NA,NA
2021-02-21,"Armstrong","Hispanic",2,NA,NA
2021-02-21,"Armstrong","White",64,NA,NA
2021-02-21,"Armstrong","Other",29,NA,NA
2021-02-21,"Armstrong","Unknown",113,NA,NA
2021-02-28,"Armstrong","Asian",3,4,NA
2021-02-28,"Armstrong","Black",0,2,NA
2021-02-28,"Armstrong","Hispanic",3,6,NA
2021-02-28,"Armstrong","White",89,146,NA
2021-02-28,"Armstrong","Other",29,44,NA
2021-02-28,"Armstrong","Unknown",117,153,NA
2021-03-07,"Armstrong","Asian",3,3,NA
2021-03-07,"Armstrong","Black",0,2,NA
2021-03-07,"Armstrong","Hispanic",4,12,NA
2021-03-07,"Armstrong","White",109,200,NA
2021-03-07,"Armstrong","Other",29,45,NA
2021-03-07,"Armstrong","Unknown",128,149,NA
2021-03-07,"Armstrong","Asian",3,3,NA
2021-03-07,"Armstrong","Black",0,2,NA
2021-03-07,"Armstrong","Hispanic",4,12,NA
2021-03-07,"Armstrong","White",109,200,NA
2021-03-07,"Armstrong","Other",29,45,NA
2021-03-07,"Armstrong","Unknown",128,149,NA
2021-02-14,"Atascosa","Asian",3,NA,NA
2021-02-14,"Atascosa","Black",6,NA,NA
2021-02-14,"Atascosa","Hispanic",264,NA,NA
2021-02-14,"Atascosa","White",391,NA,NA
2021-02-14,"Atascosa","Other",81,NA,NA
2021-02-14,"Atascosa","Unknown",333,NA,NA
2021-02-21,"Atascosa","Asian",8,NA,NA
2021-02-21,"Atascosa","Black",6,NA,NA
2021-02-21,"Atascosa","Hispanic",367,NA,NA
2021-02-21,"Atascosa","White",489,NA,NA
2021-02-21,"Atascosa","Other",95,NA,NA
2021-02-21,"Atascosa","Unknown",501,NA,NA
2021-02-28,"Atascosa","Asian",19,25,NA
2021-02-28,"Atascosa","Black",6,10,NA
2021-02-28,"Atascosa","Hispanic",582,1259,NA
2021-02-28,"Atascosa","White",598,1293,NA
2021-02-28,"Atascosa","Other",148,316,NA
2021-02-28,"Atascosa","Unknown",1028,1515,NA
2021-03-07,"Atascosa","Asian",21,32,NA
2021-03-07,"Atascosa","Black",6,14,NA
2021-03-07,"Atascosa","Hispanic",806,1760,NA
2021-03-07,"Atascosa","White",731,1655,NA
2021-03-07,"Atascosa","Other",169,402,NA
2021-03-07,"Atascosa","Unknown",1096,1431,NA
2021-03-07,"Atascosa","Asian",21,32,NA
2021-03-07,"Atascosa","Black",6,14,NA
2021-03-07,"Atascosa","Hispanic",806,1760,NA
2021-03-07,"Atascosa","White",731,1655,NA
2021-03-07,"Atascosa","Other",169,402,NA
2021-03-07,"Atascosa","Unknown",1096,1431,NA
2021-02-14,"Austin","Asian",13,NA,NA
2021-02-14,"Austin","Black",17,NA,NA
2021-02-14,"Austin","Hispanic",23,NA,NA
2021-02-14,"Austin","White",249,NA,NA
2021-02-14,"Austin","Other",19,NA,NA
2021-02-14,"Austin","Unknown",477,NA,NA
2021-02-21,"Austin","Asian",5,NA,NA
2021-02-21,"Austin","Black",27,NA,NA
2021-02-21,"Austin","Hispanic",34,NA,NA
2021-02-21,"Austin","White",438,NA,NA
2021-02-21,"Austin","Other",69,NA,NA
2021-02-21,"Austin","Unknown",563,NA,NA
2021-02-28,"Austin","Asian",7,78,NA
2021-02-28,"Austin","Black",52,178,NA
2021-02-28,"Austin","Hispanic",63,191,NA
2021-02-28,"Austin","White",711,1596,NA
2021-02-28,"Austin","Other",110,652,NA
2021-02-28,"Austin","Unknown",727,2202,NA
2021-03-07,"Austin","Asian",8,26,NA
2021-03-07,"Austin","Black",75,185,NA
2021-03-07,"Austin","Hispanic",90,352,NA
2021-03-07,"Austin","White",950,2032,NA
2021-03-07,"Austin","Other",170,643,NA
2021-03-07,"Austin","Unknown",790,2815,NA
2021-03-07,"Austin","Asian",8,26,NA
2021-03-07,"Austin","Black",75,185,NA
2021-03-07,"Austin","Hispanic",90,352,NA
2021-03-07,"Austin","White",950,2032,NA
2021-03-07,"Austin","Other",170,643,NA
2021-03-07,"Austin","Unknown",790,2815,NA
2021-02-14,"Bailey","Hispanic",1,NA,NA
2021-02-14,"Bailey","White",13,NA,NA
2021-02-14,"Bailey","Other",0,NA,NA
2021-02-14,"Bailey","Unknown",120,NA,NA
2021-02-21,"Bailey","Hispanic",23,NA,NA
2021-02-21,"Bailey","White",35,NA,NA
2021-02-21,"Bailey","Other",2,NA,NA
2021-02-21,"Bailey","Unknown",1046,NA,NA
2021-02-28,"Bailey","Asian",0,3,NA
2021-02-28,"Bailey","Black",0,1,NA
2021-02-28,"Bailey","Hispanic",63,174,NA
2021-02-28,"Bailey","White",63,114,NA
2021-02-28,"Bailey","Other",3,8,NA
2021-02-28,"Bailey","Unknown",1057,1188,NA
2021-03-07,"Bailey","Asian",0,5,NA
2021-03-07,"Bailey","Black",0,1,NA
2021-03-07,"Bailey","Hispanic",73,288,NA
2021-03-07,"Bailey","White",74,149,NA
2021-03-07,"Bailey","Other",3,19,NA
2021-03-07,"Bailey","Unknown",1064,1194,NA
2021-03-07,"Bailey","Asian",0,5,NA
2021-03-07,"Bailey","Black",0,1,NA
2021-03-07,"Bailey","Hispanic",73,288,NA
2021-03-07,"Bailey","White",74,149,NA
2021-03-07,"Bailey","Other",3,19,NA
2021-03-07,"Bailey","Unknown",1064,1194,NA
2021-02-14,"Bandera","Asian",3,NA,NA
2021-02-14,"Bandera","Black",0,NA,NA
2021-02-14,"Bandera","Hispanic",20,NA,NA
2021-02-14,"Bandera","White",147,NA,NA
2021-02-14,"Bandera","Other",17,NA,NA
2021-02-14,"Bandera","Unknown",205,NA,NA
2021-02-21,"Bandera","Asian",4,NA,NA
2021-02-21,"Bandera","Black",9,NA,NA
2021-02-21,"Bandera","Hispanic",35,NA,NA
2021-02-21,"Bandera","White",355,NA,NA
2021-02-21,"Bandera","Other",34,NA,NA
2021-02-21,"Bandera","Unknown",257,NA,NA
2021-02-28,"Bandera","Asian",5,12,NA
2021-02-28,"Bandera","Black",10,93,NA
2021-02-28,"Bandera","Hispanic",72,153,NA
2021-02-28,"Bandera","White",495,1487,NA
2021-02-28,"Bandera","Other",50,116,NA
2021-02-28,"Bandera","Unknown",390,651,NA
2021-03-07,"Bandera","Asian",5,21,NA
2021-03-07,"Bandera","Black",6,127,NA
2021-03-07,"Bandera","Hispanic",130,222,NA
2021-03-07,"Bandera","White",969,1966,NA
2021-03-07,"Bandera","Other",72,185,NA
2021-03-07,"Bandera","Unknown",426,680,NA
2021-03-07,"Bandera","Asian",5,21,NA
2021-03-07,"Bandera","Black",6,127,NA
2021-03-07,"Bandera","Hispanic",130,222,NA
2021-03-07,"Bandera","White",969,1966,NA
2021-03-07,"Bandera","Other",72,185,NA
2021-03-07,"Bandera","Unknown",426,680,NA
2021-02-14,"Bastrop","Asian",10,NA,NA
2021-02-14,"Bastrop","Black",33,NA,NA
2021-02-14,"Bastrop","Hispanic",128,NA,NA
2021-02-14,"Bastrop","White",536,NA,NA
2021-02-14,"Bastrop","Other",93,NA,NA
2021-02-14,"Bastrop","Unknown",479,NA,NA
2021-02-21,"Bastrop","Asian",19,NA,NA
2021-02-21,"Bastrop","Black",54,NA,NA
2021-02-21,"Bastrop","Hispanic",206,NA,NA
2021-02-21,"Bastrop","White",766,NA,NA
2021-02-21,"Bastrop","Other",147,NA,NA
2021-02-21,"Bastrop","Unknown",881,NA,NA
2021-02-28,"Bastrop","Asian",22,30,NA
2021-02-28,"Bastrop","Black",69,145,NA
2021-02-28,"Bastrop","Hispanic",327,618,NA
2021-02-28,"Bastrop","White",968,1818,NA
2021-02-28,"Bastrop","Other",200,504,NA
2021-02-28,"Bastrop","Unknown",1160,3473,NA
2021-03-07,"Bastrop","Asian",22,37,NA
2021-03-07,"Bastrop","Black",85,193,NA
2021-03-07,"Bastrop","Hispanic",416,985,NA
2021-03-07,"Bastrop","White",1224,2583,NA
2021-03-07,"Bastrop","Other",249,609,NA
2021-03-07,"Bastrop","Unknown",1561,3851,NA
2021-03-07,"Bastrop","Asian",22,37,NA
2021-03-07,"Bastrop","Black",85,193,NA
2021-03-07,"Bastrop","Hispanic",416,985,NA
2021-03-07,"Bastrop","White",1224,2583,NA
2021-03-07,"Bastrop","Other",249,609,NA
2021-03-07,"Bastrop","Unknown",1561,3851,NA
2021-02-14,"Baylor","Asian",0,NA,NA
2021-02-14,"Baylor","Black",0,NA,NA
2021-02-14,"Baylor","Hispanic",4,NA,NA
2021-02-14,"Baylor","White",71,NA,NA
2021-02-14,"Baylor","Other",5,NA,NA
2021-02-14,"Baylor","Unknown",135,NA,NA
2021-02-21,"Baylor","Asian",0,NA,NA
2021-02-21,"Baylor","Black",4,NA,NA
2021-02-21,"Baylor","Hispanic",6,NA,NA
2021-02-21,"Baylor","White",143,NA,NA
2021-02-21,"Baylor","Other",13,NA,NA
2021-02-21,"Baylor","Unknown",512,NA,NA
2021-02-28,"Baylor","Asian",0,2,NA
2021-02-28,"Baylor","Black",4,5,NA
2021-02-28,"Baylor","Hispanic",6,20,NA
2021-02-28,"Baylor","White",150,274,NA
2021-02-28,"Baylor","Other",14,20,NA
2021-02-28,"Baylor","Unknown",521,560,NA
2021-03-07,"Baylor","Asian",0,2,NA
2021-03-07,"Baylor","Black",4,5,NA
2021-03-07,"Baylor","Hispanic",9,20,NA
2021-03-07,"Baylor","White",152,305,NA
2021-03-07,"Baylor","Other",14,22,NA
2021-03-07,"Baylor","Unknown",522,558,NA
2021-03-07,"Baylor","Asian",0,2,NA
2021-03-07,"Baylor","Black",4,5,NA
2021-03-07,"Baylor","Hispanic",9,20,NA
2021-03-07,"Baylor","White",152,305,NA
2021-03-07,"Baylor","Other",14,22,NA
2021-03-07,"Baylor","Unknown",522,558,NA
2021-02-14,"Bee","Asian",8,NA,NA
2021-02-14,"Bee","Black",7,NA,NA
2021-02-14,"Bee","Hispanic",206,NA,NA
2021-02-14,"Bee","White",163,NA,NA
2021-02-14,"Bee","Other",104,NA,NA
2021-02-14,"Bee","Unknown",278,NA,NA
2021-02-21,"Bee","Asian",18,NA,NA
2021-02-21,"Bee","Black",15,NA,NA
2021-02-21,"Bee","Hispanic",387,NA,NA
2021-02-21,"Bee","White",710,NA,NA
2021-02-21,"Bee","Other",142,NA,NA
2021-02-21,"Bee","Unknown",1644,NA,NA
2021-02-28,"Bee","Asian",30,49,NA
2021-02-28,"Bee","Black",32,44,NA
2021-02-28,"Bee","Hispanic",937,1447,NA
2021-02-28,"Bee","White",1079,1465,NA
2021-02-28,"Bee","Other",227,281,NA
2021-02-28,"Bee","Unknown",2479,2784,NA
2021-03-07,"Bee","Asian",34,52,NA
2021-03-07,"Bee","Black",37,54,NA
2021-03-07,"Bee","Hispanic",1137,1683,NA
2021-03-07,"Bee","White",1203,1570,NA
2021-03-07,"Bee","Other",234,293,NA
2021-03-07,"Bee","Unknown",2502,2784,NA
2021-03-07,"Bee","Asian",34,52,NA
2021-03-07,"Bee","Black",37,54,NA
2021-03-07,"Bee","Hispanic",1137,1683,NA
2021-03-07,"Bee","White",1203,1570,NA
2021-03-07,"Bee","Other",234,293,NA
2021-03-07,"Bee","Unknown",2502,2784,NA
2021-02-14,"Bell","Asian",231,NA,NA
2021-02-14,"Bell","Black",488,NA,NA
2021-02-14,"Bell","Hispanic",738,NA,NA
2021-02-14,"Bell","White",4158,NA,NA
2021-02-14,"Bell","Other",612,NA,NA
2021-02-14,"Bell","Unknown",2517,NA,NA
2021-02-21,"Bell","Asian",263,NA,NA
2021-02-21,"Bell","Black",578,NA,NA
2021-02-21,"Bell","Hispanic",842,NA,NA
2021-02-21,"Bell","White",5158,NA,NA
2021-02-21,"Bell","Other",801,NA,NA
2021-02-21,"Bell","Unknown",3874,NA,NA
2021-02-28,"Bell","Asian",300,526,NA
2021-02-28,"Bell","Black",724,1392,NA
2021-02-28,"Bell","Hispanic",1013,1750,NA
2021-02-28,"Bell","White",6446,10153,NA
2021-02-28,"Bell","Other",1062,2189,NA
2021-02-28,"Bell","Unknown",6620,10236,NA
2021-03-07,"Bell","Asian",399,723,NA
2021-03-07,"Bell","Black",955,2021,NA
2021-03-07,"Bell","Hispanic",1248,2437,NA
2021-03-07,"Bell","White",7817,13787,NA
2021-03-07,"Bell","Other",1415,2372,NA
2021-03-07,"Bell","Unknown",7655,10305,NA
2021-03-07,"Bell","Asian",399,723,NA
2021-03-07,"Bell","Black",955,2021,NA
2021-03-07,"Bell","Hispanic",1248,2437,NA
2021-03-07,"Bell","White",7817,13787,NA
2021-03-07,"Bell","Other",1415,2372,NA
2021-03-07,"Bell","Unknown",7655,10305,NA
2021-02-14,"Bexar","Asian",2381,NA,NA
2021-02-14,"Bexar","Black",1570,NA,NA
2021-02-14,"Bexar","Hispanic",13460,NA,NA
2021-02-14,"Bexar","White",18628,NA,NA
2021-02-14,"Bexar","Other",4843,NA,NA
2021-02-14,"Bexar","Unknown",21164,NA,NA
2021-02-21,"Bexar","Asian",3040,NA,NA
2021-02-21,"Bexar","Black",2430,NA,NA
2021-02-21,"Bexar","Hispanic",25482,NA,NA
2021-02-21,"Bexar","White",28249,NA,NA
2021-02-21,"Bexar","Other",6884,NA,NA
2021-02-21,"Bexar","Unknown",33410,NA,NA
2021-02-28,"Bexar","Asian",3786,5884,NA
2021-02-28,"Bexar","Black",3420,6724,NA
2021-02-28,"Bexar","Hispanic",41056,78024,NA
2021-02-28,"Bexar","White",38069,69322,NA
2021-02-28,"Bexar","Other",9212,18716,NA
2021-02-28,"Bexar","Unknown",40185,63736,NA
2021-03-07,"Bexar","Asian",4508,7106,NA
2021-03-07,"Bexar","Black",4515,8764,NA
2021-03-07,"Bexar","Hispanic",58475,102266,NA
2021-03-07,"Bexar","White",50366,86951,NA
2021-03-07,"Bexar","Other",12160,24073,NA
2021-03-07,"Bexar","Unknown",42874,61465,NA
2021-03-07,"Bexar","Asian",4508,7106,NA
2021-03-07,"Bexar","Black",4515,8764,NA
2021-03-07,"Bexar","Hispanic",58475,102266,NA
2021-03-07,"Bexar","White",50366,86951,NA
2021-03-07,"Bexar","Other",12160,24073,NA
2021-03-07,"Bexar","Unknown",42874,61465,NA
2021-02-14,"Blanco","Asian",6,NA,NA
2021-02-14,"Blanco","Black",11,NA,NA
2021-02-14,"Blanco","Hispanic",22,NA,NA
2021-02-14,"Blanco","White",574,NA,NA
2021-02-14,"Blanco","Other",21,NA,NA
2021-02-14,"Blanco","Unknown",119,NA,NA
2021-02-21,"Blanco","Asian",3,NA,NA
2021-02-21,"Blanco","Black",1,NA,NA
2021-02-21,"Blanco","Hispanic",9,NA,NA
2021-02-21,"Blanco","White",158,NA,NA
2021-02-21,"Blanco","Other",12,NA,NA
2021-02-21,"Blanco","Unknown",148,NA,NA
2021-02-28,"Blanco","Asian",3,7,NA
2021-02-28,"Blanco","Black",1,2,NA
2021-02-28,"Blanco","Hispanic",19,71,NA
2021-02-28,"Blanco","White",298,961,NA
2021-02-28,"Blanco","Other",25,58,NA
2021-02-28,"Blanco","Unknown",344,528,NA
2021-03-07,"Blanco","Asian",4,12,NA
2021-03-07,"Blanco","Black",1,4,NA
2021-03-07,"Blanco","Hispanic",33,99,NA
2021-03-07,"Blanco","White",434,1262,NA
2021-03-07,"Blanco","Other",38,82,NA
2021-03-07,"Blanco","Unknown",382,521,NA
2021-03-07,"Blanco","Asian",4,12,NA
2021-03-07,"Blanco","Black",1,4,NA
2021-03-07,"Blanco","Hispanic",33,99,NA
2021-03-07,"Blanco","White",434,1262,NA
2021-03-07,"Blanco","Other",38,82,NA
2021-03-07,"Blanco","Unknown",382,521,NA
2021-02-14,"Borden","Hispanic",0,NA,NA
2021-02-14,"Borden","White",6,NA,NA
2021-02-14,"Borden","Other",0,NA,NA
2021-02-14,"Borden","Unknown",3,NA,NA
2021-02-21,"Borden","Hispanic",0,NA,NA
2021-02-21,"Borden","White",17,NA,NA
2021-02-21,"Borden","Other",1,NA,NA
2021-02-21,"Borden","Unknown",6,NA,NA
2021-02-28,"Borden","Hispanic",0,2,NA
2021-02-28,"Borden","White",28,63,NA
2021-02-28,"Borden","Other",3,6,NA
2021-02-28,"Borden","Unknown",7,13,NA
2021-03-07,"Borden","Hispanic",1,4,NA
2021-03-07,"Borden","White",34,75,NA
2021-03-07,"Borden","Other",5,7,NA
2021-03-07,"Borden","Unknown",7,15,NA
2021-03-07,"Borden","Hispanic",1,4,NA
2021-03-07,"Borden","White",34,75,NA
2021-03-07,"Borden","Other",5,7,NA
2021-03-07,"Borden","Unknown",7,15,NA
2021-02-14,"Bosque","Asian",0,NA,NA
2021-02-14,"Bosque","Black",2,NA,NA
2021-02-14,"Bosque","Hispanic",14,NA,NA
2021-02-14,"Bosque","White",211,NA,NA
2021-02-14,"Bosque","Other",9,NA,NA
2021-02-14,"Bosque","Unknown",87,NA,NA
2021-02-21,"Bosque","Asian",1,NA,NA
2021-02-21,"Bosque","Black",6,NA,NA
2021-02-21,"Bosque","Hispanic",49,NA,NA
2021-02-21,"Bosque","White",757,NA,NA
2021-02-21,"Bosque","Other",100,NA,NA
2021-02-21,"Bosque","Unknown",222,NA,NA
2021-02-28,"Bosque","Asian",1,2,NA
2021-02-28,"Bosque","Black",10,14,NA
2021-02-28,"Bosque","Hispanic",62,109,NA
2021-02-28,"Bosque","White",910,1417,NA
2021-02-28,"Bosque","Other",117,176,NA
2021-02-28,"Bosque","Unknown",291,434,NA
2021-03-07,"Bosque","Asian",1,4,NA
2021-03-07,"Bosque","Black",10,16,NA
2021-03-07,"Bosque","Hispanic",77,133,NA
2021-03-07,"Bosque","White",1071,1752,NA
2021-03-07,"Bosque","Other",136,214,NA
2021-03-07,"Bosque","Unknown",344,815,NA
2021-03-07,"Bosque","Asian",1,4,NA
2021-03-07,"Bosque","Black",10,16,NA
2021-03-07,"Bosque","Hispanic",77,133,NA
2021-03-07,"Bosque","White",1071,1752,NA
2021-03-07,"Bosque","Other",136,214,NA
2021-03-07,"Bosque","Unknown",344,815,NA
2021-02-14,"Bowie","Asian",68,NA,NA
2021-02-14,"Bowie","Black",92,NA,NA
2021-02-14,"Bowie","Hispanic",20,NA,NA
2021-02-14,"Bowie","White",1115,NA,NA
2021-02-14,"Bowie","Other",377,NA,NA
2021-02-14,"Bowie","Unknown",196,NA,NA
2021-02-21,"Bowie","Asian",82,NA,NA
2021-02-21,"Bowie","Black",159,NA,NA
2021-02-21,"Bowie","Hispanic",26,NA,NA
2021-02-21,"Bowie","White",1738,NA,NA
2021-02-21,"Bowie","Other",443,NA,NA
2021-02-21,"Bowie","Unknown",402,NA,NA
2021-02-28,"Bowie","Asian",84,107,NA
2021-02-28,"Bowie","Black",189,395,NA
2021-02-28,"Bowie","Hispanic",28,56,NA
2021-02-28,"Bowie","White",1939,3105,NA
2021-02-28,"Bowie","Other",498,692,NA
2021-02-28,"Bowie","Unknown",677,1430,NA
2021-03-07,"Bowie","Asian",89,147,NA
2021-03-07,"Bowie","Black",255,720,NA
2021-03-07,"Bowie","Hispanic",35,164,NA
2021-03-07,"Bowie","White",2305,4319,NA
2021-03-07,"Bowie","Other",516,762,NA
2021-03-07,"Bowie","Unknown",1013,1552,NA
2021-03-07,"Bowie","Asian",89,147,NA
2021-03-07,"Bowie","Black",255,720,NA
2021-03-07,"Bowie","Hispanic",35,164,NA
2021-03-07,"Bowie","White",2305,4319,NA
2021-03-07,"Bowie","Other",516,762,NA
2021-03-07,"Bowie","Unknown",1013,1552,NA
2021-02-14,"Brazoria","Asian",2047,NA,NA
2021-02-14,"Brazoria","Black",1087,NA,NA
2021-02-14,"Brazoria","Hispanic",518,NA,NA
2021-02-14,"Brazoria","White",2898,NA,NA
2021-02-14,"Brazoria","Other",1226,NA,NA
2021-02-14,"Brazoria","Unknown",3260,NA,NA
2021-02-21,"Brazoria","Asian",3476,NA,NA
2021-02-21,"Brazoria","Black",1840,NA,NA
2021-02-21,"Brazoria","Hispanic",1182,NA,NA
2021-02-21,"Brazoria","White",5678,NA,NA
2021-02-21,"Brazoria","Other",2261,NA,NA
2021-02-21,"Brazoria","Unknown",4826,NA,NA
