Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2021-03-01,75234,5988,3920,2068
2021-03-01,75235,6254,3601,2653
2021-03-01,75236,1563,1014,549
2021-03-01,75237,1334,890,444
2021-03-01,75238,6958,4604,2354
2021-03-01,75240,3349,2180,1169
2021-03-01,75241,3506,2355,1151
2021-03-01,75242,55,33,22
2021-03-01,75243,9403,6414,2989
2021-03-01,75244,3728,2446,1282
2021-03-01,75246,591,375,216
2021-03-01,75247,255,158,97
2021-03-01,75248,11566,7690,3876
2021-03-01,75249,1710,1153,557
2021-03-01,75250,12,10,NA
2021-03-01,75251,1081,626,455
2021-03-01,75252,9026,5652,3374
2021-03-01,75253,1316,882,434
2021-03-01,75254,3572,2297,1275
2021-03-01,75260,NA,NA,NA
2021-03-01,75261,32,20,12
2021-03-01,75262,7,6,NA
2021-03-01,75263,NA,NA,NA
2021-03-01,75264,NA,NA,NA
2021-03-01,75265,NA,NA,NA
2021-03-01,75266,19,13,6
2021-03-01,75267,NA,NA,NA
2021-03-01,75270,8,6,NA
2021-03-01,75275,7,6,NA
2021-03-01,75277,6,NA,NA
2021-03-01,75283,NA,NA,NA
2021-03-01,75284,NA,NA,NA
2021-03-01,75285,NA,NA,NA
2021-03-01,75287,6857,4619,2238
2021-03-01,75312,NA,NA,NA
2021-03-01,75313,27,17,10
2021-03-01,75315,21,17,NA
2021-03-01,75320,NA,NA,NA
2021-03-01,75336,15,10,NA
2021-03-01,75339,18,11,7
2021-03-01,75342,NA,NA,NA
2021-03-01,75354,25,16,9
2021-03-01,75355,14,9,NA
2021-03-01,75356,19,12,7
2021-03-01,75357,29,19,10
2021-03-01,75360,52,36,16
2021-03-01,75367,56,33,23
2021-03-01,75370,31,22,9
2021-03-01,75372,6,NA,NA
2021-03-01,75374,27,15,12
2021-03-01,75376,45,29,16
2021-03-01,75378,NA,NA,NA
2021-03-01,75379,71,46,25
2021-03-01,75380,68,41,27
2021-03-01,75381,25,15,10
2021-03-01,75382,44,25,19
2021-03-01,75390,50,26,24
2021-03-01,75393,NA,NA,NA
2021-03-01,75395,NA,NA,NA
2021-03-01,75401,1960,1194,766
2021-03-01,75402,3920,2361,1559
2021-03-01,75403,43,29,14
2021-03-01,75404,54,34,20
2021-03-01,75407,2530,1738,792
2021-03-01,75409,2691,1801,890
2021-03-01,75410,659,479,180
2021-03-01,75411,224,152,72
2021-03-01,75412,122,87,35
2021-03-01,75413,40,24,16
2021-03-01,75414,545,346,199
2021-03-01,75415,30,20,10
2021-03-01,75416,602,404,198
2021-03-01,75417,438,302,136
2021-03-01,75418,2515,1600,915
2021-03-01,75420,158,102,56
2021-03-01,75421,187,129,58
2021-03-01,75422,519,311,208
2021-03-01,75423,409,254,155
2021-03-01,75424,451,314,137
2021-03-01,75425,16,11,NA
2021-03-01,75426,1021,686,335
2021-03-01,75428,1116,706,410
2021-03-01,75429,88,58,30
2021-03-01,75431,158,111,47
2021-03-01,75432,564,374,190
2021-03-01,75433,316,216,100
2021-03-01,75434,23,17,6
2021-03-01,75435,177,132,45
2021-03-01,75436,290,206,84
2021-03-01,75437,123,79,44
2021-03-01,75438,277,167,110
2021-03-01,75439,164,102,62
2021-03-01,75440,929,651,278
2021-03-01,75441,18,15,NA
2021-03-01,75442,1492,1056,436
2021-03-01,75443,18,9,9
2021-03-01,75444,30,24,6
2021-03-01,75446,1123,607,516
2021-03-01,75447,222,140,82
2021-03-01,75448,95,58,37
2021-03-01,75449,165,104,61
2021-03-01,75450,47,30,17
2021-03-01,75451,134,96,38
2021-03-01,75452,662,421,241
2021-03-01,75453,482,306,176
2021-03-01,75454,2200,1485,715
2021-03-01,75455,3364,2274,1090
