ZIPCODE,date,pop,Spline_PR,Spline_PR_se,Spline_PR_cl,Spline_PR_cu,Spline_WW_weight,Spline_WW_weight_Percent_10,Spline_PR_label,full_unvax,unvax_diff
77062,2022-03-07,26358,0.0442947498152094,0.011346408647238,0.0216019325207335,0.0669875671096854,10.73806805068,35,4.42947498152094,36,-0.1
77062,2022-03-14,26358,0.0252821054845287,0.012319739193257,0.0006426270980145,0.0499215838710428,10.6494923059761,28,2.52821054845287,36,0
77062,2022-03-21,26358,0.0157227990381367,0.0120658298363531,-0.0084088606345695,0.0398544587108429,10.5924598140584,25,1.57227990381367,36,0
77062,2022-03-28,26358,0.0153999535378888,0.010902918421537,-0.0064058833051851,0.0372057903809628,10.5783309202191,24,1.53999535378888,35,-0.3
77062,2022-04-04,26358,0.0230275749135368,0.0101687430644157,0.0026900887847053,0.0433650610423682,10.6184659697503,26,2.30275749135368,35,0
77062,2022-04-11,26358,0.0373035167158412,0.0107209700363055,0.0158615766432302,0.0587454567884521,10.7242253079444,34,3.73035167158412,35,0
77062,2022-04-18,26358,0.0569256324955622,0.0119098434226617,0.0331059456502388,0.0807453193408856,10.9008462608663,51,5.69256324955622,35,0
77062,2022-04-25,26358,0.0805921043017369,0.0123788371799645,0.055834429941808,0.105349778661666,11.1290740776737,86,8.05921043017369,35,-0.4
77062,2022-05-02,26358,0.107124983697518,0.0115441771079143,0.0840366294816898,0.130213337913347,11.383530988297,154,10.7124983697518,35,0
77062,2022-05-09,26358,0.135655788153535,0.01041504155382,0.114825705045895,0.156485871261175,11.6388392226667,277,13.5655788153535,35,0
77062,2022-05-16,26358,0.165363569867562,0.0102787937866321,0.144805982294298,0.185921157440826,11.8696210107132,472,16.5363569867562,35,0
77062,2022-05-23,26358,0.195427381037374,0.0112971869033432,0.172833007230688,0.218021754844061,12.0529580940904,720,19.5427381037374,35,0
77062,2022-05-30,26358,0.225026273860747,0.0123000556093305,0.200426162642086,0.249626385079408,12.1854648964758,976,22.5026273860747,35,-0.2
77062,2022-06-06,26358,0.253340646293193,0.0121014222652108,0.229137801762772,0.277543490823615,12.2730704355076,1195,25.3340646293193,35,0
77062,2022-06-13,26358,0.279568157538829,0.0109505714070915,0.257667014724646,0.301469300353012,12.3217610935291,1336,27.9568157538829,35,0
77062,2022-06-20,26358,0.302918422229644,0.0101755141927558,0.282567393844132,0.323269450615156,12.3375232528833,1386,30.2918422229644,35,0
77062,2022-06-27,26358,0.322601294513593,0.0106803681319827,0.301240558249627,0.343962030777558,12.326571690765,1351,32.2601294513593,34,-0.2
77062,2022-07-04,26358,0.337826628538629,0.0118703327171235,0.314085963104382,0.361567293972876,12.2974921832165,1264,33.7826628538629,34,0
77062,2022-07-11,26358,0.347804465201145,0.0123893328499214,0.323025799501302,0.372583130900988,12.2602752697491,1160,34.7804465201145,34,0
77062,2022-07-18,26358,0.351895931800202,0.0115926911801568,0.328710549439889,0.375081314160516,12.2249298801848,1069,35.1895931800202,34,0
77062,2022-07-25,26358,0.349885666508416,0.0104490878090461,0.328987490890324,0.370783842126508,12.2014649443463,1013,34.9885666508416,34,0
77062,2022-08-01,26358,0.341631955548924,0.0102633360614929,0.321105283425938,0.36215862767191,12.1987208328374,1007,34.1631955548924,34,0
77062,2022-08-08,26358,0.326993085144865,0.0112568600749151,0.304479364995035,0.349506805294695,12.2093068042432,1032,32.6993085144865,34,0
77062,2022-08-15,26358,0.305827341519377,0.0122860173890321,0.281255306741312,0.330399376297441,12.2139491943014,1043,30.5827341519377,34,0
77062,2022-08-22,26358,0.278087431984383,0.0121378929323731,0.253811646119637,0.302363217849129,12.1931020117944,994,27.8087431984383,34,0
77062,2022-08-29,26358,0.24513888310624,0.0109991939506263,0.223140495204988,0.267137271007493,12.1272192655051,854,24.513888310624,34,0
77062,2022-09-05,26358,0.209434812511026,0.0101946682726372,0.189045475965752,0.229824149056301,11.9979811784004,634,20.9434812511026,34,0
77062,2022-09-12,26358,0.173456314443718,0.0106672635721508,0.152121787299416,0.19479084158802,11.8106368745528,412,17.3456314443718,34,0
77062,2022-09-19,26358,0.139684483149294,0.0118611202259406,0.115962242697412,0.163406723601175,11.5916855726765,249,13.9684483149294,34,0
77062,2022-09-26,26358,0.110600179529459,0.0124164322361881,0.0857673150570825,0.135433044001835,11.3683873844672,149,11.0600179529459,33,-1
77062,2022-10-03,26358,0.0881110859058114,0.0116419950816978,0.0648270957424158,0.111395076069207,11.1680024216205,94,8.81110859058114,33,0
77062,2022-10-10,26358,0.0723186910019354,0.0104966712504197,0.051325348501096,0.0933120335027748,11.0173354309802,66,7.23186910019354,33,0
77062,2022-10-17,26358,0.0629695975923953,0.0103137872047988,0.0423420231827976,0.0835971720019929,10.9304738043434,54,6.29695975923953,33,0
77062,2022-10-24,26358,0.0598104084517554,0.0113240303242064,0.0371623478033425,0.0824584691001683,10.9073998629899,51,5.98104084517554,33,-0.2
77062,2022-10-31,26358,0.0625877263545803,0.0123645679830148,0.0378585903885507,0.0873168623206098,10.9473620867081,56,6.25877263545803,33,0
77062,2022-11-07,26358,0.0710233152773193,0.0122038957242515,0.0466155238288164,0.0954311067258223,11.0496089552863,71,7.10233152773193,33,0
77062,2022-11-14,26358,0.0844013364204496,0.0110525624171119,0.0622962115862259,0.106506461254673,11.2131072514277,104,8.44013364204496,33,0
77062,2022-11-21,26358,0.101631812061822,0.0103386467160906,0.080954518629641,0.122309105494004,11.4245319715546,169,10.1631812061822,33,0
77062,2022-11-28,26358,0.121612716213877,0.0109712418034394,0.0996702326069979,0.143555199820755,11.653768525671,287,12.1612716213877,33,-0.1
77062,2022-12-05,26358,0.143242022889052,0.0122213377091479,0.118799347470756,0.167684698307348,11.869493557188,472,14.3242022889052,33,0
77062,2022-12-12,26358,0.165417695413718,0.0126566100480281,0.140104475317661,0.190730915509774,12.0403837095165,699,16.5417695413717,33,0
77062,2022-12-19,26358,0.186849921500466,0.0117104123084375,0.163429096883591,0.210270746117341,12.1353907705619,870,18.6849921500466,33,0
77062,2022-12-26,26358,0.205582580368499,0.0107826959778322,0.184017188412835,0.227147972324164,12.1444837326656,889,20.5582580368499,33,0
77062,2023-01-02,26358,0.219511827011838,0.0113252992443426,0.196861228523153,0.242162425500523,12.0931050102991,789,21.9511827011838,33,-0.2
77062,2023-01-09,26358,0.226533816424505,0.0128647669417964,0.200804282540912,0.252263350308098,12.0101141208069,652,22.6533816424505,33,0
77062,2023-01-16,26358,0.224544703600522,0.0137249870815951,0.197094729437332,0.251994677763712,11.924370581534,535,22.4544703600522,33,0
