"Date","TSA","TSA_Name","TSA_Combined","Population_DSHS","Ventilators_Available","Hospitalizations_Total","Hospitalizations_General","Hospitalizations_ICU","Beds_Available_Total","Beds_Occupied_Total","Beds_Occupied_ICU"
2020-04-14,"Q","Houston","Q - Houston",6688587,NA,527,293,234,3531,401,7254
2020-04-14,"R","Galveston","R - Galveston",1309237,NA,97,60,37,621,47,875
2020-04-14,"S","Victoria","S - Victoria",186672,NA,22,17,5,290,31,248
2020-04-14,"T","Laredo","T - Laredo",295669,NA,28,17,11,86,16,241
2020-04-14,"U","Corpus Christi","U - Corpus Christi",630897,NA,9,4,5,360,15,779
2020-04-14,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,68,36,32,817,101,1333
2020-04-15,"A","Amarillo","A - Amarillo",440127,NA,40,38,2,519,54,322
2020-04-15,"B","Lubbock","B - Lubbock",513580,NA,34,19,15,612,86,748
2020-04-15,"C","Wichita Falls","C - Wichita Falls",219793,NA,4,4,0,343,19,186
2020-04-15,"D","Abilene","D - Abilene",306972,NA,6,3,3,451,13,271
2020-04-15,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,449,234,215,6379,745,8811
2020-04-15,"F","Paris","F - Paris",273329,NA,18,10,8,NA,36,471
2020-04-15,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,32,14,18,752,103,1023
2020-04-15,"H","Lufkin","H - Lufkin",272151,NA,15,13,2,230,26,154
2020-04-15,"I","El Paso","I - El Paso",881765,NA,30,17,13,704,82,716
2020-04-15,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,7,2,5,682,45,639
2020-04-15,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,280,20,279
2020-04-15,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,16,11,5,575,56,466
2020-04-15,"M","Waco","M - Waco",330048,NA,5,2,3,333,23,299
2020-04-15,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,13,7,6,304,22,111
2020-04-15,"O","Austin","O - Austin",2375407,NA,30,13,17,1257,174,1052
2020-04-15,"P","San Antonio","P - San Antonio",2945792,NA,65,38,27,2425,326,3359
2020-04-15,"Q","Houston","Q - Houston",6688587,NA,584,324,260,3504,318,7469
2020-04-15,"R","Galveston","R - Galveston",1309237,NA,96,58,38,645,56,892
2020-04-15,"S","Victoria","S - Victoria",186672,NA,21,16,5,284,32,248
2020-04-15,"T","Laredo","T - Laredo",295669,NA,26,13,13,100,14,234
