"Date","TSA","TSA_Name","TSA_Combined","Population_DSHS","Ventilators_Available","Hospitalizations_Total","Hospitalizations_General","Hospitalizations_ICU","Beds_Available_Total","Beds_Occupied_Total","Beds_Occupied_ICU"
2020-05-19,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,646,412,234,4091,604,9864
2020-05-19,"F","Paris","F - Paris",273329,NA,12,6,6,NA,33,485
2020-05-19,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,40,24,16,572,75,1252
2020-05-19,"H","Lufkin","H - Lufkin",272151,NA,10,8,2,244,18,266
2020-05-19,"I","El Paso","I - El Paso",881765,NA,111,63,48,646,49,1204
2020-05-19,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,18,16,2,676,43,652
2020-05-19,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,228,19,291
2020-05-19,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,19,14,5,380,36,684
2020-05-19,"M","Waco","M - Waco",330048,NA,3,3,0,382,15,377
2020-05-19,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,16,9,7,242,22,285
2020-05-19,"O","Austin","O - Austin",2375407,NA,54,35,19,1071,118,1520
2020-05-19,"P","San Antonio","P - San Antonio",2945792,NA,84,49,35,2048,286,4067
2020-05-19,"Q","Houston","Q - Houston",6688587,NA,433,242,191,3189,289,8336
2020-05-19,"R","Galveston","R - Galveston",1309237,NA,123,77,46,535,35,1170
2020-05-19,"S","Victoria","S - Victoria",186672,NA,12,10,2,292,42,283
2020-05-19,"T","Laredo","T - Laredo",295669,NA,13,4,9,108,7,280
2020-05-19,"U","Corpus Christi","U - Corpus Christi",630897,NA,6,5,1,351,18,1003
2020-05-19,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,36,20,16,852,57,1684
2020-05-20,"A","Amarillo","A - Amarillo",440127,NA,75,54,21,423,48,643
2020-05-20,"B","Lubbock","B - Lubbock",513580,NA,25,11,14,483,36,836
2020-05-20,"C","Wichita Falls","C - Wichita Falls",219793,NA,1,1,0,285,20,297
2020-05-20,"D","Abilene","D - Abilene",306972,NA,4,2,2,437,17,474
2020-05-20,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,646,413,233,4172,482,10969
2020-05-20,"F","Paris","F - Paris",273329,NA,13,6,7,NA,32,554
2020-05-20,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,41,25,16,416,53,1459
2020-05-20,"H","Lufkin","H - Lufkin",272151,NA,11,10,1,235,26,317
2020-05-20,"I","El Paso","I - El Paso",881765,NA,126,66,60,584,43,1318
2020-05-20,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,12,9,3,598,35,714
2020-05-20,"K","San Angelo","K - San Angelo",179457,NA,3,3,0,225,14,302
2020-05-20,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,21,15,6,422,41,761
2020-05-20,"M","Waco","M - Waco",330048,NA,1,1,0,275,20,381
2020-05-20,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,12,9,3,222,11,324
2020-05-20,"O","Austin","O - Austin",2375407,NA,82,48,34,939,112,2127
2020-05-20,"P","San Antonio","P - San Antonio",2945792,NA,93,64,29,1757,246,4732
2020-05-20,"Q","Houston","Q - Houston",6688587,NA,443,250,193,3126,273,9348
2020-05-20,"R","Galveston","R - Galveston",1309237,NA,117,70,47,567,33,1223
2020-05-20,"S","Victoria","S - Victoria",186672,NA,10,9,1,183,31,329
2020-05-20,"T","Laredo","T - Laredo",295669,NA,13,5,8,109,9,295
2020-05-20,"U","Corpus Christi","U - Corpus Christi",630897,NA,12,6,6,348,26,1026
2020-05-20,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,30,20,10,811,51,1884
2020-05-21,"A","Amarillo","A - Amarillo",440127,NA,63,37,26,487,48,671
2020-05-21,"B","Lubbock","B - Lubbock",513580,NA,20,7,13,449,64,871
2020-05-21,"C","Wichita Falls","C - Wichita Falls",219793,NA,1,1,0,292,21,301
2020-05-21,"D","Abilene","D - Abilene",306972,NA,7,2,5,424,19,503
2020-05-21,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,600,390,210,3668,457,11181
2020-05-21,"F","Paris","F - Paris",273329,NA,17,11,6,NA,35,611
2020-05-21,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,38,20,18,442,41,1468
2020-05-21,"H","Lufkin","H - Lufkin",272151,NA,13,12,1,206,11,334
2020-05-21,"I","El Paso","I - El Paso",881765,NA,118,60,58,581,42,1367
2020-05-21,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,9,7,2,568,35,729
2020-05-21,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,205,6,283
2020-05-21,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,10,6,4,302,20,702
2020-05-21,"M","Waco","M - Waco",330048,NA,0,0,0,269,13,419
2020-05-21,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,13,9,4,195,11,345
2020-05-21,"O","Austin","O - Austin",2375407,NA,56,37,19,1012,121,1736
2020-05-21,"P","San Antonio","P - San Antonio",2945792,NA,95,64,31,1706,220,4467
2020-05-21,"Q","Houston","Q - Houston",6688587,NA,444,219,225,2907,281,9425
2020-05-21,"R","Galveston","R - Galveston",1309237,NA,117,71,46,509,12,1237
2020-05-21,"S","Victoria","S - Victoria",186672,NA,11,10,1,196,23,357
2020-05-21,"T","Laredo","T - Laredo",295669,NA,14,6,8,108,7,317
2020-05-21,"U","Corpus Christi","U - Corpus Christi",630897,NA,5,3,2,348,24,1062
2020-05-21,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,29,18,11,810,36,1935
2020-05-22,"A","Amarillo","A - Amarillo",440127,NA,53,32,21,486,45,659
2020-05-22,"B","Lubbock","B - Lubbock",513580,NA,15,4,11,465,63,849
2020-05-22,"C","Wichita Falls","C - Wichita Falls",219793,NA,1,1,0,290,19,293
2020-05-22,"D","Abilene","D - Abilene",306972,NA,3,1,2,437,20,500
2020-05-22,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,570,362,208,3570,510,11230
2020-05-22,"F","Paris","F - Paris",273329,NA,23,17,6,NA,37,586
2020-05-22,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,36,21,15,440,43,1464
2020-05-22,"H","Lufkin","H - Lufkin",272151,NA,9,8,1,230,21,317
2020-05-22,"I","El Paso","I - El Paso",881765,NA,116,46,70,601,36,1317
2020-05-22,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,9,6,3,579,31,758
2020-05-22,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,210,7,281
2020-05-22,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,19,13,6,427,41,744
2020-05-22,"M","Waco","M - Waco",330048,NA,0,0,0,270,7,429
2020-05-22,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,9,7,2,216,24,169
2020-05-22,"O","Austin","O - Austin",2375407,NA,30,22,8,906,106,1549
2020-05-22,"P","San Antonio","P - San Antonio",2945792,NA,90,55,35,1670,208,4552
2020-05-22,"Q","Houston","Q - Houston",6688587,NA,406,199,207,2810,286,9506
2020-05-22,"R","Galveston","R - Galveston",1309237,NA,117,74,43,656,44,1216
2020-05-22,"S","Victoria","S - Victoria",186672,NA,15,13,2,207,20,345
2020-05-22,"T","Laredo","T - Laredo",295669,NA,14,6,8,119,7,315
2020-05-22,"U","Corpus Christi","U - Corpus Christi",630897,NA,13,8,5,325,29,1108
2020-05-22,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,30,18,12,684,34,1945
2020-05-23,"A","Amarillo","A - Amarillo",440127,NA,55,35,20,450,43,664
2020-05-23,"B","Lubbock","B - Lubbock",513580,NA,14,4,10,538,84,823
2020-05-23,"C","Wichita Falls","C - Wichita Falls",219793,NA,1,1,0,308,19,292
2020-05-23,"D","Abilene","D - Abilene",306972,NA,3,1,2,436,22,495
2020-05-23,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,612,398,214,3427,554,11222
2020-05-23,"F","Paris","F - Paris",273329,NA,23,17,6,NA,38,537
2020-05-23,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,42,24,18,457,44,1496
2020-05-23,"H","Lufkin","H - Lufkin",272151,NA,0,0,0,266,19,98
2020-05-23,"I","El Paso","I - El Paso",881765,NA,124,57,67,625,43,1280
2020-05-23,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,10,7,3,516,34,781
2020-05-23,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,202,9,335
2020-05-23,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,13,7,6,394,33,871
2020-05-23,"M","Waco","M - Waco",330048,NA,1,0,1,252,11,341
2020-05-23,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,11,5,6,226,26,331
2020-05-23,"O","Austin","O - Austin",2375407,NA,103,63,40,880,107,2484
2020-05-23,"P","San Antonio","P - San Antonio",2945792,NA,96,59,37,1545,206,4669
2020-05-23,"Q","Houston","Q - Houston",6688587,NA,387,215,172,2705,255,9413
2020-05-23,"R","Galveston","R - Galveston",1309237,NA,122,85,37,577,38,1195
2020-05-23,"S","Victoria","S - Victoria",186672,NA,15,13,2,206,22,336
2020-05-23,"T","Laredo","T - Laredo",295669,NA,14,6,8,107,7,314
2020-05-23,"U","Corpus Christi","U - Corpus Christi",630897,NA,8,5,3,322,30,1064
2020-05-23,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,34,20,14,630,34,1936
2020-05-24,"A","Amarillo","A - Amarillo",440127,NA,55,33,22,476,49,612
2020-05-24,"B","Lubbock","B - Lubbock",513580,NA,13,6,7,511,36,793
2020-05-24,"C","Wichita Falls","C - Wichita Falls",219793,NA,1,1,0,314,22,292
2020-05-24,"D","Abilene","D - Abilene",306972,NA,4,2,2,282,24,490
2020-05-24,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,548,347,201,3404,699,8789
2020-05-24,"F","Paris","F - Paris",273329,NA,20,14,6,NA,60,504
2020-05-24,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,39,20,19,423,54,1420
2020-05-24,"H","Lufkin","H - Lufkin",272151,NA,9,7,2,258,18,283
2020-05-24,"I","El Paso","I - El Paso",881765,NA,128,59,69,648,48,1215
2020-05-24,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,11,7,4,544,36,750
2020-05-24,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,242,11,272
2020-05-24,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,12,6,6,393,30,747
2020-05-24,"M","Waco","M - Waco",330048,NA,1,0,1,201,9,315
2020-05-24,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,11,7,4,245,22,289
2020-05-24,"O","Austin","O - Austin",2375407,NA,43,26,17,908,103,1299
2020-05-24,"P","San Antonio","P - San Antonio",2945792,NA,93,60,33,1849,212,4367
2020-05-24,"Q","Houston","Q - Houston",6688587,NA,407,217,190,2883,273,8845
2020-05-24,"R","Galveston","R - Galveston",1309237,NA,116,81,35,570,30,1147
2020-05-24,"S","Victoria","S - Victoria",186672,NA,13,12,1,224,29,316
2020-05-24,"T","Laredo","T - Laredo",295669,NA,13,4,9,113,13,279
2020-05-24,"U","Corpus Christi","U - Corpus Christi",630897,NA,9,6,3,298,21,1058
2020-05-24,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,26,14,12,627,41,1905
2020-05-25,"A","Amarillo","A - Amarillo",440127,NA,55,34,21,483,45,590
2020-05-25,"B","Lubbock","B - Lubbock",513580,NA,16,8,8,512,39,760
2020-05-25,"C","Wichita Falls","C - Wichita Falls",219793,NA,2,2,0,310,22,287
2020-05-25,"D","Abilene","D - Abilene",306972,NA,5,2,3,429,19,485
2020-05-25,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,521,307,214,3693,542,8518
2020-05-25,"F","Paris","F - Paris",273329,NA,16,10,6,NA,58,482
2020-05-25,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,40,20,20,482,55,1351
2020-05-25,"H","Lufkin","H - Lufkin",272151,NA,8,6,2,261,27,248
2020-05-25,"I","El Paso","I - El Paso",881765,NA,125,55,70,670,58,1167
2020-05-25,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,15,8,7,572,42,700
2020-05-25,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,247,16,264
2020-05-25,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,10,3,7,281,23,679
2020-05-25,"M","Waco","M - Waco",330048,NA,1,0,1,232,18,298
2020-05-25,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,12,8,4,256,13,276
2020-05-25,"O","Austin","O - Austin",2375407,NA,20,12,8,1114,118,988
2020-05-25,"P","San Antonio","P - San Antonio",2945792,NA,87,57,30,1854,227,3840
2020-05-25,"Q","Houston","Q - Houston",6688587,NA,392,197,195,3249,301,8179
2020-05-25,"R","Galveston","R - Galveston",1309237,NA,119,82,37,570,37,1098
2020-05-25,"S","Victoria","S - Victoria",186672,NA,13,12,1,208,22,314
2020-05-25,"T","Laredo","T - Laredo",295669,NA,14,6,8,112,7,247
2020-05-25,"U","Corpus Christi","U - Corpus Christi",630897,NA,9,5,4,307,24,1008
2020-05-25,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,31,20,11,627,42,1710
2020-05-26,"A","Amarillo","A - Amarillo",440127,NA,61,38,23,479,39,590
2020-05-26,"B","Lubbock","B - Lubbock",513580,NA,16,8,8,466,66,772
2020-05-26,"C","Wichita Falls","C - Wichita Falls",219793,NA,0,0,0,293,27,304
2020-05-26,"D","Abilene","D - Abilene",306972,NA,4,2,2,423,16,344
2020-05-26,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,533,315,218,3813,569,9415
2020-05-26,"F","Paris","F - Paris",273329,NA,18,11,7,NA,60,510
2020-05-26,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,39,19,20,497,60,1290
2020-05-26,"H","Lufkin","H - Lufkin",272151,NA,11,10,1,269,35,229
2020-05-26,"I","El Paso","I - El Paso",881765,NA,126,56,70,694,56,1162
2020-05-26,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,16,7,9,558,40,698
2020-05-26,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,252,14,214
2020-05-26,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,2,1,1,300,32,529
2020-05-26,"M","Waco","M - Waco",330048,NA,1,0,1,270,14,275
2020-05-26,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,11,9,2,251,14,270
2020-05-26,"O","Austin","O - Austin",2375407,NA,35,21,14,1254,117,1149
2020-05-26,"P","San Antonio","P - San Antonio",2945792,NA,90,57,33,1837,244,3858
2020-05-26,"Q","Houston","Q - Houston",6688587,NA,401,219,182,3344,430,8387
2020-05-26,"R","Galveston","R - Galveston",1309237,NA,101,69,32,562,36,1029
2020-05-26,"S","Victoria","S - Victoria",186672,NA,13,12,1,212,27,307
2020-05-26,"T","Laredo","T - Laredo",295669,NA,14,6,8,109,8,252
2020-05-26,"U","Corpus Christi","U - Corpus Christi",630897,NA,9,5,4,309,18,1002
2020-05-26,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,33,22,11,683,52,1660
2020-05-27,"A","Amarillo","A - Amarillo",440127,NA,59,38,21,474,43,612
2020-05-27,"B","Lubbock","B - Lubbock",513580,NA,15,8,7,535,81,809
2020-05-27,"C","Wichita Falls","C - Wichita Falls",219793,NA,0,0,0,296,21,315
2020-05-27,"D","Abilene","D - Abilene",306972,NA,1,0,1,419,17,347
2020-05-27,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,589,354,235,3627,587,10194
2020-05-27,"F","Paris","F - Paris",273329,NA,22,16,6,NA,61,514
2020-05-27,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,43,21,22,508,52,1365
2020-05-27,"H","Lufkin","H - Lufkin",272151,NA,13,11,2,269,35,268
2020-05-27,"I","El Paso","I - El Paso",881765,NA,127,60,67,736,45,1207
2020-05-27,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,16,10,6,623,40,705
2020-05-27,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,239,13,219
2020-05-27,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,4,1,3,292,25,574
2020-05-27,"M","Waco","M - Waco",330048,NA,0,0,0,327,29,317
2020-05-27,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,6,5,1,231,15,135
2020-05-27,"O","Austin","O - Austin",2375407,NA,46,31,15,1125,142,1730
2020-05-27,"P","San Antonio","P - San Antonio",2945792,NA,108,70,38,1810,244,4219
2020-05-27,"Q","Houston","Q - Houston",6688587,NA,414,227,187,3011,260,8433
2020-05-27,"R","Galveston","R - Galveston",1309237,NA,114,75,39,527,40,1200
2020-05-27,"S","Victoria","S - Victoria",186672,NA,14,13,1,215,36,309
2020-05-27,"T","Laredo","T - Laredo",295669,NA,14,7,7,107,8,266
2020-05-27,"U","Corpus Christi","U - Corpus Christi",630897,NA,8,5,3,305,14,1021
2020-05-27,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,32,22,10,678,56,1742
2020-05-28,"A","Amarillo","A - Amarillo",440127,NA,63,35,28,495,33,665
2020-05-28,"B","Lubbock","B - Lubbock",513580,NA,14,7,7,467,64,861
2020-05-28,"C","Wichita Falls","C - Wichita Falls",219793,NA,0,0,0,298,21,320
2020-05-28,"D","Abilene","D - Abilene",306972,NA,1,0,1,424,17,364
2020-05-28,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,613,378,235,3336,528,10876
2020-05-28,"F","Paris","F - Paris",273329,NA,22,15,7,NA,59,596
2020-05-28,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,43,19,24,458,51,1499
2020-05-28,"H","Lufkin","H - Lufkin",272151,NA,9,8,1,184,20,265
2020-05-28,"I","El Paso","I - El Paso",881765,NA,123,56,67,611,41,1331
2020-05-28,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,17,11,6,549,30,744
2020-05-28,"K","San Angelo","K - San Angelo",179457,NA,1,1,0,228,14,215
2020-05-28,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,6,2,4,270,23,780
2020-05-28,"M","Waco","M - Waco",330048,NA,0,0,0,217,3,254
2020-05-28,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,15,12,3,229,20,317
2020-05-28,"O","Austin","O - Austin",2375407,NA,66,36,30,944,100,1929
2020-05-28,"P","San Antonio","P - San Antonio",2945792,NA,106,73,33,1865,240,4563
2020-05-28,"Q","Houston","Q - Houston",6688587,NA,435,236,199,2636,211,9291
2020-05-28,"R","Galveston","R - Galveston",1309237,NA,89,65,24,402,17,1027
2020-05-28,"S","Victoria","S - Victoria",186672,NA,12,10,2,203,27,331
2020-05-28,"T","Laredo","T - Laredo",295669,NA,15,8,7,98,12,300
2020-05-28,"U","Corpus Christi","U - Corpus Christi",630897,NA,9,6,3,295,10,1089
2020-05-28,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,33,20,13,682,51,1944
2020-05-29,"A","Amarillo","A - Amarillo",440127,NA,24,0,24,447,33,683
2020-05-29,"B","Lubbock","B - Lubbock",513580,NA,20,12,8,461,39,893
2020-05-29,"C","Wichita Falls","C - Wichita Falls",219793,NA,0,0,0,241,20,333
2020-05-29,"D","Abilene","D - Abilene",306972,NA,2,1,1,473,17,491
2020-05-29,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,581,340,241,3908,481,10848
2020-05-29,"F","Paris","F - Paris",273329,NA,24,20,4,773,89,587
2020-05-29,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,44,22,22,518,110,1517
2020-05-29,"H","Lufkin","H - Lufkin",272151,NA,16,12,4,197,24,319
2020-05-29,"I","El Paso","I - El Paso",881765,NA,120,52,68,498,42,1382
2020-05-29,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,19,2,17,554,44,787
2020-05-29,"K","San Angelo","K - San Angelo",179457,NA,1,1,0,207,11,247
2020-05-29,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,9,5,4,367,20,840
2020-05-29,"M","Waco","M - Waco",330048,NA,0,0,0,257,14,378
2020-05-29,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,17,9,8,214,24,336
2020-05-29,"O","Austin","O - Austin",2375407,NA,93,49,44,886,113,2480
2020-05-29,"P","San Antonio","P - San Antonio",2945792,NA,64,29,35,1771,217,4352
2020-05-29,"Q","Houston","Q - Houston",6688587,NA,407,208,199,2731,272,10097
2020-05-29,"R","Galveston","R - Galveston",1309237,NA,115,75,40,390,27,1367
2020-05-29,"S","Victoria","S - Victoria",186672,NA,6,3,3,199,32,329
2020-05-29,"T","Laredo","T - Laredo",295669,NA,16,8,8,108,8,329
2020-05-29,"U","Corpus Christi","U - Corpus Christi",630897,NA,8,5,3,315,10,1023
2020-05-29,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,36,22,14,621,49,1903
2020-05-30,"A","Amarillo","A - Amarillo",440127,NA,58,32,26,399,46,684
2020-05-30,"B","Lubbock","B - Lubbock",513580,NA,14,9,5,408,32,896
2020-05-30,"C","Wichita Falls","C - Wichita Falls",219793,NA,0,0,0,232,18,328
2020-05-30,"D","Abilene","D - Abilene",306972,NA,2,1,1,419,24,466
2020-05-30,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,624,364,260,3535,506,11459
2020-05-30,"F","Paris","F - Paris",273329,NA,20,16,4,764,94,511
2020-05-30,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,44,22,22,583,98,1471
2020-05-30,"H","Lufkin","H - Lufkin",272151,NA,13,9,4,246,29,232
2020-05-30,"I","El Paso","I - El Paso",881765,NA,115,52,63,527,47,1361
2020-05-30,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,16,1,15,537,45,640
2020-05-30,"K","San Angelo","K - San Angelo",179457,NA,1,1,0,209,14,239
2020-05-30,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,9,3,6,285,14,769
2020-05-30,"M","Waco","M - Waco",330048,NA,0,0,0,247,20,360
2020-05-30,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,18,11,7,218,20,311
2020-05-30,"O","Austin","O - Austin",2375407,NA,92,50,42,867,135,2384
2020-05-30,"P","San Antonio","P - San Antonio",2945792,NA,98,61,37,1672,199,4220
2020-05-30,"Q","Houston","Q - Houston",6688587,NA,460,264,196,2890,234,10200
2020-05-30,"R","Galveston","R - Galveston",1309237,NA,106,68,38,386,23,1334
2020-05-30,"S","Victoria","S - Victoria",186672,NA,10,7,3,199,32,329
2020-05-30,"T","Laredo","T - Laredo",295669,NA,15,7,8,107,9,328
2020-05-30,"U","Corpus Christi","U - Corpus Christi",630897,NA,6,3,3,293,13,1039
2020-05-30,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,31,18,13,576,45,1901
2020-05-31,"A","Amarillo","A - Amarillo",440127,NA,39,16,23,404,55,612
2020-05-31,"B","Lubbock","B - Lubbock",513580,NA,12,5,7,402,40,838
2020-05-31,"C","Wichita Falls","C - Wichita Falls",219793,NA,0,0,0,261,18,323
2020-05-31,"D","Abilene","D - Abilene",306972,NA,3,2,1,447,29,450
2020-05-31,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,595,351,244,3822,491,10878
2020-05-31,"F","Paris","F - Paris",273329,NA,16,9,7,805,91,512
2020-05-31,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,46,22,24,570,95,1334
2020-05-31,"H","Lufkin","H - Lufkin",272151,NA,13,9,4,225,16,287
2020-05-31,"I","El Paso","I - El Paso",881765,NA,112,52,60,530,42,1288
2020-05-31,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,17,8,9,540,47,742
2020-05-31,"K","San Angelo","K - San Angelo",179457,NA,1,1,0,215,18,214
2020-05-31,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,17,11,6,311,18,704
2020-05-31,"M","Waco","M - Waco",330048,NA,2,1,1,289,17,364
2020-05-31,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,18,12,6,222,27,293
2020-05-31,"O","Austin","O - Austin",2375407,NA,87,48,39,986,142,2265
2020-05-31,"P","San Antonio","P - San Antonio",2945792,NA,90,58,32,1711,197,3948
2020-05-31,"Q","Houston","Q - Houston",6688587,NA,454,249,205,2659,239,9669
2020-05-31,"R","Galveston","R - Galveston",1309237,NA,91,52,39,417,22,1313
2020-05-31,"S","Victoria","S - Victoria",186672,NA,18,17,1,257,31,312
2020-05-31,"T","Laredo","T - Laredo",295669,NA,14,7,7,109,7,283
2020-05-31,"U","Corpus Christi","U - Corpus Christi",630897,NA,6,3,3,299,17,1025
2020-05-31,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,33,20,13,646,39,1813
2020-06-01,"A","Amarillo","A - Amarillo",440127,NA,47,28,19,415,56,589
2020-06-01,"B","Lubbock","B - Lubbock",513580,NA,14,5,9,446,53,753
2020-06-01,"C","Wichita Falls","C - Wichita Falls",219793,NA,0,0,0,263,21,306
2020-06-01,"D","Abilene","D - Abilene",306972,NA,2,1,1,413,30,481
2020-06-01,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,580,340,240,3872,513,10403
2020-06-01,"F","Paris","F - Paris",273329,NA,14,8,6,806,89,485
2020-06-01,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,49,21,28,601,126,1259
2020-06-01,"H","Lufkin","H - Lufkin",272151,NA,16,13,3,228,13,266
2020-06-01,"I","El Paso","I - El Paso",881765,NA,109,52,57,544,40,1228
2020-06-01,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,18,5,13,553,48,691
2020-06-01,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,215,16,215
2020-06-01,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,21,15,6,337,19,674
2020-06-01,"M","Waco","M - Waco",330048,NA,2,1,1,300,12,343
2020-06-01,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,23,14,9,241,32,289
2020-06-01,"O","Austin","O - Austin",2375407,NA,89,48,41,965,138,2167
2020-06-01,"P","San Antonio","P - San Antonio",2945792,NA,105,69,36,1768,199,4132
2020-06-01,"Q","Houston","Q - Houston",6688587,NA,482,268,214,2605,238,9304
2020-06-01,"R","Galveston","R - Galveston",1309237,NA,111,69,42,457,36,1194
2020-06-01,"S","Victoria","S - Victoria",186672,NA,17,16,1,249,29,268
2020-06-01,"T","Laredo","T - Laredo",295669,NA,14,9,5,117,9,254
2020-06-01,"U","Corpus Christi","U - Corpus Christi",630897,NA,6,3,3,319,18,980
2020-06-01,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,37,23,14,616,49,1751
2020-06-02,"A","Amarillo","A - Amarillo",440127,NA,45,25,20,401,47,596
2020-06-02,"B","Lubbock","B - Lubbock",513580,NA,16,8,8,435,44,796
2020-06-02,"C","Wichita Falls","C - Wichita Falls",219793,NA,0,0,0,259,17,266
2020-06-02,"D","Abilene","D - Abilene",306972,NA,1,1,0,407,28,419
2020-06-02,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,582,340,242,3978,545,10599
2020-06-02,"F","Paris","F - Paris",273329,NA,15,9,6,789,89,494
2020-06-02,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,53,26,27,652,116,1302
