Date,TSA,Variant,Cases,Case_Ratio
2021-07-21,E - Dallas/Ft. Worth,B.1.1.7 ALPHA (UK),420,1
2021-07-21,E - Dallas/Ft. Worth,B.1.351 BETA (South Africa),9,1
2021-07-21,E - Dallas/Ft. Worth,B.1.617.2 DELTA (India),7,1
2021-07-21,E - Dallas/Ft. Worth,P.1 GAMMA (Brazil),15,1
2021-07-29,E - Dallas/Ft. Worth,B.1.1.7 ALPHA (UK),420,1
2021-07-29,E - Dallas/Ft. Worth,B.1.351 BETA (South Africa),9,1
2021-07-29,E - Dallas/Ft. Worth,B.1.617.2 DELTA (India),7,1
2021-07-29,E - Dallas/Ft. Worth,P.1 GAMMA (Brazil),15,1
2021-08-06,E - Dallas/Ft. Worth,B.1.1.7 ALPHA (UK),416,0.9904761904761905
2021-08-06,E - Dallas/Ft. Worth,B.1.351 BETA (South Africa),9,1
2021-08-06,E - Dallas/Ft. Worth,B.1.617.2 DELTA (India),7,1
2021-08-06,E - Dallas/Ft. Worth,P.1 GAMMA (Brazil),15,1
2021-08-11,E - Dallas/Ft. Worth,B.1.1.7 ALPHA (UK),416,1
2021-08-11,E - Dallas/Ft. Worth,B.1.351 BETA (South Africa),9,1
2021-08-11,E - Dallas/Ft. Worth,B.1.617.2 DELTA (India),7,1
2021-08-11,E - Dallas/Ft. Worth,P.1 GAMMA (Brazil),0,0
2021-08-18,E - Dallas/Ft. Worth,B.1.1.7 ALPHA (UK),416,1
2021-08-18,E - Dallas/Ft. Worth,B.1.351 BETA (South Africa),9,1
2021-08-18,E - Dallas/Ft. Worth,B.1.617.2 DELTA (India),7,1
2021-08-18,E - Dallas/Ft. Worth,P.1 GAMMA (Brazil),15,NA
2021-06-21,F - Paris,B.1.1.7 ALPHA (UK),2,NA
2021-06-21,F - Paris,B.1.351 BETA (South Africa),0,NA
2021-06-21,F - Paris,B.1.617.2 DELTA (India),0,NA
2021-06-21,F - Paris,P.1 GAMMA (Brazil),0,NA
2021-06-23,F - Paris,B.1.1.7 ALPHA (UK),2,1
2021-06-23,F - Paris,B.1.351 BETA (South Africa),0,NA
2021-06-23,F - Paris,B.1.617.2 DELTA (India),0,NA
2021-06-23,F - Paris,P.1 GAMMA (Brazil),0,NA
2021-07-01,F - Paris,B.1.1.7 ALPHA (UK),2,1
2021-07-01,F - Paris,B.1.351 BETA (South Africa),0,NA
2021-07-01,F - Paris,B.1.617.2 DELTA (India),0,NA
2021-07-01,F - Paris,P.1 GAMMA (Brazil),0,NA
2021-07-08,F - Paris,B.1.1.7 ALPHA (UK),2,1
2021-07-08,F - Paris,B.1.351 BETA (South Africa),0,NA
2021-07-08,F - Paris,B.1.617.2 DELTA (India),0,NA
2021-07-08,F - Paris,P.1 GAMMA (Brazil),0,NA
2021-07-14,F - Paris,B.1.1.7 ALPHA (UK),2,1
2021-07-14,F - Paris,B.1.351 BETA (South Africa),0,NA
