Date,TSA,Variant,Cases,Case_Ratio
2021-07-29,K - San Angelo,B.1.617.2 DELTA (India),0,NA
2021-07-29,K - San Angelo,P.1 GAMMA (Brazil),0,NA
2021-08-06,K - San Angelo,B.1.1.7 ALPHA (UK),1,1
2021-08-06,K - San Angelo,B.1.351 BETA (South Africa),0,NA
2021-08-06,K - San Angelo,B.1.617.2 DELTA (India),0,NA
2021-08-06,K - San Angelo,P.1 GAMMA (Brazil),0,NA
2021-08-11,K - San Angelo,B.1.1.7 ALPHA (UK),1,1
2021-08-11,K - San Angelo,B.1.351 BETA (South Africa),0,NA
2021-08-11,K - San Angelo,B.1.617.2 DELTA (India),0,NA
2021-08-11,K - San Angelo,P.1 GAMMA (Brazil),0,NA
2021-08-18,K - San Angelo,B.1.1.7 ALPHA (UK),1,1
2021-08-18,K - San Angelo,B.1.351 BETA (South Africa),0,NA
2021-08-18,K - San Angelo,B.1.617.2 DELTA (India),0,NA
2021-08-18,K - San Angelo,P.1 GAMMA (Brazil),0,NA
2021-06-21,L - Belton/Killeen,B.1.1.7 ALPHA (UK),94,NA
2021-06-21,L - Belton/Killeen,B.1.351 BETA (South Africa),0,NA
2021-06-21,L - Belton/Killeen,B.1.617.2 DELTA (India),0,NA
2021-06-21,L - Belton/Killeen,P.1 GAMMA (Brazil),0,NA
2021-06-23,L - Belton/Killeen,B.1.1.7 ALPHA (UK),95,1.0106382978723405
2021-06-23,L - Belton/Killeen,B.1.351 BETA (South Africa),0,NA
2021-06-23,L - Belton/Killeen,B.1.617.2 DELTA (India),0,NA
2021-06-23,L - Belton/Killeen,P.1 GAMMA (Brazil),0,NA
2021-07-01,L - Belton/Killeen,B.1.1.7 ALPHA (UK),95,1
2021-07-01,L - Belton/Killeen,B.1.351 BETA (South Africa),0,NA
2021-07-01,L - Belton/Killeen,B.1.617.2 DELTA (India),0,NA
2021-07-01,L - Belton/Killeen,P.1 GAMMA (Brazil),0,NA
2021-07-08,L - Belton/Killeen,B.1.1.7 ALPHA (UK),95,1
2021-07-08,L - Belton/Killeen,B.1.351 BETA (South Africa),0,NA
2021-07-08,L - Belton/Killeen,B.1.617.2 DELTA (India),0,NA
2021-07-08,L - Belton/Killeen,P.1 GAMMA (Brazil),0,NA
2021-07-14,L - Belton/Killeen,B.1.1.7 ALPHA (UK),95,1
2021-07-14,L - Belton/Killeen,B.1.351 BETA (South Africa),0,NA
2021-07-14,L - Belton/Killeen,B.1.617.2 DELTA (India),0,NA
2021-07-14,L - Belton/Killeen,P.1 GAMMA (Brazil),0,NA
2021-07-21,L - Belton/Killeen,B.1.1.7 ALPHA (UK),95,1
2021-07-21,L - Belton/Killeen,B.1.351 BETA (South Africa),0,NA
2021-07-21,L - Belton/Killeen,B.1.617.2 DELTA (India),0,NA
2021-07-21,L - Belton/Killeen,P.1 GAMMA (Brazil),0,NA
2021-07-29,L - Belton/Killeen,B.1.1.7 ALPHA (UK),95,1
2021-07-29,L - Belton/Killeen,B.1.351 BETA (South Africa),0,NA
2021-07-29,L - Belton/Killeen,B.1.617.2 DELTA (India),0,NA
2021-07-29,L - Belton/Killeen,P.1 GAMMA (Brazil),0,NA
2021-08-06,L - Belton/Killeen,B.1.1.7 ALPHA (UK),94,0.9894736842105263
2021-08-06,L - Belton/Killeen,B.1.351 BETA (South Africa),0,NA
2021-08-06,L - Belton/Killeen,B.1.617.2 DELTA (India),0,NA
2021-08-06,L - Belton/Killeen,P.1 GAMMA (Brazil),1,NA
2021-08-11,L - Belton/Killeen,B.1.1.7 ALPHA (UK),94,1
2021-08-11,L - Belton/Killeen,B.1.351 BETA (South Africa),0,NA
2021-08-11,L - Belton/Killeen,B.1.617.2 DELTA (India),0,NA
2021-08-11,L - Belton/Killeen,P.1 GAMMA (Brazil),0,0
2021-08-18,L - Belton/Killeen,B.1.1.7 ALPHA (UK),94,1
2021-08-18,L - Belton/Killeen,B.1.351 BETA (South Africa),0,NA
2021-08-18,L - Belton/Killeen,B.1.617.2 DELTA (India),0,NA
2021-08-18,L - Belton/Killeen,P.1 GAMMA (Brazil),1,NA
2021-06-21,M - Waco,B.1.1.7 ALPHA (UK),32,NA
2021-06-21,M - Waco,B.1.351 BETA (South Africa),0,NA
2021-06-21,M - Waco,B.1.617.2 DELTA (India),0,NA
2021-06-21,M - Waco,P.1 GAMMA (Brazil),0,NA
2021-06-23,M - Waco,B.1.1.7 ALPHA (UK),33,1.03125
2021-06-23,M - Waco,B.1.351 BETA (South Africa),0,NA
2021-06-23,M - Waco,B.1.617.2 DELTA (India),0,NA
2021-06-23,M - Waco,P.1 GAMMA (Brazil),0,NA
2021-07-01,M - Waco,B.1.1.7 ALPHA (UK),32,0.9696969696969697
2021-07-01,M - Waco,B.1.351 BETA (South Africa),0,NA
2021-07-01,M - Waco,B.1.617.2 DELTA (India),0,NA
2021-07-01,M - Waco,P.1 GAMMA (Brazil),0,NA
2021-07-08,M - Waco,B.1.1.7 ALPHA (UK),32,1
2021-07-08,M - Waco,B.1.351 BETA (South Africa),0,NA
2021-07-08,M - Waco,B.1.617.2 DELTA (India),0,NA
2021-07-08,M - Waco,P.1 GAMMA (Brazil),0,NA
2021-07-14,M - Waco,B.1.1.7 ALPHA (UK),32,1
2021-07-14,M - Waco,B.1.351 BETA (South Africa),0,NA
2021-07-14,M - Waco,B.1.617.2 DELTA (India),0,NA
2021-07-14,M - Waco,P.1 GAMMA (Brazil),0,NA
2021-07-21,M - Waco,B.1.1.7 ALPHA (UK),32,1
2021-07-21,M - Waco,B.1.351 BETA (South Africa),0,NA
2021-07-21,M - Waco,B.1.617.2 DELTA (India),0,NA
2021-07-21,M - Waco,P.1 GAMMA (Brazil),0,NA
2021-07-29,M - Waco,B.1.1.7 ALPHA (UK),32,1
2021-07-29,M - Waco,B.1.351 BETA (South Africa),0,NA
2021-07-29,M - Waco,B.1.617.2 DELTA (India),0,NA
2021-07-29,M - Waco,P.1 GAMMA (Brazil),0,NA
2021-08-06,M - Waco,B.1.1.7 ALPHA (UK),33,1.03125
2021-08-06,M - Waco,B.1.351 BETA (South Africa),0,NA
2021-08-06,M - Waco,B.1.617.2 DELTA (India),0,NA
2021-08-06,M - Waco,P.1 GAMMA (Brazil),0,NA
2021-08-11,M - Waco,B.1.1.7 ALPHA (UK),33,1
2021-08-11,M - Waco,B.1.351 BETA (South Africa),0,NA
2021-08-11,M - Waco,B.1.617.2 DELTA (India),0,NA
2021-08-11,M - Waco,P.1 GAMMA (Brazil),0,NA
2021-08-18,M - Waco,B.1.1.7 ALPHA (UK),33,1
2021-08-18,M - Waco,B.1.351 BETA (South Africa),0,NA
2021-08-18,M - Waco,B.1.617.2 DELTA (India),0,NA
2021-08-18,M - Waco,P.1 GAMMA (Brazil),0,NA
2021-06-21,N - Bryan/College Station,B.1.1.7 ALPHA (UK),55,NA
2021-06-21,N - Bryan/College Station,B.1.351 BETA (South Africa),0,NA
2021-06-21,N - Bryan/College Station,B.1.617.2 DELTA (India),0,NA
2021-06-21,N - Bryan/College Station,P.1 GAMMA (Brazil),1,NA
2021-06-23,N - Bryan/College Station,B.1.1.7 ALPHA (UK),56,1.018181818181818
2021-06-23,N - Bryan/College Station,B.1.351 BETA (South Africa),0,NA
2021-06-23,N - Bryan/College Station,B.1.617.2 DELTA (India),0,NA
2021-06-23,N - Bryan/College Station,P.1 GAMMA (Brazil),1,1
2021-07-01,N - Bryan/College Station,B.1.1.7 ALPHA (UK),56,1
2021-07-01,N - Bryan/College Station,B.1.351 BETA (South Africa),0,NA
2021-07-01,N - Bryan/College Station,B.1.617.2 DELTA (India),0,NA
2021-07-01,N - Bryan/College Station,P.1 GAMMA (Brazil),1,1
2021-07-08,N - Bryan/College Station,B.1.1.7 ALPHA (UK),56,1
2021-07-08,N - Bryan/College Station,B.1.351 BETA (South Africa),0,NA
2021-07-08,N - Bryan/College Station,B.1.617.2 DELTA (India),0,NA
2021-07-08,N - Bryan/College Station,P.1 GAMMA (Brazil),1,1
2021-07-14,N - Bryan/College Station,B.1.1.7 ALPHA (UK),56,1
2021-07-14,N - Bryan/College Station,B.1.351 BETA (South Africa),0,NA
2021-07-14,N - Bryan/College Station,B.1.617.2 DELTA (India),0,NA
2021-07-14,N - Bryan/College Station,P.1 GAMMA (Brazil),1,1
2021-07-21,N - Bryan/College Station,B.1.1.7 ALPHA (UK),56,1
2021-07-21,N - Bryan/College Station,B.1.351 BETA (South Africa),0,NA
2021-07-21,N - Bryan/College Station,B.1.617.2 DELTA (India),0,NA
2021-07-21,N - Bryan/College Station,P.1 GAMMA (Brazil),1,1
2021-07-29,N - Bryan/College Station,B.1.1.7 ALPHA (UK),56,1
2021-07-29,N - Bryan/College Station,B.1.351 BETA (South Africa),0,NA
2021-07-29,N - Bryan/College Station,B.1.617.2 DELTA (India),0,NA
2021-07-29,N - Bryan/College Station,P.1 GAMMA (Brazil),1,1
2021-08-06,N - Bryan/College Station,B.1.1.7 ALPHA (UK),56,1
2021-08-06,N - Bryan/College Station,B.1.351 BETA (South Africa),0,NA
2021-08-06,N - Bryan/College Station,B.1.617.2 DELTA (India),0,NA
2021-08-06,N - Bryan/College Station,P.1 GAMMA (Brazil),1,1
2021-08-11,N - Bryan/College Station,B.1.1.7 ALPHA (UK),56,1
2021-08-11,N - Bryan/College Station,B.1.351 BETA (South Africa),0,NA
2021-08-11,N - Bryan/College Station,B.1.617.2 DELTA (India),0,NA
2021-08-11,N - Bryan/College Station,P.1 GAMMA (Brazil),0,0
2021-08-18,N - Bryan/College Station,B.1.1.7 ALPHA (UK),56,1
2021-08-18,N - Bryan/College Station,B.1.351 BETA (South Africa),0,NA
2021-08-18,N - Bryan/College Station,B.1.617.2 DELTA (India),0,NA
2021-08-18,N - Bryan/College Station,P.1 GAMMA (Brazil),1,NA
2021-06-21,O - Austin,B.1.1.7 ALPHA (UK),198,NA
2021-06-21,O - Austin,B.1.351 BETA (South Africa),1,NA
2021-06-21,O - Austin,B.1.617.2 DELTA (India),0,NA
2021-06-21,O - Austin,P.1 GAMMA (Brazil),3,NA
2021-06-23,O - Austin,B.1.1.7 ALPHA (UK),209,1.0555555555555556
2021-06-23,O - Austin,B.1.351 BETA (South Africa),1,1
2021-06-23,O - Austin,B.1.617.2 DELTA (India),0,NA
2021-06-23,O - Austin,P.1 GAMMA (Brazil),3,1
2021-07-01,O - Austin,B.1.1.7 ALPHA (UK),210,1.0047846889952152
2021-07-01,O - Austin,B.1.351 BETA (South Africa),1,1
2021-07-01,O - Austin,B.1.617.2 DELTA (India),0,NA
2021-07-01,O - Austin,P.1 GAMMA (Brazil),3,1
2021-07-08,O - Austin,B.1.1.7 ALPHA (UK),210,1
2021-07-08,O - Austin,B.1.351 BETA (South Africa),1,1
2021-07-08,O - Austin,B.1.617.2 DELTA (India),0,NA
2021-07-08,O - Austin,P.1 GAMMA (Brazil),3,1
2021-07-14,O - Austin,B.1.1.7 ALPHA (UK),210,1
2021-07-14,O - Austin,B.1.351 BETA (South Africa),1,1
2021-07-14,O - Austin,B.1.617.2 DELTA (India),0,NA
2021-07-14,O - Austin,P.1 GAMMA (Brazil),3,1
2021-07-21,O - Austin,B.1.1.7 ALPHA (UK),210,1
2021-07-21,O - Austin,B.1.351 BETA (South Africa),1,1
2021-07-21,O - Austin,B.1.617.2 DELTA (India),0,NA
2021-07-21,O - Austin,P.1 GAMMA (Brazil),3,1
2021-07-29,O - Austin,B.1.1.7 ALPHA (UK),210,1
2021-07-29,O - Austin,B.1.351 BETA (South Africa),1,1
2021-07-29,O - Austin,B.1.617.2 DELTA (India),0,NA
2021-07-29,O - Austin,P.1 GAMMA (Brazil),3,1
2021-08-06,O - Austin,B.1.1.7 ALPHA (UK),211,1.0047619047619047
2021-08-06,O - Austin,B.1.351 BETA (South Africa),1,1
2021-08-06,O - Austin,B.1.617.2 DELTA (India),0,NA
2021-08-06,O - Austin,P.1 GAMMA (Brazil),4,1.3333333333333333
2021-08-11,O - Austin,B.1.1.7 ALPHA (UK),211,1
2021-08-11,O - Austin,B.1.351 BETA (South Africa),1,1
2021-08-11,O - Austin,B.1.617.2 DELTA (India),0,NA
2021-08-11,O - Austin,P.1 GAMMA (Brazil),1,0.25
2021-08-18,O - Austin,B.1.1.7 ALPHA (UK),211,1
2021-08-18,O - Austin,B.1.351 BETA (South Africa),1,1
2021-08-18,O - Austin,B.1.617.2 DELTA (India),0,NA
2021-08-18,O - Austin,P.1 GAMMA (Brazil),4,4
2021-06-21,P - San Antonio,B.1.1.7 ALPHA (UK),109,NA
2021-06-21,P - San Antonio,B.1.351 BETA (South Africa),1,NA
2021-06-21,P - San Antonio,B.1.617.2 DELTA (India),1,NA
2021-06-21,P - San Antonio,P.1 GAMMA (Brazil),3,NA
2021-06-23,P - San Antonio,B.1.1.7 ALPHA (UK),158,1.4495412844036697
2021-06-23,P - San Antonio,B.1.351 BETA (South Africa),1,1
2021-06-23,P - San Antonio,B.1.617.2 DELTA (India),1,1
2021-06-23,P - San Antonio,P.1 GAMMA (Brazil),6,2
2021-07-01,P - San Antonio,B.1.1.7 ALPHA (UK),156,0.9873417721518988
2021-07-01,P - San Antonio,B.1.351 BETA (South Africa),1,1
2021-07-01,P - San Antonio,B.1.617.2 DELTA (India),2,2
2021-07-01,P - San Antonio,P.1 GAMMA (Brazil),4,0.6666666666666666
2021-07-08,P - San Antonio,B.1.1.7 ALPHA (UK),156,1
2021-07-08,P - San Antonio,B.1.351 BETA (South Africa),1,1
2021-07-08,P - San Antonio,B.1.617.2 DELTA (India),2,1
2021-07-08,P - San Antonio,P.1 GAMMA (Brazil),4,1
2021-07-14,P - San Antonio,B.1.1.7 ALPHA (UK),156,1
2021-07-14,P - San Antonio,B.1.351 BETA (South Africa),1,1
2021-07-14,P - San Antonio,B.1.617.2 DELTA (India),2,1
2021-07-14,P - San Antonio,P.1 GAMMA (Brazil),4,1
2021-07-21,P - San Antonio,B.1.1.7 ALPHA (UK),156,1
2021-07-21,P - San Antonio,B.1.351 BETA (South Africa),1,1
2021-07-21,P - San Antonio,B.1.617.2 DELTA (India),2,1
2021-07-21,P - San Antonio,P.1 GAMMA (Brazil),4,1
2021-07-29,P - San Antonio,B.1.1.7 ALPHA (UK),156,1
2021-07-29,P - San Antonio,B.1.351 BETA (South Africa),1,1
2021-07-29,P - San Antonio,B.1.617.2 DELTA (India),2,1
2021-07-29,P - San Antonio,P.1 GAMMA (Brazil),4,1
2021-08-06,P - San Antonio,B.1.1.7 ALPHA (UK),156,1
2021-08-06,P - San Antonio,B.1.351 BETA (South Africa),1,1
2021-08-06,P - San Antonio,B.1.617.2 DELTA (India),3,1.5
2021-08-06,P - San Antonio,P.1 GAMMA (Brazil),5,1.25
2021-08-11,P - San Antonio,B.1.1.7 ALPHA (UK),156,1
2021-08-11,P - San Antonio,B.1.351 BETA (South Africa),1,1
2021-08-11,P - San Antonio,B.1.617.2 DELTA (India),3,1
2021-08-11,P - San Antonio,P.1 GAMMA (Brazil),0,0
2021-08-18,P - San Antonio,B.1.1.7 ALPHA (UK),156,1
2021-08-18,P - San Antonio,B.1.351 BETA (South Africa),1,1
2021-08-18,P - San Antonio,B.1.617.2 DELTA (India),3,1
2021-08-18,P - San Antonio,P.1 GAMMA (Brazil),5,NA
2021-06-21,Pending patient info from lab,B.1.1.7 ALPHA (UK),1118,NA
2021-06-21,Pending patient info from lab,B.1.351 BETA (South Africa),3,NA
2021-06-21,Pending patient info from lab,B.1.617.2 DELTA (India),2,NA
2021-06-21,Pending patient info from lab,P.1 GAMMA (Brazil),50,NA
2021-06-23,Pending patient info from lab,B.1.1.7 ALPHA (UK),1120,1.0017889087656529
2021-06-23,Pending patient info from lab,B.1.351 BETA (South Africa),3,1
2021-06-23,Pending patient info from lab,B.1.617.2 DELTA (India),2,1
2021-06-23,Pending patient info from lab,P.1 GAMMA (Brazil),50,1
2021-07-01,Pending patient info from lab,B.1.1.7 ALPHA (UK),2174,1.9410714285714286
2021-07-01,Pending patient info from lab,B.1.351 BETA (South Africa),4,1.3333333333333333
2021-07-01,Pending patient info from lab,B.1.617.2 DELTA (India),95,47.5
2021-07-01,Pending patient info from lab,P.1 GAMMA (Brazil),105,2.1
2021-07-08,Pending patient info from lab,B.1.1.7 ALPHA (UK),2552,1.173873045078197
2021-07-08,Pending patient info from lab,B.1.351 BETA (South Africa),5,1.25
2021-07-08,Pending patient info from lab,B.1.617.2 DELTA (India),194,2.042105263157895
2021-07-08,Pending patient info from lab,P.1 GAMMA (Brazil),123,1.1714285714285715
2021-07-14,Pending patient info from lab,B.1.1.7 ALPHA (UK),4496,1.761755485893417
2021-07-14,Pending patient info from lab,B.1.351 BETA (South Africa),6,1.2
2021-07-14,Pending patient info from lab,B.1.617.2 DELTA (India),377,1.943298969072165
2021-07-14,Pending patient info from lab,P.1 GAMMA (Brazil),247,2.008130081300813
2021-07-21,Pending patient info from lab,B.1.1.7 ALPHA (UK),4541,1.010008896797153
2021-07-21,Pending patient info from lab,B.1.351 BETA (South Africa),7,1.1666666666666667
2021-07-21,Pending patient info from lab,B.1.617.2 DELTA (India),562,1.490716180371353
2021-07-21,Pending patient info from lab,P.1 GAMMA (Brazil),252,1.0202429149797572
2021-07-29,Pending patient info from lab,B.1.1.7 ALPHA (UK),4596,1.0121118696322395
2021-07-29,Pending patient info from lab,B.1.351 BETA (South Africa),8,1.1428571428571428
2021-07-29,Pending patient info from lab,B.1.617.2 DELTA (India),940,1.6725978647686832
2021-07-29,Pending patient info from lab,P.1 GAMMA (Brazil),267,1.0595238095238095
2021-08-06,Pending patient info from lab,B.1.1.7 ALPHA (UK),4657,1.013272410791993
2021-08-06,Pending patient info from lab,B.1.351 BETA (South Africa),8,1
2021-08-06,Pending patient info from lab,B.1.617.2 DELTA (India),1698,1.8063829787234043
2021-08-06,Pending patient info from lab,P.1 GAMMA (Brazil),280,1.048689138576779
2021-08-11,Pending patient info from lab,B.1.1.7 ALPHA (UK),4696,1.008374490015031
2021-08-11,Pending patient info from lab,B.1.351 BETA (South Africa),8,1
2021-08-11,Pending patient info from lab,B.1.617.2 DELTA (India),3210,1.8904593639575973
2021-08-11,Pending patient info from lab,P.1 GAMMA (Brazil),1,0.0035714285714285713
2021-08-18,Pending patient info from lab,B.1.1.7 ALPHA (UK),4750,1.0114991482112436
2021-08-18,Pending patient info from lab,B.1.351 BETA (South Africa),8,1
2021-08-18,Pending patient info from lab,B.1.617.2 DELTA (India),4603,1.4339563862928348
2021-08-18,Pending patient info from lab,P.1 GAMMA (Brazil),301,301
2021-06-21,Q - Houston,B.1.1.7 ALPHA (UK),819,NA
2021-06-21,Q - Houston,B.1.351 BETA (South Africa),3,NA
2021-06-21,Q - Houston,B.1.617.2 DELTA (India),7,NA
2021-06-21,Q - Houston,P.1 GAMMA (Brazil),37,NA
2021-06-23,Q - Houston,B.1.1.7 ALPHA (UK),936,1.1428571428571428
2021-06-23,Q - Houston,B.1.351 BETA (South Africa),3,1
2021-06-23,Q - Houston,B.1.617.2 DELTA (India),7,1
2021-06-23,Q - Houston,P.1 GAMMA (Brazil),29,0.7837837837837838
2021-07-01,Q - Houston,B.1.1.7 ALPHA (UK),937,1.001068376068376
2021-07-01,Q - Houston,B.1.351 BETA (South Africa),4,1.3333333333333333
2021-07-01,Q - Houston,B.1.617.2 DELTA (India),7,1
2021-07-01,Q - Houston,P.1 GAMMA (Brazil),26,0.896551724137931
2021-07-08,Q - Houston,B.1.1.7 ALPHA (UK),937,1
2021-07-08,Q - Houston,B.1.351 BETA (South Africa),4,1
2021-07-08,Q - Houston,B.1.617.2 DELTA (India),7,1
2021-07-08,Q - Houston,P.1 GAMMA (Brazil),35,1.3461538461538463
2021-07-14,Q - Houston,B.1.1.7 ALPHA (UK),937,1
2021-07-14,Q - Houston,B.1.351 BETA (South Africa),4,1
2021-07-14,Q - Houston,B.1.617.2 DELTA (India),7,1
2021-07-14,Q - Houston,P.1 GAMMA (Brazil),26,0.7428571428571429
2021-07-21,Q - Houston,B.1.1.7 ALPHA (UK),937,1
2021-07-21,Q - Houston,B.1.351 BETA (South Africa),4,1
2021-07-21,Q - Houston,B.1.617.2 DELTA (India),7,1
2021-07-21,Q - Houston,P.1 GAMMA (Brazil),26,1
2021-07-29,Q - Houston,B.1.1.7 ALPHA (UK),936,0.9989327641408752
2021-07-29,Q - Houston,B.1.351 BETA (South Africa),4,1
2021-07-29,Q - Houston,B.1.617.2 DELTA (India),7,1
2021-07-29,Q - Houston,P.1 GAMMA (Brazil),26,1
2021-08-06,Q - Houston,B.1.1.7 ALPHA (UK),939,1.0032051282051282
2021-08-06,Q - Houston,B.1.351 BETA (South Africa),4,1
2021-08-06,Q - Houston,B.1.617.2 DELTA (India),6,0.8571428571428571
2021-08-06,Q - Houston,P.1 GAMMA (Brazil),24,0.9230769230769231
2021-08-11,Q - Houston,B.1.1.7 ALPHA (UK),939,1
2021-08-11,Q - Houston,B.1.351 BETA (South Africa),4,1
2021-08-11,Q - Houston,B.1.617.2 DELTA (India),6,1
2021-08-11,Q - Houston,P.1 GAMMA (Brazil),1,0.041666666666666664
2021-08-18,Q - Houston,B.1.1.7 ALPHA (UK),939,1
2021-08-18,Q - Houston,B.1.351 BETA (South Africa),4,1
2021-08-18,Q - Houston,B.1.617.2 DELTA (India),6,1
2021-08-18,Q - Houston,P.1 GAMMA (Brazil),24,24
2021-06-21,R - Galveston,B.1.1.7 ALPHA (UK),355,NA
2021-06-21,R - Galveston,B.1.351 BETA (South Africa),1,NA
2021-06-21,R - Galveston,B.1.617.2 DELTA (India),7,NA
2021-06-21,R - Galveston,P.1 GAMMA (Brazil),4,NA
2021-06-23,R - Galveston,B.1.1.7 ALPHA (UK),378,1.0647887323943661
2021-06-23,R - Galveston,B.1.351 BETA (South Africa),1,1
2021-06-23,R - Galveston,B.1.617.2 DELTA (India),7,1
2021-06-23,R - Galveston,P.1 GAMMA (Brazil),14,3.5
2021-07-01,R - Galveston,B.1.1.7 ALPHA (UK),377,0.9973544973544973
2021-07-01,R - Galveston,B.1.351 BETA (South Africa),1,1
2021-07-01,R - Galveston,B.1.617.2 DELTA (India),7,1
2021-07-01,R - Galveston,P.1 GAMMA (Brazil),16,1.1428571428571428
2021-07-08,R - Galveston,B.1.1.7 ALPHA (UK),377,1
2021-07-08,R - Galveston,B.1.351 BETA (South Africa),1,1
2021-07-08,R - Galveston,B.1.617.2 DELTA (India),7,1
2021-07-08,R - Galveston,P.1 GAMMA (Brazil),6,0.375
2021-07-14,R - Galveston,B.1.1.7 ALPHA (UK),377,1
2021-07-14,R - Galveston,B.1.351 BETA (South Africa),1,1
2021-07-14,R - Galveston,B.1.617.2 DELTA (India),7,1
2021-07-14,R - Galveston,P.1 GAMMA (Brazil),15,2.5
2021-07-21,R - Galveston,B.1.1.7 ALPHA (UK),377,1
2021-07-21,R - Galveston,B.1.351 BETA (South Africa),1,1
2021-07-21,R - Galveston,B.1.617.2 DELTA (India),7,1
2021-07-21,R - Galveston,P.1 GAMMA (Brazil),15,1
2021-07-29,R - Galveston,B.1.1.7 ALPHA (UK),377,1
2021-07-29,R - Galveston,B.1.351 BETA (South Africa),1,1
2021-07-29,R - Galveston,B.1.617.2 DELTA (India),7,1
2021-07-29,R - Galveston,P.1 GAMMA (Brazil),15,1
2021-08-06,R - Galveston,B.1.1.7 ALPHA (UK),379,1.0053050397877985
2021-08-06,R - Galveston,B.1.351 BETA (South Africa),1,1
2021-08-06,R - Galveston,B.1.617.2 DELTA (India),5,0.7142857142857143
2021-08-06,R - Galveston,P.1 GAMMA (Brazil),14,0.9333333333333333
2021-08-11,R - Galveston,B.1.1.7 ALPHA (UK),379,1
2021-08-11,R - Galveston,B.1.351 BETA (South Africa),1,1
2021-08-11,R - Galveston,B.1.617.2 DELTA (India),5,1
2021-08-11,R - Galveston,P.1 GAMMA (Brazil),0,0
2021-08-18,R - Galveston,B.1.1.7 ALPHA (UK),379,1
2021-08-18,R - Galveston,B.1.351 BETA (South Africa),1,1
2021-08-18,R - Galveston,B.1.617.2 DELTA (India),5,1
2021-08-18,R - Galveston,P.1 GAMMA (Brazil),14,NA
2021-06-21,S - Victoria,B.1.1.7 ALPHA (UK),3,NA
2021-06-21,S - Victoria,B.1.351 BETA (South Africa),0,NA
2021-06-21,S - Victoria,B.1.617.2 DELTA (India),0,NA
2021-06-21,S - Victoria,P.1 GAMMA (Brazil),0,NA
2021-06-23,S - Victoria,B.1.1.7 ALPHA (UK),4,1.3333333333333333
2021-06-23,S - Victoria,B.1.351 BETA (South Africa),0,NA
2021-06-23,S - Victoria,B.1.617.2 DELTA (India),0,NA
2021-06-23,S - Victoria,P.1 GAMMA (Brazil),0,NA
2021-07-01,S - Victoria,B.1.1.7 ALPHA (UK),4,1
2021-07-01,S - Victoria,B.1.351 BETA (South Africa),0,NA
2021-07-01,S - Victoria,B.1.617.2 DELTA (India),0,NA
2021-07-01,S - Victoria,P.1 GAMMA (Brazil),0,NA
2021-07-08,S - Victoria,B.1.1.7 ALPHA (UK),4,1
2021-07-08,S - Victoria,B.1.351 BETA (South Africa),0,NA
2021-07-08,S - Victoria,B.1.617.2 DELTA (India),0,NA
2021-07-08,S - Victoria,P.1 GAMMA (Brazil),0,NA
2021-07-14,S - Victoria,B.1.1.7 ALPHA (UK),4,1
2021-07-14,S - Victoria,B.1.351 BETA (South Africa),0,NA
2021-07-14,S - Victoria,B.1.617.2 DELTA (India),0,NA
2021-07-14,S - Victoria,P.1 GAMMA (Brazil),0,NA
2021-07-21,S - Victoria,B.1.1.7 ALPHA (UK),4,1
2021-07-21,S - Victoria,B.1.351 BETA (South Africa),0,NA
2021-07-21,S - Victoria,B.1.617.2 DELTA (India),0,NA
2021-07-21,S - Victoria,P.1 GAMMA (Brazil),0,NA
2021-07-29,S - Victoria,B.1.1.7 ALPHA (UK),4,1
2021-07-29,S - Victoria,B.1.351 BETA (South Africa),0,NA
2021-07-29,S - Victoria,B.1.617.2 DELTA (India),0,NA
2021-07-29,S - Victoria,P.1 GAMMA (Brazil),0,NA
2021-08-06,S - Victoria,B.1.1.7 ALPHA (UK),3,0.75
2021-08-06,S - Victoria,B.1.351 BETA (South Africa),0,NA
2021-08-06,S - Victoria,B.1.617.2 DELTA (India),0,NA
2021-08-06,S - Victoria,P.1 GAMMA (Brazil),0,NA
2021-08-11,S - Victoria,B.1.1.7 ALPHA (UK),3,1
2021-08-11,S - Victoria,B.1.351 BETA (South Africa),0,NA
2021-08-11,S - Victoria,B.1.617.2 DELTA (India),0,NA
2021-08-11,S - Victoria,P.1 GAMMA (Brazil),0,NA
2021-08-18,S - Victoria,B.1.1.7 ALPHA (UK),3,1
2021-08-18,S - Victoria,B.1.351 BETA (South Africa),0,NA
2021-08-18,S - Victoria,B.1.617.2 DELTA (India),0,NA
2021-08-18,S - Victoria,P.1 GAMMA (Brazil),0,NA
2021-06-23,T - Laredo,B.1.1.7 ALPHA (UK),2,NA
2021-06-23,T - Laredo,B.1.351 BETA (South Africa),0,NA
2021-06-23,T - Laredo,B.1.617.2 DELTA (India),0,NA
2021-06-23,T - Laredo,P.1 GAMMA (Brazil),0,NA
2021-07-01,T - Laredo,B.1.1.7 ALPHA (UK),2,1
2021-07-01,T - Laredo,B.1.351 BETA (South Africa),0,NA
2021-07-01,T - Laredo,B.1.617.2 DELTA (India),0,NA
2021-07-01,T - Laredo,P.1 GAMMA (Brazil),0,NA
2021-07-08,T - Laredo,B.1.1.7 ALPHA (UK),2,1
2021-07-08,T - Laredo,B.1.351 BETA (South Africa),0,NA
2021-07-08,T - Laredo,B.1.617.2 DELTA (India),0,NA
2021-07-08,T - Laredo,P.1 GAMMA (Brazil),0,NA
2021-07-14,T - Laredo,B.1.1.7 ALPHA (UK),2,1
