"Level","Date","Cases_Raw","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Differencing"
"Gregg",2020-07-11,NA,NA,NA,NA,NA,NA,NA
"Grimes",2020-03-04,0,0,NA,NA,0,0,1
"Grimes",2020-03-05,0,0,NA,NA,0,0,1
"Grimes",2020-03-06,0,0,NA,NA,0,0,1
"Grimes",2020-03-07,NA,NA,NA,NA,0,0,1
"Grimes",2020-03-08,NA,NA,NA,NA,0,0,1
"Grimes",2020-03-09,0,NA,NA,NA,0,0,1
"Grimes",2020-03-10,0,NA,NA,NA,0,0,1
"Grimes",2020-03-11,0,NA,NA,NA,0,0,1
"Grimes",2020-03-12,0,NA,NA,NA,0,0,1
"Grimes",2020-03-13,0,NA,NA,NA,0,0,1
"Grimes",2020-03-14,NA,NA,NA,NA,0,0,1
"Grimes",2020-03-15,0,NA,NA,NA,0,0,1
"Grimes",2020-03-16,0,NA,NA,NA,0,0,1
"Grimes",2020-03-17,0,NA,NA,NA,0,0,1
"Grimes",2020-03-18,0,NA,NA,NA,0,0,1
"Grimes",2020-03-19,0,NA,NA,NA,0,0,1
"Grimes",2020-03-20,0,NA,NA,NA,0,0,1
"Grimes",2020-03-21,0,0,NA,NA,0,0,1
"Grimes",2020-03-22,0,0,NA,NA,0,0,1
"Grimes",2020-03-23,0,0,NA,NA,0,0,1
"Grimes",2020-03-24,2,0.285714285714286,NA,NA,0,0,1
"Grimes",2020-03-25,0,0.285714285714286,NA,NA,0,0,1
"Grimes",2020-03-26,0,0.285714285714286,NA,NA,0,0,1
"Grimes",2020-03-27,0,0.285714285714286,NA,NA,0,0,1
"Grimes",2020-03-28,0,0.285714285714286,NA,NA,0,0,1
"Grimes",2020-03-29,0,0.285714285714286,NA,NA,0,0,1
"Grimes",2020-03-30,0,0.285714285714286,NA,NA,0,0,1
"Grimes",2020-03-31,1,0.142857142857143,NA,NA,0,0,1
"Grimes",2020-04-01,0,0.142857142857143,NA,NA,0,0,1
"Grimes",2020-04-02,0,0.142857142857143,NA,NA,0,0,1
"Grimes",2020-04-03,0,0.142857142857143,NA,NA,0,0,1
"Grimes",2020-04-04,0,0.142857142857143,NA,NA,0,0,1
"Grimes",2020-04-05,0,0.142857142857143,NA,NA,0,0,1
"Grimes",2020-04-06,0,0.142857142857143,NA,NA,0,0,1
"Grimes",2020-04-07,1,0.142857142857143,NA,NA,0,0,1
"Grimes",2020-04-08,2,0.428571428571429,NA,NA,0,0,1
"Grimes",2020-04-09,0,0.428571428571429,NA,NA,0,0,1
"Grimes",2020-04-10,1,0.571428571428571,NA,NA,0,0,1
"Grimes",2020-04-11,0,0.571428571428571,NA,NA,0,0,1
"Grimes",2020-04-12,1,0.714285714285714,NA,NA,0,0,1
"Grimes",2020-04-13,0,0.714285714285714,NA,NA,0,0,1
"Grimes",2020-04-14,0,0.571428571428571,NA,NA,0,0,1
"Grimes",2020-04-15,0,0.285714285714286,NA,NA,0,0,1
