Plant,Date,Viral_Load_PCT,p_value,Trend,Date_First,Date_Last,v1_est,v2_est,Viral_Copies_Log
NORTHWEST,2020-12-07,90,,0.21,2020-12-07,2020-12-09,,,12.2110547839976
NORTHBELT,2020-12-07,326,,0.81,2020-12-07,2020-12-09,,,12.0273765981505
NORTHGATE,2020-12-07,174,,0.89,2020-12-07,2020-12-09,,,12.0382383098505
69TH STREET,2020-12-07,249,,0.93,2020-12-07,2020-12-09,,,13.1121579191197
PARK TEN,2020-12-07,155,,0.75,2020-12-07,2020-12-09,,,11.0144548239352
SAGEMONT,2020-12-07,231,,0.28,2020-12-07,2020-12-09,,,12.1730975042275
SIMS BAYOU,2020-12-07,180,,0.86,2020-12-07,2020-12-09,,,12.672986155921
SOUTHWEST,2020-12-07,107,,0.22,2020-12-07,2020-12-09,,,12.9499077151022
WILLOWBROOK,2020-12-07,410,,0.45,2020-12-07,2020-12-09,,,11.4766069135379
WHITE OAK,2020-12-07,367,,0.55,2020-12-07,2020-12-09,,,11.8124983769624
WEST DISTRICT,2020-12-07,154,,0.62,2020-12-07,2020-12-09,,,12.3090067625479
WESTWAY,2020-12-07,75,,0.77,2020-12-07,2020-12-09,,,10.4639519123042
METRO CENTRAL,2020-12-07,300,,0.9,2020-12-07,2020-12-09,,,11.6730016504774
SOUTHEAST,2020-12-07,304,,0.9,2020-12-07,2020-12-09,,,12.0861565109717
TURKEY CREEK,2020-12-07,340,,0.46,2020-12-07,2020-12-09,,,12.0462759607796
UPPER BRAYS,2020-12-07,344,,0.16,2020-12-07,2020-12-09,,,12.4912978759491
BELTWAY,2020-12-07,299,,1.05,2020-12-07,2020-12-09,,,12.3640008820801
KEEGANS BAYOU,2020-12-07,62,,0.93,2020-12-07,2020-12-09,,,12.3618327109158
CHOCOLATE BAYOU,2020-12-07,157,,0.74,2020-12-07,2020-12-09,,,11.8942895798114
TIDWELL TIMBERS,2020-12-07,31,,0.61,2020-12-07,2020-12-09,,,10.2308224313165
HOMESTEAD,2020-12-07,195,,1.28,2020-12-07,2020-12-09,,,11.3059286680746
NORTHEAST,2020-12-07,356,,2.08,2020-12-07,2020-12-09,,,11.9314947993412
KINGWOOD CENTRAL,2020-12-07,536,,1.21,2020-12-07,2020-12-09,,,12.0693263447789
KINGWOOD WEST,2020-12-07,475,,1.28,2020-12-07,2020-12-09,,,11.667559641918
MUD203,2020-12-07,140,,0.34,2020-12-07,2020-12-09,,,10.8723713752124
WCID47,2020-12-07,196,,1.51,2020-12-07,2020-12-09,,,12.0264500645321
WCID76,2020-12-07,129,,1.22,2020-12-07,2020-12-09,,,10.8250667395451
WCID111,2020-12-07,138,,0.61,2020-12-07,2020-12-09,,,11.8980105203332
FWSD23,2020-12-07,160,,0.83,2020-12-07,2020-12-09,,,11.6410905826655
WEST LAKE,2020-12-07,,,,2020-12-07,2020-12-09,,,
z.TOTAL,2020-12-07,172,,0.64,2020-12-07,2020-12-09,,,13.7414485974989
CEDAR BAYOU,2020-12-14,771,,0.71,2020-12-14,2020-12-16,,,11.5361974549387
CLINTON PARK,2020-12-14,94,,1.64,2020-12-14,2020-12-16,,,10.4653836533931
EASTHAVEN,2020-12-14,271,,0.65,2020-12-14,2020-12-16,,,11.7696163229152
ALMEDA SIMS,2020-12-14,302,,0.71,2020-12-14,2020-12-16,,,12.3880017445609
GREENRIDGE,2020-12-14,336,,0.79,2020-12-14,2020-12-16,,,12.0603018099774
IMPERIAL VALLEY,2020-12-14,163,,0.66,2020-12-14,2020-12-16,,,11.7993318300862
INTERCONTINENTAL AIRPORT,2020-12-14,552,,0.67,2020-12-14,2020-12-16,,,11.9097080442331
FOREST COVE,2020-12-14,357,,0.39,2020-12-14,2020-12-16,,,10.8812307864465
NORTHWEST,2020-12-14,109,,0.67,2020-12-14,2020-12-16,,,12.2928698609994
NORTHBELT,2020-12-14,392,,0.67,2020-12-14,2020-12-16,,,12.1075622222974
NORTHGATE,2020-12-14,211,,0.7,2020-12-14,2020-12-16,,,12.1227689700168
69TH STREET,2020-12-14,320,,0.82,2020-12-14,2020-12-16,,,13.2196912581747
PARK TEN,2020-12-14,200,,1,2020-12-14,2020-12-16,,,11.1241371520575
SAGEMONT,2020-12-14,233,,0.03,2020-12-14,2020-12-16,,,12.1767846593361
SIMS BAYOU,2020-12-14,224,,0.76,2020-12-14,2020-12-16,,,12.7689428499411
SOUTHWEST,2020-12-14,101,,-0.18,2020-12-14,2020-12-16,,,12.9266420807669
WILLOWBROOK,2020-12-14,472,,0.53,2020-12-14,2020-12-16,,,11.537968756854
WHITE OAK,2020-12-14,410,,0.41,2020-12-14,2020-12-16,,,11.8605964097337
WEST DISTRICT,2020-12-14,195,,0.83,2020-12-14,2020-12-16,,,12.4113133269187
WESTWAY,2020-12-14,87,,0.61,2020-12-14,2020-12-16,,,10.5278513648982
METRO CENTRAL,2020-12-14,403,,1.09,2020-12-14,2020-12-16,,,11.8006872077498
SOUTHEAST,2020-12-14,381,,0.81,2020-12-14,2020-12-16,,,12.1837827952923
TURKEY CREEK,2020-12-14,390,,0.5,2020-12-14,2020-12-16,,,12.1060638554677
UPPER BRAYS,2020-12-14,378,,0.34,2020-12-14,2020-12-16,,,12.5331630204919
BELTWAY,2020-12-14,370,,0.75,2020-12-14,2020-12-16,,,12.4571664659478
KEEGANS BAYOU,2020-12-14,79,,0.83,2020-12-14,2020-12-16,,,12.4646973050919
CHOCOLATE BAYOU,2020-12-14,199,,0.86,2020-12-14,2020-12-16,,,11.9971542160609
TIDWELL TIMBERS,2020-12-14,39,,1.02,2020-12-14,2020-12-16,,,10.3350651425672
HOMESTEAD,2020-12-14,275,,1.33,2020-12-14,2020-12-16,,,11.4559016049486
NORTHEAST,2020-12-14,548,,1.57,2020-12-14,2020-12-16,,,12.1185385323319
KINGWOOD CENTRAL,2020-12-14,692,,0.92,2020-12-14,2020-12-16,,,12.1803233252563
KINGWOOD WEST,2020-12-14,552,,0.56,2020-12-14,2020-12-16,,,11.7327439751137
MUD203,2020-12-14,163,,0.61,2020-12-14,2020-12-16,,,10.9385207477043
WCID47,2020-12-14,265,,1.09,2020-12-14,2020-12-16,,,12.1570666284904
WCID76,2020-12-14,180,,1.33,2020-12-14,2020-12-16,,,10.9691695081115
WCID111,2020-12-14,160,,0.55,2020-12-14,2020-12-16,,,11.963644252812
FWSD23,2020-12-14,204,,0.91,2020-12-14,2020-12-16,,,11.7469416534057
WEST LAKE,2020-12-14,,,,2020-12-14,2020-12-16,,,
z.TOTAL,2020-12-14,206,,0.57,2020-12-14,2020-12-16,,,13.8203458407976
CEDAR BAYOU,2020-12-21,804,,0.16,2020-12-21,2020-12-23,,,11.5542974005327
CLINTON PARK,2020-12-21,168,,2.42,2020-12-21,2020-12-23,,,10.718454367948
EASTHAVEN,2020-12-21,296,,0.33,2020-12-21,2020-12-23,,,11.8084167235977
ALMEDA SIMS,2020-12-21,361,,0.62,2020-12-21,2020-12-23,,,12.4648706724153
GREENRIDGE,2020-12-21,382,,0.46,2020-12-21,2020-12-23,,,12.1160132813275
IMPERIAL VALLEY,2020-12-21,194,,0.64,2020-12-21,2020-12-23,,,11.8745797916044
INTERCONTINENTAL AIRPORT,2020-12-21,679,,0.76,2020-12-21,2020-12-23,,,11.9998752458075
FOREST COVE,2020-12-21,374,,0.19,2020-12-21,2020-12-23,,,10.9021410915614
NORTHWEST,2020-12-21,148,,1.09,2020-12-21,2020-12-23,,,12.4268610272377
NORTHBELT,2020-12-21,450,,0.5,2020-12-21,2020-12-23,,,12.167979640619
NORTHGATE,2020-12-21,242,,0.49,2020-12-21,2020-12-23,,,12.181919794633
69TH STREET,2020-12-21,387,,0.63,2020-12-21,2020-12-23,,,13.3029189543186
PARK TEN,2020-12-21,266,,1.13,2020-12-21,2020-12-23,,,11.2497064086395
SAGEMONT,2020-12-21,232,,-0.01,2020-12-21,2020-12-23,,,12.1754132784758
SIMS BAYOU,2020-12-21,266,,0.59,2020-12-21,2020-12-23,,,12.8439364524665
SOUTHWEST,2020-12-21,87,,-0.51,2020-12-21,2020-12-23,,,12.8602378194388
WILLOWBROOK,2020-12-21,551,,0.58,2020-12-21,2020-12-23,,,11.6050757264607
WHITE OAK,2020-12-21,444,,0.29,2020-12-21,2020-12-23,,,11.894678951007
WEST DISTRICT,2020-12-21,255,,0.95,2020-12-21,2020-12-23,,,12.5288514142406
WESTWAY,2020-12-21,97,,0.43,2020-12-21,2020-12-23,,,10.5733356602918
METRO CENTRAL,2020-12-21,550,,1.15,2020-12-21,2020-12-23,,,11.9360092963182
SOUTHEAST,2020-12-21,458,,0.66,2020-12-21,2020-12-23,,,12.2641557189113
TURKEY CREEK,2020-12-21,450,,0.52,2020-12-21,2020-12-23,,,12.168816035888
UPPER BRAYS,2020-12-21,439,,0.52,2020-12-21,2020-12-23,,,12.5980643245093
BELTWAY,2020-12-21,417,,0.42,2020-12-21,2020-12-23,,,12.509456252247
KEEGANS BAYOU,2020-12-21,95,,0.64,2020-12-21,2020-12-23,,,12.5448183984451
CHOCOLATE BAYOU,2020-12-21,258,,0.93,2020-12-21,2020-12-23,,,12.1083233924621
TIDWELL TIMBERS,2020-12-21,54,,1.35,2020-12-21,2020-12-23,,,10.4750184205404
HOMESTEAD,2020-12-21,383,,1.25,2020-12-21,2020-12-23,,,11.5988375972143
NORTHEAST,2020-12-21,716,,0.96,2020-12-21,2020-12-23,,,12.2342710791544
KINGWOOD CENTRAL,2020-12-21,819,,0.6,2020-12-21,2020-12-23,,,12.253872226642
KINGWOOD WEST,2020-12-21,527,,-0.17,2020-12-21,2020-12-23,,,11.71272026626
MUD203,2020-12-21,203,,0.85,2020-12-21,2020-12-23,,,11.0317982726501
WCID47,2020-12-21,312,,0.58,2020-12-21,2020-12-23,,,12.2277482387895
WCID76,2020-12-21,249,,1.3,2020-12-21,2020-12-23,,,11.1116103288928
WCID111,2020-12-21,183,,0.48,2020-12-21,2020-12-23,,,12.020894468604
FWSD23,2020-12-21,265,,0.95,2020-12-21,2020-12-23,,,11.8591137299615
WEST LAKE,2020-12-21,,,,2020-12-21,2020-12-23,,,
z.TOTAL,2020-12-21,241,,0.5,2020-12-21,2020-12-23,,,13.8889098401535
CEDAR BAYOU,2020-12-28,754,,-0.24,2020-12-28,2020-12-30,,,11.5261138038513
CLINTON PARK,2020-12-28,310,,2.48,2020-12-28,2020-12-30,,,10.9847299573458
EASTHAVEN,2020-12-28,301,,0.05,2020-12-28,2020-12-30,,,11.8143968482704
ALMEDA SIMS,2020-12-28,412,,0.46,2020-12-28,2020-12-30,,,12.5228124844323
GREENRIDGE,2020-12-28,405,,0.2,2020-12-28,2020-12-30,,,12.1407340527001
IMPERIAL VALLEY,2020-12-28,224,,0.53,2020-12-28,2020-12-30,,,11.9377992086077
INTERCONTINENTAL AIRPORT,2020-12-28,810,,0.64,2020-12-28,2020-12-30,,,12.0761359431808
FOREST COVE,2020-12-28,377,,0.02,2020-12-28,2020-12-30,,,10.9046685049595
NORTHWEST,2020-12-28,208,,1.2,2020-12-28,2020-12-30,,,12.5759610404782
NORTHBELT,2020-12-28,491,,0.31,2020-12-28,2020-12-30,,,12.2061107844332
NORTHGATE,2020-12-28,263,,0.3,2020-12-28,2020-12-30,,,12.2189232819425
69TH STREET,2020-12-28,432,,0.36,2020-12-28,2020-12-30,,,13.350596410215
PARK TEN,2020-12-28,348,,1.03,2020-12-28,2020-12-30,,,11.365715756993
SAGEMONT,2020-12-28,242,,0.15,2020-12-28,2020-12-30,,,12.1940144253123
SIMS BAYOU,2020-12-28,297,,0.37,2020-12-28,2020-12-30,,,12.8915701345587
SOUTHWEST,2020-12-28,72,,-0.65,2020-12-28,2020-12-30,,,12.7771277501294
WILLOWBROOK,2020-12-28,640,,0.56,2020-12-28,2020-12-30,,,11.6702883580054
WHITE OAK,2020-12-28,471,,0.22,2020-12-28,2020-12-30,,,11.9202657665756
WEST DISTRICT,2020-12-28,325,,0.84,2020-12-28,2020-12-30,,,12.6335426783916
WESTWAY,2020-12-28,104,,0.31,2020-12-28,2020-12-30,,,10.6065409882408
METRO CENTRAL,2020-12-28,692,,0.84,2020-12-28,2020-12-30,,,12.0360335493186
SOUTHEAST,2020-12-28,520,,0.45,2020-12-28,2020-12-30,,,12.3189709223644
TURKEY CREEK,2020-12-28,512,,0.46,2020-12-28,2020-12-30,,,12.2242816108049
UPPER BRAYS,2020-12-28,520,,0.58,2020-12-28,2020-12-30,,,12.6712610332839
BELTWAY,2020-12-28,435,,0.14,2020-12-28,2020-12-30,,,12.5271110532044
KEEGANS BAYOU,2020-12-28,105,,0.36,2020-12-28,2020-12-30,,,12.589689919584
CHOCOLATE BAYOU,2020-12-28,324,,0.82,2020-12-28,2020-12-30,,,12.2080753714336
TIDWELL TIMBERS,2020-12-28,75,,1.35,2020-12-28,2020-12-30,,,10.6164834185637
HOMESTEAD,2020-12-28,498,,0.99,2020-12-28,2020-12-30,,,11.7136171478794
NORTHEAST,2020-12-28,810,,0.44,2020-12-28,2020-12-30,,,12.288255007456
KINGWOOD CENTRAL,2020-12-28,903,,0.34,2020-12-28,2020-12-30,,,12.2958293977222
KINGWOOD WEST,2020-12-28,438,,-0.69,2020-12-28,2020-12-30,,,11.6321619838356
MUD203,2020-12-28,254,,0.9,2020-12-28,2020-12-30,,,11.1306283943586
WCID47,2020-12-28,327,,0.17,2020-12-28,2020-12-30,,,12.2483975439774
WCID76,2020-12-28,327,,1.06,2020-12-28,2020-12-30,,,11.2297845113802
WCID111,2020-12-28,203,,0.38,2020-12-28,2020-12-30,,,12.0659913598258
FWSD23,2020-12-28,337,,0.88,2020-12-28,2020-12-30,,,11.963924976477
WEST LAKE,2020-12-28,,,,2020-12-28,2020-12-30,,,
z.TOTAL,2020-12-28,273,,0.39,2020-12-28,2020-12-30,,,13.9426035790836
CEDAR BAYOU,2021-01-04,663,,-0.48,2021-01-04,2021-01-06,,,11.4703193542972
CLINTON PARK,2021-01-04,500,,1.9,2021-01-04,2021-01-06,,,11.1930356840874
EASTHAVEN,2021-01-04,286,,-0.18,2021-01-04,2021-01-06,,,11.7927936225417
ALMEDA SIMS,2021-01-04,443,,0.25,2021-01-04,2021-01-06,,,12.5538605463856
GREENRIDGE,2021-01-04,406,,0.01,2021-01-04,2021-01-06,,,12.1425338157939
IMPERIAL VALLEY,2021-01-04,246,,0.33,2021-01-04,2021-01-06,,,11.977234673402
INTERCONTINENTAL AIRPORT,2021-01-04,879,,0.3,2021-01-04,2021-01-06,,,12.111801163458
FOREST COVE,2021-01-04,365,,-0.12,2021-01-04,2021-01-06,,,10.8914795892412
NORTHWEST,2021-01-04,278,,1,2021-01-04,2021-01-06,,,12.7016449588614
NORTHBELT,2021-01-04,507,,0.11,2021-01-04,2021-01-06,,,12.2194923423102
NORTHGATE,2021-01-04,275,,0.15,2021-01-04,2021-01-06,,,12.2373726290476
69TH STREET,2021-01-04,433,,0.01,2021-01-04,2021-01-06,,,13.3514430558576
PARK TEN,2021-01-04,419,,0.71,2021-01-04,2021-01-06,,,11.4464123430603
SAGEMONT,2021-01-04,269,,0.38,2021-01-04,2021-01-06,,,12.24012603038
SIMS BAYOU,2021-01-04,307,,0.11,2021-01-04,2021-01-06,,,12.9055703020127
SOUTHWEST,2021-01-04,61,,-0.57,2021-01-04,2021-01-06,,,12.7044025006661
WILLOWBROOK,2021-01-04,727,,0.47,2021-01-04,2021-01-06,,,11.7257155408875
WHITE OAK,2021-01-04,496,,0.19,2021-01-04,2021-01-06,,,11.9429814915628
WEST DISTRICT,2021-01-04,376,,0.5,2021-01-04,2021-01-06,,,12.6967651571235
WESTWAY,2021-01-04,111,,0.26,2021-01-04,2021-01-06,,,10.6339524121031
METRO CENTRAL,2021-01-04,726,,0.17,2021-01-04,2021-01-06,,,12.0569882169973
SOUTHEAST,2021-01-04,546,,0.17,2021-01-04,2021-01-06,,,12.3398907727064
TURKEY CREEK,2021-01-04,558,,0.31,2021-01-04,2021-01-06,,,12.2618132364709
UPPER BRAYS,2021-01-04,606,,0.52,2021-01-04,2021-01-06,,,12.7374217653327
BELTWAY,2021-01-04,424,,-0.08,2021-01-04,2021-01-06,,,12.5168726209509
KEEGANS BAYOU,2021-01-04,104,,-0.02,2021-01-04,2021-01-06,,,12.5867172971842
CHOCOLATE BAYOU,2021-01-04,379,,0.56,2021-01-04,2021-01-06,,,12.2763123036101
TIDWELL TIMBERS,2021-01-04,96,,1.01,2021-01-04,2021-01-06,,,10.7242096159737
HOMESTEAD,2021-01-04,579,,0.56,2021-01-04,2021-01-06,,,11.7789044545649
NORTHEAST,2021-01-04,816,,0.02,2021-01-04,2021-01-06,,,12.2911343283754
KINGWOOD CENTRAL,2021-01-04,938,,0.14,2021-01-04,2021-01-06,,,12.3125138265376
KINGWOOD WEST,2021-01-04,335,,-0.99,2021-01-04,2021-01-06,,,11.51679438035
MUD203,2021-01-04,307,,0.74,2021-01-04,2021-01-06,,,11.2128101814404
WCID47,2021-01-04,313,,-0.15,2021-01-04,2021-01-06,,,12.2298504454429
WCID76,2021-01-04,386,,0.63,2021-01-04,2021-01-06,,,11.3008950739372
WCID111,2021-01-04,217,,0.24,2021-01-04,2021-01-06,,,12.0950886225564
FWSD23,2021-01-04,408,,0.7,2021-01-04,2021-01-06,,,12.04727205342
WEST LAKE,2021-01-04,,,,2021-01-04,2021-01-06,,,
z.TOTAL,2021-01-04,292,,0.21,2021-01-04,2021-01-06,,,13.9714389794256
CEDAR BAYOU,2021-01-11,571,,-0.56,2021-01-11,2021-01-13,,,11.4055867412727
CLINTON PARK,2021-01-11,601,,0.71,2021-01-11,2021-01-13,,,11.2726155058347
EASTHAVEN,2021-01-11,258,,-0.37,2021-01-11,2021-01-13,,,11.7488439720195
ALMEDA SIMS,2021-01-11,439,,-0.03,2021-01-11,2021-01-13,,,12.5500482240489
GREENRIDGE,2021-01-11,394,,-0.11,2021-01-11,2021-01-13,,,12.1294822623078
IMPERIAL VALLEY,2021-01-11,248,,0.03,2021-01-11,2021-01-13,,,11.9811307782933
INTERCONTINENTAL AIRPORT,2021-01-11,817,,-0.26,2021-01-11,2021-01-13,,,12.0801819337437
FOREST COVE,2021-01-11,344,,-0.24,2021-01-11,2021-01-13,,,10.8652409070069
NORTHWEST,2021-01-11,322,,0.5,2021-01-11,2021-01-13,,,12.7653878405276
NORTHBELT,2021-01-11,491,,-0.11,2021-01-11,2021-01-13,,,12.2056610028205
NORTHGATE,2021-01-11,277,,0.03,2021-01-11,2021-01-13,,,12.2408610330505
69TH STREET,2021-01-11,379,,-0.43,2021-01-11,2021-01-13,,,13.2941783212405
PARK TEN,2021-01-11,438,,0.17,2021-01-11,2021-01-13,,,11.4660433127834
SAGEMONT,2021-01-11,305,,0.44,2021-01-11,2021-01-13,,,12.2943211526124
SIMS BAYOU,2021-01-11,289,,-0.2,2021-01-11,2021-01-13,,,12.8796633606233
SOUTHWEST,2021-01-11,56,,-0.28,2021-01-11,2021-01-13,,,12.6691526988757
WILLOWBROOK,2021-01-11,793,,0.32,2021-01-11,2021-01-13,,,11.7634661645064
WHITE OAK,2021-01-11,526,,0.21,2021-01-11,2021-01-13,,,11.9684507385803
WEST DISTRICT,2021-01-11,370,,-0.05,2021-01-11,2021-01-13,,,12.6898969883641
WESTWAY,2021-01-11,119,,0.26,2021-01-11,2021-01-13,,,10.6620549952366
METRO CENTRAL,2021-01-11,574,,-0.85,2021-01-11,2021-01-13,,,11.9551017029881
SOUTHEAST,2021-01-11,520,,-0.17,2021-01-11,2021-01-13,,,12.318577636992
TURKEY CREEK,2021-01-11,570,,0.07,2021-01-11,2021-01-13,,,12.2707635691384
UPPER BRAYS,2021-01-11,670,,0.34,2021-01-11,2021-01-13,,,12.7812151391726
BELTWAY,2021-01-11,395,,-0.25,2021-01-11,2021-01-13,,,12.4854827076171
KEEGANS BAYOU,2021-01-11,90,,-0.5,2021-01-11,2021-01-13,,,12.5233059599213
CHOCOLATE BAYOU,2021-01-11,394,,0.14,2021-01-11,2021-01-13,,,12.2929363396261
TIDWELL TIMBERS,2021-01-11,105,,0.36,2021-01-11,2021-01-13,,,10.7629464921071
HOMESTEAD,2021-01-11,572,,-0.05,2021-01-11,2021-01-13,,,11.773363797466
NORTHEAST,2021-01-11,748,,-0.31,2021-01-11,2021-01-13,,,12.2535530530518
KINGWOOD CENTRAL,2021-01-11,933,,-0.02,2021-01-11,2021-01-13,,,12.3102445011289
KINGWOOD WEST,2021-01-11,252,,-1.08,2021-01-11,2021-01-13,,,11.392342708313
MUD203,2021-01-11,340,,0.39,2021-01-11,2021-01-13,,,11.2561427025062
WCID47,2021-01-11,281,,-0.38,2021-01-11,2021-01-13,,,12.1829428445749
WCID76,2021-01-11,387,,0.01,2021-01-11,2021-01-13,,,11.3021473966574
WCID111,2021-01-11,222,,0.08,2021-01-11,2021-01-13,,,12.1043400836299
FWSD23,2021-01-11,455,,0.4,2021-01-11,2021-01-13,,,12.0950516212585
WEST LAKE,2021-01-11,,,,2021-01-11,2021-01-13,,,
z.TOTAL,2021-01-11,285,,-0.07,2021-01-11,2021-01-13,,,13.9612539717187
CEDAR BAYOU,2021-01-18,499,,-0.51,2021-01-18,2021-01-20,,,11.3470554362637
CLINTON PARK,2021-01-18,504,,-0.68,2021-01-18,2021-01-20,,,11.1964581627713
EASTHAVEN,2021-01-18,225,,-0.51,2021-01-18,2021-01-20,,,11.6883767054629
ALMEDA SIMS,2021-01-18,397,,-0.34,2021-01-18,2021-01-20,,,12.5070358722258
GREENRIDGE,2021-01-18,375,,-0.18,2021-01-18,2021-01-20,,,12.1079397659011
IMPERIAL VALLEY,2021-01-18,225,,-0.35,2021-01-18,2021-01-20,,,11.9390061572971
INTERCONTINENTAL AIRPORT,2021-01-18,627,,-0.95,2021-01-18,2021-01-20,,,11.9650785348574
FOREST COVE,2021-01-18,316,,-0.34,2021-01-18,2021-01-20,,,10.8285488296979
NORTHWEST,2021-01-18,304,,-0.19,2021-01-18,2021-01-20,,,12.7405215791239
NORTHBELT,2021-01-18,446,,-0.34,2021-01-18,2021-01-20,,,12.1636953025136
NORTHGATE,2021-01-18,272,,-0.07,2021-01-18,2021-01-20,,,12.2323708891767
69TH STREET,2021-01-18,288,,-0.9,2021-01-18,2021-01-20,,,13.1750061642661
PARK TEN,2021-01-18,383,,-0.51,2021-01-18,2021-01-20,,,11.4071587743765
SAGEMONT,2021-01-18,335,,0.33,2021-01-18,2021-01-20,,,12.3348706758823
SIMS BAYOU,2021-01-18,248,,-0.52,2021-01-18,2021-01-20,,,12.8122882671628
SOUTHWEST,2021-01-18,59,,0.16,2021-01-18,2021-01-20,,,12.6898207039637
WILLOWBROOK,2021-01-18,818,,0.12,2021-01-18,2021-01-20,,,11.7771845586851
WHITE OAK,2021-01-18,565,,0.26,2021-01-18,2021-01-20,,,11.9994842488552
WEST DISTRICT,2021-01-18,299,,-0.73,2021-01-18,2021-01-20,,,12.5968379222108
WESTWAY,2021-01-18,128,,0.3,2021-01-18,2021-01-20,,,10.6944066288341
METRO CENTRAL,2021-01-18,324,,-2.09,2021-01-18,2021-01-20,,,11.7057752565566
SOUTHEAST,2021-01-18,445,,-0.55,2021-01-18,2021-01-20,,,12.2513958436289
TURKEY CREEK,2021-01-18,536,,-0.21,2021-01-18,2021-01-20,,,12.2444942358192
UPPER BRAYS,2021-01-18,684,,0.07,2021-01-18,2021-01-20,,,12.7902901480687
BELTWAY,2021-01-18,355,,-0.37,2021-01-18,2021-01-20,,,12.4395658569764
KEEGANS BAYOU,2021-01-18,67,,-1.04,2021-01-18,2021-01-20,,,12.3934949319038
CHOCOLATE BAYOU,2021-01-18,353,,-0.39,2021-01-18,2021-01-20,,,12.2455240425219
TIDWELL TIMBERS,2021-01-18,93,,-0.5,2021-01-18,2021-01-20,,,10.7095333056508
HOMESTEAD,2021-01-18,468,,-0.74,2021-01-18,2021-01-20,,,11.6859808832171
NORTHEAST,2021-01-18,641,,-0.55,2021-01-18,2021-01-20,,,12.186386343825
KINGWOOD CENTRAL,2021-01-18,899,,-0.13,2021-01-18,2021-01-20,,,12.2942160509717
KINGWOOD WEST,2021-01-18,195,,-0.98,2021-01-18,2021-01-20,,,11.2808521032076
MUD203,2021-01-18,330,,-0.11,2021-01-18,2021-01-20,,,11.2436423442811
WCID47,2021-01-18,242,,-0.54,2021-01-18,2021-01-20,,,12.1177142782846
WCID76,2021-01-18,322,,-0.7,2021-01-18,2021-01-20,,,11.2230366038742
WCID111,2021-01-18,216,,-0.1,2021-01-18,2021-01-20,,,12.0920671549446
FWSD23,2021-01-18,459,,0.02,2021-01-18,2021-01-20,,,12.0979472638856
WEST LAKE,2021-01-18,,,,2021-01-18,2021-01-20,,,
z.TOTAL,2021-01-18,250,,-0.41,2021-01-18,2021-01-20,,,13.9046456872269
CEDAR BAYOU,2021-01-25,443,,-0.45,2021-01-25,2021-01-27,,,11.2957320390894
CLINTON PARK,2021-01-25,335,,-1.58,2021-01-25,2021-01-27,,,11.0190237650948
EASTHAVEN,2021-01-25,192,,-0.59,2021-01-25,2021-01-27,,,11.6197376817368
ALMEDA SIMS,2021-01-25,337,,-0.58,2021-01-25,2021-01-27,,,12.43499180184
GREENRIDGE,2021-01-25,350,,-0.25,2021-01-25,2021-01-27,,,12.0774294280756
IMPERIAL VALLEY,2021-01-25,187,,-0.67,2021-01-25,2021-01-27,,,11.8585481757572
INTERCONTINENTAL AIRPORT,2021-01-25,421,,-1.44,2021-01-25,2021-01-27,,,11.7922482624757
FOREST COVE,2021-01-25,285,,-0.41,2021-01-25,2021-01-27,,,10.7837189641192
NORTHWEST,2021-01-25,246,,-0.73,2021-01-25,2021-01-27,,,12.6478054103247
NORTHBELT,2021-01-25,384,,-0.53,2021-01-25,2021-01-27,,,12.0988411698546
NORTHGATE,2021-01-25,258,,-0.18,2021-01-25,2021-01-27,,,12.2103107503671
69TH STREET,2021-01-25,202,,-1.18,2021-01-25,2021-01-27,,,13.0200686544716
PARK TEN,2021-01-25,291,,-1.05,2021-01-25,2021-01-27,,,11.2876181230837
SAGEMONT,2021-01-25,339,,0.04,2021-01-25,2021-01-27,,,12.3400531818872
SIMS BAYOU,2021-01-25,201,,-0.71,2021-01-25,2021-01-27,,,12.7207341823128
SOUTHWEST,2021-01-25,67,,0.48,2021-01-25,2021-01-27,,,12.7502558006496
WILLOWBROOK,2021-01-25,799,,-0.09,2021-01-25,2021-01-27,,,11.7666568149408
WHITE OAK,2021-01-25,604,,0.24,2021-01-25,2021-01-27,,,12.0283054025676
WEST DISTRICT,2021-01-25,212,,-1.18,2021-01-25,2021-01-27,,,12.4486010308781
WESTWAY,2021-01-25,136,,0.27,2021-01-25,2021-01-27,,,10.7228565154273
METRO CENTRAL,2021-01-25,145,,-2.98,2021-01-25,2021-01-27,,,11.3565491167362
SOUTHEAST,2021-01-25,355,,-0.8,2021-01-25,2021-01-27,,,12.1535175664366
TURKEY CREEK,2021-01-25,476,,-0.43,2021-01-25,2021-01-27,,,12.1924027465624
UPPER BRAYS,2021-01-25,644,,-0.2,2021-01-25,2021-01-27,,,12.7642172842778
BELTWAY,2021-01-25,314,,-0.44,2021-01-25,2021-01-27,,,12.3852777793715
KEEGANS BAYOU,2021-01-25,45,,-1.4,2021-01-25,2021-01-27,,,12.2195333528016
CHOCOLATE BAYOU,2021-01-25,285,,-0.76,2021-01-25,2021-01-27,,,12.1523496249595
TIDWELL TIMBERS,2021-01-25,71,,-1.12,2021-01-25,2021-01-27,,,10.5891684326928
HOMESTEAD,2021-01-25,338,,-1.21,2021-01-25,2021-01-27,,,11.5445764088641
NORTHEAST,2021-01-25,527,,-0.7,2021-01-25,2021-01-27,,,12.1014339678389
