Plant,Date,Viral_Load_PCT,p_value,Trend,Date_First,Date_Last,v1_est,v2_est,Viral_Copies_Log
KINGWOOD CENTRAL,2020-07-13,82,,-0.98,2020-07-13,2020-07-15,,,11.2560713212342
KINGWOOD WEST,2020-07-13,55,,-2.25,2020-07-13,2020-07-15,,,10.7303794749002
MUD203,2020-07-13,75,,-1.25,2020-07-13,2020-07-15,,,10.5995373994759
WCID47,2020-07-13,87,,-0.76,2020-07-13,2020-07-15,,,11.6730183905715
WCID76,2020-07-13,105,,-0.4,2020-07-13,2020-07-15,,,10.7378309479244
WCID111,2020-07-13,87,,-0.99,2020-07-13,2020-07-15,,,11.7001152087155
FWSD23,2020-07-13,70,,-1.22,2020-07-13,2020-07-15,,,11.2792259686945
WEST LAKE,2020-07-13,,,,2020-07-13,2020-07-15,,,
z.TOTAL,2020-07-13,74,,-1.2,2020-07-13,2020-07-15,,,13.3758808169154
CEDAR BAYOU,2020-07-20,105,,-0.34,2020-07-20,2020-07-22,,,10.6707153900738
CLINTON PARK,2020-07-20,44,,-1.56,2020-07-20,2020-07-22,,,10.1349011448399
EASTHAVEN,2020-07-20,60,,-1.13,2020-07-20,2020-07-22,,,11.1129761395882
ALMEDA SIMS,2020-07-20,78,,-0.68,2020-07-20,2020-07-22,,,11.7976274739619
GREENRIDGE,2020-07-20,76,,-0.53,2020-07-20,2020-07-22,,,11.4165839437954
IMPERIAL VALLEY,2020-07-20,54,,-1.32,2020-07-20,2020-07-22,,,11.3216480275221
INTERCONTINENTAL AIRPORT,2020-07-20,55,,-1.06,2020-07-20,2020-07-22,,,10.9093646124632
FOREST COVE,2020-07-20,67,,-1.06,2020-07-20,2020-07-22,,,10.1549044137629
NORTHWEST,2020-07-20,66,,-0.73,2020-07-20,2020-07-22,,,12.0750353227923
NORTHBELT,2020-07-20,56,,-1.27,2020-07-20,2020-07-22,,,11.2601564221217
NORTHGATE,2020-07-20,57,,-1.3,2020-07-20,2020-07-22,,,11.5573567225209
69TH STREET,2020-07-20,68,,-0.63,2020-07-20,2020-07-22,,,12.5446150436309
PARK TEN,2020-07-20,75,,-0.23,2020-07-20,2020-07-22,,,10.6987887948616
SAGEMONT,2020-07-20,64,,-1.17,2020-07-20,2020-07-22,,,11.6140751323389
SIMS BAYOU,2020-07-20,75,,-0.64,2020-07-20,2020-07-22,,,12.2942083341594
SOUTHWEST,2020-07-20,28,,-2.36,2020-07-20,2020-07-22,,,12.3680750268563
WILLOWBROOK,2020-07-20,129,,0.46,2020-07-20,2020-07-22,,,10.9747264211041
