"Date","Group","Cases_Cumulative","Cases_PCT","Cases_Daily","Deaths_Cumulative","Deaths_PCT","Deaths_Daily","Group_Type"
2020-06-01,"60-64 years",1161,0.078,2,45,0.091,0,"Age"
2020-06-01,"65-69 years",845,0.0564462257849,4,58,0.117,0,"Age"
2020-06-01,"70-74 years",552,0.037,1,47,0.095,0,"Age"
2020-06-01,"75-79 years",366,0.024,1,45,0.091,0,"Age"
2020-06-01,"80+ years",651,0.0434869739479,0,199,0.403,0,"Age"
2020-06-01,"Unknown",123,0.008,0,3,0.006,0,"Age"
2020-06-02,"<1 year",38,0.003,0,0,0,0,"Age"
2020-06-02,"1-9 years",173,0.012,1,0,0,0,"Age"
2020-06-02,"10-19 years",445,0.03,2,2,0.0040404040404,0,"Age"
2020-06-02,"20-29 years",2317,0.155,1,11,0.022,0,"Age"
2020-06-02,"30-39 years",2749,0.183,4,9,0.018,0,"Age"
2020-06-02,"40-49 years",2806,0.1871789740511,1,21,0.042,0,"Age"
2020-06-02,"50-59 years",2759,0.184,6,54,0.109,0,"Age"
2020-06-02,"60-64 years",1164,0.078,3,45,0.091,0,"Age"
2020-06-02,"65-69 years",846,0.056,1,58,0.117,0,"Age"
2020-06-02,"70-74 years",552,0.037,0,47,0.095,0,"Age"
2020-06-02,"75-79 years",367,0.024,1,46,0.093,1,"Age"
2020-06-02,"80+ years",652,0.043,1,199,0.4020202020202,0,"Age"
2020-06-02,"Unknown",123,0.008,0,3,0.006,0,"Age"
2020-06-04,"<1 year",38,0.003,0,0,0,0,"Age"
2020-06-04,"1-9 years",174,0.012,1,0,0,0,"Age"
2020-06-04,"10-19 years",452,0.03,7,2,0.003,0,"Age"
2020-06-04,"20-29 years",2329,0.154,12,11,0.017,0,"Age"
2020-06-04,"30-39 years",2776,0.184,27,13,0.02,4,"Age"
2020-06-04,"40-49 years",2829,0.187,23,26,0.039,5,"Age"
2020-06-04,"50-59 years",2789,0.184,30,72,0.108,18,"Age"
2020-06-04,"60-64 years",1176,0.078,12,60,0.09,15,"Age"
2020-06-04,"65-69 years",859,0.057,13,74,0.111,16,"Age"
2020-06-04,"70-74 years",556,0.037,4,69,0.1039156626506,22,"Age"
2020-06-04,"75-79 years",373,0.0246578964765,6,70,0.105,24,"Age"
2020-06-04,"80+ years",653,0.043,1,265,0.399,66,"Age"
2020-06-04,"Unknown",123,0.008,0,2,0.003,-1,"Age"
2020-06-05,"<1 year",38,0.003,0,0,0,0,"Age"
2020-06-05,"1-9 years",174,0.0114927344782,0,0,0,0,"Age"
2020-06-05,"10-19 years",452,0.03,0,2,0.003,0,"Age"
2020-06-05,"20-29 years",2330,0.154,1,11,0.017,0,"Age"
2020-06-05,"30-39 years",2777,0.1834214002642,1,13,0.02,0,"Age"
2020-06-05,"40-49 years",2830,0.187,1,26,0.039,0,"Age"
2020-06-05,"50-59 years",2793,0.184,4,72,0.108,0,"Age"
2020-06-05,"60-64 years",1179,0.078,3,60,0.09,0,"Age"
2020-06-05,"65-69 years",860,0.057,1,74,0.111,0,"Age"
2020-06-05,"70-74 years",558,0.037,2,69,0.1039156626506,0,"Age"
2020-06-05,"75-79 years",373,0.025,0,70,0.105,0,"Age"
