"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Cases_Daily","Cases_Daily_NO_NEGATIVE","Deaths_Cumulative","Deaths_PCT","Deaths_Daily","Deaths_Daily_NO_NEGATIVE"
2020-05-29,"Gender","Unknown",282,0.0189541605054443,1,1,31,0.0631364562118126,0,0
2020-05-29,"Race","Asian",498,0.0334722408925931,0,0,6,0.0122199592668024,0,0
2020-05-29,"Race","Black",2341,0.157346417529238,26,26,67,0.136456211812627,0,0
2020-05-29,"Race","Hispanic",5912,0.397365237263073,39,39,122,0.24847250509165,0,0
2020-05-29,"Race","Other",96,0.00645248017206614,0,0,1,0.00203665987780041,-1,0
2020-05-29,"Race","Unknown",1938,0.130259443473585,-1,0,114,0.232179226069246,0,0
2020-05-29,"Race","White",4093,0.275104180669445,28,28,181,0.368635437881874,0,0
2020-05-30,"Age","1-9 years",170,0.0113902847571189,0,0,0,0,0,0
2020-05-30,"Age","10-19 years",441,0.0295477386934673,1,1,2,0.00404858299595142,0,0
2020-05-30,"Age","20-29 years",2309,0.154706867671692,3,3,11,0.0222672064777328,0,0
2020-05-30,"Age","30-39 years",2732,0.183048576214405,4,4,9,0.0182186234817814,0,0
2020-05-30,"Age","40-49 years",2798,0.187470686767169,3,3,21,0.0425101214574899,0,0
2020-05-30,"Age","50-59 years",2747,0.184053601340034,12,12,54,0.109311740890688,0,0
2020-05-30,"Age","60-64 years",1159,0.0776549413735343,5,5,45,0.0910931174089069,0,0
2020-05-30,"Age","65-69 years",841,0.0563484087102178,8,8,58,0.117408906882591,0,0
2020-05-30,"Age","70-74 years",551,0.0369179229480737,7,7,47,0.0951417004048583,2,2
2020-05-30,"Age","75-79 years",365,0.0244556113902848,3,3,45,0.0910931174089069,0,0
2020-05-30,"Age","80+ years",651,0.0436180904522613,1,1,199,0.402834008097166,1,1
2020-05-30,"Age","<1 year",38,0.00254606365159129,0,0,0,0,0,0
2020-05-30,"Age","Unknown",123,0.00824120603015075,0,0,3,0.00607287449392713,0,0
2020-05-30,"Gender","Female",6722,0.450385259631491,4,4,192,0.388663967611336,0,0
2020-05-30,"Gender","Male",7921,0.5307202680067,43,43,271,0.548582995951417,3,3
2020-05-30,"Gender","Unknown",282,0.018894472361809,0,0,31,0.062753036437247,0,0
2020-05-30,"Race","Asian",498,0.0333668341708543,0,0,6,0.0121457489878543,0,0
2020-05-30,"Race","Black",2360,0.158123953098827,19,19,67,0.135627530364372,0,0
2020-05-30,"Race","Hispanic",5923,0.396850921273032,11,11,122,0.246963562753036,0,0
2020-05-30,"Race","Other",96,0.0064321608040201,0,0,1,0.00202429149797571,0,0
2020-05-30,"Race","Unknown",1941,0.130050251256281,3,3,115,0.232793522267206,1,1
2020-05-30,"Race","White",4107,0.275175879396985,14,14,183,0.370445344129555,2,2
2020-06-01,"Age","1-9 years",172,0.0114896459585838,2,2,0,0,0,0
2020-06-01,"Age","10-19 years",443,0.0295925183700735,2,2,2,0.00404858299595142,0,0
2020-06-01,"Age","20-29 years",2316,0.154709418837675,7,7,11,0.0222672064777328,0,0
2020-06-01,"Age","30-39 years",2745,0.183366733466934,13,13,9,0.0182186234817814,0,0
2020-06-01,"Age","40-49 years",2805,0.187374749498998,7,7,21,0.0425101214574899,0,0
2020-06-01,"Age","50-59 years",2753,0.183901135604542,6,6,54,0.109311740890688,0,0
2020-06-01,"Age","60-64 years",1161,0.0775551102204409,2,2,45,0.0910931174089069,0,0
2020-06-01,"Age","65-69 years",845,0.0564462257849031,4,4,58,0.117408906882591,0,0
2020-06-01,"Age","70-74 years",552,0.03687374749499,1,1,47,0.0951417004048583,0,0
2020-06-01,"Age","75-79 years",366,0.0244488977955912,1,1,45,0.0910931174089069,0,0
2020-06-01,"Age","80+ years",651,0.0434869739478958,0,0,199,0.402834008097166,0,0
2020-06-01,"Age","<1 year",38,0.00253841015364061,0,0,0,0,0,0
2020-06-01,"Age","Unknown",123,0.00821643286573146,0,0,3,0.00607287449392713,0,0
2020-06-01,"Gender","Female",6751,0.450968603874416,29,29,192,0.388663967611336,0,0
2020-06-01,"Gender","Male",7936,0.530126920507682,15,15,271,0.548582995951417,0,0
2020-06-01,"Gender","Unknown",283,0.0189044756179025,1,1,31,0.062753036437247,0,0
2020-06-01,"Race","Asian",500,0.0334001336005344,2,2,6,0.0121457489878543,0,0
2020-06-01,"Race","Black",2365,0.157982631930528,5,5,67,0.135627530364372,0,0
2020-06-01,"Race","Hispanic",5951,0.39752839011356,28,28,122,0.246963562753036,0,0
2020-06-01,"Race","Other",96,0.00641282565130261,0,0,1,0.00202429149797571,0,0
2020-06-01,"Race","Unknown",1942,0.129726118904476,1,1,115,0.232793522267206,0,0
2020-06-01,"Race","White",4116,0.274949899799599,9,9,183,0.370445344129555,0,0
2020-06-02,"Age","1-9 years",173,0.011540257487826,1,1,0,0,0,0
2020-06-02,"Age","10-19 years",445,0.0296844773530785,2,2,2,0.00404040404040404,0,0
2020-06-02,"Age","20-29 years",2317,0.154559402308051,1,1,11,0.0222222222222222,0,0
