County,Date,Cases_Daily,case_7ma,case_7ma_prev,case_7ma_diff,spike
Lampasas,2022-01-19,178,47.1428571428571,22.8571428571429,2.0625,TRUE
Brown,2022-01-22,282,73.1428571428571,36.1428571428572,2.02371541501976,TRUE
Van Zandt,2022-01-22,390,88.4285714285714,38.4285714285714,2.30111524163569,TRUE
Deaf Smith,2022-02-10,158,24.2857142857143,3.28571428571429,7.39130434782609,TRUE
Potter,2022-02-10,508,98.1428571428571,32.8571428571429,2.98695652173913,TRUE
Randall,2022-02-10,307,65.5714285714286,27.5714285714286,2.37823834196891,TRUE
McLennan,2022-02-15,515,112.285714285714,46.4285714285714,2.41846153846154,TRUE
Fannin,2022-02-21,82,12.8571428571429,1.71428571428571,7.5,TRUE
Ellis,2022-02-25,190,39.7142857142857,15.1428571428571,2.62264150943396,TRUE
Bell,2022-03-07,395,67,14.8571428571429,4.50961538461538,TRUE
Taylor,2022-03-07,83,13.1428571428571,1.57142857142857,8.36363636363636,TRUE
Van Zandt,2022-03-07,142,21.4285714285714,1.71428571428571,12.5,TRUE
Harris,2022-03-22,2833,581.285714285714,195.428571428571,2.97441520467836,TRUE
Harris,2022-03-23,8433,1770.14285714286,581.285714285714,3.04521995576309,TRUE
Liberty,2022-03-23,153,34.1428571428571,12.8571428571429,2.65555555555556,TRUE
Montgomery,2022-03-23,436,98.7142857142857,39.5714285714286,2.49458483754513,TRUE
Bexar,2022-03-26,2392,423.714285714286,87,4.87027914614122,TRUE
Johnson,2022-03-29,140,29.5714285714286,13.4285714285714,2.20212765957447,TRUE
Dallas,2022-03-31,550,117.714285714286,47.1428571428571,2.4969696969697,TRUE
Denton,2022-03-31,153,34.4285714285714,14.8571428571429,2.31730769230769,TRUE
Tarrant,2022-03-31,2078,326.571428571429,35.2857142857143,9.25506072874494,TRUE
McLennan,2022-04-22,507,110.857142857143,50.1428571428572,2.21082621082621,TRUE
Webb,2022-05-01,203,54.2857142857143,26.1428571428571,2.07650273224044,TRUE
Webb,2022-05-02,1105,211.428571428571,54.2857142857143,3.89473684210526,TRUE
Anderson,2022-05-05,106,15.1428571428571,0.142857142857143,106,TRUE
Walker,2022-05-13,642,95.2857142857143,4.14285714285714,23,TRUE
Starr,2022-05-22,142,22.2857142857143,2.28571428571429,9.75,TRUE
