County,Race/Ethnicity,Boosted,Date
Carson,Asian,40,2022-09-06
Carson,Black,15,2022-09-06
Carson,Hispanic,451,2022-09-06
Carson,Other,645,2022-09-06
Carson,Unknown,365,2022-09-06
Carson,White,3825,2022-09-06
Cass,Asian,131,2022-09-06
Cass,Black,3987,2022-09-06
Cass,Hispanic,1623,2022-09-06
Cass,Other,4024,2022-09-06
Cass,Unknown,732,2022-09-06
Cass,White,15795,2022-09-06
Castro,Asian,23,2022-09-06
Castro,Black,89,2022-09-06
Castro,Hispanic,5083,2022-09-06
Castro,Other,456,2022-09-06
Castro,Unknown,331,2022-09-06
Castro,White,2368,2022-09-06
Chambers,Asian,1028,2022-09-06
Chambers,Black,4096,2022-09-06
Chambers,Hispanic,10731,2022-09-06
Chambers,Other,8908,2022-09-06
Chambers,Unknown,1241,2022-09-06
Chambers,White,28520,2022-09-06
Cherokee,Asian,285,2022-09-06
Cherokee,Black,6310,2022-09-06
Cherokee,Hispanic,11104,2022-09-06
Cherokee,Other,7401,2022-09-06
Cherokee,Unknown,2001,2022-09-06
Cherokee,White,26879,2022-09-06
Childress,Asian,100,2022-09-06
Childress,Black,882,2022-09-06
Childress,Hispanic,1399,2022-09-06
Childress,Other,1340,2022-09-06
Childress,Unknown,186,2022-09-06
Childress,White,4797,2022-09-06
Clay,Asian,51,2022-09-06
Clay,Black,52,2022-09-06
Clay,Hispanic,487,2022-09-06
Clay,Other,1776,2022-09-06
Clay,Unknown,445,2022-09-06
Clay,White,8227,2022-09-06
Cochran,Asian,6,2022-09-06
Cochran,Black,54,2022-09-06
Cochran,Hispanic,1357,2022-09-06
Cochran,Other,198,2022-09-06
Cochran,Unknown,271,2022-09-06
Cochran,White,721,2022-09-06
Coke,Asian,2,2022-09-06
Coke,Black,8,2022-09-06
Coke,Hispanic,504,2022-09-06
Coke,Other,569,2022-09-06
Coke,Unknown,86,2022-09-06
Coke,White,2191,2022-09-06
Coleman,Asian,46,2022-09-06
Coleman,Black,63,2022-09-06
Coleman,Hispanic,764,2022-09-06
Coleman,Other,707,2022-09-06
Coleman,Unknown,2714,2022-09-06
Coleman,White,3557,2022-09-06
Collin,Asian,323042,2022-09-06
Collin,Black,130916,2022-09-06
Collin,Hispanic,241622,2022-09-06
Collin,Other,405943,2022-09-06
Collin,Unknown,50073,2022-09-06
Collin,White,708649,2022-09-06
Collingsworth,Asian,15,2022-09-06
Collingsworth,Black,71,2022-09-06
Collingsworth,Hispanic,458,2022-09-06
Collingsworth,Other,178,2022-09-06
Collingsworth,Unknown,141,2022-09-06
Collingsworth,White,1603,2022-09-06
Colorado,Asian,177,2022-09-06
Colorado,Black,2553,2022-09-06
Colorado,Hispanic,6161,2022-09-06
Colorado,Other,3877,2022-09-06
Colorado,Unknown,2022,2022-09-06
Colorado,White,14043,2022-09-06
Comal,Asian,2968,2022-09-06
Comal,Black,4347,2022-09-06
Comal,Hispanic,46296,2022-09-06
Comal,Other,66275,2022-09-06
Comal,Unknown,7931,2022-09-06
Comal,White,121860,2022-09-06
Comanche,Asian,41,2022-09-06
Comanche,Black,22,2022-09-06
Comanche,Hispanic,3090,2022-09-06
Comanche,Other,1237,2022-09-06
Comanche,Unknown,2702,2022-09-06
Comanche,White,8468,2022-09-06
Concho,Asian,13,2022-09-06
Concho,Black,47,2022-09-06
Concho,Hispanic,1032,2022-09-06
Concho,Other,334,2022-09-06
Concho,Unknown,332,2022-09-06
Concho,White,1760,2022-09-06
Cooke,Asian,442,2022-09-06
Cooke,Black,853,2022-09-06
Cooke,Hispanic,6225,2022-09-06
Cooke,Other,5125,2022-09-06
Cooke,Unknown,2441,2022-09-06
Cooke,White,25439,2022-09-06
Coryell,Asian,1434,2022-09-06
Coryell,Black,10949,2022-09-06
Coryell,Hispanic,8646,2022-09-06
Coryell,Other,17419,2022-09-06
Coryell,Unknown,2906,2022-09-06
Coryell,White,42052,2022-09-06
Cottle,Black,31,2022-09-06
Cottle,Hispanic,278,2022-09-06
Cottle,Other,228,2022-09-06
Cottle,Unknown,37,2022-09-06
Cottle,White,706,2022-09-06
Crane,Asian,20,2022-09-06
Crane,Black,24,2022-09-06
Crane,Hispanic,2738,2022-09-06
Crane,Other,503,2022-09-06
Crane,Unknown,152,2022-09-06
Crane,White,1189,2022-09-06
Crockett,Asian,36,2022-09-06
Crockett,Black,13,2022-09-06
Crockett,Hispanic,2413,2022-09-06
Crockett,Other,557,2022-09-06
Crockett,Unknown,76,2022-09-06
Crockett,White,1180,2022-09-06
Crosby,Asian,15,2022-09-06
Crosby,Black,90,2022-09-06
Crosby,Hispanic,2953,2022-09-06
Crosby,Other,783,2022-09-06
Crosby,Unknown,455,2022-09-06
Crosby,White,2277,2022-09-06
Culberson,Asian,74,2022-09-06
Culberson,Black,10,2022-09-06
Culberson,Hispanic,2164,2022-09-06
Culberson,Other,148,2022-09-06
Culberson,Unknown,148,2022-09-06
Culberson,White,513,2022-09-06
Dallam,Asian,42,2022-09-06
Dallam,Black,108,2022-09-06
Dallam,Hispanic,3969,2022-09-06
Dallam,Other,662,2022-09-06
Dallam,Unknown,1163,2022-09-06
Dallam,White,2296,2022-09-06
Dallas,Asian,293639,2022-09-06
Dallas,Black,567025,2022-09-06
Dallas,Hispanic,1389166,2022-09-06
Dallas,Other,731101,2022-09-06
Dallas,Unknown,99134,2022-09-06
Dallas,White,1042359,2022-09-06
Dawson,Asian,45,2022-09-06
Dawson,Black,824,2022-09-06
Dawson,Hispanic,4126,2022-09-06
Dawson,Other,1882,2022-09-06
Dawson,Unknown,521,2022-09-06
Dawson,White,3204,2022-09-06
Deaf Smith,Asian,78,2022-09-06
Deaf Smith,Black,92,2022-09-06
Deaf Smith,Hispanic,12424,2022-09-06
Deaf Smith,Other,1169,2022-09-06
Deaf Smith,Unknown,1639,2022-09-06
Deaf Smith,White,4313,2022-09-06
Delta,Asian,35,2022-09-06
Delta,Black,273,2022-09-06
Delta,Hispanic,300,2022-09-06
Delta,Other,733,2022-09-06
Delta,Unknown,265,2022-09-06
Delta,White,2949,2022-09-06
Denton,Asian,141954,2022-09-06
Denton,Black,106490,2022-09-06
Denton,Hispanic,241841,2022-09-06
Denton,Other,294577,2022-09-06
Denton,Unknown,31289,2022-09-06
Denton,White,627473,2022-09-06
DeWitt,Asian,141,2022-09-06
DeWitt,Black,1647,2022-09-06
DeWitt,Hispanic,4232,2022-09-06
DeWitt,Other,5252,2022-09-06
DeWitt,Unknown,1331,2022-09-06
DeWitt,White,11245,2022-09-06
Dickens,Asian,6,2022-09-06
Dickens,Black,25,2022-09-06
Dickens,Hispanic,284,2022-09-06
Dickens,Other,232,2022-09-06
Dickens,Unknown,45,2022-09-06
Dickens,White,1172,2022-09-06
Dimmit,Asian,72,2022-09-06
Dimmit,Black,98,2022-09-06
Dimmit,Hispanic,15675,2022-09-06
Dimmit,Other,2618,2022-09-06
Dimmit,Unknown,721,2022-09-06
Dimmit,White,3719,2022-09-06
Donley,Asian,15,2022-09-06
Donley,Black,62,2022-09-06
Donley,Hispanic,213,2022-09-06
Donley,Other,742,2022-09-06
Donley,Unknown,158,2022-09-06
Donley,White,1882,2022-09-06
Duval,Asian,42,2022-09-06
Duval,Black,338,2022-09-06
Duval,Hispanic,13344,2022-09-06
Duval,Other,1778,2022-09-06
Duval,Unknown,609,2022-09-06
Duval,White,3229,2022-09-06
Eastland,Asian,118,2022-09-06
Eastland,Black,154,2022-09-06
Eastland,Hispanic,2070,2022-09-06
Eastland,Other,1682,2022-09-06
Eastland,Unknown,889,2022-09-06
Eastland,White,11728,2022-09-06
Ector,Asian,2639,2022-09-06
Ector,Black,5027,2022-09-06
Ector,Hispanic,80725,2022-09-06
Ector,Other,25436,2022-09-06
Ector,Unknown,6501,2022-09-06
Ector,White,57979,2022-09-06
Edwards,Black,3,2022-09-06
Edwards,Hispanic,691,2022-09-06
Edwards,Other,336,2022-09-06
Edwards,Unknown,121,2022-09-06
Edwards,White,834,2022-09-06
El Paso,Asian,9471,2022-09-06
El Paso,Black,14999,2022-09-06
El Paso,Hispanic,1456775,2022-09-06
El Paso,Other,80538,2022-09-06
El Paso,Unknown,131878,2022-09-06
El Paso,White,107907,2022-09-06
Ellis,Asian,2152,2022-09-06
Ellis,Black,30096,2022-09-06
Ellis,Hispanic,49069,2022-09-06
Ellis,Other,46315,2022-09-06
Ellis,Unknown,5897,2022-09-06
Ellis,White,118048,2022-09-06
Erath,Asian,399,2022-09-06
Erath,Black,336,2022-09-06
Erath,Hispanic,6699,2022-09-06
Erath,Other,7711,2022-09-06
Erath,Unknown,1154,2022-09-06
Erath,White,23891,2022-09-06
Falls,Asian,125,2022-09-06
Falls,Black,3909,2022-09-06
Falls,Hispanic,3324,2022-09-06
Falls,Other,3404,2022-09-06
Falls,Unknown,623,2022-09-06
Falls,White,9460,2022-09-06
Fannin,Asian,185,2022-09-06
Fannin,Black,2208,2022-09-06
Fannin,Hispanic,3735,2022-09-06
Fannin,Other,4066,2022-09-06
Fannin,Unknown,2783,2022-09-06
Fannin,White,23951,2022-09-06
Fayette,Asian,130,2022-09-06
Fayette,Black,1238,2022-09-06
Fayette,Hispanic,3534,2022-09-06
Fayette,Other,9476,2022-09-06
Fayette,Unknown,1311,2022-09-06
Fayette,White,18312,2022-09-06
Fisher,Asian,3,2022-09-06
Fisher,Black,43,2022-09-06
Fisher,Hispanic,839,2022-09-06
Fisher,Other,225,2022-09-06
Fisher,Unknown,568,2022-09-06
Fisher,White,1942,2022-09-06
Floyd,Asian,6,2022-09-06
Floyd,Black,95,2022-09-06
Floyd,Hispanic,2971,2022-09-06
Floyd,Other,574,2022-09-06
Floyd,Unknown,205,2022-09-06
Floyd,White,2598,2022-09-06
Foard,Asian,5,2022-09-06
Foard,Black,39,2022-09-06
Foard,Hispanic,150,2022-09-06
Foard,Other,98,2022-09-06
Foard,Unknown,178,2022-09-06
Foard,White,886,2022-09-06
Fort Bend,Asian,278327,2022-09-06
Fort Bend,Black,213077,2022-09-06
Fort Bend,Hispanic,303393,2022-09-06
Fort Bend,Other,405867,2022-09-06
Fort Bend,Unknown,36885,2022-09-06
Fort Bend,White,320317,2022-09-06
Franklin,Asian,74,2022-09-06
Franklin,Black,336,2022-09-06
Franklin,Hispanic,1119,2022-09-06
Franklin,Other,1585,2022-09-06
Franklin,Unknown,951,2022-09-06
Franklin,White,6245,2022-09-06
Freestone,Asian,135,2022-09-06
Freestone,Black,2976,2022-09-06
Freestone,Hispanic,1818,2022-09-06
Freestone,Other,3492,2022-09-06
Freestone,Unknown,434,2022-09-06
Freestone,White,10695,2022-09-06
Frio,Asian,127,2022-09-06
Frio,Black,1251,2022-09-06
Frio,Hispanic,17803,2022-09-06
Frio,Other,5065,2022-09-06
Frio,Unknown,1387,2022-09-06
Frio,White,4113,2022-09-06
Gaines,Asian,86,2022-09-06
Gaines,Black,131,2022-09-06
Gaines,Hispanic,4709,2022-09-06
Gaines,Other,1035,2022-09-06
Gaines,Unknown,2044,2022-09-06
Gaines,White,3049,2022-09-06
Galveston,Asian,23091,2022-09-06
Galveston,Black,54713,2022-09-06
Galveston,Hispanic,113528,2022-09-06
Galveston,Other,156255,2022-09-06
Galveston,Unknown,8951,2022-09-06
Galveston,White,188161,2022-09-06
Garza,Asian,31,2022-09-06
Garza,Black,118,2022-09-06
Garza,Hispanic,3830,2022-09-06
Garza,Other,474,2022-09-06
Garza,Unknown,75,2022-09-06
Garza,White,1620,2022-09-06
Gillespie,Asian,221,2022-09-06
Gillespie,Black,72,2022-09-06
Gillespie,Hispanic,3956,2022-09-06
Gillespie,Other,8309,2022-09-06
Gillespie,Unknown,1677,2022-09-06
Gillespie,White,24902,2022-09-06
Glasscock,Asian,8,2022-09-06
Glasscock,Black,2,2022-09-06
Glasscock,Hispanic,429,2022-09-06
Glasscock,Other,363,2022-09-06
Glasscock,Unknown,38,2022-09-06
Glasscock,White,637,2022-09-06
Goliad,Asian,34,2022-09-06
Goliad,Black,196,2022-09-06
Goliad,Hispanic,2215,2022-09-06
Goliad,Other,1692,2022-09-06
Goliad,Unknown,510,2022-09-06
Goliad,White,3968,2022-09-06
Gonzales,Asian,113,2022-09-06
Gonzales,Black,1184,2022-09-06
Gonzales,Hispanic,8870,2022-09-06
Gonzales,Other,4978,2022-09-06
Gonzales,Unknown,1248,2022-09-06
Gonzales,White,9977,2022-09-06
Gray,Asian,155,2022-09-06
Gray,Black,872,2022-09-06
Gray,Hispanic,4464,2022-09-06
Gray,Other,3203,2022-09-06
Gray,Unknown,1554,2022-09-06
Gray,White,11698,2022-09-06
Grayson,Asian,1481,2022-09-06
Grayson,Black,6017,2022-09-06
Grayson,Hispanic,16263,2022-09-06
Grayson,Other,24978,2022-09-06
Grayson,Unknown,8286,2022-09-06
Grayson,White,93240,2022-09-06
Gregg,Asian,2020,2022-09-06
Gregg,Black,23504,2022-09-06
Gregg,Hispanic,23715,2022-09-06
Gregg,Other,25911,2022-09-06
Gregg,Unknown,6306,2022-09-06
Gregg,White,68807,2022-09-06
Grimes,Asian,192,2022-09-06
Grimes,Black,5145,2022-09-06
Grimes,Hispanic,7023,2022-09-06
Grimes,Other,7006,2022-09-06
Grimes,Unknown,2558,2022-09-06
Grimes,White,19455,2022-09-06
Guadalupe,Asian,3690,2022-09-06
Guadalupe,Black,12203,2022-09-06
Guadalupe,Hispanic,63804,2022-09-06
Guadalupe,Other,58122,2022-09-06
Guadalupe,Unknown,11037,2022-09-06
Guadalupe,White,83670,2022-09-06
Hale,Asian,134,2022-09-06
Hale,Black,1011,2022-09-06
Hale,Hispanic,17179,2022-09-06
Hale,Other,5498,2022-09-06
Hale,Unknown,1216,2022-09-06
Hale,White,9718,2022-09-06
Hall,Asian,13,2022-09-06
Hall,Black,132,2022-09-06
Hall,Hispanic,903,2022-09-06
Hall,Other,465,2022-09-06
Hall,Unknown,66,2022-09-06
Hall,White,1574,2022-09-06
Hamilton,Asian,37,2022-09-06
Hamilton,Black,19,2022-09-06
Hamilton,Hispanic,1079,2022-09-06
Hamilton,Other,861,2022-09-06
Hamilton,Unknown,354,2022-09-06
Hamilton,White,8589,2022-09-06
Hansford,Asian,13,2022-09-06
Hansford,Black,13,2022-09-06
Hansford,Hispanic,2148,2022-09-06
Hansford,Other,208,2022-09-06
Hansford,Unknown,333,2022-09-06
Hansford,White,2451,2022-09-06
Hardeman,Asian,37,2022-09-06
Hardeman,Black,155,2022-09-06
Hardeman,Hispanic,697,2022-09-06
Hardeman,Other,179,2022-09-06
Hardeman,Unknown,472,2022-09-06
Hardeman,White,2811,2022-09-06
Hardin,Asian,454,2022-09-06
Hardin,Black,2766,2022-09-06
Hardin,Hispanic,2858,2022-09-06
Hardin,Other,10073,2022-09-06
Hardin,Unknown,2545,2022-09-06
Hardin,White,37027,2022-09-06
Harris,Asian,531872,2022-09-06
Harris,Black,877353,2022-09-06
Harris,Hispanic,2749423,2022-09-06
Harris,Other,1582870,2022-09-06
Harris,Unknown,226382,2022-09-06
Harris,White,1717756,2022-09-06
Harrison,Asian,448,2022-09-06
Harrison,Black,12136,2022-09-06
Harrison,Hispanic,7229,2022-09-06
Harrison,Other,11646,2022-09-06
Harrison,Unknown,2590,2022-09-06
Harrison,White,32419,2022-09-06
Hartley,Asian,26,2022-09-06
Hartley,Black,322,2022-09-06
Hartley,Hispanic,2112,2022-09-06
Hartley,Other,1202,2022-09-06
Hartley,Unknown,710,2022-09-06
Hartley,White,2659,2022-09-06
Haskell,Asian,51,2022-09-06
Haskell,Black,106,2022-09-06
Haskell,Hispanic,1002,2022-09-06
Haskell,Other,838,2022-09-06
Haskell,Unknown,254,2022-09-06
Haskell,White,3112,2022-09-06
Hays,Asian,6546,2022-09-06
Hays,Black,9596,2022-09-06
Hays,Hispanic,108380,2022-09-06
Hays,Other,82483,2022-09-06
Hays,Unknown,24826,2022-09-06
Hays,White,154453,2022-09-06
Hemphill,Asian,18,2022-09-06
Hemphill,Black,2,2022-09-06
Hemphill,Hispanic,982,2022-09-06
Hemphill,Other,379,2022-09-06
Hemphill,Unknown,253,2022-09-06
Hemphill,White,2213,2022-09-06
Henderson,Asian,604,2022-09-06
Henderson,Black,4093,2022-09-06
Henderson,Hispanic,10605,2022-09-06
Henderson,Other,13787,2022-09-06
Henderson,Unknown,2698,2022-09-06
Henderson,White,54806,2022-09-06
Hidalgo,Asian,6879,2022-09-06
Hidalgo,Black,3176,2022-09-06
Hidalgo,Hispanic,1570262,2022-09-06
Hidalgo,Other,157798,2022-09-06
Hidalgo,Unknown,99291,2022-09-06
Hidalgo,White,221205,2022-09-06
Hill,Asian,275,2022-09-06
Hill,Black,1516,2022-09-06
Hill,Hispanic,5780,2022-09-06
Hill,Other,5327,2022-09-06
Hill,Unknown,2241,2022-09-06
Hill,White,22503,2022-09-06
Hockley,Asian,82,2022-09-06
Hockley,Black,542,2022-09-06
Hockley,Hispanic,10689,2022-09-06
Hockley,Other,2627,2022-09-06
Hockley,Unknown,1393,2022-09-06
Hockley,White,9292,2022-09-06
Hood,Asian,497,2022-09-06
Hood,Black,406,2022-09-06
Hood,Hispanic,6097,2022-09-06
Hood,Other,18309,2022-09-06
Hood,Unknown,1297,2022-09-06
Hood,White,52646,2022-09-06
Hopkins,Asian,355,2022-09-06
Hopkins,Black,2153,2022-09-06
Hopkins,Hispanic,5783,2022-09-06
Hopkins,Other,8145,2022-09-06
Hopkins,Unknown,1127,2022-09-06
Hopkins,White,20076,2022-09-06
Houston,Asian,206,2022-09-06
Houston,Black,5954,2022-09-06
Houston,Hispanic,2565,2022-09-06
Houston,Other,3370,2022-09-06
Houston,Unknown,860,2022-09-06
Houston,White,12472,2022-09-06
Howard,Asian,282,2022-09-06
Howard,Black,506,2022-09-06
Howard,Hispanic,8308,2022-09-06
Howard,Other,8439,2022-09-06
Howard,Unknown,1611,2022-09-06
Howard,White,10525,2022-09-06
Hudspeth,Asian,34,2022-09-06
Hudspeth,Black,97,2022-09-06
Hudspeth,Hispanic,6600,2022-09-06
Hudspeth,Other,345,2022-09-06
Hudspeth,Unknown,334,2022-09-06
Hudspeth,White,1260,2022-09-06
Hunt,Asian,1339,2022-09-06
Hunt,Black,6110,2022-09-06
Hunt,Hispanic,18099,2022-09-06
Hunt,Other,14987,2022-09-06
Hunt,Unknown,3384,2022-09-06
Hunt,White,62111,2022-09-06
Hutchinson,Asian,113,2022-09-06
Hutchinson,Black,285,2022-09-06
Hutchinson,Hispanic,3667,2022-09-06
Hutchinson,Other,2804,2022-09-06
Hutchinson,Unknown,1377,2022-09-06
Hutchinson,White,10441,2022-09-06
Irion,Asian,2,2022-09-06
Irion,Black,15,2022-09-06
Irion,Hispanic,355,2022-09-06
Irion,Other,396,2022-09-06
Irion,Unknown,43,2022-09-06
Irion,White,888,2022-09-06
Jack,Asian,47,2022-09-06
Jack,Black,472,2022-09-06
Jack,Hispanic,1165,2022-09-06
Jack,Other,1135,2022-09-06
Jack,Unknown,428,2022-09-06
Jack,White,5557,2022-09-06
Jackson,Asian,122,2022-09-06
Jackson,Black,784,2022-09-06
Jackson,Hispanic,3443,2022-09-06
Jackson,Other,2763,2022-09-06
Jackson,Unknown,1973,2022-09-06
Jackson,White,7572,2022-09-06
Jasper,Asian,186,2022-09-06
Jasper,Black,5186,2022-09-06
Jasper,Hispanic,1985,2022-09-06
Jasper,Other,4701,2022-09-06
Jasper,Unknown,4227,2022-09-06
Jasper,White,17843,2022-09-06
Jeff Davis,Asian,10,2022-09-06
Jeff Davis,Black,1,2022-09-06
Jeff Davis,Hispanic,1035,2022-09-06
Jeff Davis,Other,348,2022-09-06
Jeff Davis,Unknown,169,2022-09-06
Jeff Davis,White,1695,2022-09-06
Jefferson,Asian,17874,2022-09-06
Jefferson,Black,84399,2022-09-06
Jefferson,Hispanic,53739,2022-09-06
Jefferson,Other,64583,2022-09-06
Jefferson,Unknown,14829,2022-09-06
Jefferson,White,93125,2022-09-06
Jim Hogg,Asian,19,2022-09-06
Jim Hogg,Black,9,2022-09-06
Jim Hogg,Hispanic,6293,2022-09-06
Jim Hogg,Other,1016,2022-09-06
Jim Hogg,Unknown,162,2022-09-06
Jim Hogg,White,996,2022-09-06
Jim Wells,Asian,167,2022-09-06
Jim Wells,Black,136,2022-09-06
Jim Wells,Hispanic,39824,2022-09-06
Jim Wells,Other,6105,2022-09-06
Jim Wells,Unknown,2209,2022-09-06
Jim Wells,White,13848,2022-09-06
Johnson,Asian,2294,2022-09-06
Johnson,Black,7767,2022-09-06
Johnson,Hispanic,36344,2022-09-06
Johnson,Other,38717,2022-09-06
Johnson,Unknown,5512,2022-09-06
Johnson,White,116727,2022-09-06
Jones,Asian,148,2022-09-06
