Gender,Age_Group,Race/Ethnicity,Boosted,Date
Unknown,50-64 years,Other,295,2022-09-06
Unknown,50-64 years,Unknown,152,2022-09-06
Unknown,50-64 years,White,166,2022-09-06
Unknown,65-79 years,Asian,59,2022-09-06
Unknown,65-79 years,Black,46,2022-09-06
Unknown,65-79 years,Hispanic,242,2022-09-06
Unknown,65-79 years,Other,238,2022-09-06
Unknown,65-79 years,Unknown,94,2022-09-06
Unknown,65-79 years,White,157,2022-09-06
Unknown,80+ years,Asian,7,2022-09-06
Unknown,80+ years,Black,10,2022-09-06
Unknown,80+ years,Hispanic,55,2022-09-06
Unknown,80+ years,Other,48,2022-09-06
Unknown,80+ years,Unknown,16,2022-09-06
Unknown,80+ years,White,48,2022-09-06
Unknown,Unknown,Asian,0,2022-09-06
Unknown,Unknown,Hispanic,0,2022-09-06
Unknown,Unknown,Other,0,2022-09-06
Unknown,Unknown,Unknown,0,2022-09-06
Unknown,Unknown,White,0,2022-09-06
