"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Deaths_Cumulative","Deaths_PCT"
2020-11-13,"Age","<1 year",217,0.00360890751550832,4,0.00020703933747412
2020-11-13,"Age","1-9 years",1084,0.0180279066673319,7,0.00036231884057971
2020-11-13,"Age","10-19 years",2834,0.0471319995343345,22,0.00113871635610766
2020-11-13,"Age","20-29 years",11830,0.196743667780938,116,0.00600414078674948
2020-11-13,"Age","30-39 years",12729,0.211694856059472,355,0.0183747412008282
2020-11-13,"Age","40-49 years",11398,0.18955911457034,1055,0.0546066252587992
2020-11-13,"Age","50-59 years",9929,0.165128307472268,2314,0.119772256728778
2020-11-13,"Age","60-64 years",3657,0.0608192386369306,1851,0.0958074534161491
2020-11-13,"Age","65-69 years",2482,0.0412779191405146,2254,0.116666666666667
2020-11-13,"Age","70-74 years",1495,0.0248632107635251,2522,0.130538302277433
2020-11-13,"Age","75-79 years",955,0.0158825192502786,2401,0.124275362318841
2020-11-13,"Age","80+ years",1519,0.0252623526085583,6419,0.332246376811594
2020-11-13,"Gender","Female",21203,0.352537243947858,8174,0.423084886128364
2020-11-13,"Gender","Male",38067,0.632930965682362,11146,0.576915113871636
2020-11-13,"Gender","Unknown",874,0.0145317903697792,0,0
2020-11-13,"Race","Asian",860,0.0142990156956637,352,0.0182194616977226
2020-11-13,"Race","Black",9865,0.164023011439213,2081,0.107712215320911
2020-11-13,"Race","Hispanic",23718,0.394353551476457,10547,0.545910973084886
2020-11-13,"Race","Other",287,0.00477188081936685,103,0.00533126293995859
2020-11-13,"Race","Unknown",7156,0.118981111997872,12,0.00062111801242236
2020-11-13,"Race","White",18258,0.303571428571429,6225,0.322204968944099
