"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Deaths_Cumulative","Deaths_PCT"
2020-11-06,"Age","<1 year",214,0.00360974293232575,4,0.000215181021033945
2020-11-06,"Age","1-9 years",1068,0.0180149787463734,7,0.000376566786809403
2020-11-06,"Age","10-19 years",2780,0.0468929222049794,21,0.00112970036042821
2020-11-06,"Age","20-29 years",11585,0.195415289116794,114,0.00613265909946743
2020-11-06,"Age","30-39 years",12535,0.2114398488631,344,0.0185055678089193
2020-11-06,"Age","40-49 years",11257,0.189882599014911,1029,0.0553553176609823
2020-11-06,"Age","50-59 years",9822,0.165677079819175,2246,0.12082414331056
2020-11-06,"Age","60-64 years",3627,0.0611800823156332,1779,0.0957017591048469
2020-11-06,"Age","65-69 years",2461,0.0415120437217462,2172,0.116843294421432
2020-11-06,"Age","70-74 years",1483,0.0250151811618649,2424,0.130399698746571
2020-11-06,"Age","75-79 years",948,0.0159908238310505,2303,0.123890472860294
2020-11-06,"Age","80+ years",1504,0.0253694082720464,6146,0.330625638818656
2020-11-06,"Gender","Female",20922,0.352822138653266,7848,0.4221851632686
2020-11-06,"Gender","Male",37505,0.632472722980151,10741,0.5778148367314
2020-11-06,"Gender","Unknown",872,0.0147051383665829,0,0
2020-11-06,"Race","Asian",857,0.0144521830047724,338,0.0181827962773683
2020-11-06,"Race","Black",9737,0.16420175719658,2013,0.108289848835333
2020-11-06,"Race","Hispanic",23455,0.395537867417663,10209,0.549195760933886
2020-11-06,"Race","Other",283,0.0047724244928245,99,0.00532573027059013
2020-11-06,"Race","Unknown",6966,0.11747247002479,12,0.000645543063101834
2020-11-06,"Race","White",18001,0.30356329786337,5918,0.318360320619721
