County,Date,viral_load,source
Andrews,2023-08-16,391.700532451,biobot
Andrews,2023-08-23,70.903248917,biobot
Andrews,2023-08-30,107.820232168,biobot
Dallas,2021-07-28,67.32341859,biobot
Dallas,2021-08-04,78.51970122,biobot
Dallas,2021-08-11,205.80459098,biobot
Dallas,2021-08-18,302.43366874,biobot
Dallas,2022-06-01,,biobot
Dallas,2022-06-08,266.1628327775,biobot
Dallas,2022-06-15,197.686542375,biobot
Dallas,2022-06-22,337.34785219500003,biobot
Dallas,2022-06-29,286.41695448,biobot
Dallas,2022-07-06,360.0607143716666,biobot
Dallas,2022-07-13,406.57695764888894,biobot
Dallas,2022-07-20,422.9954239633334,biobot
Dallas,2022-07-27,501.2759455683333,biobot
Dallas,2022-08-03,378.1706295766666,biobot
Dallas,2022-08-10,384.8792473433333,biobot
Dallas,2022-08-17,261.0706344866667,biobot
Dallas,2022-08-24,322.68237344333335,biobot
Dallas,2022-08-31,431.04103089666665,biobot
Dallas,2022-09-07,517.9861784049999,biobot
Dallas,2022-09-14,297.3908269566666,biobot
Dallas,2022-09-21,119.42492809,biobot
Dallas,2022-09-28,177.65943939166664,biobot
Dallas,2022-10-05,175.74300836166665,biobot
Dallas,2022-10-12,196.25643548,biobot
Dallas,2022-10-19,151.96553672999997,biobot
Dallas,2022-10-26,127.98886747166668,biobot
Dallas,2022-11-02,191.3009994533333,biobot
Dallas,2022-11-09,137.31771609833334,biobot
Dallas,2022-11-16,225.65996077333327,biobot
Dallas,2022-11-23,241.5865402783333,biobot
Dallas,2022-11-30,458.60208599166657,biobot
Dallas,2022-12-07,327.103634535,biobot
Dallas,2022-12-14,559.3668735366667,biobot
Dallas,2022-12-21,427.6413952316667,biobot
Dallas,2022-12-28,492.3022902833333,biobot
Dallas,2023-01-04,444.78195783,biobot
Dallas,2023-01-11,302.8839205075,biobot
Dallas,2023-01-18,413.624537695,biobot
Dallas,2023-01-25,345.09899516,biobot
Dallas,2023-02-01,310.79712065,biobot
Dallas,2023-02-08,405.3933805225,biobot
Dallas,2023-02-15,325.75029979499993,biobot
Dallas,2023-02-22,223.6528863525,biobot
