Date,Level_Type,Level,new_cases_probable_plus_confirmed,new_cases_confirmed,new_cases_probable,cumulative_cases_probable_plus_confirmed,cumulative_cases_confirmed,cumulative_cases_probable,new_deaths,new_hospitalizations,hospitalizations_7_day
2020-03-08,State,Texas,4,3,1,4,3,1,,,
2020-03-15,State,Texas,98,96,2,102,99,3,1,,
2020-03-22,State,Texas,441,427,14,543,526,17,11,,
2020-03-29,State,Texas,1612,1581,31,2155,2107,48,57,,
2020-04-05,State,Texas,3219,3167,52,5374,5274,100,154,,
2020-04-12,State,Texas,4379,4324,55,9753,9598,155,198,0,1257.0
2020-04-19,State,Texas,3923,3824,99,13676,13422,254,228,0,1452.0
2020-04-26,State,Texas,4887,4791,96,18563,18213,350,233,0,1598.5714
2020-05-03,State,Texas,7000,6918,82,25563,25131,432,226,0,1663.7142
2020-05-10,State,Texas,7236,7170,66,32799,32301,498,214,0,1724.2858
2020-05-17,State,Texas,7566,7478,88,40365,39779,586,237,0,1659.8572
2020-05-24,State,Texas,6026,5939,87,46391,45718,673,173,0,1650.2858
2020-05-31,State,Texas,6459,6323,136,52850,52041,809,187,0,1669.2858
2020-06-07,State,Texas,16687,16448,239,69537,68489,1048,178,0,1837.7142
2020-06-14,State,Texas,15134,14615,519,84671,83104,1567,233,0,2184.1428
2020-06-21,State,Texas,25389,24650,739,110060,107754,2306,286,0,3110.4285
2020-06-28,State,Texas,39415,38163,1252,149475,145917,3558,467,0,5036.4287
2020-07-05,State,Texas,46210,44935,1275,195685,190852,4833,826,0,7605.7144
2020-07-12,State,Texas,60431,58733,1698,256116,249585,6531,1311,0,9926.429
2020-07-19,State,Texas,59442,57632,1810,315558,307217,8341,1695,0,10564.0
2020-07-26,State,Texas,56153,53755,2398,371711,360972,10739,1800,0,10042.286
2020-08-02,State,Texas,53821,51534,2287,425532,412506,13026,1633,1392,9123.286
2020-08-09,State,Texas,76024,74052,1972,501556,486558,14998,1419,4614,7924.7144
2020-08-16,State,Texas,67823,66153,1670,569379,552711,16668,1256,3857,6551.857
2020-08-23,State,Texas,41842,40312,1530,611221,593023,18198,914,3507,5494.7144
2020-08-30,State,Texas,34310,32669,1641,645531,625692,19839,757,3066,4427.143
2020-09-06,State,Texas,25209,23292,1917,670740,648984,21756,623,3003,3887.1428
2020-09-13,State,Texas,33833,31485,2348,704573,680469,24104,517,2594,3444.7144
2020-09-20,State,Texas,35216,33030,2186,739789,713499,26290,473,2739,3149.1428
2020-09-27,State,Texas,23283,21065,2218,763072,734564,28508,447,2779,3173.1428
2020-10-04,State,Texas,28678,26410,2268,791750,760974,30776,404,2819,3210.2856
2020-10-11,State,Texas,23002,20481,2521,814752,781455,33297,443,3662,3552.4285
2020-10-18,State,Texas,32478,29456,3022,847230,810911,36319,535,4584,4173.857
2020-10-25,State,Texas,33274,29604,3670,880504,840515,39989,613,5017,4929.7144
2020-11-01,State,Texas,47814,43671,4143,928318,884186,44132,845,5351,5604.143
2020-11-08,State,Texas,48951,41077,7874,977269,925263,52006,942,5815,5966.7144
2020-11-15,State,Texas,59021,48239,10782,1036290,973502,62788,1074,6927,6913.143
2020-11-22,State,Texas,78690,65198,13492,1114980,1038700,76280,1195,7927,8020.143
2020-11-29,State,Texas,98053,84979,13074,1213033,1123679,89354,1283,7247,8569.857
2020-12-06,State,Texas,97488,80900,16588,1310521,1204579,105942,1355,7362,8893.0
2020-12-13,State,Texas,100078,82455,17623,1410599,1287034,123565,1539,7857,9059.143
2020-12-20,State,Texas,127251,108356,18895,1537850,1395390,142460,1591,8803,9611.429
2020-12-27,State,Texas,120563,104218,16345,1658413,1499608,158805,1662,9831,10654.429
2021-01-03,State,Texas,88225,72541,15684,1746638,1572149,174489,1923,11350,12220.857
2021-01-10,State,Texas,150896,125602,25294,1897534,1697751,199783,2373,12274,13528.571
2021-01-17,State,Texas,153504,129367,24137,2051038,1827118,223920,2414,11904,13857.143
