"County","Date","Tests","TPR_CMS"
"Midland",2021-12-23,2751,0.157
"Milam",2021-12-23,1020,0.114
"Mills",2021-12-23,169,0.142
"Mitchell",2021-12-23,173,0.237
"Montague",2021-12-23,691,0.172
"Montgomery",2021-12-23,23337,0.153
"Moore",2021-12-23,213,0.146
"Morris",2021-12-23,285,0.214
"Motley",2021-12-23,NA,NA
"Nacogdoches",2021-12-23,2312,0.144
"Navarro",2021-12-23,1993,0.122
"Newton",2021-12-23,178,0.129
"Nolan",2021-12-23,583,0.293
"Nueces",2021-12-23,11988,0.097
"Ochiltree",2021-12-23,21,0.286
"Oldham",2021-12-23,35,0.257
"Orange",2021-12-23,1954,0.121
"Palo Pinto",2021-12-23,549,0.189
"Panola",2021-12-23,427,0.272
"Parker",2021-12-23,4665,0.209
"Parmer",2021-12-23,41,0.171
"Pecos",2021-12-23,567,0.129
"Polk",2021-12-23,1210,0.128
"Potter",2021-12-23,2340,0.103
"Presidio",2021-12-23,801,0.074
"Rains",2021-12-23,203,0.202
"Randall",2021-12-23,1904,0.115
"Reagan",2021-12-23,32,0.125
"Real",2021-12-23,205,0.317
"Red River",2021-12-23,435,0.08
"Reeves",2021-12-23,184,0.136
"Refugio",2021-12-23,170,0.2
"Roberts",2021-12-23,NA,NA
"Robertson",2021-12-23,926,0.221
"Rockwall",2021-12-23,6678,0.141
"Runnels",2021-12-23,305,0.177
"Rusk",2021-12-23,920,0.245
"Sabine",2021-12-23,309,0.233
"San Augustine",2021-12-23,406,0.099
"San Jacinto",2021-12-23,473,0.129
"San Patricio",2021-12-23,1606,0.157
"San Saba",2021-12-23,133,0.158
"Schleicher",2021-12-23,50,0.2
"Scurry",2021-12-23,1290,0.172
"Shackelford",2021-12-23,44,0.114
"Shelby",2021-12-23,473,0.15
"Sherman",2021-12-23,NA,NA
"Smith",2021-12-23,10257,0.14
"Somervell",2021-12-23,430,0.126
"Starr",2021-12-23,2790,0.188
"Stephens",2021-12-23,143,0.203
"Sterling",2021-12-23,NA,NA
"Stonewall",2021-12-23,NA,NA
"Sutton",2021-12-23,75,0.253
"Swisher",2021-12-23,124,0.185
"Tarrant",2021-12-23,109442,0.183
"Taylor",2021-12-23,5305,0.086
"Terrell",2021-12-23,31,0.452
"Terry",2021-12-23,97,0.196
"Throckmorton",2021-12-23,NA,NA
"Titus",2021-12-23,1520,0.138
"Tom Green",2021-12-23,4445,0.109
"Travis",2021-12-23,71159,0.083
"Trinity",2021-12-23,776,0.082
"Tyler",2021-12-23,567,0.155
"Upshur",2021-12-23,862,0.145
"Upton",2021-12-23,35,0.171
"Uvalde",2021-12-23,2055,0.161
"Val Verde",2021-12-23,3406,0.147
"Van Zandt",2021-12-23,1164,0.223
"Victoria",2021-12-23,1520,0.135
"Walker",2021-12-23,3717,0.105
"Waller",2021-12-23,2213,0.16
"Ward",2021-12-23,278,0.094
"Washington",2021-12-23,3942,0.121
"Webb",2021-12-23,23208,0.184
"Wharton",2021-12-23,1434,0.158
"Wheeler",2021-12-23,48,0.354
"Wichita",2021-12-23,6281,0.226
"Wilbarger",2021-12-23,383,0.269
"Willacy",2021-12-23,1362,0.096
"Williamson",2021-12-23,31254,0.106
"Wilson",2021-12-23,2065,0.158
"Winkler",2021-12-23,79,0.291
"Wise",2021-12-23,2982,0.184
"Wood",2021-12-23,1154,0.185
"Yoakum",2021-12-23,92,0.12
"Young",2021-12-23,274,0.113
"Zapata",2021-12-23,1248,0.142
"Zavala",2021-12-23,500,0.176
