"County","Date","Tests","TPR_CMS"
"Anderson","2021-04-13",1566,0.031
"Andrews","2021-04-13",53,0.038
"Angelina","2021-04-13",1346,0.067
"Aransas","2021-04-13",273,0.088
"Archer","2021-04-13",43,0.047
"Armstrong","2021-04-13",NA,NA
"Atascosa","2021-04-13",1951,0.013
"Austin","2021-04-13",530,0.121
"Bailey","2021-04-13",36,0
"Bandera","2021-04-13",217,0.06
"Bastrop","2021-04-13",1716,0.077
"Baylor","2021-04-13",22,0.045
"Bee","2021-04-13",977,0.024
"Bell","2021-04-13",8631,0.044
"Bexar","2021-04-13",103355,0.024
"Blanco","2021-04-13",186,0.075
"Borden","2021-04-13",NA,NA
"Bosque","2021-04-13",219,0.059
"Bowie","2021-04-13",1017,0.034
"Brazoria","2021-04-13",9783,0.082
"Brazos","2021-04-13",8463,0.065
"Brewster","2021-04-13",25,0.08
"Briscoe","2021-04-13",NA,NA
"Brooks","2021-04-13",811,0.015
"Brown","2021-04-13",296,0.017
"Burleson","2021-04-13",465,0.067
"Burnet","2021-04-13",1297,0.062
"Caldwell","2021-04-13",1107,0.056
"Calhoun","2021-04-13",228,0.154
"Callahan","2021-04-13",66,0.076
"Cameron","2021-04-13",6909,0.095
"Camp","2021-04-13",74,0.095
"Carson","2021-04-13",39,0.051
"Cass","2021-04-13",150,0.033
"Castro","2021-04-13",103,0.01
"Chambers","2021-04-13",795,0.062
"Cherokee","2021-04-13",754,0.005
"Childress","2021-04-13",35,0
"Clay","2021-04-13",68,0.029
"Cochran","2021-04-13",21,0.048
"Coke","2021-04-13",NA,NA
"Coleman","2021-04-13",NA,NA
"Collin","2021-04-13",18181,0.048
"Collingsworth","2021-04-13",25,0.04
"Colorado","2021-04-13",229,0.175
"Comal","2021-04-13",3173,0.056
"Comanche","2021-04-13",77,0.013
"Concho","2021-04-13",NA,NA
"Cooke","2021-04-13",319,0.041
"Coryell","2021-04-13",1872,0.027
"Cottle","2021-04-13",NA,NA
"Crane","2021-04-13",55,0.018
"Crockett","2021-04-13",NA,NA
"Crosby","2021-04-13",45,0
"Culberson","2021-04-13",NA,NA
"Dallam","2021-04-13",150,0.013
"Dallas","2021-04-13",49096,0.046
"Dawson","2021-04-13",199,0.025
"DeWitt","2021-04-13",118,0.076
"Deaf Smith","2021-04-13",105,0.114
"Delta","2021-04-13",40,0
"Denton","2021-04-13",16866,0.045
"Dickens","2021-04-13",NA,NA
"Dimmit","2021-04-13",852,0.155
"Donley","2021-04-13",NA,NA
"Duval","2021-04-13",154,0.026
"Eastland","2021-04-13",78,0.013
"Ector","2021-04-13",779,0.109
"Edwards","2021-04-13",NA,NA
"El Paso","2021-04-13",18715,0.11
"Ellis","2021-04-13",3032,0.049
"Erath","2021-04-13",491,0.086
"Falls","2021-04-13",229,0.022
"Fannin","2021-04-13",349,0.037
"Fayette","2021-04-13",461,0.113
"Fisher","2021-04-13",24,0.042
"Floyd","2021-04-13",71,0.085
"Foard","2021-04-13",NA,NA
"Fort Bend","2021-04-13",18807,0.075
"Franklin","2021-04-13",48,0.021
"Freestone","2021-04-13",166,0.012
"Frio","2021-04-13",516,0.056
"Gaines","2021-04-13",49,0.061
"Galveston","2021-04-13",10786,0.077
"Garza","2021-04-13",96,0.021
"Gillespie","2021-04-13",174,0.023
"Glasscock","2021-04-13",NA,NA
"Goliad","2021-04-13",55,0.036
"Gonzales","2021-04-13",156,0.077
"Gray","2021-04-13",111,0.054
"Grayson","2021-04-13",1940,0.051
"Gregg","2021-04-13",1074,0.033
"Grimes","2021-04-13",1581,0.019
"Guadalupe","2021-04-13",3360,0.044
"Hale","2021-04-13",564,0.046
"Hall","2021-04-13",NA,NA
"Hamilton","2021-04-13",131,0.015
"Hansford","2021-04-13",NA,NA
"Hardeman","2021-04-13",25,0.12
"Hardin","2021-04-13",611,0.074
"Harris","2021-04-13",118826,0.076
"Harrison","2021-04-13",562,0.021
"Hartley","2021-04-13",NA,NA
"Haskell","2021-04-13",NA,NA
"Hays","2021-04-13",8422,0.077
"Hemphill","2021-04-13",NA,NA
"Henderson","2021-04-13",583,0.055
"Hidalgo","2021-04-13",10439,0.08
"Hill","2021-04-13",354,0.048
"Hockley","2021-04-13",250,0.04
"Hood","2021-04-13",506,0.04
"Hopkins","2021-04-13",199,0.015
"Houston","2021-04-13",270,0.019
"Howard","2021-04-13",345,0.017
"Hudspeth","2021-04-13",32,0.156
"Hunt","2021-04-13",882,0.093
"Hutchinson","2021-04-13",130,0.077
"Irion","2021-04-13",NA,NA
"Jack","2021-04-13",106,0.009
"Jackson","2021-04-13",127,0.094
"Jasper","2021-04-13",547,0.037
"Jeff Davis","2021-04-13",NA,NA
"Jefferson","2021-04-13",4101,0.042
"Jim Hogg","2021-04-13",247,0.004
"Jim Wells","2021-04-13",678,0.056
"Johnson","2021-04-13",2150,0.041
"Jones","2021-04-13",71,0.042
"Karnes","2021-04-13",352,0.026
"Kaufman","2021-04-13",1927,0.045
"Kendall","2021-04-13",707,0.023
"Kenedy","2021-04-13",NA,NA
"Kent","2021-04-13",NA,NA
"Kerr","2021-04-13",573,0.009
"Kimble","2021-04-13",23,0
"King","2021-04-13",NA,NA
"Kinney","2021-04-13",55,0
"Kleberg","2021-04-13",380,0.079
"Knox","2021-04-13",NA,NA
"La Salle","2021-04-13",173,0.006
"Lamar","2021-04-13",269,0.063
"Lamb","2021-04-13",96,0.042
"Lampasas","2021-04-13",475,0.051
"Lavaca","2021-04-13",254,0.102
"Lee","2021-04-13",211,0.033
"Leon","2021-04-13",256,0.066
"Liberty","2021-04-13",1695,0.083
"Limestone","2021-04-13",335,0.051
"Lipscomb","2021-04-13",NA,NA
"Live Oak","2021-04-13",159,0.019
"Llano","2021-04-13",592,0.047
"Loving","2021-04-13",NA,NA
"Lubbock","2021-04-13",4973,0.018
"Lynn","2021-04-13",45,0
"Madison","2021-04-13",400,0.02
"Marion","2021-04-13",56,0.054
"Martin","2021-04-13",20,0.05
"Mason","2021-04-13",NA,NA
"Matagorda","2021-04-13",861,0.193
"Maverick","2021-04-13",1582,0.04
"McCulloch","2021-04-13",NA,NA
"McLennan","2021-04-13",5596,0.038
"McMullen","2021-04-13",NA,NA
"Medina","2021-04-13",1005,0.032
"Menard","2021-04-13",NA,NA
"Midland","2021-04-13",944,0.067
"Milam","2021-04-13",513,0.031
"Mills","2021-04-13",126,0.008
"Mitchell","2021-04-13",255,0.008
"Montague","2021-04-13",150,0.027
"Montgomery","2021-04-13",13381,0.087
"Moore","2021-04-13",116,0.034
"Morris","2021-04-13",79,0.013
"Motley","2021-04-13",NA,NA
"Nacogdoches","2021-04-13",857,0.043
"Navarro","2021-04-13",460,0.022
"Newton","2021-04-13",136,0.022
"Nolan","2021-04-13",71,0.014
"Nueces","2021-04-13",4394,0.073
"Ochiltree","2021-04-13",NA,NA
"Oldham","2021-04-13",NA,NA
"Orange","2021-04-13",1229,0.064
"Palo Pinto","2021-04-13",251,0.056
"Panola","2021-04-13",161,0.006
"Parker","2021-04-13",1457,0.047
"Parmer","2021-04-13",53,0
"Pecos","2021-04-13",774,0.006
"Polk","2021-04-13",1264,0.055
"Potter","2021-04-13",1532,0.024
"Presidio","2021-04-13",NA,NA
"Rains","2021-04-13",67,0.045
"Randall","2021-04-13",1274,0.019
"Reagan","2021-04-13",NA,NA
"Real","2021-04-13",NA,NA
"Red River","2021-04-13",84,0
"Reeves","2021-04-13",282,0.028
"Refugio","2021-04-13",65,0.046
"Roberts","2021-04-13",NA,NA
"Robertson","2021-04-13",335,0.03
"Rockwall","2021-04-13",1992,0.04
"Runnels","2021-04-13",68,0.015
"Rusk","2021-04-13",270,0.044
"Sabine","2021-04-13",127,0.071
"San Augustine","2021-04-13",71,0.099
"San Jacinto","2021-04-13",353,0.071
"San Patricio","2021-04-13",704,0.084
"San Saba","2021-04-13",63,0.032
"Schleicher","2021-04-13",NA,NA
"Scurry","2021-04-13",544,0.026
"Shackelford","2021-04-13",NA,NA
"Shelby","2021-04-13",212,0.047
"Sherman","2021-04-13",NA,NA
"Smith","2021-04-13",2340,0.047
"Somervell","2021-04-13",63,0.032
"Starr","2021-04-13",831,0.1
"Stephens","2021-04-13",28,0.071
"Sterling","2021-04-13",NA,NA
"Stonewall","2021-04-13",NA,NA
"Sutton","2021-04-13",NA,NA
"Swisher","2021-04-13",99,0
"Tarrant","2021-04-13",36706,0.054
"Taylor","2021-04-13",728,0.047
"Terrell","2021-04-13",NA,NA
"Terry","2021-04-13",152,0.013
"Throckmorton","2021-04-13",NA,NA
"Titus","2021-04-13",304,0.01
"Tom Green","2021-04-13",708,0.028
"Travis","2021-04-13",32578,0.045
"Trinity","2021-04-13",363,0.025
"Tyler","2021-04-13",282,0.067
"Upshur","2021-04-13",167,0.03
"Upton","2021-04-13",NA,NA
"Uvalde","2021-04-13",392,0.084
"Val Verde","2021-04-13",754,0.041
"Van Zandt","2021-04-13",410,0.061
"Victoria","2021-04-13",1074,0.108
"Walker","2021-04-13",3315,0.057
"Waller","2021-04-13",1240,0.069
"Ward","2021-04-13",51,0.039
"Washington","2021-04-13",1146,0.054
"Webb","2021-04-13",6966,0.042
"Wharton","2021-04-13",584,0.087
"Wheeler","2021-04-13",NA,NA
"Wichita","2021-04-13",1024,0.026
"Wilbarger","2021-04-13",212,0.028
"Willacy","2021-04-13",757,0.129
"Williamson","2021-04-13",14091,0.055
"Wilson","2021-04-13",900,0.049
"Winkler","2021-04-13",NA,NA
"Wise","2021-04-13",949,0.034
"Wood","2021-04-13",375,0.045
"Yoakum","2021-04-13",22,0
"Young","2021-04-13",121,0
"Zapata","2021-04-13",204,0.01
"Zavala","2021-04-13",125,0.056
