"County","Date","Tests","TPR_CMS"
"Anderson","2021-03-16",1219,0.04
"Andrews","2021-03-16",51,0.02
"Angelina","2021-03-16",1108,0.078
"Aransas","2021-03-16",229,0.079
"Archer","2021-03-16",35,0
"Armstrong","2021-03-16",NA,NA
"Atascosa","2021-03-16",707,0.095
"Austin","2021-03-16",589,0.102
"Bailey","2021-03-16",28,0.036
"Bandera","2021-03-16",199,0.065
"Bastrop","2021-03-16",1412,0.072
"Baylor","2021-03-16",NA,NA
"Bee","2021-03-16",842,0.04
"Bell","2021-03-16",8069,0.04
"Bexar","2021-03-16",37538,0.059
"Blanco","2021-03-16",156,0.013
"Borden","2021-03-16",NA,NA
"Bosque","2021-03-16",240,0.062
"Bowie","2021-03-16",899,0.06
"Brazoria","2021-03-16",9738,0.085
"Brazos","2021-03-16",9561,0.088
"Brewster","2021-03-16",24,0.042
"Briscoe","2021-03-16",NA,NA
"Brooks","2021-03-16",688,0.01
"Brown","2021-03-16",329,0.049
"Burleson","2021-03-16",592,0.09
"Burnet","2021-03-16",1360,0.072
"Caldwell","2021-03-16",926,0.09
"Calhoun","2021-03-16",282,0.131
"Callahan","2021-03-16",81,0.049
"Cameron","2021-03-16",7027,0.077
"Camp","2021-03-16",107,0.047
"Carson","2021-03-16",43,0
"Cass","2021-03-16",180,0.022
"Castro","2021-03-16",56,0.036
"Chambers","2021-03-16",647,0.097
"Cherokee","2021-03-16",426,0.035
"Childress","2021-03-16",133,0.023
"Clay","2021-03-16",57,0.035
"Cochran","2021-03-16",NA,NA
"Coke","2021-03-16",113,0.018
"Coleman","2021-03-16",70,0.1
"Collin","2021-03-16",20133,0.053
"Collingsworth","2021-03-16",26,0.192
"Colorado","2021-03-16",249,0.08
"Comal","2021-03-16",2913,0.052
"Comanche","2021-03-16",96,0.083
"Concho","2021-03-16",NA,NA
"Cooke","2021-03-16",514,0.07
"Coryell","2021-03-16",2235,0.025
"Cottle","2021-03-16",NA,NA
"Crane","2021-03-16",51,0.039
"Crockett","2021-03-16",NA,NA
"Crosby","2021-03-16",24,0
"Culberson","2021-03-16",26,0
