"County","Date","Tests","TPR_CMS"
"Anderson","2021-01-06",2570,0.183
"Andrews","2021-01-06",171,0.257
"Angelina","2021-01-06",3941,0.166
"Aransas","2021-01-06",340,0.141
"Archer","2021-01-06",218,0.404
"Armstrong","2021-01-06",21,0.19
"Atascosa","2021-01-06",1889,0.232
"Austin","2021-01-06",975,0.274
"Bailey","2021-01-06",31,0.097
"Bandera","2021-01-06",487,0.236
"Bastrop","2021-01-06",3534,0.192
"Baylor","2021-01-06",44,0.068
"Bee","2021-01-06",1040,0.206
"Bell","2021-01-06",19480,0.192
"Bexar","2021-01-06",82105,0.224
"Blanco","2021-01-06",408,0.189
"Borden","2021-01-06",NA,NA
"Bosque","2021-01-06",665,0.232
"Bowie","2021-01-06",2201,0.247
"Brazoria","2021-01-06",14982,0.191
"Brazos","2021-01-06",18459,0.17
"Brewster","2021-01-06",170,0.088
"Briscoe","2021-01-06",25,0.2
"Brooks","2021-01-06",667,0.082
"Brown","2021-01-06",998,0.309
"Burleson","2021-01-06",1227,0.237
"Burnet","2021-01-06",2241,0.196
"Caldwell","2021-01-06",2321,0.235
"Calhoun","2021-01-06",807,0.1
"Callahan","2021-01-06",371,0.181
"Cameron","2021-01-06",10319,0.207
"Camp","2021-01-06",350,0.243
"Carson","2021-01-06",52,0.269
"Cass","2021-01-06",625,0.192
"Castro","2021-01-06",109,0.385
"Chambers","2021-01-06",891,0.194
"Cherokee","2021-01-06",1256,0.158
"Childress","2021-01-06",178,0.404
"Clay","2021-01-06",308,0.305
"Cochran","2021-01-06",41,0.195
"Coke","2021-01-06",69,0.174
"Coleman","2021-01-06",241,0.444
"Collin","2021-01-06",49862,0.183
"Collingsworth","2021-01-06",42,0.381
"Colorado","2021-01-06",519,0.218
"Comal","2021-01-06",5454,0.224
"Comanche","2021-01-06",306,0.363
"Concho","2021-01-06",44,0.045
"Cooke","2021-01-06",1697,0.259
"Coryell","2021-01-06",3931,0.171
"Cottle","2021-01-06",60,0.433
"Crane","2021-01-06",235,0.026
"Crockett","2021-01-06",NA,NA
"Crosby","2021-01-06",100,0.27
"Culberson","2021-01-06",62,0.274
"Dallam","2021-01-06",83,0.012
"Dallas","2021-01-06",110632,0.208
"Dawson","2021-01-06",267,0.127
"DeWitt","2021-01-06",469,0.224
"Deaf Smith","2021-01-06",109,0.257
"Delta","2021-01-06",89,0.281
"Denton","2021-01-06",41486,0.203
"Dickens","2021-01-06",24,0.125
"Dimmit","2021-01-06",440,0.32
"Donley","2021-01-06",46,0.13
"Duval","2021-01-06",864,0.118
"Eastland","2021-01-06",205,0.351
"Ector","2021-01-06",2517,0.258
"Edwards","2021-01-06",33,0.303
"El Paso","2021-01-06",34287,0.138
"Ellis","2021-01-06",10082,0.239
"Erath","2021-01-06",714,0.231
"Falls","2021-01-06",782,0.249
"Fannin","2021-01-06",1490,0.183
"Fayette","2021-01-06",718,0.262
"Fisher","2021-01-06",82,0.256
"Floyd","2021-01-06",82,0.305
"Foard","2021-01-06",21,0.143
"Fort Bend","2021-01-06",37598,0.171
"Franklin","2021-01-06",195,0.282
"Freestone","2021-01-06",671,0.064
"Frio","2021-01-06",493,0.264
"Gaines","2021-01-06",96,0.167
"Galveston","2021-01-06",17747,0.199
"Garza","2021-01-06",28,0.214
"Gillespie","2021-01-06",378,0.238
"Glasscock","2021-01-06",NA,NA
"Goliad","2021-01-06",118,0.212
"Gonzales","2021-01-06",755,0.269
"Gray","2021-01-06",278,0.259
"Grayson","2021-01-06",6308,0.224
"Gregg","2021-01-06",4804,0.177
"Grimes","2021-01-06",2247,0.215
"Guadalupe","2021-01-06",3879,0.222
"Hale","2021-01-06",345,0.186
"Hall","2021-01-06",58,0.448
"Hamilton","2021-01-06",261,0.138
"Hansford","2021-01-06",66,0.212
"Hardeman","2021-01-06",38,0.447
"Hardin","2021-01-06",1162,0.199
"Harris","2021-01-06",199880,0.18
"Harrison","2021-01-06",1255,0.225
"Hartley","2021-01-06",NA,NA
"Haskell","2021-01-06",31,0.226
"Hays","2021-01-06",13270,0.179
"Hemphill","2021-01-06",NA,NA
"Henderson","2021-01-06",2073,0.276
"Hidalgo","2021-01-06",16241,0.193
"Hill","2021-01-06",2167,0.268
"Hockley","2021-01-06",290,0.297
"Hood","2021-01-06",1722,0.286
"Hopkins","2021-01-06",1010,0.16
"Houston","2021-01-06",809,0.177
"Howard","2021-01-06",858,0.068
"Hudspeth","2021-01-06",147,0.184
"Hunt","2021-01-06",2623,0.248
"Hutchinson","2021-01-06",227,0.167
"Irion","2021-01-06",NA,NA
"Jack","2021-01-06",157,0.191
"Jackson","2021-01-06",292,0.353
"Jasper","2021-01-06",723,0.167
"Jeff Davis","2021-01-06",110,0.018
"Jefferson","2021-01-06",6415,0.154
"Jim Hogg","2021-01-06",828,0.138
"Jim Wells","2021-01-06",1914,0.152
"Johnson","2021-01-06",6869,0.322
"Jones","2021-01-06",376,0.191
"Karnes","2021-01-06",430,0.195
"Kaufman","2021-01-06",5872,0.265
"Kendall","2021-01-06",1217,0.178
"Kenedy","2021-01-06",NA,NA
"Kent","2021-01-06",NA,NA
"Kerr","2021-01-06",1354,0.118
"Kimble","2021-01-06",36,0.083
"King","2021-01-06",NA,NA
"Kinney","2021-01-06",168,0.423
"Kleberg","2021-01-06",1039,0.127
"Knox","2021-01-06",NA,NA
"La Salle","2021-01-06",386,0.264
"Lamar","2021-01-06",1432,0.185
"Lamb","2021-01-06",231,0.424
"Lampasas","2021-01-06",884,0.199
"Lavaca","2021-01-06",418,0.289
"Lee","2021-01-06",475,0.299
"Leon","2021-01-06",672,0.226
"Liberty","2021-01-06",2026,0.249
"Limestone","2021-01-06",2163,0.114
"Lipscomb","2021-01-06",NA,NA
"Live Oak","2021-01-06",400,0.295
"Llano","2021-01-06",899,0.199
"Loving","2021-01-06",NA,NA
"Lubbock","2021-01-06",7123,0.169
"Lynn","2021-01-06",155,0.355
"Madison","2021-01-06",525,0.179
"Marion","2021-01-06",168,0.262
"Martin","2021-01-06",43,0.163
"Mason","2021-01-06",106,0.123
"Matagorda","2021-01-06",889,0.245
"Maverick","2021-01-06",3393,0.281
"McCulloch","2021-01-06",70,0.257
"McLennan","2021-01-06",9252,0.189
"McMullen","2021-01-06",23,0.522
"Medina","2021-01-06",1261,0.19
"Menard","2021-01-06",37,0.027
"Midland","2021-01-06",1972,0.218
"Milam","2021-01-06",1026,0.198
"Mills","2021-01-06",157,0.178
"Mitchell","2021-01-06",163,0.337
"Montague","2021-01-06",769,0.261
"Montgomery","2021-01-06",22878,0.214
"Moore","2021-01-06",178,0.079
"Morris","2021-01-06",235,0.234
"Motley","2021-01-06",NA,NA
"Nacogdoches","2021-01-06",2109,0.194
"Navarro","2021-01-06",1850,0.254
"Newton","2021-01-06",159,0.233
"Nolan","2021-01-06",430,0.323
"Nueces","2021-01-06",10003,0.134
"Ochiltree","2021-01-06",25,0.08
"Oldham","2021-01-06",22,0.318
"Orange","2021-01-06",1556,0.129
"Palo Pinto","2021-01-06",871,0.373
"Panola","2021-01-06",518,0.274
"Parker","2021-01-06",4423,0.329
"Parmer","2021-01-06",68,0.059
"Pecos","2021-01-06",542,0.114
"Polk","2021-01-06",1080,0.207
"Potter","2021-01-06",1955,0.105
"Presidio","2021-01-06",331,0.097
"Rains","2021-01-06",190,0.263
"Randall","2021-01-06",1449,0.144
"Reagan","2021-01-06",NA,NA
"Real","2021-01-06",91,0.363
"Red River","2021-01-06",426,0.094
"Reeves","2021-01-06",180,0.028
"Refugio","2021-01-06",144,0.312
"Roberts","2021-01-06",NA,NA
"Robertson","2021-01-06",902,0.248
"Rockwall","2021-01-06",7644,0.209
"Runnels","2021-01-06",236,0.263
"Rusk","2021-01-06",820,0.21
"Sabine","2021-01-06",361,0.208
"San Augustine","2021-01-06",341,0.053
"San Jacinto","2021-01-06",473,0.18
"San Patricio","2021-01-06",1508,0.17
"San Saba","2021-01-06",211,0.118
"Schleicher","2021-01-06",25,0.2
"Scurry","2021-01-06",726,0.355
"Shackelford","2021-01-06",41,0.293
"Shelby","2021-01-06",447,0.221
"Sherman","2021-01-06",NA,NA
"Smith","2021-01-06",10098,0.175
"Somervell","2021-01-06",242,0.223
"Starr","2021-01-06",4035,0.205
"Stephens","2021-01-06",125,0.272
"Sterling","2021-01-06",29,0.034
"Stonewall","2021-01-06",NA,NA
"Sutton","2021-01-06",39,0.154
"Swisher","2021-01-06",77,0.117
"Tarrant","2021-01-06",97548,0.258
"Taylor","2021-01-06",4455,0.134
"Terrell","2021-01-06",NA,NA
"Terry","2021-01-06",67,0.164
"Throckmorton","2021-01-06",NA,NA
"Titus","2021-01-06",1424,0.182
"Tom Green","2021-01-06",4069,0.128
"Travis","2021-01-06",58897,0.125
"Trinity","2021-01-06",646,0.101
"Tyler","2021-01-06",411,0.231
"Upshur","2021-01-06",782,0.182
"Upton","2021-01-06",30,0.233
"Uvalde","2021-01-06",1490,0.307
"Val Verde","2021-01-06",3463,0.282
"Van Zandt","2021-01-06",930,0.276
"Victoria","2021-01-06",1439,0.261
"Walker","2021-01-06",3681,0.147
"Waller","2021-01-06",1608,0.208
"Ward","2021-01-06",379,0.108
"Washington","2021-01-06",2638,0.204
"Webb","2021-01-06",26237,0.218
"Wharton","2021-01-06",2018,0.206
"Wheeler","2021-01-06",64,0.422
"Wichita","2021-01-06",6204,0.275
"Wilbarger","2021-01-06",346,0.335
"Willacy","2021-01-06",927,0.135
"Williamson","2021-01-06",27144,0.165
"Wilson","2021-01-06",1636,0.172
"Winkler","2021-01-06",72,0.333
"Wise","2021-01-06",2869,0.29
"Wood","2021-01-06",1016,0.232
"Yoakum","2021-01-06",25,0.36
"Young","2021-01-06",310,0.284
"Zapata","2021-01-06",1959,0.157
"Zavala","2021-01-06",570,0.347
