"County","Date","Tests","TPR_CMS"
"Anderson","2021-03-09",1490,0.034
"Andrews","2021-03-09",70,0.014
"Angelina","2021-03-09",1874,0.085
"Aransas","2021-03-09",269,0.138
"Archer","2021-03-09",24,0.083
"Armstrong","2021-03-09",NA,NA
"Atascosa","2021-03-09",820,0.112
"Austin","2021-03-09",672,0.126
"Bailey","2021-03-09",28,0.036
"Bandera","2021-03-09",258,0.07
"Bastrop","2021-03-09",1769,0.072
"Baylor","2021-03-09",NA,NA
"Bee","2021-03-09",922,0.052
"Bell","2021-03-09",8752,0.054
"Bexar","2021-03-09",49428,0.072
"Blanco","2021-03-09",170,0.035
"Borden","2021-03-09",NA,NA
"Bosque","2021-03-09",313,0.061
"Bowie","2021-03-09",1489,0.071
"Brazoria","2021-03-09",10910,0.102
"Brazos","2021-03-09",10008,0.093
"Brewster","2021-03-09",93,0.097
"Briscoe","2021-03-09",NA,NA
"Brooks","2021-03-09",722,0.017
"Brown","2021-03-09",339,0.065
"Burleson","2021-03-09",593,0.079
"Burnet","2021-03-09",1581,0.097
"Caldwell","2021-03-09",1206,0.088
"Calhoun","2021-03-09",306,0.193
"Callahan","2021-03-09",98,0.051
"Cameron","2021-03-09",8554,0.092
"Camp","2021-03-09",138,0.087
"Carson","2021-03-09",45,0.089
"Cass","2021-03-09",195,0.077
"Castro","2021-03-09",113,0.009
"Chambers","2021-03-09",704,0.077
"Cherokee","2021-03-09",708,0.041
"Childress","2021-03-09",129,0.016
"Clay","2021-03-09",67,0.06
"Cochran","2021-03-09",NA,NA
"Coke","2021-03-09",189,0.005
"Coleman","2021-03-09",68,0.088
"Collin","2021-03-09",25945,0.066
"Collingsworth","2021-03-09",27,0
"Colorado","2021-03-09",291,0.076
"Comal","2021-03-09",3242,0.064
"Comanche","2021-03-09",134,0.104
"Concho","2021-03-09",27,0.037
"Cooke","2021-03-09",597,0.07
"Coryell","2021-03-09",2697,0.034
"Cottle","2021-03-09",23,0.13
"Crane","2021-03-09",107,0.019
"Crockett","2021-03-09",NA,NA
"Crosby","2021-03-09",34,0.029
"Culberson","2021-03-09",36,0.111
"Dallam","2021-03-09",NA,NA
"Dallas","2021-03-09",67333,0.067
"Dawson","2021-03-09",149,0.007
"DeWitt","2021-03-09",336,0.048
"Deaf Smith","2021-03-09",130,0.085
"Delta","2021-03-09",48,0.062
"Denton","2021-03-09",21886,0.069
"Dickens","2021-03-09",NA,NA
"Dimmit","2021-03-09",506,0.121
"Donley","2021-03-09",21,0.143
"Duval","2021-03-09",435,0.039
"Eastland","2021-03-09",154,0.065
"Ector","2021-03-09",1132,0.1
"Edwards","2021-03-09",NA,NA
"El Paso","2021-03-09",28289,0.113
"Ellis","2021-03-09",5053,0.062
"Erath","2021-03-09",673,0.051
"Falls","2021-03-09",350,0.066
"Fannin","2021-03-09",879,0.051
"Fayette","2021-03-09",415,0.118
"Fisher","2021-03-09",33,0.03
"Floyd","2021-03-09",58,0
"Foard","2021-03-09",NA,NA
"Fort Bend","2021-03-09",23884,0.094
"Franklin","2021-03-09",115,0.096
"Freestone","2021-03-09",405,0.035
"Frio","2021-03-09",781,0.06
"Gaines","2021-03-09",62,0.032
"Galveston","2021-03-09",11246,0.107
"Garza","2021-03-09",129,0.062
"Gillespie","2021-03-09",190,0.132
"Glasscock","2021-03-09",NA,NA
"Goliad","2021-03-09",85,0.047
"Gonzales","2021-03-09",237,0.139
"Gray","2021-03-09",235,0.047
"Grayson","2021-03-09",2622,0.051
"Gregg","2021-03-09",1754,0.045
"Grimes","2021-03-09",1849,0.045
"Guadalupe","2021-03-09",2398,0.056
"Hale","2021-03-09",467,0.026
"Hall","2021-03-09",28,0.071
"Hamilton","2021-03-09",245,0.045
"Hansford","2021-03-09",20,0.05
"Hardeman","2021-03-09",40,0
"Hardin","2021-03-09",770,0.086
"Harris","2021-03-09",144522,0.091
"Harrison","2021-03-09",693,0.042
"Hartley","2021-03-09",NA,NA
"Haskell","2021-03-09",NA,NA
"Hays","2021-03-09",9386,0.063
"Hemphill","2021-03-09",NA,NA
"Henderson","2021-03-09",755,0.093
"Hidalgo","2021-03-09",12576,0.097
"Hill","2021-03-09",636,0.042
"Hockley","2021-03-09",108,0.083
"Hood","2021-03-09",764,0.093
"Hopkins","2021-03-09",418,0.067
"Houston","2021-03-09",274,0.029
"Howard","2021-03-09",494,0.006
"Hudspeth","2021-03-09",57,0.105
"Hunt","2021-03-09",1309,0.05
"Hutchinson","2021-03-09",115,0.096
"Irion","2021-03-09",20,0.15
"Jack","2021-03-09",63,0.032
"Jackson","2021-03-09",124,0.121
"Jasper","2021-03-09",500,0.044
"Jeff Davis","2021-03-09",50,0.22
"Jefferson","2021-03-09",3271,0.079
"Jim Hogg","2021-03-09",550,0.011
"Jim Wells","2021-03-09",1138,0.106
"Johnson","2021-03-09",2730,0.094
"Jones","2021-03-09",152,0.053
"Karnes","2021-03-09",205,0.093
"Kaufman","2021-03-09",2889,0.09
"Kendall","2021-03-09",730,0.078
"Kenedy","2021-03-09",NA,NA
"Kent","2021-03-09",NA,NA
"Kerr","2021-03-09",792,0.025
"Kimble","2021-03-09",NA,NA
