"County","Date","Tests","TPR_CMS"
"Anderson","2021-03-02",851,0.053
"Andrews","2021-03-02",58,0.069
"Angelina","2021-03-02",1679,0.082
"Aransas","2021-03-02",177,0.169
"Archer","2021-03-02",20,0
"Armstrong","2021-03-02",NA,NA
"Atascosa","2021-03-02",619,0.103
"Austin","2021-03-02",463,0.106
"Bailey","2021-03-02",NA,NA
"Bandera","2021-03-02",146,0.062
"Bastrop","2021-03-02",1271,0.088
"Baylor","2021-03-02",NA,NA
"Bee","2021-03-02",707,0.082
"Bell","2021-03-02",6037,0.076
"Bexar","2021-03-02",36469,0.106
"Blanco","2021-03-02",132,0.045
"Borden","2021-03-02",NA,NA
"Bosque","2021-03-02",179,0.084
"Bowie","2021-03-02",979,0.118
"Brazoria","2021-03-02",7435,0.138
"Brazos","2021-03-02",7270,0.118
"Brewster","2021-03-02",34,0.088
"Briscoe","2021-03-02",NA,NA
"Brooks","2021-03-02",337,0.033
"Brown","2021-03-02",240,0.083
"Burleson","2021-03-02",485,0.062
"Burnet","2021-03-02",1150,0.104
"Caldwell","2021-03-02",901,0.137
"Calhoun","2021-03-02",217,0.226
"Callahan","2021-03-02",43,0.116
"Cameron","2021-03-02",6392,0.102
"Camp","2021-03-02",108,0.167
"Carson","2021-03-02",24,0.083
"Cass","2021-03-02",159,0.113
"Castro","2021-03-02",90,0.056
"Chambers","2021-03-02",465,0.077
"Cherokee","2021-03-02",260,0.104
"Childress","2021-03-02",26,0.308
"Clay","2021-03-02",46,0.087
"Cochran","2021-03-02",NA,NA
"Coke","2021-03-02",101,0.04
"Coleman","2021-03-02",49,0.102
"Collin","2021-03-02",15483,0.106
"Collingsworth","2021-03-02",NA,NA
"Colorado","2021-03-02",268,0.078
"Comal","2021-03-02",2117,0.096
"Comanche","2021-03-02",65,0.062
"Concho","2021-03-02",NA,NA
"Cooke","2021-03-02",318,0.176
"Coryell","2021-03-02",1669,0.053
"Cottle","2021-03-02",NA,NA
"Crane","2021-03-02",282,0.007
"Crockett","2021-03-02",NA,NA
"Crosby","2021-03-02",40,0.05
"Culberson","2021-03-02",45,0.089
"Dallam","2021-03-02",133,0.008
"Dallas","2021-03-02",41358,0.103
"Dawson","2021-03-02",104,0.01
"DeWitt","2021-03-02",152,0.158
"Deaf Smith","2021-03-02",86,0.163
"Delta","2021-03-02",40,0.1
"Denton","2021-03-02",13058,0.117
"Dickens","2021-03-02",NA,NA
"Dimmit","2021-03-02",396,0.144
"Donley","2021-03-02",NA,NA
"Duval","2021-03-02",225,0.036
"Eastland","2021-03-02",75,0.147
"Ector","2021-03-02",675,0.105
"Edwards","2021-03-02",NA,NA
"El Paso","2021-03-02",22618,0.135
"Ellis","2021-03-02",3257,0.094
"Erath","2021-03-02",421,0.09
"Falls","2021-03-02",176,0.114
"Fannin","2021-03-02",373,0.091
"Fayette","2021-03-02",265,0.102
"Fisher","2021-03-02",NA,NA
"Floyd","2021-03-02",52,0.058
"Foard","2021-03-02",NA,NA
"Fort Bend","2021-03-02",16356,0.118
"Franklin","2021-03-02",80,0.125
"Freestone","2021-03-02",181,0.149
"Frio","2021-03-02",501,0.062
"Gaines","2021-03-02",55,0
"Galveston","2021-03-02",8251,0.129
"Garza","2021-03-02",108,0.083
"Gillespie","2021-03-02",109,0.239
"Glasscock","2021-03-02",NA,NA
"Goliad","2021-03-02",55,0.109
"Gonzales","2021-03-02",164,0.195
"Gray","2021-03-02",55,0.182
"Grayson","2021-03-02",1715,0.094
"Gregg","2021-03-02",1109,0.078
"Grimes","2021-03-02",1530,0.047
"Guadalupe","2021-03-02",1577,0.102
"Hale","2021-03-02",302,0.05
"Hall","2021-03-02",NA,NA
"Hamilton","2021-03-02",143,0.035
"Hansford","2021-03-02",NA,NA
"Hardeman","2021-03-02",NA,NA
"Hardin","2021-03-02",477,0.111
"Harris","2021-03-02",94643,0.111
"Harrison","2021-03-02",361,0.089
"Hartley","2021-03-02",NA,NA
"Haskell","2021-03-02",NA,NA
"Hays","2021-03-02",5899,0.1
"Hemphill","2021-03-02",NA,NA
"Henderson","2021-03-02",422,0.182
"Hidalgo","2021-03-02",8561,0.123
"Hill","2021-03-02",325,0.065
"Hockley","2021-03-02",123,0.024
"Hood","2021-03-02",507,0.172
"Hopkins","2021-03-02",230,0.143
"Houston","2021-03-02",172,0.087
"Howard","2021-03-02",358,0.006
"Hudspeth","2021-03-02",51,0.157
"Hunt","2021-03-02",805,0.108
"Hutchinson","2021-03-02",106,0.104
"Irion","2021-03-02",NA,NA
"Jack","2021-03-02",49,0.041
"Jackson","2021-03-02",105,0.181
"Jasper","2021-03-02",433,0.072
"Jeff Davis","2021-03-02",20,0.35
"Jefferson","2021-03-02",2610,0.076
"Jim Hogg","2021-03-02",521,0.015
"Jim Wells","2021-03-02",677,0.151
"Johnson","2021-03-02",1865,0.126
"Jones","2021-03-02",61,0.082
"Karnes","2021-03-02",146,0.158
"Kaufman","2021-03-02",1775,0.145
"Kendall","2021-03-02",454,0.11
"Kenedy","2021-03-02",NA,NA
"Kent","2021-03-02",NA,NA
"Kerr","2021-03-02",272,0.077
"Kimble","2021-03-02",NA,NA
"King","2021-03-02",NA,NA
"Kinney","2021-03-02",31,0.065
"Kleberg","2021-03-02",402,0.134
"Knox","2021-03-02",NA,NA
"La Salle","2021-03-02",153,0.052
"Lamar","2021-03-02",668,0.075
"Lamb","2021-03-02",49,0.061
"Lampasas","2021-03-02",367,0.09
"Lavaca","2021-03-02",185,0.184
"Lee","2021-03-02",178,0.124
"Leon","2021-03-02",236,0.081
"Liberty","2021-03-02",1644,0.1
"Limestone","2021-03-02",539,0.1
"Lipscomb","2021-03-02",NA,NA
"Live Oak","2021-03-02",365,0.055
"Llano","2021-03-02",482,0.089
"Loving","2021-03-02",NA,NA
"Lubbock","2021-03-02",3816,0.042
"Lynn","2021-03-02",22,0.136
"Madison","2021-03-02",439,0.052
"Marion","2021-03-02",61,0.148
"Martin","2021-03-02",NA,NA
"Mason","2021-03-02",NA,NA
"Matagorda","2021-03-02",799,0.099
"Maverick","2021-03-02",898,0.178
"McCulloch","2021-03-02",36,0.25
"McLennan","2021-03-02",3422,0.076
"McMullen","2021-03-02",NA,NA
"Medina","2021-03-02",637,0.075
"Menard","2021-03-02",NA,NA
"Midland","2021-03-02",1020,0.086
"Milam","2021-03-02",424,0.087
"Mills","2021-03-02",71,0.239
"Mitchell","2021-03-02",257,0.062
"Montague","2021-03-02",231,0.121
"Montgomery","2021-03-02",9545,0.146
"Moore","2021-03-02",131,0.031
"Morris","2021-03-02",98,0.041
"Motley","2021-03-02",NA,NA
"Nacogdoches","2021-03-02",926,0.11
"Navarro","2021-03-02",275,0.076
"Newton","2021-03-02",102,0.029
"Nolan","2021-03-02",50,0.04
"Nueces","2021-03-02",3687,0.096
"Ochiltree","2021-03-02",NA,NA
"Oldham","2021-03-02",NA,NA
"Orange","2021-03-02",888,0.108
"Palo Pinto","2021-03-02",184,0.125
"Panola","2021-03-02",135,0.104
"Parker","2021-03-02",1425,0.148
"Parmer","2021-03-02",47,0.064
"Pecos","2021-03-02",236,0.025
"Polk","2021-03-02",799,0.071
"Potter","2021-03-02",1335,0.04
"Presidio","2021-03-02",NA,NA
"Rains","2021-03-02",55,0.036
"Randall","2021-03-02",1016,0.028
"Reagan","2021-03-02",NA,NA
"Real","2021-03-02",23,0.13
"Red River","2021-03-02",111,0.036
"Reeves","2021-03-02",481,0.021
"Refugio","2021-03-02",84,0.19
"Roberts","2021-03-02",NA,NA
"Robertson","2021-03-02",280,0.057
"Rockwall","2021-03-02",2227,0.102
"Runnels","2021-03-02",91,0.088
"Rusk","2021-03-02",232,0.155
"Sabine","2021-03-02",130,0.062
"San Augustine","2021-03-02",139,0.036
"San Jacinto","2021-03-02",357,0.092
"San Patricio","2021-03-02",664,0.12
"San Saba","2021-03-02",57,0.088
"Schleicher","2021-03-02",NA,NA
"Scurry","2021-03-02",64,0.047
"Shackelford","2021-03-02",NA,NA
"Shelby","2021-03-02",147,0.136
"Sherman","2021-03-02",NA,NA
"Smith","2021-03-02",1705,0.101
"Somervell","2021-03-02",70,0.086
"Starr","2021-03-02",1260,0.141
"Stephens","2021-03-02",41,0.22
"Sterling","2021-03-02",NA,NA
"Stonewall","2021-03-02",NA,NA
"Sutton","2021-03-02",NA,NA
"Swisher","2021-03-02",51,0.039
"Tarrant","2021-03-02",31131,0.14
"Taylor","2021-03-02",687,0.103
"Terrell","2021-03-02",NA,NA
"Terry","2021-03-02",134,0.015
"Throckmorton","2021-03-02",NA,NA
