"County","Date","Tests","TPR_CMS"
"Anderson",2020-10-07,564,0.126
"Andrews",2020-10-07,122,0.082
"Angelina",2020-10-07,962,0.07
"Aransas",2020-10-07,148,0.02
"Archer",2020-10-07,88,0.045
"Armstrong",2020-10-07,30,0.133
"Atascosa",2020-10-07,944,0.037
"Austin",2020-10-07,661,0.023
"Bailey",2020-10-07,56,0.214
"Bandera",2020-10-07,235,0.013
"Bastrop",2020-10-07,1196,0.041
"Baylor",2020-10-07,77,0.156
"Bee",2020-10-07,319,0.1
"Bell",2020-10-07,14655,0.026
"Bexar",2020-10-07,36620,0.056
"Blanco",2020-10-07,220,0.036
"Borden",2020-10-07,NA,NA
"Bosque",2020-10-07,528,0.078
"Bowie",2020-10-07,1569,0.113
"Brazoria",2020-10-07,7856,0.043
"Brazos",2020-10-07,10757,0.038
"Brewster",2020-10-07,624,0.074
"Briscoe",2020-10-07,NA,NA
"Brooks",2020-10-07,849,0.039
"Brown",2020-10-07,433,0.032
"Burleson",2020-10-07,670,0.052
"Burnet",2020-10-07,1332,0.073
"Caldwell",2020-10-07,399,0.083
"Calhoun",2020-10-07,444,0.065
"Callahan",2020-10-07,133,0.053
"Cameron",2020-10-07,5506,0.101
"Camp",2020-10-07,164,0.03
"Carson",2020-10-07,38,0.184
"Cass",2020-10-07,661,0.101
"Castro",2020-10-07,84,0.012
"Chambers",2020-10-07,633,0.057
"Cherokee",2020-10-07,361,0.061
"Childress",2020-10-07,52,0.269
"Clay",2020-10-07,129,0.047
"Cochran",2020-10-07,25,0.16
"Coke",2020-10-07,120,0.067
"Coleman",2020-10-07,98,0.102
"Collin",2020-10-07,23937,0.047
"Collingsworth",2020-10-07,20,0.05
"Colorado",2020-10-07,368,0.033
"Comal",2020-10-07,1947,0.035
"Comanche",2020-10-07,365,0.112
"Concho",2020-10-07,55,0.2
"Cooke",2020-10-07,639,0.07
"Coryell",2020-10-07,2463,0.029
"Cottle",2020-10-07,25,0.32
"Crane",2020-10-07,258,0.016
"Crockett",2020-10-07,23,0.087
"Crosby",2020-10-07,72,0.139
"Culberson",2020-10-07,56,0.089
"Dallam",2020-10-07,27,0.111
"Dallas",2020-10-07,60869,0.074
"Dawson",2020-10-07,513,0.172
"DeWitt",2020-10-07,183,0.104
"Deaf Smith",2020-10-07,154,0.091
"Delta",2020-10-07,39,0.128
"Denton",2020-10-07,16797,0.053
"Dickens",2020-10-07,NA,NA
"Dimmit",2020-10-07,250,0.084
"Donley",2020-10-07,34,0.206
"Duval",2020-10-07,729,0.084
"Eastland",2020-10-07,153,0.157
"Ector",2020-10-07,2168,0.102
"Edwards",2020-10-07,NA,NA
"El Paso",2020-10-07,23836,0.113
"Ellis",2020-10-07,4158,0.066
"Erath",2020-10-07,578,0.107
"Falls",2020-10-07,791,0.107
"Fannin",2020-10-07,730,0.066
"Fayette",2020-10-07,377,0.045
"Fisher",2020-10-07,NA,NA
"Floyd",2020-10-07,45,0.044
"Foard",2020-10-07,NA,NA
"Fort Bend",2020-10-07,13872,0.04
"Franklin",2020-10-07,196,0.097
"Freestone",2020-10-07,257,0.043
"Frio",2020-10-07,372,0.051
"Gaines",2020-10-07,260,0.119
"Galveston",2020-10-07,9112,0.034
"Garza",2020-10-07,20,0.15
"Gillespie",2020-10-07,484,0.027
"Glasscock",2020-10-07,NA,NA
"Goliad",2020-10-07,51,0.02
"Gonzales",2020-10-07,456,0.046
"Gray",2020-10-07,359,0.178
"Grayson",2020-10-07,3160,0.052
"Gregg",2020-10-07,2601,0.077
"Grimes",2020-10-07,855,0.04
"Guadalupe",2020-10-07,1792,0.037
"Hale",2020-10-07,218,0.156
"Hall",2020-10-07,30,0.333
"Hamilton",2020-10-07,128,0.07
"Hansford",2020-10-07,116,0.31
"Hardeman",2020-10-07,23,0.522
"Hardin",2020-10-07,678,0.049
"Harris",2020-10-07,96044,0.049
"Harrison",2020-10-07,852,0.075
"Hartley",2020-10-07,NA,NA
"Haskell",2020-10-07,94,0.032
"Hays",2020-10-07,4501,0.034
"Hemphill",2020-10-07,78,0.026
"Henderson",2020-10-07,1109,0.115
"Hidalgo",2020-10-07,13053,0.096
"Hill",2020-10-07,1872,0.05
"Hockley",2020-10-07,335,0.093
"Hood",2020-10-07,829,0.099
"Hopkins",2020-10-07,661,0.076
"Houston",2020-10-07,183,0.131
"Howard",2020-10-07,648,0.207
"Hudspeth",2020-10-07,139,0.151
"Hunt",2020-10-07,841,0.046
"Hutchinson",2020-10-07,367,0.15
"Irion",2020-10-07,NA,NA
"Jack",2020-10-07,35,0.057
"Jackson",2020-10-07,136,0.081
"Jasper",2020-10-07,538,0.056
"Jeff Davis",2020-10-07,24,0
"Jefferson",2020-10-07,4136,0.065
"Jim Hogg",2020-10-07,545,0.018
"Jim Wells",2020-10-07,1650,0.093
"Johnson",2020-10-07,3129,0.093
"Jones",2020-10-07,266,0.041
"Karnes",2020-10-07,172,0.047
"Kaufman",2020-10-07,2049,0.058
"Kendall",2020-10-07,617,0.021
"Kenedy",2020-10-07,NA,NA
"Kent",2020-10-07,NA,NA
"Kerr",2020-10-07,790,0.011
"Kimble",2020-10-07,45,0.067
"King",2020-10-07,NA,NA
"Kinney",2020-10-07,52,0.192
"Kleberg",2020-10-07,795,0.081
"Knox",2020-10-07,124,0.145
"La Salle",2020-10-07,80,0.088
"Lamar",2020-10-07,551,0.111
"Lamb",2020-10-07,89,0.045
"Lampasas",2020-10-07,769,0.055
"Lavaca",2020-10-07,288,0.222
"Lee",2020-10-07,282,0.028
"Leon",2020-10-07,370,0.111
"Liberty",2020-10-07,1635,0.037
"Limestone",2020-10-07,781,0.061
"Lipscomb",2020-10-07,NA,NA
"Live Oak",2020-10-07,89,0.112
"Llano",2020-10-07,743,0.036
"Loving",2020-10-07,NA,NA
"Lubbock",2020-10-07,6433,0.121
"Lynn",2020-10-07,91,0.176
"Madison",2020-10-07,465,0.034
