"County","Date","TPR_CMS"
"Randall",2020-09-02,0.066
"Reagan",2020-09-02,0.478
"Real",2020-09-02,NA
"Red River",2020-09-02,0.012
"Reeves",2020-09-02,0.052
"Refugio",2020-09-02,0.229
"Roberts",2020-09-02,NA
"Robertson",2020-09-02,0.051
"Rockwall",2020-09-02,0.063
"Runnels",2020-09-02,0.142
"Rusk",2020-09-02,0.326
"Sabine",2020-09-02,0.13
"San Augustine",2020-09-02,0.259
"San Jacinto",2020-09-02,0
"San Patricio",2020-09-02,0.102
"San Saba",2020-09-02,NA
"Schleicher",2020-09-02,NA
"Scurry",2020-09-02,NA
"Shackelford",2020-09-02,NA
"Shelby",2020-09-02,0.171
"Sherman",2020-09-02,NA
"Smith",2020-09-02,0.11
"Somervell",2020-09-02,0
"Starr",2020-09-02,0.134
"Stephens",2020-09-02,0
"Sterling",2020-09-02,0.438
"Stonewall",2020-09-02,NA
"Sutton",2020-09-02,0.059
"Swisher",2020-09-02,0.052
"Tarrant",2020-09-02,0.088
"Taylor",2020-09-02,0.199
"Terrell",2020-09-02,NA
"Terry",2020-09-02,NA
"Throckmorton",2020-09-02,NA
"Titus",2020-09-02,0.031
"Tom Green",2020-09-02,0.137
"Travis",2020-09-02,0.086
"Trinity",2020-09-02,0.029
"Tyler",2020-09-02,0.265
"Upshur",2020-09-02,0.092
"Upton",2020-09-02,0.067
"Uvalde",2020-09-02,0.22
"Val Verde",2020-09-02,0.401
"Van Zandt",2020-09-02,0.123
"Victoria",2020-09-02,0.119
"Walker",2020-09-02,0.177
"Waller",2020-09-02,0.073
"Ward",2020-09-02,0.111
"Washington",2020-09-02,0.035
"Webb",2020-09-02,0.16
"Wharton",2020-09-02,0.082
"Wheeler",2020-09-02,0.05
"Wichita",2020-09-02,0.057
"Wilbarger",2020-09-02,0.152
"Willacy",2020-09-02,0.146
"Williamson",2020-09-02,0.042
"Wilson",2020-09-02,0.07
"Winkler",2020-09-02,NA
"Wise",2020-09-02,0.022
"Wood",2020-09-02,0.106
"Yoakum",2020-09-02,0.119
"Young",2020-09-02,0.189
"Zapata",2020-09-02,0.119
"Zavala",2020-09-02,0.125
