"County","Date","Tests","TPR_CMS"
"Anderson","2021-06-08",741,0.027
"Andrews","2021-06-08",50,0.06
"Angelina","2021-06-08",781,0.027
"Aransas","2021-06-08",183,0.049
"Archer","2021-06-08",NA,NA
"Armstrong","2021-06-08",NA,NA
"Atascosa","2021-06-08",566,0.06
"Austin","2021-06-08",283,0.064
"Bailey","2021-06-08",20,0
"Bandera","2021-06-08",139,0.029
"Bastrop","2021-06-08",2016,0.021
"Baylor","2021-06-08",NA,NA
"Bee","2021-06-08",584,0.017
"Bell","2021-06-08",6298,0.022
"Bexar","2021-06-08",74937,0.014
"Blanco","2021-06-08",166,0.054
"Borden","2021-06-08",NA,NA
"Bosque","2021-06-08",152,0.013
"Bowie","2021-06-08",576,0.04
"Brazoria","2021-06-08",5909,0.036
"Brazos","2021-06-08",3877,0.059
"Brewster","2021-06-08",NA,NA
"Briscoe","2021-06-08",NA,NA
"Brooks","2021-06-08",459,0.009
"Brown","2021-06-08",138,0.116
"Burleson","2021-06-08",330,0.048
"Burnet","2021-06-08",1131,0.019
"Caldwell","2021-06-08",1357,0.019
"Calhoun","2021-06-08",185,0.162
"Callahan","2021-06-08",53,0.094
"Cameron","2021-06-08",4743,0.048
"Camp","2021-06-08",30,0.1
"Carson","2021-06-08",27,0.037
"Cass","2021-06-08",84,0.06
"Castro","2021-06-08",44,0
"Chambers","2021-06-08",418,0.069
"Cherokee","2021-06-08",377,0.04
"Childress","2021-06-08",103,0
"Clay","2021-06-08",23,0.043
"Cochran","2021-06-08",NA,NA
"Coke","2021-06-08",NA,NA
"Coleman","2021-06-08",NA,NA
"Collin","2021-06-08",13478,0.019
"Collingsworth","2021-06-08",21,0
"Colorado","2021-06-08",112,0.018
"Comal","2021-06-08",2039,0.079
"Comanche","2021-06-08",46,0
"Concho","2021-06-08",NA,NA
"Cooke","2021-06-08",189,0.005
"Coryell","2021-06-08",1222,0.009
"Cottle","2021-06-08",NA,NA
"Crane","2021-06-08",NA,NA
"Crockett","2021-06-08",NA,NA
"Crosby","2021-06-08",31,0.065
"Culberson","2021-06-08",NA,NA
"Dallam","2021-06-08",NA,NA
"Dallas","2021-06-08",29416,0.027
"Dawson","2021-06-08",57,0
"DeWitt","2021-06-08",186,0.027
"Deaf Smith","2021-06-08",44,0.068
"Delta","2021-06-08",NA,NA
"Denton","2021-06-08",10264,0.026
"Dickens","2021-06-08",NA,NA
"Dimmit","2021-06-08",775,0.061
