"County","Date","Tests","TPR_CMS"
"Anderson","2021-05-18",1701,0.029
"Andrews","2021-05-18",51,0.039
"Angelina","2021-05-18",1142,0.035
"Aransas","2021-05-18",204,0.025
"Archer","2021-05-18",25,0.04
"Armstrong","2021-05-18",NA,NA
"Atascosa","2021-05-18",3002,0.008
"Austin","2021-05-18",457,0.039
"Bailey","2021-05-18",42,0.024
"Bandera","2021-05-18",221,0.068
"Bastrop","2021-05-18",2725,0.033
"Baylor","2021-05-18",NA,NA
"Bee","2021-05-18",987,0.007
"Bell","2021-05-18",9502,0.025
"Bexar","2021-05-18",97663,0.022
"Blanco","2021-05-18",184,0.022
"Borden","2021-05-18",NA,NA
"Bosque","2021-05-18",223,0.022
"Bowie","2021-05-18",843,0.066
"Brazoria","2021-05-18",8270,0.046
"Brazos","2021-05-18",5739,0.042
"Brewster","2021-05-18",30,0.1
"Briscoe","2021-05-18",21,0
"Brooks","2021-05-18",1576,0.01
"Brown","2021-05-18",185,0.043
"Burleson","2021-05-18",529,0.047
"Burnet","2021-05-18",1516,0.018
"Caldwell","2021-05-18",2071,0.046
"Calhoun","2021-05-18",283,0.184
"Callahan","2021-05-18",53,0.038
"Cameron","2021-05-18",6898,0.066
"Camp","2021-05-18",45,0.089
"Carson","2021-05-18",35,0.029
"Cass","2021-05-18",231,0.009
"Castro","2021-05-18",72,0.111
"Chambers","2021-05-18",649,0.086
"Cherokee","2021-05-18",472,0.021
"Childress","2021-05-18",182,0.016
"Clay","2021-05-18",58,0.052
"Cochran","2021-05-18",22,0
"Coke","2021-05-18",NA,NA
"Coleman","2021-05-18",23,0
"Collin","2021-05-18",17605,0.032
"Collingsworth","2021-05-18",NA,NA
"Colorado","2021-05-18",205,0.049
"Comal","2021-05-18",3038,0.083
"Comanche","2021-05-18",66,0
"Concho","2021-05-18",NA,NA
"Cooke","2021-05-18",327,0.04
"Coryell","2021-05-18",1980,0.019
"Cottle","2021-05-18",NA,NA
"Crane","2021-05-18",39,0
"Crockett","2021-05-18",NA,NA
"Crosby","2021-05-18",39,0.026
"Culberson","2021-05-18",NA,NA
"Dallam","2021-05-18",25,0
"Dallas","2021-05-18",45628,0.039
"Dawson","2021-05-18",72,0.028
"DeWitt","2021-05-18",306,0.01
"Deaf Smith","2021-05-18",108,0.12
"Delta","2021-05-18",39,0.026
"Denton","2021-05-18",14489,0.035
"Dickens","2021-05-18",NA,NA
"Dimmit","2021-05-18",714,0.06
"Donley","2021-05-18",NA,NA
"Duval","2021-05-18",304,0.03
"Eastland","2021-05-18",70,0.043
"Ector","2021-05-18",759,0.116
"Edwards","2021-05-18",NA,NA
"El Paso","2021-05-18",15784,0.061
"Ellis","2021-05-18",2743,0.04
"Erath","2021-05-18",355,0.056
"Falls","2021-05-18",363,0.011
"Fannin","2021-05-18",579,0.009
"Fayette","2021-05-18",539,0.02
"Fisher","2021-05-18",NA,NA
"Floyd","2021-05-18",89,0.022
"Foard","2021-05-18",NA,NA
"Fort Bend","2021-05-18",16808,0.047
"Franklin","2021-05-18",50,0.08
"Freestone","2021-05-18",399,0.033
