"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Deaths_Cumulative","Deaths_PCT"
2020-05-30,"Age","65-69 years",841,0.0563484087102178,58,0.117408906882591
2020-05-30,"Age","70-74 years",551,0.0369179229480737,47,0.0951417004048583
2020-05-30,"Age","75-79 years",365,0.0244556113902848,45,0.0910931174089069
2020-05-30,"Age","80+ years",651,0.0436180904522613,199,0.402834008097166
2020-05-30,"Age","<1 year",38,0.00254606365159129,0,0
2020-05-30,"Age","Unknown",123,0.00824120603015075,3,0.00607287449392713
2020-05-30,"Gender","Female",6722,0.450385259631491,192,0.388663967611336
2020-05-30,"Gender","Male",7921,0.5307202680067,271,0.548582995951417
2020-05-30,"Gender","Unknown",282,0.018894472361809,31,0.062753036437247
2020-05-30,"Race","Asian",498,0.0333668341708543,6,0.0121457489878543
2020-05-30,"Race","Black",2360,0.158123953098827,67,0.135627530364372
2020-05-30,"Race","Hispanic",5923,0.396850921273032,122,0.246963562753036
2020-05-30,"Race","Other",96,0.0064321608040201,1,0.00202429149797571
2020-05-30,"Race","Unknown",1941,0.130050251256281,115,0.232793522267206
2020-05-30,"Race","White",4107,0.275175879396985,183,0.370445344129555
2020-06-01,"Age","1-9 years",172,0.0114896459585838,0,0
2020-06-01,"Age","10-19 years",443,0.0295925183700735,2,0.00404858299595142
2020-06-01,"Age","20-29 years",2316,0.154709418837675,11,0.0222672064777328
2020-06-01,"Age","30-39 years",2745,0.183366733466934,9,0.0182186234817814
2020-06-01,"Age","40-49 years",2805,0.187374749498998,21,0.0425101214574899
2020-06-01,"Age","50-59 years",2753,0.183901135604542,54,0.109311740890688
2020-06-01,"Age","60-64 years",1161,0.0775551102204409,45,0.0910931174089069
2020-06-01,"Age","65-69 years",845,0.0564462257849031,58,0.117408906882591
2020-06-01,"Age","70-74 years",552,0.03687374749499,47,0.0951417004048583
2020-06-01,"Age","75-79 years",366,0.0244488977955912,45,0.0910931174089069
2020-06-01,"Age","80+ years",651,0.0434869739478958,199,0.402834008097166
2020-06-01,"Age","<1 year",38,0.00253841015364061,0,0
2020-06-01,"Age","Unknown",123,0.00821643286573146,3,0.00607287449392713
2020-06-01,"Gender","Female",6751,0.450968603874416,192,0.388663967611336
2020-06-01,"Gender","Male",7936,0.530126920507682,271,0.548582995951417
2020-06-01,"Gender","Unknown",283,0.0189044756179025,31,0.062753036437247
2020-06-01,"Race","Asian",500,0.0334001336005344,6,0.0121457489878543
2020-06-01,"Race","Black",2365,0.157982631930528,67,0.135627530364372
2020-06-01,"Race","Hispanic",5951,0.39752839011356,122,0.246963562753036
2020-06-01,"Race","Other",96,0.00641282565130261,1,0.00202429149797571
