"District","LEA","County"
"Italy ISD",70907,"Ellis"
"Midlothian ISD",70908,"Dallas"
"Milford ISD",70909,"Ellis"
"Palmer ISD",70910,"Ellis"
"Red Oak ISD",70911,"Dallas"
"Waxahachie ISD",70912,"Ellis"
"Maypearl ISD",70915,"Ellis"
"Clint ISD",71901,"El Paso"
"El Paso ISD",71902,"El Paso"
"Fabens ISD",71903,"El Paso"
"San Elizario ISD",71904,"El Paso"
"Ysleta ISD",71905,"El Paso"
"Anthony ISD",71906,"El Paso"
"Canutillo ISD",71907,"El Paso"
"Tornillo ISD",71908,"El Paso"
"Socorro ISD",71909,"El Paso"
"Three Way ISD",72901,"Erath"
"Dublin ISD",72902,"Comanche"
"Stephenville ISD",72903,"Erath"
"Bluff Dale ISD",72904,"Erath"
"Huckabay ISD",72908,"Eastland"
"Lingleville ISD",72909,"Comanche"
"Morgan Mill ISD",72910,"Erath"
"Chilton ISD",73901,"Falls"
"Marlin ISD",73903,"Falls"
"Westphalia ISD",73904,"Bell"
"Rosebud-Lott ISD",73905,"Bell"
"Bonham ISD",74903,"Fannin"
"Dodd City ISD",74904,"Fannin"
"Ector ISD",74905,"Fannin"
"Honey Grove ISD",74907,"Fannin"
"Leonard ISD",74909,"Collin"
"Savoy ISD",74911,"Fannin"
"Trenton ISD",74912,"Collin"
"Sam Rayburn ISD",74917,"Fannin"
"Flatonia ISD",75901,"Bastrop"
"La Grange ISD",75902,"Bastrop"
"Schulenburg ISD",75903,"Colorado"
"Fayetteville ISD",75906,"Austin"
"Round Top-Carmine ISD",75908,"Austin"
"Roby Cisd",76903,"Fisher"
"Rotan ISD",76904,"Fisher"
"Floydada ISD",77901,"Briscoe"
"Lockney ISD",77902,"Briscoe"
"Crowell ISD",78901,"Baylor"
"Lamar Cisd",79901,"Austin"
"Needville ISD",79906,"Brazoria"
"Fort Bend ISD",79907,"Brazoria"
"Stafford Msd",79910,"Fort Bend"
"Mount Vernon ISD",80901,"Camp"
"Fairfield ISD",81902,"Anderson"
"Teague ISD",81904,"Freestone"
"Wortham ISD",81905,"Freestone"
"Dew ISD",81906,"Freestone"
"Dilley ISD",82902,"Dimmit"
"Pearsall ISD",82903,"Atascosa"
"Seagraves ISD",83901,"Gaines"
"Loop ISD",83902,"Dawson"
"Seminole ISD",83903,"Andrews"
"Dickinson ISD",84901,"Chambers"
"Galveston ISD",84902,"Brazoria"
"High Island ISD",84903,"Chambers"
"Texas City ISD",84906,"Galveston"
"Hitchcock ISD",84908,"Brazoria"
"Santa Fe ISD",84909,"Brazoria"
"Clear Creek ISD",84910,"Brazoria"
"Friendswood ISD",84911,"Brazoria"
"Post ISD",85902,"Borden"
"Southland ISD",85903,"Crosby"
"Doss Consolidated Csd",86024,"Gillespie"
"Fredericksburg ISD",86901,"Blanco"
"Harper ISD",86902,"Gillespie"
"Glasscock County ISD",87901,"Glasscock"
"Goliad ISD",88902,"Bee"
"Gonzales ISD",89901,"Caldwell"
"Nixon-Smiley Cisd",89903,"DeWitt"
"Waelder ISD",89905,"Bastrop"
"Lefors ISD",90902,"Gray"
"Mclean ISD",90903,"Collingsworth"
"Pampa ISD",90904,"Carson"
"Grandview-Hopkins ISD",90905,"Carson"
"Bells ISD",91901,"Fannin"
"Collinsville ISD",91902,"Cooke"
"Denison ISD",91903,"Fannin"
"Howe ISD",91905,"Grayson"
"Sherman ISD",91906,"Grayson"
"Tioga ISD",91907,"Cooke"
"Van Alstyne ISD",91908,"Collin"
"Whitesboro ISD",91909,"Cooke"
"Whitewright ISD",91910,"Collin"
"Pottsboro ISD",91913,"Grayson"
"S And S Cisd",91914,"Grayson"
"Gunter ISD",91917,"Collin"
"Tom Bean ISD",91918,"Grayson"
"Gladewater ISD",92901,"Gregg"
"Kilgore ISD",92902,"Gregg"
"Longview ISD",92903,"Gregg"
"Pine Tree ISD",92904,"Gregg"
"Sabine ISD",92906,"Gregg"
"Spring Hill ISD",92907,"Gregg"
"White Oak ISD",92908,"Gregg"
"Anderson-Shiro Cisd",93901,"Brazos"
"Iola ISD",93903,"Brazos"
"Navasota ISD",93904,"Brazos"
"Richards ISD",93905,"Grimes"
"Seguin ISD",94901,"Caldwell"
"Schertz-Cibolo-U City ISD",94902,"Bexar"
"Navarro ISD",94903,"Comal"
"Marion ISD",94904,"Bexar"
"Abernathy ISD",95901,"Hale"
"Cotton Center ISD",95902,"Hale"
"Hale Center ISD",95903,"Hale"
"Petersburg ISD",95904,"Crosby"
"Plainview ISD",95905,"Castro"
"Memphis ISD",96904,"Briscoe"
"Turkey-Quitaque ISD",96905,"Briscoe"
"Hamilton ISD",97902,"Bosque"
"Hico ISD",97903,"Bosque"
"Gruver ISD",98901,"Hansford"
"Pringle-Morse Cisd",98903,"Hansford"
"Spearman ISD",98904,"Hansford"
"Chillicothe ISD",99902,"Foard"
"Quanah ISD",99903,"Childress"
"Kountze ISD",100903,"Hardin"
"Silsbee ISD",100904,"Hardin"
"Hardin-Jefferson ISD",100905,"Chambers"
"Lumberton ISD",100907,"Hardin"
"West Hardin County Cisd",100908,"Hardin"
"Aldine ISD",101902,"Harris"
"Alief ISD",101903,"Fort Bend"
"Channelview ISD",101905,"Harris"
"Crosby ISD",101906,"Chambers"
"Cypress-Fairbanks ISD",101907,"Harris"
"Deer Park ISD",101908,"Harris"
"Galena Park ISD",101910,"Harris"
"Goose Creek Cisd",101911,"Chambers"
"Houston ISD",101912,"Brazoria"
"Humble ISD",101913,"Harris"
"Katy ISD",101914,"Fort Bend"
"Klein ISD",101915,"Harris"
"La Porte ISD",101916,"Chambers"
"Pasadena ISD",101917,"Brazoria"
"Spring ISD",101919,"Harris"
"Spring Branch ISD",101920,"Harris"
"Tomball ISD",101921,"Harris"
"Sheldon ISD",101924,"Harris"
"Huffman ISD",101925,"Harris"
"Karnack ISD",102901,"Harrison"
"Marshall ISD",102902,"Harrison"
"Waskom ISD",102903,"Harrison"
"Hallsville ISD",102904,"Gregg"
"Harleton ISD",102905,"Harrison"
"Elysian Fields ISD",102906,"Harrison"
"Channing ISD",103901,"Dallam"
"Hartley ISD",103902,"Dallam"
"Haskell Cisd",104901,"Haskell"
"Rule ISD",104903,"Haskell"
"Paint Creek ISD",104907,"Haskell"
"San Marcos Cisd",105902,"Caldwell"
"Dripping Springs ISD",105904,"Blanco"
"Wimberley ISD",105905,"Comal"
"Hays Cisd",105906,"Caldwell"
"Canadian ISD",106901,"Hemphill"
"Athens ISD",107901,"Anderson"
"Brownsboro ISD",107902,"Cherokee"
"Cross Roads ISD",107904,"Anderson"
"Eustace ISD",107905,"Henderson"
"Malakoff ISD",107906,"Henderson"
"Trinidad ISD",107907,"Henderson"
"Murchison ISD",107908,"Henderson"
"Lapoynor ISD",107910,"Anderson"
"Donna ISD",108902,"Hidalgo"
"Edcouch-Elsa ISD",108903,"Hidalgo"
"Edinburg Cisd",108904,"Brooks"
"Hidalgo ISD",108905,"Hidalgo"
"Mcallen ISD",108906,"Hidalgo"
"Mercedes ISD",108907,"Cameron"
"Mission Cisd",108908,"Hidalgo"
"Pharr-San Juan-Alamo ISD",108909,"Hidalgo"
"Progreso ISD",108910,"Hidalgo"
"Sharyland ISD",108911,"Hidalgo"
"La Joya ISD",108912,"Hidalgo"
"Weslaco ISD",108913,"Hidalgo"
"La Villa ISD",108914,"Cameron"
"Monte Alto ISD",108915,"Hidalgo"
"Valley View ISD",108916,"Hidalgo"
"Abbott ISD",109901,"Hill"
"Bynum ISD",109902,"Ellis"
"Covington ISD",109903,"Hill"
"Hillsboro ISD",109904,"Hill"
"Hubbard ISD",109905,"Hill"
"Itasca ISD",109907,"Ellis"
"Malone ISD",109908,"Hill"
"Mount Calm ISD",109910,"Hill"
"Whitney ISD",109911,"Bosque"
"Aquilla ISD",109912,"Bosque"
"Blum ISD",109913,"Bosque"
"Penelope ISD",109914,"Hill"
"Anton ISD",110901,"Hale"
"Levelland ISD",110902,"Cochran"
"Ropes ISD",110905,"Hockley"
"Smyer ISD",110906,"Hockley"
"Sundown ISD",110907,"Cochran"
"Whitharral ISD",110908,"Hockley"
"Granbury ISD",111901,"Hood"
"Lipan ISD",111902,"Erath"
"Tolar ISD",111903,"Erath"
"Sulphur Springs ISD",112901,"Hopkins"
"Cumby ISD",112905,"Delta"
"North Hopkins ISD",112906,"Delta"
"Miller Grove ISD",112907,"Hopkins"
"Como-Pickton Cisd",112908,"Franklin"
"Saltillo ISD",112909,"Franklin"
"Sulphur Bluff ISD",112910,"Delta"
"Crockett ISD",113901,"Houston"
"Grapeland ISD",113902,"Anderson"
"Lovelady ISD",113903,"Houston"
"Latexo ISD",113905,"Houston"
"Kennard ISD",113906,"Angelina"
"Big Spring ISD",114901,"Borden"
"Coahoma ISD",114902,"Borden"
"Forsan ISD",114904,"Glasscock"
"Ft Hancock ISD",115901,"El Paso"
"Sierra Blanca ISD",115902,"Hudspeth"
"Dell City ISD",115903,"Culberson"
"Caddo Mills ISD",116901,"Collin"
"Celeste ISD",116902,"Collin"
"Commerce ISD",116903,"Delta"
"Greenville ISD",116905,"Hunt"
"Lone Oak ISD",116906,"Hopkins"
"Quinlan ISD",116908,"Hunt"
"Wolfe City ISD",116909,"Fannin"
"Campbell ISD",116910,"Hunt"
"Bland ISD",116915,"Collin"
"Boles ISD",116916,"Hunt"
"Borger ISD",117901,"Carson"
"Sanford-Fritch ISD",117903,"Carson"
"Plemons-Stinnett-Phillips
Cisd",117904,"Hutchinson"
"Spring Creek ISD",117907,"Carson"
"Irion County ISD",118902,"Crockett"
"Bryson ISD",119901,"Jack"
"Jacksboro ISD",119902,"Archer"
"Perrin-Whitt Cisd",119903,"Jack"
"Edna ISD",120901,"Jackson"
"Ganado ISD",120902,"Jackson"
"Industrial ISD",120905,"Calhoun"
"Brookeland ISD",121902,"Jasper"
"Buna ISD",121903,"Hardin"
"Jasper ISD",121904,"Angelina"
"Kirbyville Cisd",121905,"Jasper"
"Evadale ISD",121906,"Hardin"
"Ft Davis ISD",122901,"Brewster"
"Valentine ISD",122902,"Culberson"
"Nederland ISD",123905,"Jefferson"
"Port Arthur ISD",123907,"Jefferson"
"Port Neches-Groves ISD",123908,"Jefferson"
"Beaumont ISD",123910,"Hardin"
"Sabine Pass ISD",123913,"Chambers"
"Hamshire-Fannett ISD",123914,"Chambers"
"Jim Hogg County ISD",124901,"Brooks"
"Alice ISD",125901,"Duval"
"Ben Bolt-Palito Blanco ISD",125902,"Duval"
"Orange Grove ISD",125903,"Jim Wells"
"Premont ISD",125905,"Duval"
"La Gloria ISD",125906,"Brooks"
"Alvarado ISD",126901,"Johnson"
"Burleson ISD",126902,"Johnson"
"Cleburne ISD",126903,"Bosque"
"Grandview ISD",126904,"Ellis"
"Joshua ISD",126905,"Johnson"
"Keene ISD",126906,"Johnson"
"Rio Vista ISD",126907,"Bosque"
"Venus ISD",126908,"Ellis"
"Godley ISD",126911,"Hood"
"Anson ISD",127901,"Jones"
"Hamlin Collegiate ISD",127903,"Fisher"
"Hawley ISD",127904,"Jones"
"Lueders-Avoca ISD",127905,"Haskell"
"Stamford ISD",127906,"Haskell"
"Karnes City ISD",128901,"Atascosa"
"Kenedy ISD",128902,"Bee"
"Runge ISD",128903,"DeWitt"
"Falls City ISD",128904,"Atascosa"
"Crandall ISD",129901,"Dallas"
"Forney ISD",129902,"Dallas"
"Kaufman ISD",129903,"Kaufman"
"Kemp ISD",129904,"Ellis"
"Mabank ISD",129905,"Henderson"
"Terrell ISD",129906,"Hunt"
"Scurry-Rosser ISD",129910,"Ellis"
"Boerne ISD",130901,"Bandera"
"Comfort ISD",130902,"Bandera"
"Kenedy County Wide Csd",131001,"Brooks"
"Jayton-Girard ISD",132902,"Dickens"
"Center Point ISD",133901,"Bandera"
"Hunt ISD",133902,"Bandera"
"Kerrville ISD",133903,"Bandera"
"Ingram ISD",133904,"Gillespie"
"Divide ISD",133905,"Bandera"
"Junction ISD",134901,"Edwards"
"Guthrie Csd",135001,"Cottle"
"Brackett ISD",136901,"Edwards"
"Kingsville ISD",137901,"Jim Wells"
"Ricardo ISD",137902,"Kleberg"
"Riviera ISD",137903,"Kenedy"
"Santa Gertrudis ISD",137904,"Brooks"
"Knox City-O'brien Cisd",138902,"Haskell"
"Munday Cisd",138903,"Baylor"
"Benjamin ISD",138904,"Baylor"
"Chisum ISD",139905,"Delta"
"Paris ISD",139909,"Lamar"
"North Lamar ISD",139911,"Fannin"
"Prairiland ISD",139912,"Delta"
"Amherst ISD",140901,"Lamb"
"Littlefield ISD",140904,"Bailey"
"Olton ISD",140905,"Castro"
"Springlake-Earth ISD",140907,"Castro"
"Sudan ISD",140908,"Bailey"
"Lampasas ISD",141901,"Bell"
"Lometa ISD",141902,"Lampasas"
"Cotulla ISD",142901,"Atascosa"
"Hallettsville ISD",143901,"Colorado"
"Moulton ISD",143902,"Fayette"
"Shiner ISD",143903,"DeWitt"
"Vysehrad ISD",143904,"Lavaca"
"Sweet Home ISD",143905,"Lavaca"
"Ezzell ISD",143906,"DeWitt"
"Giddings ISD",144901,"Bastrop"
"Lexington ISD",144902,"Bastrop"
"Dime Box ISD",144903,"Burleson"
"Buffalo ISD",145901,"Freestone"
"Centerville ISD",145902,"Houston"
"Normangee ISD",145906,"Brazos"
"Oakwood ISD",145907,"Anderson"
"Leon ISD",145911,"Freestone"
"Cleveland ISD",146901,"Harris"
"Dayton ISD",146902,"Chambers"
"Devers ISD",146903,"Chambers"
"Hardin ISD",146904,"Hardin"
"Hull-Daisetta ISD",146905,"Hardin"
"Liberty ISD",146906,"Chambers"
"Tarkington ISD",146907,"Liberty"
"Coolidge ISD",147901,"Hill"
"Groesbeck ISD",147902,"Falls"
"Mexia ISD",147903,"Freestone"
"Booker ISD",148901,"Hemphill"
"Follett ISD",148902,"Lipscomb"
"Darrouzett ISD",148905,"Lipscomb"
"George West ISD",149901,"Bee"
"Three Rivers ISD",149902,"Atascosa"
"Llano ISD",150901,"Blanco"
"Lubbock ISD",152901,"Lubbock"
"New Deal ISD",152902,"Hale"
"Slaton ISD",152903,"Crosby"
"Lubbock-Cooper ISD",152906,"Lubbock"
"Frenship ISD",152907,"Hockley"
"Roosevelt ISD",152908,"Crosby"
"Shallowater ISD",152909,"Hockley"
"Idalou ISD",152910,"Hale"
"O'donnell ISD",153903,"Borden"
"Tahoka ISD",153904,"Garza"
"New Home ISD",153905,"Hockley"
"Wilson ISD",153907,"Lubbock"
"Madisonville Cisd",154901,"Grimes"
"North Zulch ISD",154903,"Brazos"
"Jefferson ISD",155901,"Cass"
"Stanton ISD",156902,"Andrews"
"Grady ISD",156905,"Andrews"
"Mason ISD",157901,"Gillespie"
"Bay City ISD",158901,"Matagorda"
"Tidehaven ISD",158902,"Jackson"
"Matagorda ISD",158904,"Matagorda"
"Palacios ISD",158905,"Calhoun"
"Van Vleck ISD",158906,"Brazoria"
"Eagle Pass ISD",159901,"Dimmit"
"Brady ISD",160901,"Coleman"
"Rochelle ISD",160904,"Brown"
"Lohn ISD",160905,"Coleman"
"Crawford ISD",161901,"Bosque"
"Midway ISD",161903,"McLennan"
"La Vega ISD",161906,"McLennan"
"Lorena ISD",161907,"Falls"
"Mart ISD",161908,"Falls"
"Mcgregor ISD",161909,"Coryell"
"Moody ISD",161910,"Bell"
"Riesel ISD",161912,"Falls"
"Waco ISD",161914,"McLennan"
"West ISD",161916,"Hill"
"Axtell ISD",161918,"Hill"
"Bruceville-Eddy ISD",161919,"Bell"
"China Spring ISD",161920,"Bosque"
"Connally ISD",161921,"McLennan"
"Robinson ISD",161922,"Falls"
"Bosqueville ISD",161923,"McLennan"
"Hallsburg ISD",161924,"McLennan"
"Gholson ISD",161925,"Hill"
"Mcmullen County ISD",162904,"Atascosa"
"Devine ISD",163901,"Atascosa"
"D'hanis ISD",163902,"Bandera"
"Natalia ISD",163903,"Atascosa"
"Hondo ISD",163904,"Bandera"
"Medina Valley ISD",163908,"Bandera"
"Menard ISD",164901,"Concho"
"Midland ISD",165901,"Andrews"
"Greenwood ISD",165902,"Glasscock"
"Cameron ISD",166901,"Bell"
"Gause ISD",166902,"Burleson"
"Milano ISD",166903,"Burleson"
"Rockdale ISD",166904,"Burleson"
"Thorndale ISD",166905,"Lee"
"Buckholts ISD",166907,"Bell"
"Goldthwaite ISD",167901,"Hamilton"
"Mullin ISD",167902,"Brown"
"Priddy ISD",167904,"Comanche"
"Colorado ISD",168901,"Coke"
"Loraine ISD",168902,"Mitchell"
"Westbrook ISD",168903,"Howard"
"Bowie ISD",169901,"Clay"
"Nocona ISD",169902,"Montague"
"Gold Burg ISD",169906,"Clay"
"Montague ISD",169908,"Montague"
"Prairie Valley ISD",169909,"Montague"
"Forestburg ISD",169910,"Cooke"
"Saint Jo ISD",169911,"Cooke"
"Conroe ISD",170902,"Harris"
"Montgomery ISD",170903,"Grimes"
"Willis ISD",170904,"Montgomery"
"Magnolia ISD",170906,"Grimes"
"Splendora ISD",170907,"Liberty"
"New Caney ISD",170908,"Harris"
"Dumas ISD",171901,"Carson"
"Sunray ISD",171902,"Hansford"
"Daingerfield-Lone Star ISD",172902,"Camp"
"Pewitt Cisd",172905,"Bowie"
