"School","City","County","Deaths_Cumulative","Cases_Cumulative","Date"
"Texas A&M University-Corpus Christi","Corpus Christi","Nueces",0,89,2020-09-10
"Lamar University","Beaumont","Jefferson",0,95,2020-09-10
"Texas A&M University-Commerce","Commerce","Hunt",0,101,2020-09-10
"University of Texas at El Paso","El Paso","El Paso",0,103,2020-09-10
"University of Texas Rio Grande Valley","Edinburg","Hidalgo",0,108,2020-09-10
"Stephen F. Austin State University","Nacogdoches","Nacogdoches",0,108,2020-09-10
"Prairie View A&M University","Prairie View","Waller",0,121,2020-09-10
"University of Houston","Houston","Harris",0,192,2020-09-10
"Texas Tech University Health Sciences Center","Lubbock","Lubbock",0,194,2020-09-10
"Tarleton State University","Stephenville","Erath",0,207,2020-09-10
"Southern Methodist University","Dallas","Dallas",0,207,2020-09-10
"University of Texas Health Science Center at San Antonio","San Antonio","Bexar",0,214,2020-09-10
"Sam Houston State University","Huntsville","Walker",0,259,2020-09-10
"University of Texas Southwestern Medical Center","Dallas","Dallas",0,265,2020-09-10
"Texas State University","San Marcos","Hays",0,354,2020-09-10
"University of Texas at Austin","Austin","Travis",1,645,2020-09-10
"Baylor University","Waco","McLennan",0,955,2020-09-10
"Texas Tech University","Lubbock","Lubbock",0,1020,2020-09-10
"Texas Christian University","Fort Worth","Tarrant",0,1031,2020-09-10
"Texas A&M University","College Station","Brazos",0,1042,2020-09-10
"University of Texas Medical Branch at Galveston","Galveston","Galveston",0,NA,2020-09-25
"University of Texas MD Anderson Cancer Center","Houston","Harris",0,NA,2020-09-25
"LeTourneau University","Longview","Gregg",0,NA,2020-09-25
"Howard Payne University","Brownwood","Brown",0,NA,2020-09-25
"Laredo College","Laredo","Webb",0,0,2020-09-25
"Texas Southern University","Houston","Harris",0,1,2020-09-25
"Texas College","Tyler","Smith",0,1,2020-09-25
"East Texas Baptist University","Marshall","Harrison",0,1,2020-09-25
"Brazosport College","Richwood","Brazoria",0,1,2020-09-25
"Schreiner University","Kerriville","Kerr",0,2,2020-09-25
"Houston Baptist University","Houston","Harris",0,2,2020-09-25
"McMurry University","Abilene","Taylor",0,4,2020-09-25
"Hill College","Hillsboro","Hill",0,4,2020-09-25
"Galveston College","Galveston","Galveston",0,4,2020-09-25
"Concordia University Texas","Austin","Travis",0,4,2020-09-25
"University of Texas at Tyler","Tyler","Smith",0,5,2020-09-25
"University of Dallas","Irving","Dallas",0,6,2020-09-25
"Collin College McKinney","McKinney","Collin",0,6,2020-09-25
"Southwestern University","Georgetown","Williamson",0,7,2020-09-25
"Hardin-Simmons University","Abilene","Taylor",0,7,2020-09-25
"Texas Lutheran University","Seguin","Guadalupe",0,8,2020-09-25
"University of North Texas at Dallas","Dallas","Dallas",0,10,2020-09-25
"Texas A&M University-Central Texas","Kileen","Bell",0,10,2020-09-25
"University of Texas at San Antonio","San Antonio","Bexar",0,11,2020-09-25
"Sul Ross State University","Alpine","Brewster",0,11,2020-09-25
"Saint Edward's University","Austin","Travis",0,11,2020-09-25
"Midland College","Midland","Midland",0,12,2020-09-25
"Grayson College","Dension","Grayson",0,12,2020-09-25
"Texas A&M University-Texarkana","Texarkana","Bowie",0,14,2020-09-25
"Austin Community College District","Austin","Travis",0,14,2020-09-25
"St. Mary's University","San Antonio","Bexar",0,18,2020-09-25
"Odessa College","Odessa","Ector",0,19,2020-09-25
"University of the Incarnate Word","San Antonio","Bexar",0,20,2020-09-25
"Texas Wesleyan University","Fort Worth","Tarrant",0,23,2020-09-25
