"County","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
"Anderson","0-4",3016,1575,1441,1203,1074,269,264,16,11,10,16,6,3,71,73,1272,1142,329,326,22,18,17,22,7,8,1180,1058,845,748,253,236,7,5,6,13,3,0,66,56,909,801,309,286,12,7,13,18,4,2,395,383,358,326,16,28,9,6,4,3,3,3,5,17,363,341,20,40,10,11,4,4,3,6
"Anderson","5-9",3009,1554,1455,1206,1147,235,211,19,10,20,15,3,0,71,72,1272,1216,294,268,29,18,29,24,4,3,1179,1110,872,835,214,191,10,6,17,12,0,0,66,66,933,899,270,246,18,11,26,20,1,2,375,345,334,312,21,20,9,4,3,3,3,0,5,6,339,317,24,22,11,7,3,4,3,1
"Anderson","10-14",3140,1624,1516,1296,1213,226,229,10,6,14,13,3,2,75,53,1366,1259,283,268,23,17,31,20,10,5,1201,1152,913,885,209,212,5,5,8,10,1,0,65,40,973,921,260,244,14,11,24,15,8,1,423,364,383,328,17,17,5,1,6,3,2,2,10,13,393,338,23,24,9,6,7,5,2,4
"Anderson","15-19",3091,1712,1379,1342,1076,282,237,18,9,23,15,8,8,39,34,1375,1105,313,262,25,13,27,23,11,10,1260,1056,926,783,270,226,9,7,23,11,0,2,32,27,953,805,298,248,13,8,26,18,2,4,452,323,416,293,12,11,9,2,0,4,8,6,7,7,422,300,15,14,12,5,1,5,9,6
"Anderson","20-24",3410,2192,1218,1493,939,619,206,10,12,26,14,1,4,43,43,1530,976,642,239,25,22,38,19,9,6,1591,932,939,683,602,193,9,3,16,11,0,2,25,40,961,717,620,225,16,13,18,15,4,3,601,286,554,256,17,13,1,9,10,3,1,2,18,3,569,259,22,14,9,9,20,4,5,3
"Anderson","25-29",4493,3140,1353,2004,1068,1039,228,8,15,47,13,2,2,40,27,2042,1090,1051,245,25,23,71,17,13,5,2264,1084,1218,819,1003,220,2,8,19,12,1,1,21,24,1237,838,1014,235,10,15,25,16,3,4,876,269,786,249,36,8,6,7,28,1,1,1,19,3,805,252,37,10,15,8,46,1,10,1
"Anderson","30-34",4836,3545,1291,2188,1018,1256,233,9,6,42,19,10,3,40,12,2226,1028,1264,238,29,12,70,21,24,4,2621,1061,1381,815,1193,218,3,3,24,16,3,0,17,9,1396,822,1201,223,9,7,30,17,4,1,924,230,807,203,63,15,6,3,18,3,7,3,23,3,830,206,63,15,20,5,40,4,20,3
"Anderson","35-39",4679,3379,1300,2089,1055,1191,194,30,9,38,20,5,4,26,18,2102,1068,1201,202,42,18,48,25,14,8,2624,1082,1439,858,1143,188,11,4,18,18,3,0,10,14,1448,867,1148,195,15,11,21,23,4,3,755,218,650,197,48,6,19,5,20,2,2,4,16,4,654,201,53,7,27,7,27,2,10,5
"Anderson","40-44",4599,3348,1251,2106,1050,1152,169,21,8,27,17,7,2,35,5,2120,1055,1167,170,42,11,40,18,15,2,2677,998,1515,812,1128,162,5,5,14,13,1,1,14,5,1525,817,1132,163,16,8,17,14,1,1,671,253,591,238,24,7,16,3,13,4,6,1,21,0,595,238,35,7,26,3,23,4,14,1
"Anderson","45-49",4440,3076,1364,1966,1091,1013,218,32,13,37,21,2,2,26,19,1976,1106,1025,224,42,24,51,27,8,2,2551,1151,1517,898,988,210,12,8,22,19,2,1,10,15,1526,910,991,214,15,18,27,23,2,1,525,213,449,193,25,8,20,5,15,2,0,1,16,4,450,196,34,10,27,6,24,4,6,1
"Anderson","50-54",3896,2546,1350,1755,1111,754,206,13,7,9,11,1,7,14,8,1767,1119,757,207,23,12,12,13,3,7,2190,1193,1431,960,738,204,8,6,4,11,0,4,9,8,1440,968,739,205,16,11,6,13,0,4,356,157,324,151,16,2,5,1,5,0,1,3,5,0,327,151,18,2,7,1,6,0,3,3
"Anderson","55-59",3576,2122,1454,1575,1198,504,214,12,13,12,12,2,2,17,15,1592,1211,506,215,24,24,15,15,3,4,1899,1312,1364,1066,501,211,5,8,12,12,0,1,17,14,1381,1078,503,212,17,19,15,14,1,3,223,142,211,132,3,3,7,5,0,0,2,1,0,1,211,133,3,3,7,5,0,1,2,1
"Anderson","60-64",3281,1717,1564,1381,1320,292,204,18,16,10,13,0,0,16,11,1393,1330,294,206,30,26,15,13,2,0,1573,1466,1241,1231,290,201,16,12,10,12,0,0,16,10,1253,1240,292,203,28,21,15,12,2,0,144,98,140,89,2,3,2,4,0,1,0,0,0,1,140,90,2,3,2,5,0,1,0,0
"Anderson","65-69",2776,1412,1364,1197,1180,178,158,14,7,4,3,2,0,17,16,1213,1195,180,160,28,19,6,5,2,1,1311,1278,1107,1103,174,155,9,4,3,2,1,0,17,14,1123,1116,176,157,23,14,5,4,1,1,101,86,90,77,4,3,5,3,1,1,1,0,0,2,90,79,4,3,5,5,1,1,1,0
"Anderson","70-74",2246,1104,1142,980,1024,107,102,5,4,3,5,0,0,9,7,989,1031,107,104,14,7,3,7,0,0,1048,1098,927,984,107,101,3,3,3,4,0,0,8,6,935,990,107,102,11,6,3,6,0,0,56,44,53,40,0,1,2,1,0,1,0,0,1,1,54,41,0,2,3,1,0,1,0,0
"Anderson","75-79",1701,783,918,707,785,66,118,6,3,0,3,0,0,4,9,711,794,66,118,7,11,2,4,1,0,738,878,663,752,66,113,5,2,0,2,0,0,4,9,667,761,66,113,6,10,2,3,1,0,45,40,44,33,0,5,1,1,0,1,0,0,0,0,44,33,0,5,1,1,0,1,0,0
"Anderson","80-84",982,379,603,325,518,45,75,4,3,1,1,0,1,4,5,329,523,46,75,6,8,2,1,0,1,368,589,318,507,43,73,4,2,0,1,0,1,3,5,321,512,44,73,5,7,1,1,0,1,11,14,7,11,2,2,0,1,1,0,0,0,1,0,8,11,2,2,1,1,1,0,0,0
"Anderson","85+",886,338,548,286,445,43,90,4,4,1,5,0,0,4,4,289,449,44,91,8,6,1,5,0,1,330,524,280,424,42,90,3,3,1,5,0,0,4,2,283,426,43,91,7,4,1,5,0,0,8,24,6,21,1,0,1,1,0,0,0,0,0,2,6,23,1,0,1,2,0,0,0,1
"Andrews","0-4",1569,822,747,764,705,22,11,8,4,3,9,0,0,25,18,788,722,36,24,15,8,7,10,1,1,299,267,266,243,12,4,5,0,3,9,0,0,13,11,279,254,20,14,7,0,5,10,1,0,523,480,498,462,10,7,3,4,0,0,0,0,12,7,509,468,16,10,8,8,2,0,0,1
"Andrews","5-9",1571,794,777,736,713,17,18,12,12,11,6,0,0,18,28,754,740,28,31,18,24,13,8,0,2,298,265,259,236,14,14,6,3,10,3,0,0,9,9,268,245,21,20,7,5,11,3,0,1,496,512,477,477,3,4,6,9,1,3,0,0,9,19,486,495,7,11,11,19,2,5,0,1
"Andrews","10-14",1533,808,725,760,686,17,14,7,11,4,4,0,0,20,10,779,694,29,19,13,16,8,6,1,0,304,251,280,227,10,11,0,5,4,3,0,0,10,5,289,231,16,14,2,7,7,4,1,0,504,474,480,459,7,3,7,6,0,1,0,0,10,5,490,463,13,5,11,9,1,2,0,0
"Andrews","15-19",1363,686,677,648,623,15,23,6,12,8,4,0,0,9,15,656,637,21,32,9,16,9,6,0,1,241,225,213,199,13,11,4,6,3,1,0,0,8,8,220,206,19,17,6,7,4,3,0,0,445,452,435,424,2,12,2,6,5,3,0,0,1,7,436,431,2,15,3,9,5,3,0,1
"Andrews","20-24",1148,624,524,574,493,13,11,18,7,7,3,1,0,11,10,584,502,20,14,23,12,7,6,1,0,201,170,177,153,7,9,3,1,5,2,0,0,9,5,185,157,14,11,6,4,5,3,0,0,423,354,397,340,6,2,15,6,2,1,1,0,2,5,399,345,6,3,17,8,2,3,1,0
"Andrews","25-29",1378,759,619,704,600,22,7,16,6,4,1,0,0,13,5,717,605,26,8,22,9,7,1,0,1,261,250,225,240,20,3,5,4,4,1,0,0,7,2,232,242,23,3,8,5,5,1,0,1,498,369,479,360,2,4,11,2,0,0,0,0,6,3,485,363,3,5,14,4,2,0,0,0
"Andrews","30-34",1301,661,640,623,612,11,11,10,10,3,3,0,0,14,4,637,616,14,14,19,11,5,3,0,0,248,268,235,254,5,7,2,3,2,2,0,0,4,2,239,256,6,9,3,3,4,2,0,0,413,372,388,358,6,4,8,7,1,1,0,0,10,2,398,360,8,5,16,8,1,1,0,0
"Andrews","35-39",1351,720,631,676,597,17,9,12,9,7,10,0,0,8,6,684,602,21,10,16,13,8,11,0,1,305,290,275,269,15,6,5,6,3,7,0,0,7,2,282,270,18,7,9,6,4,8,0,1,415,341,401,328,2,3,7,3,4,3,0,0,1,4,402,332,3,3,7,7,4,3,0,0
"Andrews","40-44",1069,540,529,509,502,7,6,10,11,3,4,0,0,11,6,519,508,10,7,17,16,4,4,1,0,206,224,192,215,5,4,2,1,2,3,0,0,5,1,196,216,7,4,6,2,2,3,0,0,334,305,317,287,2,2,8,10,1,1,0,0,6,5,323,292,3,3,11,14,2,1,1,0
"Andrews","45-49",1043,515,528,493,509,9,4,5,7,4,2,0,0,4,6,497,513,10,8,8,10,4,3,0,0,217,222,201,211,8,3,2,3,4,2,0,0,2,3,203,213,9,5,3,5,4,2,0,0,298,306,292,298,1,1,3,4,0,0,0,0,2,3,294,300,1,3,5,5,0,1,0,0
"Andrews","50-54",1010,512,498,485,472,11,12,9,5,4,7,1,0,2,2,487,474,12,13,10,6,4,7,1,0,232,250,216,229,7,9,3,3,4,7,1,0,1,2,217,231,7,10,4,4,4,7,1,0,280,248,269,243,4,3,6,2,0,0,0,0,1,0,270,243,5,3,6,2,0,0,0,0
"Andrews","55-59",1034,545,489,517,468,10,0,6,7,6,4,1,1,5,9,522,476,12,0,8,15,6,5,2,2,285,292,266,276,7,0,3,5,6,4,0,0,3,7,269,282,8,0,5,11,6,5,0,1,260,197,251,192,3,0,3,2,0,0,1,1,2,2,253,194,4,0,3,4,0,0,2,1
"Andrews","60-64",880,444,436,424,411,6,5,8,10,3,4,0,0,3,6,425,417,7,7,8,13,6,5,1,0,276,260,262,242,4,4,5,6,2,3,0,0,3,5,263,247,5,6,5,9,5,3,1,0,168,176,162,169,2,1,3,4,1,1,0,0,0,1,162,170,2,1,3,4,1,2,0,0
"Andrews","65-69",610,304,306,286,281,8,8,5,9,3,4,0,0,2,4,288,284,8,8,6,12,4,5,0,1,178,202,164,180,6,8,3,6,3,4,0,0,2,4,166,183,6,8,4,9,4,5,0,1,126,104,122,101,2,0,2,3,0,0,0,0,0,0,122,101,2,0,2,3,0,0,0,0
"Andrews","70-74",472,222,250,205,239,5,2,9,7,0,2,0,0,3,0,208,239,5,2,12,7,0,2,0,0,136,169,123,158,5,2,5,7,0,2,0,0,3,0,126,158,5,2,8,7,0,2,0,0,86,81,82,81,0,0,4,0,0,0,0,0,0,0,82,81,0,0,4,0,0,0,0,0
"Andrews","75-79",316,133,183,128,173,3,6,1,0,0,1,0,0,1,3,129,176,3,6,1,3,1,1,0,0,86,130,83,122,2,4,0,0,0,1,0,0,1,3,84,125,2,4,0,3,1,1,0,0,47,53,45,51,1,2,1,0,0,0,0,0,0,0,45,51,1,2,1,0,0,0,0,0
"Andrews","80-84",243,88,155,85,152,1,0,1,3,1,0,0,0,0,0,85,152,1,0,1,3,1,0,0,0,57,113,54,111,1,0,1,2,1,0,0,0,0,0,54,111,1,0,1,2,1,0,0,0,31,42,31,41,0,0,0,1,0,0,0,0,0,0,31,41,0,0,0,1,0,0,0,0
"Andrews","85+",237,97,140,94,134,1,1,1,2,0,1,0,0,1,2,94,136,2,2,2,3,0,1,0,0,69,113,66,107,1,1,1,2,0,1,0,0,1,2,66,109,2,2,2,3,0,1,0,0,28,27,28,27,0,0,0,0,0,0,0,0,0,0,28,27,0,0,0,0,0,0,0,0
"Angelina","0-4",5951,3018,2933,2380,2269,492,499,20,13,30,33,1,1,95,118,2470,2379,561,587,36,31,46,51,3,3,2031,1991,1464,1398,467,463,7,8,21,23,1,1,71,98,1532,1489,521,538,16,18,33,41,3,3,987,942,916,871,25,36,13,5,9,10,0,0,24,20,938,890,40,49,20,13,13,10,0,0
"Angelina","5-9",6113,3087,3026,2457,2366,473,529,30,16,29,27,2,0,96,88,2547,2450,537,589,49,31,49,41,2,4,2063,2016,1524,1423,441,495,7,6,18,23,0,0,73,69,1593,1490,493,544,18,15,33,35,0,2,1024,1010,933,943,32,34,23,10,11,4,2,0,23,19,954,960,44,45,31,16,16,6,2,2
"Angelina","10-14",6508,3278,3230,2570,2571,577,536,31,19,29,26,2,6,69,72,2635,2638,625,584,43,35,44,38,4,7,2240,2162,1620,1565,531,508,10,5,18,18,0,2,61,64,1677,1624,574,553,19,16,32,30,2,3,1038,1068,950,1006,46,28,21,14,11,8,2,4,8,8,958,1014,51,31,24,19,12,8,2,4
"Angelina","15-19",5884,2974,2910,2319,2318,542,480,22,25,31,27,1,3,59,57,2372,2369,583,515,35,34,39,42,5,7,2054,1982,1479,1446,502,457,8,9,23,23,0,1,42,46,1515,1486,534,487,14,14,31,37,2,4,920,928,840,872,40,23,14,16,8,4,1,2,17,11,857,883,49,28,21,20,8,5,3,3
"Angelina","20-24",5380,2682,2698,2154,2084,417,485,18,31,32,41,1,3,60,54,2202,2135,457,519,40,44,41,50,3,4,1863,1927,1398,1368,398,466,6,9,26,33,0,3,35,48,1429,1413,421,497,15,21,31,40,2,4,819,771,756,716,19,19,12,22,6,8,1,0,25,6,773,722,36,22,25,23,10,10,1,0
"Angelina","25-29",5822,2845,2977,2248,2298,506,583,33,20,28,27,2,1,28,48,2272,2340,523,607,45,35,33,39,2,5,2070,2249,1537,1618,481,562,6,4,21,21,1,1,24,43,1557,1655,495,585,16,16,26,31,1,5,775,728,711,680,25,21,27,16,7,6,1,0,4,5,715,685,28,22,29,19,7,8,1,0
"Angelina","30-34",5352,2578,2774,2109,2180,402,489,14,22,24,40,7,3,22,40,2130,2215,410,512,24,38,29,47,7,5,1917,2123,1480,1582,391,469,7,7,20,33,4,1,15,31,1494,1610,397,486,13,19,24,39,4,2,661,651,629,598,11,20,7,15,4,7,3,2,7,9,636,605,13,26,11,19,5,8,3,3
"Angelina","35-39",5311,2551,2760,2118,2227,369,460,13,20,19,30,3,3,29,20,2147,2242,380,470,24,29,27,35,5,5,1877,2116,1499,1617,331,446,4,5,19,29,0,2,24,17,1523,1629,342,455,13,12,25,34,1,4,674,644,619,610,38,14,9,15,0,1,3,1,5,3,624,613,38,15,11,17,2,1,4,1
"Angelina","40-44",4987,2421,2566,1955,2068,383,418,21,24,36,35,7,2,19,19,1968,2087,388,421,35,33,42,40,7,4,1809,1921,1392,1460,360,404,7,8,32,33,3,1,15,15,1402,1475,363,407,20,14,36,37,3,3,612,645,563,608,23,14,14,16,4,2,4,1,4,4,566,612,25,14,15,19,6,3,4,1
"Angelina","45-49",5402,2691,2711,2230,2205,414,438,14,28,21,26,1,1,11,13,2240,2217,418,441,20,35,23,29,1,2,2114,2184,1687,1729,395,415,3,10,21,21,0,0,8,9,1694,1737,398,418,7,15,23,23,0,0,577,527,543,476,19,23,11,18,0,5,1,1,3,4,546,480,20,23,13,20,0,6,1,2
"Angelina","50-54",5375,2691,2684,2188,2168,419,435,29,23,40,34,2,1,13,23,2201,2190,422,441,38,36,42,38,2,2,2190,2211,1729,1724,410,428,12,10,32,30,0,1,7,18,1736,1741,411,431,18,21,33,34,0,2,501,473,459,444,9,7,17,13,8,4,2,0,6,5,465,449,11,10,20,15,9,4,2,0
"Angelina","55-59",5601,2837,2764,2328,2278,441,432,28,18,24,23,0,0,16,13,2344,2291,444,433,37,28,27,25,1,0,2339,2406,1859,1931,434,428,16,13,21,22,0,0,9,12,1868,1943,435,429,22,22,23,24,0,0,498,358,469,347,7,4,12,5,3,1,0,0,7,1,476,348,9,4,15,6,4,1,1,0
"Angelina","60-64",5188,2499,2689,2090,2193,362,421,16,31,17,27,1,1,13,16,2097,2207,364,424,24,43,23,29,4,2,2161,2385,1767,1909,356,417,9,23,17,24,1,1,11,11,1773,1918,358,420,15,30,23,26,3,2,338,304,323,284,6,4,7,8,0,3,0,0,2,5,324,289,6,4,9,13,0,3,1,0
"Angelina","65-69",4403,2076,2327,1812,1968,214,314,14,14,26,14,1,1,9,16,1821,1980,215,320,21,25,27,17,1,2,1838,2130,1589,1777,210,310,8,12,25,14,0,1,6,16,1595,1789,211,316,12,23,26,17,0,2,238,197,223,191,4,4,6,2,1,0,1,0,3,0,226,191,4,4,9,2,1,0,1,0
"Angelina","70-74",3659,1631,2028,1433,1740,163,231,5,11,15,34,2,2,13,10,1446,1749,164,235,17,16,16,36,2,2,1510,1880,1319,1603,160,226,2,8,14,33,2,2,13,8,1332,1610,161,228,14,13,15,35,2,2,121,148,114,137,3,5,3,3,1,1,0,0,0,2,114,139,3,7,3,3,1,1,0,0
"Angelina","75-79",2609,1182,1427,1047,1255,104,144,15,5,4,16,0,0,12,7,1058,1261,105,146,23,10,7,17,1,0,1082,1330,957,1164,99,141,10,4,4,15,0,0,12,6,968,1169,100,142,18,9,7,16,1,0,100,97,90,91,5,3,5,1,0,1,0,0,0,1,90,92,5,4,5,1,0,1,0,0
"Angelina","80-84",1818,781,1037,676,915,61,106,3,4,37,6,0,0,4,6,680,921,62,106,5,10,38,6,0,0,735,984,633,866,60,105,2,2,37,6,0,0,3,5,636,871,60,105,4,7,38,6,0,0,46,53,43,49,1,1,1,2,0,0,0,0,1,1,44,50,2,1,1,3,0,0,0,0
"Angelina","85+",1729,666,1063,584,938,46,107,6,5,19,11,0,0,11,2,593,940,48,108,15,6,21,11,0,0,597,1016,517,893,46,107,5,3,18,11,0,0,11,2,526,895,48,108,14,4,20,11,0,0,69,47,67,45,0,0,1,2,1,0,0,0,0,0,67,45,0,0,1,2,1,0,0,0
"Aransas","0-4",1141,592,549,519,491,22,12,4,4,11,9,0,0,36,33,553,517,41,32,18,15,17,15,1,3,325,288,281,253,11,8,2,1,7,6,0,0,24,20,304,268,26,22,9,5,11,12,1,1,267,261,238,238,11,4,2,3,4,3,0,0,12,13,249,249,15,10,9,10,6,3,0,2
"Aransas","5-9",1116,560,556,499,499,21,19,7,5,14,15,0,1,19,17,517,515,31,27,16,11,17,18,0,2,295,303,253,260,14,12,1,2,13,14,0,1,14,14,266,273,22,20,6,6,16,16,0,2,265,253,246,239,7,7,6,3,1,1,0,0,5,3,251,242,9,7,10,5,1,2,0,0
"Aransas","10-14",1196,611,585,554,537,14,10,6,10,13,13,3,1,21,14,574,551,22,14,15,18,18,14,5,2,334,343,304,320,7,2,4,3,12,11,0,0,7,7,310,327,9,5,7,5,15,12,1,1,277,242,250,217,7,8,2,7,1,2,3,1,14,7,264,224,13,9,8,13,3,2,4,1
"Aransas","15-19",1161,617,544,568,500,10,10,9,2,11,14,1,2,18,16,581,515,18,15,16,8,15,19,5,3,350,301,319,272,8,7,4,0,9,12,0,1,10,9,326,280,14,10,7,1,12,17,1,2,267,243,249,228,2,3,5,2,2,2,1,1,8,7,255,235,4,5,9,7,3,2,4,1
"Aransas","20-24",1109,606,503,554,455,12,17,8,9,14,13,1,0,17,9,569,464,19,22,19,12,15,13,1,1,322,294,290,263,7,11,4,3,13,9,0,0,8,8,298,271,11,16,8,6,13,9,0,0,284,209,264,192,5,6,4,6,1,4,1,0,9,1,271,193,8,6,11,6,2,4,1,1
"Aransas","25-29",1108,546,562,490,523,15,11,9,11,17,11,0,0,15,6,502,528,19,14,18,14,21,12,1,1,298,358,256,329,10,7,4,6,17,11,0,0,11,5,264,333,14,9,11,9,19,12,1,1,248,204,234,194,5,4,5,5,0,0,0,0,4,1,238,195,5,5,7,5,2,0,0,0
"Aransas","30-34",1075,554,521,513,485,16,6,5,8,10,12,1,0,9,10,522,493,17,10,10,14,13,13,1,1,367,338,330,315,14,4,4,4,10,8,1,0,8,7,338,321,15,8,8,8,13,8,1,0,187,183,183,170,2,2,1,4,0,4,0,0,1,3,184,172,2,2,2,6,0,5,0,1
"Aransas","35-39",1141,579,562,524,521,14,6,9,12,6,13,1,1,25,9,548,528,19,7,25,18,10,16,3,3,347,355,311,327,7,4,4,4,6,12,0,0,19,8,330,333,11,5,16,9,9,15,1,2,232,207,213,194,7,2,5,8,0,1,1,1,6,1,218,195,8,2,9,9,1,1,2,1
"Aransas","40-44",1068,535,533,492,496,14,3,9,15,12,11,1,1,7,7,498,503,15,4,15,21,13,11,1,1,334,352,303,329,9,1,4,8,12,10,0,0,6,4,308,333,10,2,10,11,12,10,0,0,201,181,189,167,5,2,5,7,0,1,1,1,1,3,190,170,5,2,5,10,1,1,1,1
"Aransas","45-49",1318,645,673,587,629,21,9,12,8,11,18,2,0,12,9,598,637,24,11,20,14,13,20,2,0,456,499,413,462,19,7,6,3,11,18,1,0,6,9,419,470,20,9,10,9,12,20,1,0,189,174,174,167,2,2,6,5,0,0,1,0,6,0,179,167,4,2,10,5,1,0,1,0
"Aransas","50-54",1424,667,757,601,712,11,11,20,6,28,20,0,1,7,7,608,719,14,13,24,11,29,20,0,1,482,570,437,535,7,10,9,2,26,19,0,1,3,3,440,538,8,10,11,5,27,19,0,1,185,187,164,177,4,1,11,4,2,1,0,0,4,4,168,181,6,3,13,6,2,1,0,0
"Aransas","55-59",1929,929,1000,859,954,24,10,10,8,22,20,1,0,13,8,872,961,27,13,16,13,24,21,3,0,718,778,663,743,23,9,6,2,18,19,0,0,8,5,671,748,24,9,10,6,20,20,1,0,211,222,196,211,1,1,4,6,4,1,1,0,5,3,201,213,3,4,6,7,4,1,2,0
"Aransas","60-64",1957,920,1037,878,982,15,12,4,10,17,23,0,0,6,10,882,991,16,13,6,19,20,24,2,0,762,887,725,838,12,10,4,7,16,23,0,0,5,9,728,846,12,11,6,16,19,23,2,0,158,150,153,144,3,2,0,3,1,0,0,0,1,1,154,145,4,2,0,3,1,1,0,0
"Aransas","65-69",2018,967,1051,919,988,14,7,15,10,12,26,1,1,6,19,925,1007,15,10,18,25,14,27,1,1,830,906,788,853,14,7,12,6,11,26,0,0,5,14,793,867,15,9,14,17,13,27,0,0,137,145,131,135,0,0,3,4,1,0,1,1,1,5,132,140,0,1,4,8,1,0,1,1
"Aransas","70-74",1925,934,991,885,956,8,9,8,7,19,10,0,0,14,9,898,965,10,11,21,13,19,11,0,0,826,870,784,839,7,9,8,5,16,9,0,0,11,8,795,847,7,10,19,11,16,10,0,0,108,121,101,117,1,0,0,2,3,1,0,0,3,1,103,118,3,1,2,2,3,1,0,0
"Aransas","75-79",1544,742,802,718,770,7,5,6,11,5,10,0,1,6,5,724,774,8,7,9,15,7,10,0,1,679,716,658,685,7,5,4,11,5,10,0,1,5,4,663,688,7,6,7,15,7,10,0,1,63,86,60,85,0,0,2,0,0,0,0,0,1,1,61,86,1,1,2,0,0,0,0,0
"Aransas","80-84",860,425,435,408,417,4,2,7,6,3,4,0,0,3,6,411,423,6,2,8,12,3,4,0,0,376,377,360,361,4,2,7,5,3,4,0,0,2,5,362,366,5,2,8,10,3,4,0,0,49,58,48,56,0,0,0,1,0,0,0,0,1,1,49,57,1,0,0,2,0,0,0,0
"Aransas","85+",702,322,380,308,367,2,3,3,1,5,3,0,1,4,5,311,372,3,4,7,5,5,3,0,1,297,333,283,321,2,3,3,1,5,3,0,1,4,4,286,325,3,4,7,4,5,3,0,1,25,47,25,46,0,0,0,0,0,0,0,0,0,1,25,47,0,0,0,1,0,0,0,0
"Archer","0-4",461,208,253,198,235,3,6,3,5,0,1,0,0,4,6,202,239,5,12,4,6,0,2,1,0,183,218,174,201,3,6,2,4,0,1,0,0,4,6,178,205,5,12,3,5,0,2,1,0,25,35,24,34,0,0,1,1,0,0,0,0,0,0,24,34,0,0,1,1,0,0,0,0
"Archer","5-9",485,244,241,236,227,0,3,2,2,1,1,0,0,5,8,241,235,3,7,2,4,3,2,0,1,213,204,207,192,0,3,1,1,1,1,0,0,4,7,211,199,3,7,1,2,2,2,0,1,31,37,29,35,0,0,1,1,0,0,0,0,1,1,30,36,0,0,1,2,1,0,0,0
"Archer","10-14",613,316,297,295,274,6,7,4,4,4,1,0,0,7,11,301,284,9,14,6,8,6,2,1,0,286,253,271,239,2,3,3,2,3,0,0,0,7,9,277,247,5,8,5,6,5,1,1,0,30,44,24,35,4,4,1,2,1,1,0,0,0,2,24,37,4,6,1,2,1,1,0,0
"Archer","15-19",544,291,253,264,233,9,5,5,7,5,0,1,0,7,8,269,239,14,9,8,9,6,4,1,0,250,225,230,210,5,4,2,3,5,0,1,0,7,8,235,216,10,8,5,5,6,4,1,0,41,28,34,23,4,1,3,4,0,0,0,0,0,0,34,23,4,1,3,4,0,0,0,0
"Archer","20-24",450,247,203,231,189,6,1,6,7,0,3,0,0,4,3,234,192,9,2,8,9,0,3,0,0,216,177,208,167,3,1,3,4,0,2,0,0,2,3,210,170,4,2,4,6,0,2,0,0,31,26,23,22,3,0,3,3,0,1,0,0,2,0,24,22,5,0,4,3,0,1,0,0
"Archer","25-29",441,239,202,217,193,3,1,10,5,0,0,0,0,9,3,223,196,7,3,15,6,2,0,1,0,200,176,189,169,3,1,2,3,0,0,0,0,6,3,192,172,6,3,6,4,1,0,1,0,39,26,28,24,0,0,8,2,0,0,0,0,3,0,31,24,1,0,9,2,1,0,0,0
"Archer","30-34",487,229,258,226,250,2,0,0,5,0,0,0,0,1,3,227,253,2,3,1,6,0,0,0,0,206,237,203,232,2,0,0,3,0,0,0,0,1,2,204,234,2,2,1,3,0,0,0,0,23,21,23,18,0,0,0,2,0,0,0,0,0,1,23,19,0,1,0,3,0,0,0,0
"Archer","35-39",488,271,217,249,203,7,3,5,4,1,4,0,1,9,2,258,203,10,3,11,4,3,6,0,3,244,198,229,189,6,1,1,1,1,4,0,1,7,2,236,189,9,1,5,1,3,6,0,3,27,19,20,14,1,2,4,3,0,0,0,0,2,0,22,14,1,2,6,3,0,0,0,0
"Archer","40-44",491,224,267,219,250,1,6,1,5,2,4,0,0,1,2,220,252,1,6,2,7,2,4,0,0,206,241,201,230,1,3,1,2,2,4,0,0,1,2,202,232,1,3,2,4,2,4,0,0,18,26,18,20,0,3,0,3,0,0,0,0,0,0,18,20,0,3,0,3,0,0,0,0
"Archer","45-49",541,242,299,230,286,4,4,3,6,2,1,0,0,3,2,233,287,6,4,4,7,2,2,0,1,222,272,215,265,2,2,2,2,1,1,0,0,2,2,217,266,3,2,3,3,1,2,0,1,20,27,15,21,2,2,1,4,1,0,0,0,1,0,16,21,3,2,1,4,1,0,0,0
