"County","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
"Collingsworth","0-4",179,85,94,72,70,9,8,1,9,0,0,0,0,3,7,74,76,10,14,2,9,1,1,1,1,53,56,43,40,6,8,1,1,0,0,0,0,3,7,45,46,7,14,2,1,1,1,1,1,32,38,29,30,3,0,0,8,0,0,0,0,0,0,29,30,3,0,0,8,0,0,0,0
"Collingsworth","5-9",253,125,128,108,98,3,15,6,7,1,0,0,0,7,8,115,105,8,20,6,8,2,2,1,1,60,66,50,50,1,8,2,3,0,0,0,0,7,5,57,55,6,12,2,3,1,1,1,0,65,62,58,48,2,7,4,4,1,0,0,0,0,3,58,50,2,8,4,5,1,1,0,1
"Collingsworth","10-14",220,111,109,99,96,6,5,3,3,1,2,0,0,2,3,100,99,7,7,5,4,1,2,0,0,53,53,48,48,4,2,0,1,0,1,0,0,1,1,49,49,4,3,1,1,0,1,0,0,58,56,51,48,2,3,3,2,1,1,0,0,1,2,51,50,3,4,4,3,1,1,0,0
"Collingsworth","15-19",211,113,98,103,78,6,11,1,7,1,0,0,0,2,2,105,80,8,12,1,8,1,0,0,0,48,52,45,38,2,9,0,4,0,0,0,0,1,1,46,39,3,10,0,4,0,0,0,0,65,46,58,40,4,2,1,3,1,0,0,0,1,1,59,41,5,2,1,4,1,0,0,0
"Collingsworth","20-24",179,94,85,81,79,8,3,4,2,0,0,0,0,1,1,82,80,8,4,5,2,0,0,0,0,61,46,51,43,7,1,2,2,0,0,0,0,1,0,52,43,7,1,3,2,0,0,0,0,33,39,30,36,1,2,2,0,0,0,0,0,0,1,30,37,1,3,2,0,0,0,0,0
"Collingsworth","25-29",159,80,79,69,64,6,10,3,2,0,2,0,0,2,1,70,65,8,10,4,3,0,2,0,0,45,48,36,36,6,10,2,1,0,0,0,0,1,1,36,37,7,10,3,2,0,0,0,0,35,31,33,28,0,0,1,1,0,2,0,0,1,0,34,28,1,0,1,1,0,2,0,0
"Collingsworth","30-34",169,78,91,69,81,5,5,3,4,0,0,0,0,1,1,70,82,5,5,3,5,0,0,1,0,47,50,39,44,5,3,2,2,0,0,0,0,1,1,40,45,5,3,2,3,0,0,1,0,31,41,30,37,0,2,1,2,0,0,0,0,0,0,30,37,0,2,1,2,0,0,0,0
"Collingsworth","35-39",180,97,83,85,68,4,7,5,5,2,1,0,0,1,2,86,70,5,7,5,6,2,2,0,0,48,45,42,38,4,5,0,0,1,1,0,0,1,1,43,39,5,5,0,0,1,2,0,0,49,38,43,30,0,2,5,5,1,0,0,0,0,1,43,31,0,2,5,6,1,0,0,0
"Collingsworth","40-44",145,71,74,64,69,3,5,3,0,1,0,0,0,0,0,64,69,3,5,3,0,1,0,0,0,52,45,47,41,2,4,3,0,0,0,0,0,0,0,47,41,2,4,3,0,0,0,0,0,19,29,17,28,1,1,0,0,1,0,0,0,0,0,17,28,1,1,0,0,1,0,0,0
"Collingsworth","45-49",157,75,82,68,73,6,5,1,2,0,2,0,0,0,0,68,73,6,5,1,2,0,2,0,0,46,61,40,54,5,5,1,2,0,0,0,0,0,0,40,54,5,5,1,2,0,0,0,0,29,21,28,19,1,0,0,0,0,2,0,0,0,0,28,19,1,0,0,0,0,2,0,0
"Collingsworth","50-54",170,85,85,79,73,3,7,2,4,1,1,0,0,0,0,79,73,3,7,2,4,1,1,0,0,62,54,57,44,3,6,2,4,0,0,0,0,0,0,57,44,3,6,2,4,0,0,0,0,23,31,22,29,0,1,0,0,1,1,0,0,0,0,22,29,0,1,0,0,1,1,0,0
