"Date","HHSC","ALF_Fac_Outbreak_Active","ALF_Fac_Outbreak_Recovered","ALF_Fac_Outbreak_Cumulative","ALF_Cases_Active","ALF_Recovered_Cumulative","ALF_Deaths_Cumulative","ALF_Cases_Cumulative","ALF_Discharges_Cumulative","NURSING_Fac_Outbreak_Active","NURSING_Fac_Outbreak_Recovered","NURSING_Fac_Outbreak_Cumulative","NURSING_Cases_Active","NURSING_Recovered_Cumulative","NURSING_Deaths_Cumulative","NURSING_Cases_Cumulative","NURSING_Discharges_Cumulative"
2020-08-07,"6","102","47","149","260","282","103","708",NA,"130","36","166","1032","2087","536","4451",NA
2020-08-07,"7","42","29","71","83","61","49","220",NA,"162","42","204","1787","1822","718","5035",NA
2020-08-08,"1","11","14","25","11","36","6","55",NA,"30","30","60","143","419","119","703",NA
2020-08-08,"2","15","23","38","103","25","12","154",NA,"52","44","96","499","910","252","2039",NA
2020-08-08,"3","86","61","147","125","250","119","516",NA,"118","70","188","712","1348","375","2704",NA
2020-08-08,"4","24","18","42","44","44","15","107",NA,"101","48","149","651","1032","274","2141",NA
2020-08-08,"5","51","6","57","96","103","40","239",NA,"110","14","124","659","838","272","1823",NA
2020-08-08,"6","100","49","149","252","288","105","703",NA,"130","37","167","1020","2119","534","4475",NA
2020-08-08,"7","42","31","73","98","65","49","233",NA,"161","43","204","1751","1881","725","5069",NA
2020-08-09,"1","11","14","25","11","36","6","55",NA,"30","30","60","143","419","119","703",NA
2020-08-09,"2","15","23","38","103","25","12","154",NA,"52","44","96","498","910","252","2052",NA
2020-08-09,"3","85","62","147","123","250","122","518",NA,"119","70","189","702","1364","377","2714",NA
2020-08-09,"4","24","18","42","43","45","15","107",NA,"101","48","149","635","1050","275","2144",NA
2020-08-09,"5","51","6","57","96","103","40","239",NA,"112","13","125","664","838","272","1828",NA
2020-08-09,"6","98","51","149","246","293","106","704",NA,"129","38","167","1093","2142","539","4530",NA
2020-08-09,"7","42","31","73","101","65","49","236",NA,"162","42","204","1713","1919","731","5086",NA
2020-08-10,"1","10","15","25","11","36","6","55",NA,"31","30","61","141","421","120","713",NA
2020-08-10,"2","15","23","38","103","25","12","154",NA,"56","41","97","500","912","252","2063",NA
2020-08-10,"3","87","62","149","134","250","123","530",NA,"116","73","189","757","1376","377","2776",NA
2020-08-10,"4","21","21","42","42","45","15","106",NA,"100","49","149","633","1053","289","2162",NA
2020-08-10,"5","52","6","58","97","103","40","240",NA,"113","12","125","666","839","272","1831",NA
2020-08-10,"6","98","52","150","257","295","106","719",NA,"129","38","167","1124","2145","543","4568",NA
2020-08-10,"7","45","28","73","102","66","49","239",NA,"163","41","204","1718","1938","736","5123",NA
2020-08-11,"1","10","15","25","11","36","6","55",NA,"33","30","63","139","427","121","718",NA
2020-08-11,"2","14","24","38","105","27","12","158",NA,"54","43","97","478","936","256","2071",NA
2020-08-11,"3","88","63","151","125","257","126","531",NA,"104","82","186","667","1407","386","2731",NA
2020-08-11,"4","23","20","43","32","59","15","112",NA,"102","47","149","601","1130","311","2232",NA
2020-08-11,"5","52","6","58","101","104","40","245",NA,"112","13","125","621","883","272","1830",NA
