"County_Code","Place_Code","City","Population","County"
213,10756,"Brownsboro",1250,"Henderson"
213,12472,"Caney City",220,"Henderson"
213,14224,"Chandler",3070,"Henderson"
213,15820,"Coffee City",291,"Henderson"
213,24228,"Enchanted Oaks",337,"Henderson"
213,24828,"Eustace",1000,"Henderson"
213,27300,"Frankston",19,"Henderson"
213,31592,"Gun Barrel City",6162,"Henderson"
213,43354,"Log Cabin",763,"Henderson"
213,45324,"Mabank",877,"Henderson"
213,46224,"Malakoff",2305,"Henderson"
213,49272,"Moore Station",218,"Henderson"
213,50076,"Murchison",599,"Henderson"
213,56276,"Payne Springs",768,"Henderson"
213,59192,"Poynor",306,"Henderson"
213,66908,"Seven Points",1457,"Henderson"
213,70076,"Star Harbor",471,"Henderson"
213,73352,"Tool",2288,"Henderson"
213,73652,"Trinidad",871,"Henderson"
215,1576,"Alamo",19692,"Hidalgo"
215,2212,"Alton",17403,"Hidalgo"
215,20884,"Donna",16397,"Hidalgo"
215,22528,"Edcouch",3342,"Hidalgo"
215,22660,"Edinburg",98036,"Hidalgo"
215,24036,"Elsa",7193,"Hidalgo"
215,30608,"Granjeno",309,"Hidalgo"
215,33560,"Hidalgo",14014,"Hidalgo"
215,40384,"La Joya",4279,"Hidalgo"
215,41788,"La Villa",2796,"Hidalgo"
215,45384,"McAllen",142530,"Hidalgo"
215,47700,"Mercedes",16609,"Hidalgo"
215,48768,"Mission",83958,"Hidalgo"
215,54780,"Palmhurst",2733,"Hidalgo"
215,54804,"Palmview",5773,"Hidalgo"
215,56696,"Penitas",4762,"Hidalgo"
215,57200,"Pharr",78925,"Hidalgo"
215,59636,"Progreso",5915,"Hidalgo"
215,59642,"Progreso Lakes",291,"Hidalgo"
215,65516,"San Juan",36874,"Hidalgo"
215,70868,"Sullivan City",4168,"Hidalgo"
215,77272,"Weslaco",41203,"Hidalgo"
217,100,"Abbott",365,"Hill"
217,3588,"Aquilla",112,"Hill"
217,9004,"Blum",462,"Hill"
217,11656,"Bynum",202,"Hill"
217,12895,"Carl's Corner",186,"Hill"
217,17372,"Covington",276,"Hill"
217,34088,"Hillsboro",8408,"Hill"
217,35180,"Hubbard",1393,"Hill"
217,37084,"Itasca",1693,"Hill"
217,46260,"Malone",280,"Hill"
217,47820,"Mertens",127,"Hill"
217,49692,"Mount Calm",334,"Hill"
217,56672,"Penelope",205,"Hill"
217,78664,"Whitney",2142,"Hill"
219,3540,"Anton",1096,"Hockley"
219,42448,"Levelland",13501,"Hockley"
219,54075,"Opdyke West",191,"Hockley"
219,63140,"Ropesville",424,"Hockley"
219,68504,"Smyer",478,"Hockley"
219,71060,"Sundown",1409,"Hockley"
221,10087,"Brazos Bend",349,"Hood"
221,17648,"Cresson",332,"Hood"
221,19570,"DeCordova",2997,"Hood"
221,30416,"Granbury",10350,"Hood"
221,42940,"Lipan",481,"Hood"
221,73268,"Tolar",953,"Hood"
223,16252,"Como",721,"Hopkins"
223,18128,"Cumby",793,"Hopkins"
223,70904,"Sulphur Springs",16085,"Hopkins"
223,73124,"Tira",312,"Hopkins"
225,17744,"Crockett",6444,"Houston"
225,30632,"Grapeland",1451,"Houston"
225,38884,"Kennard",325,"Houston"
225,41644,"Latexo",317,"Houston"
225,44260,"Lovelady",630,"Houston"
227,8236,"Big Spring",27686,"Howard"
227,15700,"Coahoma",920,"Howard"
227,26640,"Forsan",224,"Howard"
229,19708,"Dell City",516,"Hudspeth"
231,11716,"Caddo Mills",1607,"Hunt"
231,12112,"Campbell",622,"Hunt"
231,13672,"Celeste",899,"Hunt"
231,16240,"Commerce",9540,"Hunt"
231,30920,"Greenville",28207,"Hunt"
231,32810,"Hawk Cove",548,"Hunt"
231,38068,"Josephine",109,"Hunt"
231,43636,"Lone Oak",679,"Hunt"
231,51444,"Neylandville",95,"Hunt"
231,60140,"Quinlan",1500,"Hunt"
231,63668,"Royse City",815,"Hunt"
231,74372,"Union Valley",379,"Hunt"
231,77896,"West Tawakoni",1965,"Hunt"
231,79948,"Wolfe City",1461,"Hunt"
233,9556,"Borger",12552,"Hutchinson"
233,27696,"Fritch",1961,"Hutchinson"
233,65384,"Sanford",156,"Hutchinson"
233,70340,"Stinnett",1783,"Hutchinson"
235,47832,"Mertzon",734,"Irion"
237,10960,"Bryson",528,"Jack"
237,37168,"Jacksboro",4348,"Jack"
239,22720,"Edna",5820,"Jackson"
239,28080,"Ganado",2069,"Jackson"
239,41848,"La Ward",226,"Jackson"
241,10708,"Browndell",207,"Jasper"
241,37420,"Jasper",7625,"Jasper"
241,39460,"Kirbyville",2089,"Jasper"
243,74648,"Valentine",132,"Jeff Davis"
245,7000,"Beaumont",117667,"Jefferson"
245,8128,"Bevil Oaks",1234,"Jefferson"
245,14704,"China",1207,"Jefferson"
245,31328,"Groves",15582,"Jefferson"
245,50580,"Nederland",17406,"Jefferson"
245,51720,"Nome",596,"Jefferson"
245,58820,"Port Arthur",54881,"Jefferson"
245,58940,"Port Neches",12738,"Jefferson"
245,71966,"Taylor Landing",241,"Jefferson"
249,1852,"Alice",18862,"Jim Wells"
249,54168,"Orange Grove",1310,"Jim Wells"
249,59384,"Premont",2567,"Jim Wells"
249,65180,"San Diego",886,"Jim Wells"
251,2260,"Alvarado",4334,"Johnson"
251,10216,"Briaroaks",500,"Johnson"
251,11428,"Burleson",37200,"Johnson"
251,15364,"Cleburne",30696,"Johnson"
251,17429,"Coyote Flats",351,"Johnson"
251,17648,"Cresson",137,"Johnson"
251,17917,"Cross Timber",297,"Johnson"
251,17960,"Crowley",35,"Johnson"
251,27000,"Fort Worth",0,"Johnson"
251,29972,"Godley",1224,"Johnson"
251,30512,"Grandview",1749,"Johnson"
251,38080,"Joshua",7915,"Johnson"
251,38548,"Keene",6451,"Johnson"
251,46452,"Mansfield",2057,"Johnson"
251,62240,"Rio Vista",1041,"Johnson"
251,75236,"Venus",3724,"Johnson"
253,1000,"Abilene",5695,"Jones"
253,3372,"Anson",2275,"Jones"
253,31964,"Hamlin",1998,"Jones"
253,32840,"Hawley",615,"Jones"
253,45048,"Lueders",328,"Jones"
253,69980,"Stamford",2875,"Jones"
255,25392,"Falls City",693,"Karnes"
255,38452,"Karnes City",3410,"Karnes"
255,38860,"Kenedy",3401,"Karnes"
255,63788,"Runge",1135,"Karnes"
257,16216,"Combine",1500,"Kaufman"
257,17200,"Cottonwood",190,"Kaufman"
257,17504,"Crandall",3772,"Kaufman"
257,19000,"Dallas",0,"Kaufman"
257,26604,"Forney",23649,"Kaufman"
257,30752,"Grays Prairie village",357,"Kaufman"
257,32984,"Heath",0,"Kaufman"
257,38488,"Kaufman",7475,"Kaufman"
257,38788,"Kemp",1201,"Kaufman"
257,45324,"Mabank",2843,"Kaufman"
257,47892,"Mesquite",132,"Kaufman"
257,52902,"Oak Grove",643,"Kaufman"
257,53160,"Oak Ridge",671,"Kaufman"
257,59066,"Post Oak Bend City",558,"Kaufman"
257,63404,"Rosser village",385,"Kaufman"
257,66368,"Scurry",754,"Kaufman"
257,66428,"Seagoville",26,"Kaufman"
257,66908,"Seven Points",50,"Kaufman"
257,71756,"Talty",2597,"Kaufman"
257,72284,"Terrell",18184,"Kaufman"
259,9160,"Boerne",17097,"Kendall"
259,25168,"Fair Oaks Ranch",2275,"Kendall"
263,37468,"Jayton",480,"Kent"
265,36032,"Ingram",1836,"Kerr"
265,39040,"Kerrville",23622,"Kerr"
267,38248,"Junction",2407,"Kimble"
271,9868,"Brackettville",1700,"Kinney"
271,69560,"Spofford",98,"Kinney"
273,17000,"Corpus Christi",0,"Kleberg"
273,39352,"Kingsville",25371,"Kleberg"
275,7636,"Benjamin",254,"Knox"
275,30296,"Goree",202,"Knox"
275,39700,"Knox City",1119,"Knox"
275,50040,"Munday",1273,"Knox"
277,8812,"Blossom",1563,"Lamar"
277,20020,"Deport",510,"Lamar"
277,55080,"Paris",24818,"Lamar"
277,61592,"Reno",3327,"Lamar"
277,63584,"Roxton",639,"Lamar"
277,71356,"Sun Valley",83,"Lamar"
277,73196,"Toco",77,"Lamar"
279,3084,"Amherst",670,"Lamb"
279,21928,"Earth",987,"Lamb"
279,43024,"Littlefield",5942,"Lamb"
279,54012,"Olton",2095,"Lamb"
279,69764,"Springlake",104,"Lamb"
279,70772,"Sudan",908,"Lamb"
281,16624,"Copperas Cove",658,"Lampasas"
281,38800,"Kempner",1116,"Lampasas"
281,41188,"Lampasas",7861,"Lampasas"
281,43516,"Lometa",852,"Lampasas"
283,17216,"Cotulla",4117,"La Salle"
283,24240,"Encinal",586,"La Salle"
285,31868,"Hallettsville",2634,"Lavaca"
285,49560,"Moulton",897,"Lavaca"
285,67640,"Shiner",2160,"Lavaca"
285,80560,"Yoakum",3828,"Lavaca"
287,29432,"Giddings",5063,"Lee"
287,42532,"Lexington",1206,"Lee"
289,11116,"Buffalo",1891,"Leon"
289,13900,"Centerville",902,"Leon"
289,37648,"Jewett",1211,"Leon"
289,42340,"Leona",177,"Leon"
289,46752,"Marquez",272,"Leon"
289,51840,"Normangee",618,"Leon"
289,53232,"Oakwood",476,"Leon"
291,3072,"Ames",1161,"Liberty"
291,15436,"Cleveland",8118,"Liberty"
291,18476,"Daisetta",1090,"Liberty"
291,19432,"Dayton",8181,"Liberty"
291,19435,"Dayton Lakes",101,"Liberty"
291,20140,"Devers",504,"Liberty"
291,32240,"Hardin",922,"Liberty"
291,38872,"Kenefick",669,"Liberty"
291,42568,"Liberty",9257,"Liberty"
291,49068,"Mont Belvieu",0,"Liberty"
291,51984,"North Cleveland",286,"Liberty"
291,53824,"Old River-Winfree",136,"Liberty"
291,58448,"Plum Grove",699,"Liberty"
293,16552,"Coolidge",951,"Limestone"
293,31280,"Groesbeck",4248,"Limestone"
293,39844,"Kosse",465,"Limestone"
293,46824,"Mart",2,"Limestone"
293,47916,"Mexia",7330,"Limestone"
293,72080,"Tehuacana",279,"Limestone"
293,72788,"Thornton",523,"Limestone"
295,9448,"Booker",1530,"Lipscomb"
295,19288,"Darrouzett",353,"Lipscomb"
295,26328,"Follett",458,"Lipscomb"
295,33608,"Higgins",404,"Lipscomb"
297,29348,"George West",2557,"Live Oak"
297,72872,"Three Rivers",1937,"Live Oak"
299,34862,"Horseshoe Bay",3138,"Llano"
299,43144,"Llano",3497,"Llano"
299,71228,"Sunrise Beach Village",793,"Llano"
303,160,"Abernathy",750,"Lubbock"
303,11155,"Buffalo Springs village",442,"Lubbock"
303,35732,"Idalou",2296,"Lubbock"
303,45000,"Lubbock",256469,"Lubbock"
303,50916,"New Deal",818,"Lubbock"
303,60672,"Ransom Canyon",1115,"Lubbock"
303,67136,"Shallowater",2551,"Lubbock"
303,68180,"Slaton",5898,"Lubbock"
303,79972,"Wolfforth",5181,"Lubbock"
305,51012,"New Home",354,"Lynn"
305,53436,"O'Donnell",705,"Lynn"
305,71708,"Tahoka",2610,"Lynn"
305,79612,"Wilson",481,"Lynn"
307,9916,"Brady",5311,"McCulloch"
307,47568,"Melvin",168,"McCulloch"
309,7408,"Bellmead",10709,"McLennan"
309,8104,"Beverly Hills",1986,"McLennan"
309,10828,"Bruceville-Eddy",1683,"McLennan"
309,17564,"Crawford",807,"McLennan"
309,29408,"Gholson",1110,"McLennan"
309,30092,"Golinda",159,"McLennan"
309,31880,"Hallsburg",466,"McLennan"
309,33428,"Hewitt",14840,"McLennan"
309,40168,"Lacy-Lakeview",6658,"McLennan"
309,42400,"Leroy",345,"McLennan"
309,44020,"Lorena",1752,"McLennan"
309,45672,"McGregor",5206,"McLennan"
309,46824,"Mart",1936,"McLennan"
309,49200,"Moody",1403,"McLennan"
309,62108,"Riesel",1031,"McLennan"
309,62588,"Robinson",11748,"McLennan"
309,63380,"Ross",281,"McLennan"
309,74732,"Valley Mills",13,"McLennan"
309,76000,"Waco",137886,"McLennan"
309,77332,"West",2875,"McLennan"
309,80224,"Woodway",8953,"McLennan"
313,45996,"Madisonville",4711,"Madison"
313,48180,"Midway",237,"Madison"
313,51840,"Normangee",83,"Madison"
315,37528,"Jefferson",1931,"Marion"
317,1108,"Ackerly",75,"Martin"
317,48072,"Midland",0,"Martin"
317,70040,"Stanton",2953,"Martin"
319,46968,"Mason",2256,"Mason"
321,5984,"Bay City",17567,"Matagorda"
321,54684,"Palacios",4546,"Matagorda"
323,21892,"Eagle Pass",29429,"Maverick"
325,13312,"Castroville",3064,"Medina"
325,20152,"Devine",4780,"Medina"
325,34676,"Hondo",9356,"Medina"
325,40108,"LaCoste",1230,"Medina"
325,45288,"Lytle",557,"Medina"
325,50400,"Natalia",1565,"Medina"
325,65000,"San Antonio",28,"Medina"
327,47628,"Menard",1392,"Menard"
329,48072,"Midland",142173,"Midland"
329,53388,"Odessa",2119,"Midland"
331,11020,"Buckholts",527,"Milam"
331,12040,"Cameron",5522,"Milam"
331,48336,"Milano",423,"Milam"
331,62672,"Rockdale",5574,"Milam"
331,72776,"Thorndale",1304,"Milam"
333,30056,"Goldthwaite",1840,"Mills"
333,49992,"Mullin",176,"Mills"
335,16120,"Colorado City",3820,"Mitchell"
335,43996,"Loraine",570,"Mitchell"
335,77380,"Westbrook",246,"Mitchell"
337,9640,"Bowie",5060,"Montague"
337,51648,"Nocona",2972,"Montague"
337,64184,"St. Jo",1023,"Montague"
339,15436,"Cleveland",41,"Montgomery"
339,16432,"Conroe",87578,"Montgomery"
339,18260,"Cut and Shoot",1396,"Montgomery"
339,35000,"Houston",5686,"Montgomery"
339,46056,"Magnolia",2093,"Montgomery"
339,49128,"Montgomery",1029,"Montgomery"
339,53190,"Oak Ridge North",3166,"Montgomery"
339,55008,"Panorama Village",2392,"Montgomery"
339,56156,"Patton Village",2096,"Montgomery"
339,63044,"Roman Forest",1975,"Montgomery"
339,67400,"Shenandoah",2953,"Montgomery"
339,69548,"Splendora",2182,"Montgomery"
339,69932,"Stagecoach",585,"Montgomery"
339,73316,"Tomball",0,"Montgomery"
339,79408,"Willis",6537,"Montgomery"
339,80044,"Woodbranch",1387,"Montgomery"
339,80144,"Woodloch",208,"Montgomery"
341,11692,"Cactus",3235,"Moore"
341,21556,"Dumas",13969,"Moore"
341,27696,"Fritch",7,"Moore"
341,71180,"Sunray",1817,"Moore"
343,18464,"Daingerfield",2370,"Morris"
343,35300,"Hughes Springs",6,"Morris"
343,43684,"Lone Star",1477,"Morris"
343,50316,"Naples",1304,"Morris"
343,54024,"Omaha",976,"Morris"
345,47004,"Matador",627,"Motley"
345,62528,"Roaring Springs",237,"Motley"
347,3564,"Appleby",445,"Nacogdoches"
347,14776,"Chireno",385,"Nacogdoches"
347,18224,"Cushing",617,"Nacogdoches"
347,29060,"Garrison",873,"Nacogdoches"
347,50256,"Nacogdoches",32957,"Nacogdoches"
349,3288,"Angus",425,"Navarro"
349,5708,"Barry",258,"Navarro"
349,8788,"Blooming Grove",829,"Navarro"
349,17060,"Corsicana",23805,"Navarro"
349,19420,"Dawson",800,"Navarro"
349,24168,"Emhouse",142,"Navarro"
349,24816,"Eureka",302,"Navarro"
349,27768,"Frost",636,"Navarro"
349,30188,"Goodlow",197,"Navarro"
349,38992,"Kerens",1521,"Navarro"
349,48372,"Mildred",383,"Navarro"
349,50184,"Mustang",21,"Navarro"
349,50448,"Navarro",217,"Navarro"
349,53217,"Oak Valley",395,"Navarro"
349,59168,"Powell",143,"Navarro"
349,61616,"Retreat",382,"Navarro"
349,61736,"Rice",959,"Navarro"
349,61820,"Richland",272,"Navarro"
349,70604,"Streetman",0,"Navarro"
351,51372,"Newton",2389,"Newton"
353,8488,"Blackwell",296,"Nolan"
353,63176,"Roscoe",1288,"Nolan"
353,71540,"Sweetwater",10542,"Nolan"
355,1396,"Agua Dulce",808,"Nueces"
355,3600,"Aransas Pass",14,"Nueces"
355,8392,"Bishop",3079,"Nueces"
355,17000,"Corpus Christi",326307,"Nueces"
355,21436,"Driscoll",747,"Nueces"
355,36008,"Ingleside",0,"Nueces"
355,57056,"Petronila",118,"Nueces"
355,58808,"Port Aransas",4152,"Nueces"
355,58904,"Portland",0,"Nueces"
355,62600,"Robstown",11339,"Nueces"
357,9448,"Booker",13,"Ochiltree"
357,56912,"Perryton",8538,"Ochiltree"
359,1324,"Adrian",169,"Oldham"
359,75188,"Vega",928,"Oldham"
361,10252,"Bridge City",7919,"Orange"
361,54132,"Orange",18427,"Orange"
361,57524,"Pine Forest",513,"Orange"
361,57608,"Pinehurst",2010,"Orange"
361,58820,"Port Arthur",8,"Orange"
361,63200,"Rose City",478,"Orange"
361,75476,"Vidor",10565,"Orange"
361,77752,"West Orange",3283,"Orange"
363,30272,"Gordon",480,"Palo Pinto"
363,30380,"Graford",617,"Palo Pinto"
363,48684,"Mineral Wells",14890,"Palo Pinto"
363,48720,"Mingus",254,"Palo Pinto"
363,70580,"Strawn",665,"Palo Pinto"
365,7108,"Beckville",821,"Panola"
365,13108,"Carthage",6449,"Panola"
365,29108,"Gary City",299,"Panola"
365,71924,"Tatum",266,"Panola"
367,1744,"Aledo",4649,"Parker"
367,3336,"Annetta",3181,"Parker"
367,3340,"Annetta North",558,"Parker"
367,3342,"Annetta South",563,"Parker"
367,5168,"Azle",2209,"Parker"
367,16540,"Cool",182,"Parker"
367,17648,"Cresson",577,"Parker"
367,27000,"Fort Worth",8,"Parker"
367,35254,"Hudson Oaks",2407,"Parker"
367,48564,"Millsap",453,"Parker"
367,48684,"Mineral Wells",190,"Parker"
367,61604,"Reno",3075,"Parker"
367,65066,"Sanctuary",315,"Parker"
367,69800,"Springtown",3043,"Parker"
367,76864,"Weatherford",31822,"Parker"
367,79492,"Willow Park",5598,"Parker"
369,9628,"Bovina",1792,"Parmer"
369,25548,"Farwell",1308,"Parmer"
369,27660,"Friona",3859,"Parmer"
371,26808,"Fort Stockton",8383,"Pecos"
371,36128,"Iraan",1213,"Pecos"
373,17036,"Corrigan",1584,"Polk"
373,30224,"Goodrich",312,"Polk"
373,43132,"Livingston",5143,"Polk"
373,54048,"Onalaska",2824,"Polk"
373,66884,"Seven Oaks",124,"Polk"
375,3000,"Amarillo",103558,"Potter"
375,8398,"Bishop Hills",179,"Potter"
377,46620,"Marfa",1672,"Presidio"
377,59396,"Presidio",3967,"Presidio"
379,1636,"Alba",2,"Rains"
379,22276,"East Tawakoni",956,"Rains"
379,24216,"Emory",1314,"Rains"
379,58532,"Point",904,"Rains"
381,3000,"Amarillo",95625,"Randall"
381,12532,"Canyon",15672,"Randall"
381,32156,"Happy",70,"Randall"
381,40804,"Lake Tanglewood village",878,"Randall"
381,54726,"Palisades village",348,"Randall"
381,73030,"Timbercreek Canyon village",462,"Randall"
383,8212,"Big Lake",3269,"Reagan"
385,12388,"Camp Wood",736,"Real"
385,42004,"Leakey",442,"Real"
387,3360,"Annona",291,"Red River"
387,5072,"Avery",448,"Red River"
387,9172,"Bogata",1074,"Red River"
387,15160,"Clarksville",3116,"Red River"
387,20020,"Deport",49,"Red River"
387,20128,"Detroit",690,"Red River"
389,5468,"Balmorhea",576,"Reeves"
389,56516,"Pecos",10074,"Reeves"
389,73496,"Toyah",105,"Reeves"
391,5036,"Austwell",144,"Refugio"
391,6104,"Bayside",319,"Refugio"
391,61436,"Refugio",2761,"Refugio"
391,80176,"Woodsboro",1421,"Refugio"
393,47988,"Miami",578,"Roberts"
395,10144,"Bremond",970,"Robertson"
395,11992,"Calvert",1147,"Robertson"
395,27288,"Franklin",1649,"Robertson"
395,32972,"Hearne",4440,"Robertson"
397,19000,"Dallas",0,"Rockwall"
397,25572,"Fate",14103,"Rockwall"
397,29000,"Garland",0,"Rockwall"
397,32984,"Heath",8969,"Rockwall"
397,45804,"McLendon-Chisholm",3202,"Rockwall"
397,48858,"Mobile City",207,"Rockwall"
397,62828,"Rockwall",45074,"Rockwall"
397,63572,"Rowlett",8051,"Rockwall"
397,63668,"Royse City",11103,"Rockwall"
397,80356,"Wylie",1383,"Rockwall"
399,5456,"Ballinger",3618,"Runnels"
399,48396,"Miles",855,"Runnels"
399,79876,"Winters",2435,"Runnels"
401,22192,"Easton",53,"Rusk"
401,33212,"Henderson",13169,"Rusk"
401,39124,"Kilgore",3514,"Rusk"
401,49728,"Mount Enterprise",436,"Rusk"
401,51168,"New London",1009,"Rusk"
401,54432,"Overton",2307,"Rusk"
401,61508,"Reklaw",161,"Rusk"
401,71924,"Tatum",1115,"Rusk"
403,33188,"Hemphill",1250,"Sabine"
403,57644,"Pineland",808,"Sabine"
405,10384,"Broaddus",196,"San Augustine"
405,65024,"San Augustine",1900,"San Augustine"
407,15436,"Cleveland",0,"San Jacinto"
407,15892,"Coldspring",929,"San Jacinto"
407,58556,"Point Blank",748,"San Jacinto"
407,67424,"Shepherd",2451,"San Jacinto"
409,3600,"Aransas Pass",7306,"San Patricio"
409,17000,"Corpus Christi",0,"San Patricio"
409,31064,"Gregory",1909,"San Patricio"
409,36008,"Ingleside",10218,"San Patricio"
409,36020,"Ingleside on the Bay",614,"San Patricio"
409,40472,"Lake City",530,"San Patricio"
409,40738,"Lakeside",304,"San Patricio"
409,47040,"Mathis",4748,"San Patricio"
409,53376,"Odem",2387,"San Patricio"
409,58904,"Portland",17284,"San Patricio"
409,65612,"San Patricio",378,"San Patricio"
409,68036,"Sinton",5406,"San Patricio"
409,71684,"Taft",2901,"San Patricio"
411,61880,"Richland Springs",310,"San Saba"
411,65648,"San Saba",3173,"San Saba"
413,22960,"Eldorado",1628,"Schleicher"
415,68624,"Snyder",11113,"Scurry"
417,1648,"Albany",1930,"Shackelford"
417,45048,"Lueders",0,"Shackelford"
417,49320,"Moran",260,"Shackelford"
419,13732,"Center",5205,"Shelby"
419,35636,"Huxley",382,"Shelby"
419,37684,"Joaquin",808,"Shelby"
419,72188,"Tenaha",1149,"Shelby"
419,73076,"Timpson",1136,"Shelby"
421,70544,"Stratford",2101,"Sherman"
421,72464,"Texhoma",334,"Sherman"
423,4156,"Arp",1015,"Smith"
423,11212,"Bullard",3488,"Smith"
423,33578,"Hideaway",3142,"Smith"
423,42820,"Lindale",6126,"Smith"
423,50876,"New Chapel Hill",640,"Smith"
423,51756,"Noonday",718,"Smith"
423,54432,"Overton",193,"Smith"
423,73724,"Troup",1948,"Smith"
423,74144,"Tyler",105668,"Smith"
423,78388,"Whitehouse",8795,"Smith"
423,79828,"Winona",605,"Smith"
425,29876,"Glen Rose",2666,"Somervell"
427,24552,"Escobares",2558,"Starr"
427,40288,"La Grulla",1693,"Starr"
427,62168,"Rio Grande City",14443,"Starr"
427,63020,"Roma",11423,"Starr"
429,10132,"Breckenridge",5460,"Stephens"
431,70232,"Sterling City",1005,"Sterling"
433,4408,"Aspermont",836,"Stonewall"
435,68756,"Sonora",2767,"Sutton"
437,32156,"Happy",597,"Swisher"
437,39904,"Kress",682,"Swisher"
437,73868,"Tulia",4667,"Swisher"
439,4000,"Arlington",398123,"Tarrant"
439,5168,"Azle",11109,"Tarrant"
439,7132,"Bedford",49466,"Tarrant"
439,7552,"Benbrook",23555,"Tarrant"
439,8860,"Blue Mound",2471,"Tarrant"
439,11428,"Burleson",9913,"Tarrant"
439,15988,"Colleyville",26892,"Tarrant"
439,17960,"Crowley",15514,"Tarrant"
439,19084,"Dalworthington Gardens",2383,"Tarrant"
439,22588,"Edgecliff Village",3031,"Tarrant"
439,24768,"Euless",57241,"Tarrant"
439,24912,"Everman",6249,"Tarrant"
439,26232,"Flower Mound",256,"Tarrant"
439,26544,"Forest Hill",12920,"Tarrant"
439,27000,"Fort Worth",883939,"Tarrant"
439,30464,"Grand Prairie",60726,"Tarrant"
439,30644,"Grapevine",53809,"Tarrant"
439,31928,"Haltom City",44227,"Tarrant"
439,32720,"Haslet",1852,"Tarrant"
439,35576,"Hurst",38964,"Tarrant"
439,38632,"Keller",47258,"Tarrant"
439,38896,"Kennedale",8457,"Tarrant"
439,40744,"Lakeside",1599,"Tarrant"
439,41056,"Lake Worth",4933,"Tarrant"
439,46452,"Mansfield",68613,"Tarrant"
439,50772,"Newark",0,"Tarrant"
439,52356,"North Richland Hills",70686,"Tarrant"
439,55020,"Pantego",2534,"Tarrant"
439,56640,"Pelican Bay",1831,"Tarrant"
439,61604,"Reno",8,"Tarrant"
439,61844,"Richland Hills",8036,"Tarrant"
439,62384,"River Oaks",7684,"Tarrant"
439,62504,"Roanoke",0,"Tarrant"
439,64112,"Saginaw",23809,"Tarrant"
439,65660,"Sansom Park",5790,"Tarrant"
439,69032,"Southlake",31176,"Tarrant"
439,73710,"Trophy Club",497,"Tarrant"
439,76672,"Watauga",24517,"Tarrant"
439,77620,"Westlake",1527,"Tarrant"
439,77788,"Westover Hills",683,"Tarrant"
439,78076,"Westworth Village",2687,"Tarrant"
439,78544,"White Settlement",17860,"Tarrant"
441,1000,"Abilene",117080,"Taylor"
441,11128,"Buffalo Gap",534,"Taylor"
441,35816,"Impact",30,"Taylor"
441,41872,"Lawn",320,"Taylor"
441,47796,"Merkel",2613,"Taylor"
441,73580,"Trent",348,"Taylor"
441,74048,"Tuscola",738,"Taylor"
441,74132,"Tye",1319,"Taylor"
445,10720,"Brownfield",9370,"Terry"
445,47316,"Meadow",585,"Terry"
445,77164,"Wellman",203,"Terry"
447,72896,"Throckmorton",764,"Throckmorton"
447,80188,"Woodson",241,"Throckmorton"
449,48478,"Miller's Cove",160,"Titus"
449,49800,"Mount Pleasant",16005,"Titus"
449,71732,"Talco",499,"Titus"
449,79720,"Winfield",520,"Titus"
451,64472,"San Angelo",100009,"Tom Green"
453,5000,"Austin",908961,"Travis"
453,7156,"Bee Cave",6717,"Travis"
453,10197,"Briarcliff village",1758,"Travis"
453,13552,"Cedar Park",8304,"Travis"
453,17612,"Creedmoor",227,"Travis"
453,23044,"Elgin",1022,"Travis"
453,38020,"Jonestown",2072,"Travis"
453,40264,"Lago Vista",7099,"Travis"
453,40984,"Lakeway",15624,"Travis"
453,42016,"Leander",2052,"Travis"
453,46440,"Manor",11092,"Travis"
453,50200,"Mustang Ridge",505,"Travis"
453,57176,"Pflugerville",63941,"Travis"
453,58586,"Point Venture village",1012,"Travis"
453,63008,"Rollingwood",1574,"Travis"
453,63500,"Round Rock",1749,"Travis"
453,65552,"San Leanna village",511,"Travis"
453,71324,"Sunset Valley",678,"Travis"
453,72578,"The Hills village",2515,"Travis"
453,75752,"Volente village",593,"Travis"
453,76924,"Webberville village",467,"Travis"
453,77632,"West Lake Hills",3308,"Travis"
455,31340,"Groveton",1030,"Trinity"
455,73664,"Trinity",2768,"Trinity"
457,14584,"Chester",309,"Tyler"
457,16048,"Colmesneil",590,"Tyler"
457,37112,"Ivanhoe",1427,"Tyler"
457,80212,"Woodville",2437,"Tyler"
459,8224,"Big Sandy",1393,"Upshur"
459,15172,"Clarksville City",0,"Upshur"
459,22168,"East Mountain",850,"Upshur"
459,29564,"Gilmer",5100,"Upshur"
459,29660,"Gladewater",2471,"Upshur"
459,54216,"Ore City",1215,"Upshur"
459,74312,"Union Grove",378,"Upshur"
459,76576,"Warren City",8,"Upshur"
461,45432,"McCamey",2048,"Upton"
461,60668,"Rankin",848,"Upton"
463,64004,"Sabinal",1677,"Uvalde"
463,74588,"Uvalde",16048,"Uvalde"
465,19792,"Del Rio",35806,"Val Verde"
467,12496,"Canton",3834,"Van Zandt"
467,22612,"Edgewood",1497,"Van Zandt"
467,22744,"Edom",389,"Van Zandt"
467,27804,"Fruitvale",425,"Van Zandt"
467,30476,"Grand Saline",3152,"Van Zandt"
467,74912,"Van",2711,"Van Zandt"
467,79564,"Wills Point",3621,"Van Zandt"
469,75428,"Victoria",66835,"Victoria"
471,35528,"Huntsville",42164,"Walker"
471,51396,"New Waverly",1085,"Walker"
471,62408,"Riverside",553,"Walker"
473,10636,"Brookshire",5488,"Waller"
473,33200,"Hempstead",8014,"Waller"
473,38476,"Katy",1802,"Waller"
