District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-01-30,001902,573,NA,NA,NA,NA,NA,NA,NA
ELKHART ISD,2022-01-30,001903,1185,NA,NA,6,5,0,0,11
FRANKSTON ISD,2022-01-30,001904,822,NA,NA,6,3,0,0,9
NECHES ISD,2022-01-30,001906,345,NA,NA,NA,3,NA,NA,NA
PALESTINE ISD,2022-01-30,001907,3392,NA,NA,17,4,0,0,21
WESTWOOD ISD,2022-01-30,001908,1339,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2022-01-30,001909,369,NA,NA,NA,NA,NA,NA,NA
ANDREWS ISD,2022-01-30,002901,4213,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2022-01-30,003801,999,NA,NA,18,6,0,0,24
HUDSON ISD,2022-01-30,003902,2834,NA,NA,55,17,0,0,72
LUFKIN ISD,2022-01-30,003903,7523,NA,NA,NA,1,NA,NA,NA
HUNTINGTON ISD,2022-01-30,003904,1643,NA,NA,5,6,0,0,11
DIBOLL ISD,2022-01-30,003905,1762,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2022-01-30,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2022-01-30,003907,1452,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2022-01-30,004901,3026,NA,NA,NA,10,NA,NA,NA
ARCHER CITY ISD,2022-01-30,005901,513,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2022-01-30,005902,1133,NA,NA,5,1,0,0,6
WINDTHORST ISD,2022-01-30,005904,531,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2022-01-30,006902,314,NA,NA,NA,3,NA,NA,NA
CHARLOTTE ISD,2022-01-30,007901,401,NA,NA,6,0,0,0,6
JOURDANTON ISD,2022-01-30,007902,1588,NA,NA,15,3,0,0,18
LYTLE ISD,2022-01-30,007904,1762,NA,NA,NA,7,NA,NA,NA
PLEASANTON ISD,2022-01-30,007905,3459,NA,NA,25,2,0,0,27
POTEET ISD,2022-01-30,007906,1690,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2022-01-30,008901,2217,NA,NA,NA,NA,NA,NA,NA
SEALY ISD,2022-01-30,008902,2830,NA,NA,55,5,0,1,59
BRAZOS ISD,2022-01-30,008903,770,NA,NA,NA,6,NA,NA,NA
MULESHOE ISD,2022-01-30,009901,1372,NA,NA,NA,NA,NA,NA,NA
MEDINA ISD,2022-01-30,010901,265,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2022-01-30,010902,2321,NA,NA,17,9,0,0,26
BASTROP ISD,2022-01-30,011901,12101,NA,NA,157,28,0,0,185
ELGIN ISD,2022-01-30,011902,4825,NA,NA,65,15,0,0,80
SMITHVILLE ISD,2022-01-30,011904,1824,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2022-01-30,011905,322,NA,NA,10,0,0,0,10
SEYMOUR ISD,2022-01-30,012901,632,NA,NA,NA,0,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2022-01-30,013801,410,NA,NA,15,1,0,0,16
BEEVILLE ISD,2022-01-30,013901,3021,NA,NA,NA,NA,NA,NA,NA
PAWNEE ISD,2022-01-30,013902,499,NA,NA,7,1,0,3,5
PETTUS ISD,2022-01-30,013903,373,NA,NA,5,1,0,0,6
SKIDMORE-TYNAN ISD,2022-01-30,013905,794,NA,NA,NA,0,NA,NA,NA
RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,2022-01-30,014801,1722,NA,NA,NA,2,NA,NA,NA
PRIORITY CHARTER SCHOOLS,2022-01-30,014803,880,NA,NA,NA,NA,NA,NA,NA
ORENDA CHARTER SCHOOL,2022-01-30,014804,1921,NA,NA,NA,3,NA,NA,NA
ACADEMY ISD,2022-01-30,014901,1771,NA,NA,NA,NA,NA,NA,NA
BARTLETT ISD,2022-01-30,014902,390,NA,NA,10,4,0,4,10
BELTON ISD,2022-01-30,014903,13431,NA,NA,197,65,36,74,152
HOLLAND ISD,2022-01-30,014905,646,NA,NA,NA,NA,NA,NA,NA
KILLEEN ISD,2022-01-30,014906,41565,NA,NA,481,121,0,0,602
ROGERS ISD,2022-01-30,014907,901,NA,NA,7,2,0,0,9
SALADO ISD,2022-01-30,014908,2275,NA,NA,NA,NA,NA,NA,NA
TEMPLE ISD,2022-01-30,014909,8522,NA,NA,74,38,0,1,111
TROY ISD,2022-01-30,014910,1639,NA,NA,24,8,0,0,32
POR VIDA ACADEMY,2022-01-30,015801,119,NA,NA,NA,NA,NA,NA,NA
GEORGE GERVIN ACADEMY,2022-01-30,015802,808,NA,NA,NA,NA,NA,NA,NA
NEW FRONTIERS PUBLIC SCHOOLS INC,2022-01-30,015805,150,NA,NA,NA,NA,NA,NA,NA
LEGACY TRADITIONAL SCHOOLS - TEXAS,2022-01-30,015806,350,NA,NA,NA,0,NA,NA,NA
SOUTHWEST PREPARATORY SCHOOL,2022-01-30,015807,833,NA,NA,NA,NA,NA,NA,NA
INSPIRE ACADEMIES,2022-01-30,015808,643,NA,NA,14,6,0,1,19
BEXAR COUNTY ACADEMY,2022-01-30,015809,272,NA,NA,9,1,0,0,10
POSITIVE SOLUTIONS CHARTER SCHOOL,2022-01-30,015814,84,NA,NA,5,0,0,2,3
HERITAGE ACADEMY,2022-01-30,015815,579,NA,NA,7,3,1,4,5
JUBILEE ACADEMIES,2022-01-30,015822,5856,NA,NA,NA,NA,NA,NA,NA
LIGHTHOUSE PUBLIC SCHOOLS,2022-01-30,015825,399,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF SCIENCE AND TECHNOLOGY,2022-01-30,015827,4020,NA,NA,NA,NA,NA,NA,NA
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,2022-01-30,015828,4487,NA,NA,NA,0,NA,NA,NA
BROOKS ACADEMIES OF TEXAS,2022-01-30,015830,3171,NA,NA,NA,5,NA,NA,NA
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2022-01-30,015831,5334,NA,NA,NA,NA,NA,NA,NA
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,2022-01-30,015833,90,NA,NA,NA,NA,NA,NA,NA
BASIS TEXAS,2022-01-30,015834,3166,NA,NA,NA,7,NA,NA,NA
GREAT HEARTS TEXAS,2022-01-30,015835,7268,NA,NA,NA,12,NA,NA,NA
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,2022-01-30,015836,491,NA,NA,10,0,0,0,10
COMPASS ROSE PUBLIC SCHOOLS,2022-01-30,015838,1872,NA,NA,49,11,0,0,60
PROMESA ACADEMY CHARTER SCHOOL,2022-01-30,015839,280,NA,NA,NA,NA,NA,NA,NA
SAN ANTONIO PREPARATORY SCHOOLS,2022-01-30,015840,206,NA,NA,NA,NA,NA,NA,NA
THE GATHERING PLACE,2022-01-30,015841,462,NA,NA,NA,NA,NA,NA,NA
ROYAL PUBLIC SCHOOLS,2022-01-30,015842,108,NA,NA,NA,NA,NA,NA,NA
PRELUDE PREPARATORY CHARTER SCHOOL,2022-01-30,015843,28,NA,NA,NA,NA,NA,NA,NA
ALAMO HEIGHTS ISD,2022-01-30,015901,4834,NA,NA,127,37,3,161,0
HARLANDALE ISD,2022-01-30,015904,12158,NA,NA,373,74,0,7,440
EDGEWOOD ISD,2022-01-30,015905,0,NA,NA,NA,69,NA,NA,NA
RANDOLPH FIELD ISD,2022-01-30,015906,1474,NA,NA,NA,NA,NA,NA,NA
SAN ANTONIO ISD,2022-01-30,015907,45456,NA,NA,921,0,0,1,920
SOUTH SAN ANTONIO ISD,2022-01-30,015908,8045,NA,NA,343,46,0,0,389
