District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-07-10,001902,573,,,,,,,
ELKHART ISD,2022-07-10,001903,1185,,,,,,,
FRANKSTON ISD,2022-07-10,001904,822,,,,,,,
NECHES ISD,2022-07-10,001906,345,,,,,,,
PALESTINE ISD,2022-07-10,001907,3392,,,,,,,
WESTWOOD ISD,2022-07-10,001908,1339,,,,,,,
SLOCUM ISD,2022-07-10,001909,369,,,,,,,
ANDREWS ISD,2022-07-10,002901,4213,,,,,,,
PINEYWOODS COMMUNITY ACADEMY,2022-07-10,003801,999,,,,,,,
HUDSON ISD,2022-07-10,003902,2834,,,,,,,
LUFKIN ISD,2022-07-10,003903,7523,,,,0,,,
HUNTINGTON ISD,2022-07-10,003904,1643,,,,,,,
DIBOLL ISD,2022-07-10,003905,1762,,,,,,,
ZAVALLA ISD,2022-07-10,003906,308,,,,,,,
CENTRAL ISD,2022-07-10,003907,1452,,,,,,,
ARANSAS COUNTY ISD,2022-07-10,004901,3026,,,0,1,0,0,1
ARCHER CITY ISD,2022-07-10,005901,513,,,,,,,
HOLLIDAY ISD,2022-07-10,005902,1133,,,,,,,
WINDTHORST ISD,2022-07-10,005904,531,,,,,,,
CLAUDE ISD,2022-07-10,006902,314,,,,,,,
CHARLOTTE ISD,2022-07-10,007901,401,,,,,,,
JOURDANTON ISD,2022-07-10,007902,1588,,,,,,,
LYTLE ISD,2022-07-10,007904,1762,,,,,,,
PLEASANTON ISD,2022-07-10,007905,3459,,,,,,,
POTEET ISD,2022-07-10,007906,1690,,,,,,,
BELLVILLE ISD,2022-07-10,008901,2217,,,,,,,
SEALY ISD,2022-07-10,008902,2830,,,,,,,
BRAZOS ISD,2022-07-10,008903,770,,,,,,,
MULESHOE ISD,2022-07-10,009901,1372,,,,,,,
MEDINA ISD,2022-07-10,010901,265,,,,,,,
BANDERA ISD,2022-07-10,010902,2321,,,,,,,
BASTROP ISD,2022-07-10,011901,12101,,,,,,,
ELGIN ISD,2022-07-10,011902,4825,,,,,,,
SMITHVILLE ISD,2022-07-10,011904,1824,,,,,,,
MCDADE ISD,2022-07-10,011905,322,,,,,,,
SEYMOUR ISD,2022-07-10,012901,632,,,,,,,
ST MARY'S ACADEMY CHARTER SCHOOL,2022-07-10,013801,410,,,,,,,
BEEVILLE ISD,2022-07-10,013901,3021,,,,,,,
PAWNEE ISD,2022-07-10,013902,499,,,,,,,
PETTUS ISD,2022-07-10,013903,373,,,,,,,
SKIDMORE-TYNAN ISD,2022-07-10,013905,794,,,,,,,
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2022-07-10,014801,1722,,,,,,,
PRIORITY CHARTER SCHOOLS,2022-07-10,014803,880,,,,,,,
ORENDA CHARTER SCHOOL,2022-07-10,014804,1921,,,,,,,
ACADEMY ISD,2022-07-10,014901,1771,,,,,,,
BARTLETT ISD,2022-07-10,014902,390,,,,,,,
BELTON ISD,2022-07-10,014903,13431,,,,,,,
HOLLAND ISD,2022-07-10,014905,646,,,,,,,
KILLEEN ISD,2022-07-10,014906,41565,,,,,,,
ROGERS ISD,2022-07-10,014907,901,,,,,,,
SALADO ISD,2022-07-10,014908,2275,,,,,,,
TEMPLE ISD,2022-07-10,014909,8522,,,,,,,
TROY ISD,2022-07-10,014910,1639,,,,,,,
POR VIDA ACADEMY,2022-07-10,015801,119,,,,,,,
GEORGE GERVIN ACADEMY,2022-07-10,015802,808,,,,,,,
NEW FRONTIERS PUBLIC SCHOOLS INC,2022-07-10,015805,150,,,,,,,
SCHOOL OF EXCELLENCE IN EDUCATION,2022-07-10,015806,350,,,,,,,
SOUTHWEST PREPARATORY SCHOOL,2022-07-10,015807,833,,,,,,,
INSPIRE ACADEMIES,2022-07-10,015808,643,,,,,,,
BEXAR COUNTY ACADEMY,2022-07-10,015809,272,,,,,,,
POSITIVE SOLUTIONS CHARTER SCHOOL,2022-07-10,015814,84,,,,,,,
HERITAGE ACADEMY,2022-07-10,015815,579,,,,,,,
JUBILEE ACADEMIES,2022-07-10,015822,5856,,,,,,,
LIGHTHOUSE PUBLIC SCHOOLS,2022-07-10,015825,399,,,,,,,
SCHOOL OF SCIENCE AND TECHNOLOGY,2022-07-10,015827,4020,,,,,,,
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,2022-07-10,015828,4487,,,,,,,
BROOKS ACADEMIES OF TEXAS,2022-07-10,015830,3171,,,,,,,
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2022-07-10,015831,5334,,,,,,,
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,2022-07-10,015833,90,,,,,,,
BASIS TEXAS,2022-07-10,015834,3166,,,,,,,
GREAT HEARTS TEXAS,2022-07-10,015835,7268,,,,,,,
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,2022-07-10,015836,491,,,,,,,
COMPASS ROSE PUBLIC SCHOOLS,2022-07-10,015838,1872,,,,,,,
PROMESA ACADEMY CHARTER SCHOOL,2022-07-10,015839,280,,,,,,,
SAN ANTONIO PREPARATORY SCHOOLS,2022-07-10,015840,206,,,,,,,
THE GATHERING PLACE,2022-07-10,015841,462,,,,,,,
ROYAL PUBLIC SCHOOLS,2022-07-10,015842,108,,,,,,,
PRELUDE PREPARATORY CHARTER SCHOOL,2022-07-10,015843,28,,,,,,,
ALAMO HEIGHTS ISD,2022-07-10,015901,4834,,,0,3,0,0,3
HARLANDALE ISD,2022-07-10,015904,12158,,,,,,,
EDGEWOOD ISD,2022-07-10,015905,0,,,,,,,
RANDOLPH FIELD ISD,2022-07-10,015906,1474,,,,,,,
SAN ANTONIO ISD,2022-07-10,015907,45456,,,,,,,
SOUTH SAN ANTONIO ISD,2022-07-10,015908,8045,,,,,,,
SOMERSET ISD,2022-07-10,015909,4031,,,,,,,
NORTH EAST ISD,2022-07-10,015910,60205,,,,,,,
EAST CENTRAL ISD,2022-07-10,015911,10023,,,,,,,
SOUTHWEST ISD,2022-07-10,015912,13325,,,,,,,
LACKLAND ISD,2022-07-10,015913,924,,,,,,,
FT SAM HOUSTON ISD,2022-07-10,015914,1647,,,,,,,
NORTHSIDE ISD,2022-07-10,015915,103115,,,30,6,0,0,36
JUDSON ISD,2022-07-10,015916,24448,,,,,,,
SOUTHSIDE ISD,2022-07-10,015917,5643,,,,,,,
JOHNSON CITY ISD,2022-07-10,016901,693,,,,,,,
BLANCO ISD,2022-07-10,016902,1072,,,,,,,
