District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-08-07,001902,573,,,,,,,
ELKHART ISD,2022-08-07,001903,1185,,,0,1,0,0,1
FRANKSTON ISD,2022-08-07,001904,822,,,,,,,
NECHES ISD,2022-08-07,001906,345,,,,,,,
PALESTINE ISD,2022-08-07,001907,3392,,,,,,,
WESTWOOD ISD,2022-08-07,001908,1339,,,,,,,
SLOCUM ISD,2022-08-07,001909,369,,,,,,,
ANDREWS ISD,2022-08-07,002901,4213,,,,,,,
PINEYWOODS COMMUNITY ACADEMY,2022-08-07,003801,999,,,,,,,
HUDSON ISD,2022-08-07,003902,2834,,,,,,,
LUFKIN ISD,2022-08-07,003903,7523,,,,,,,
HUNTINGTON ISD,2022-08-07,003904,1643,,,,,,,
DIBOLL ISD,2022-08-07,003905,1762,,,,,,,
ZAVALLA ISD,2022-08-07,003906,308,,,,,,,
CENTRAL ISD,2022-08-07,003907,1452,,,,,,,
ARANSAS COUNTY ISD,2022-08-07,004901,3026,,,0,2,0,0,2
ARCHER CITY ISD,2022-08-07,005901,513,,,,,,,
HOLLIDAY ISD,2022-08-07,005902,1133,,,,,,,
WINDTHORST ISD,2022-08-07,005904,531,,,,,,,
CLAUDE ISD,2022-08-07,006902,314,,,,,,,
CHARLOTTE ISD,2022-08-07,007901,401,,,,,,,
JOURDANTON ISD,2022-08-07,007902,1588,,,,,,,
LYTLE ISD,2022-08-07,007904,1762,,,,,,,
PLEASANTON ISD,2022-08-07,007905,3459,,,,,,,
POTEET ISD,2022-08-07,007906,1690,,,,,,,
BELLVILLE ISD,2022-08-07,008901,2217,,,,,,,
SEALY ISD,2022-08-07,008902,2830,,,,,,,
BRAZOS ISD,2022-08-07,008903,770,,,,,,,
MULESHOE ISD,2022-08-07,009901,1372,,,,,,,
MEDINA ISD,2022-08-07,010901,265,,,,,,,
BANDERA ISD,2022-08-07,010902,2321,,,,,,,
BASTROP ISD,2022-08-07,011901,12101,,,,,,,
ELGIN ISD,2022-08-07,011902,4825,,,,,,,
SMITHVILLE ISD,2022-08-07,011904,1824,,,,,,,
MCDADE ISD,2022-08-07,011905,322,,,,,,,
SEYMOUR ISD,2022-08-07,012901,632,,,,,,,
ST MARY'S ACADEMY CHARTER SCHOOL,2022-08-07,013801,410,,,,,,,
BEEVILLE ISD,2022-08-07,013901,3021,,,,,,,
PAWNEE ISD,2022-08-07,013902,499,,,6,0,0,0,6
PETTUS ISD,2022-08-07,013903,373,,,,,,,
SKIDMORE-TYNAN ISD,2022-08-07,013905,794,,,,,,,
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2022-08-07,014801,1722,,,0,2,0,0,2
PRIORITY CHARTER SCHOOLS,2022-08-07,014803,880,,,,,,,
ORENDA CHARTER SCHOOL,2022-08-07,014804,1921,,,,,,,
ACADEMY ISD,2022-08-07,014901,1771,,,,,,,
BARTLETT ISD,2022-08-07,014902,390,,,,,,,
BELTON ISD,2022-08-07,014903,13431,,,,,,,
HOLLAND ISD,2022-08-07,014905,646,,,,,,,
KILLEEN ISD,2022-08-07,014906,41565,,,,,,,
ROGERS ISD,2022-08-07,014907,901,,,,,,,
SALADO ISD,2022-08-07,014908,2275,,,,,,,
TEMPLE ISD,2022-08-07,014909,8522,,,,,,,
TROY ISD,2022-08-07,014910,1639,,,,,,,
POR VIDA ACADEMY,2022-08-07,015801,119,,,,,,,
GEORGE GERVIN ACADEMY,2022-08-07,015802,808,,,,,,,
NEW FRONTIERS PUBLIC SCHOOLS INC,2022-08-07,015805,150,,,,,,,
SCHOOL OF EXCELLENCE IN EDUCATION,2022-08-07,015806,350,,,,,,,
SOUTHWEST PREPARATORY SCHOOL,2022-08-07,015807,833,,,,,,,
INSPIRE ACADEMIES,2022-08-07,015808,643,,,,,,,
BEXAR COUNTY ACADEMY,2022-08-07,015809,272,,,,,,,
POSITIVE SOLUTIONS CHARTER SCHOOL,2022-08-07,015814,84,,,,,,,
HERITAGE ACADEMY,2022-08-07,015815,579,,,,,,,
JUBILEE ACADEMIES,2022-08-07,015822,5856,,,,,,,
LIGHTHOUSE PUBLIC SCHOOLS,2022-08-07,015825,399,,,,,,,
SCHOOL OF SCIENCE AND TECHNOLOGY,2022-08-07,015827,4020,,,,,,,
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,2022-08-07,015828,4487,,,,,,,
BROOKS ACADEMIES OF TEXAS,2022-08-07,015830,3171,,,,,,,
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2022-08-07,015831,5334,,,,,,,
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,2022-08-07,015833,90,,,,,,,
BASIS TEXAS,2022-08-07,015834,3166,,,,,,,
GREAT HEARTS TEXAS,2022-08-07,015835,7268,,,,,,,
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,2022-08-07,015836,491,,,,,,,
COMPASS ROSE PUBLIC SCHOOLS,2022-08-07,015838,1872,,,,,,,
PROMESA ACADEMY CHARTER SCHOOL,2022-08-07,015839,280,,,,,,,
SAN ANTONIO PREPARATORY SCHOOLS,2022-08-07,015840,206,,,,,,,
THE GATHERING PLACE,2022-08-07,015841,462,,,,,,,
ROYAL PUBLIC SCHOOLS,2022-08-07,015842,108,,,,,,,
PRELUDE PREPARATORY CHARTER SCHOOL,2022-08-07,015843,28,,,,,,,
ALAMO HEIGHTS ISD,2022-08-07,015901,4834,,,,,,,
HARLANDALE ISD,2022-08-07,015904,12158,,,,,,,
EDGEWOOD ISD,2022-08-07,015905,0,,,,,,,
RANDOLPH FIELD ISD,2022-08-07,015906,1474,,,,,,,
SAN ANTONIO ISD,2022-08-07,015907,45456,,,0,16,0,0,16
SOUTH SAN ANTONIO ISD,2022-08-07,015908,8045,,,,,,,
SOMERSET ISD,2022-08-07,015909,4031,,,,,,,
NORTH EAST ISD,2022-08-07,015910,60205,,,,,,,
EAST CENTRAL ISD,2022-08-07,015911,10023,,,,,,,
SOUTHWEST ISD,2022-08-07,015912,13325,,,,,,,
LACKLAND ISD,2022-08-07,015913,924,,,,,,,
FT SAM HOUSTON ISD,2022-08-07,015914,1647,,,,,,,
NORTHSIDE ISD,2022-08-07,015915,103115,,,,,,,
JUDSON ISD,2022-08-07,015916,24448,,,,,,,
SOUTHSIDE ISD,2022-08-07,015917,5643,,,0,4,0,0,4
JOHNSON CITY ISD,2022-08-07,016901,693,,,,,,,
BLANCO ISD,2022-08-07,016902,1072,,,,,,,
BORDEN COUNTY ISD,2022-08-07,017901,247,,,,,,,
CLIFTON ISD,2022-08-07,018901,1023,,,,,,,
MERIDIAN ISD,2022-08-07,018902,401,,,,,,,
MORGAN ISD,2022-08-07,018903,142,,,,,,,
VALLEY MILLS ISD,2022-08-07,018904,624,,,,,,,
WALNUT SPRINGS ISD,2022-08-07,018905,183,,,,,,,
IREDELL ISD,2022-08-07,018906,136,,,,,,,
KOPPERL ISD,2022-08-07,018907,185,,,,,,,
CRANFILLS GAP ISD,2022-08-07,018908,137,,,,,,,
DEKALB ISD,2022-08-07,019901,804,,,,,,,
HOOKS ISD,2022-08-07,019902,890,,,,,,,
MAUD ISD,2022-08-07,019903,477,,,,,,,
NEW BOSTON ISD,2022-08-07,019905,1209,,,,,,,
REDWATER ISD,2022-08-07,019906,1110,,,,,,,
TEXARKANA ISD,2022-08-07,019907,7294,,,,,,,
LIBERTY-EYLAU ISD,2022-08-07,019908,2191,,,,,,,
SIMMS ISD,2022-08-07,019909,484,,,,,,,
MALTA ISD,2022-08-07,019910,212,,,,,,,
RED LICK ISD,2022-08-07,019911,500,,,,,,,
PLEASANT GROVE ISD,2022-08-07,019912,2320,,,,,,,
HUBBARD ISD,2022-08-07,019913,72,,,,,,,
LEARY ISD,2022-08-07,019914,110,,,,,,,
ALVIN ISD,2022-08-07,020901,28285,,,0,1,0,0,1
ANGLETON ISD,2022-08-07,020902,6829,,,,,,,
DANBURY ISD,2022-08-07,020904,777,,,,,,,
BRAZOSPORT ISD,2022-08-07,020905,11654,,,,,,,
SWEENY ISD,2022-08-07,020906,1827,,,,,,,
COLUMBIA-BRAZORIA ISD,2022-08-07,020907,2958,,,,,,,
PEARLAND ISD,2022-08-07,020908,21041,,,,3,,,
DAMON ISD,2022-08-07,020910,114,,,,,,,
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,2022-08-07,021803,335,,,,,,,
ARROW ACADEMY,2022-08-07,021805,598,,,,,,,
COLLEGE STATION ISD,2022-08-07,021901,14280,,,,,,,
BRYAN ISD,2022-08-07,021902,16163,,,,,,,
TERLINGUA CSD,2022-08-07,022004,107,,,,,,,
ALPINE ISD,2022-08-07,022901,973,,,,,,,
MARATHON ISD,2022-08-07,022902,57,,,,,,,
SAN VICENTE ISD,2022-08-07,022903,<10,,,,,,,
SILVERTON ISD,2022-08-07,023902,192,,,,,,,
BROOKS COUNTY ISD,2022-08-07,024901,1358,,,,,,,
BANGS ISD,2022-08-07,025901,881,,,,,,,
BROWNWOOD ISD,2022-08-07,025902,3525,,,,,,,
BLANKET ISD,2022-08-07,025904,143,,,,,,,
MAY ISD,2022-08-07,025905,223,,,,,,,
ZEPHYR ISD,2022-08-07,025906,212,,,,,,,
BROOKESMITH ISD,2022-08-07,025908,193,,,,,,,
EARLY ISD,2022-08-07,025909,1151,,,,,,,
CALDWELL ISD,2022-08-07,026901,1836,,,,,,,
SOMERVILLE ISD,2022-08-07,026902,555,,,,,,,
SNOOK ISD,2022-08-07,026903,530,,,,,,,
BURNET CISD,2022-08-07,027903,3311,,,,,,,
MARBLE FALLS ISD,2022-08-07,027904,4054,,,,,,,
LOCKHART ISD,2022-08-07,028902,6224,,,,,,,
LULING ISD,2022-08-07,028903,1469,,,,,,,
PRAIRIE LEA ISD,2022-08-07,028906,190,,,,,,,
CALHOUN COUNTY ISD,2022-08-07,029901,3610,,,,,,,
CROSS PLAINS ISD,2022-08-07,030901,381,,,,,,,
CLYDE CISD,2022-08-07,030902,1445,,,,,,,
BAIRD ISD,2022-08-07,030903,296,,,,,,,
EULA ISD,2022-08-07,030906,469,,,,,,,
UNIVERSITY OF TEXAS RIO GRANDE VALLEY,2022-08-07,031505,0,,,,,,,
BROWNSVILLE ISD,2022-08-07,031901,38617,,,0,14,0,0,14
HARLINGEN CISD,2022-08-07,031903,17116,,,,,,,
LA FERIA ISD,2022-08-07,031905,2938,,,,,,,
LOS FRESNOS CISD,2022-08-07,031906,10385,,,,,,,
POINT ISABEL ISD,2022-08-07,031909,2140,,,,,,,
RIO HONDO ISD,2022-08-07,031911,1632,,,,,,,
SAN BENITO CISD,2022-08-07,031912,9290,,,,,,,
SANTA MARIA ISD,2022-08-07,031913,540,,,,,,,
SANTA ROSA ISD,2022-08-07,031914,855,,,,,,,
SOUTH TEXAS ISD,2022-08-07,031916,4281,,,,,,,
