District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-07-24,001902,573,,,,,,,
ELKHART ISD,2022-07-24,001903,1185,,,,,,,
FRANKSTON ISD,2022-07-24,001904,822,,,,,,,
NECHES ISD,2022-07-24,001906,345,,,,,,,
PALESTINE ISD,2022-07-24,001907,3392,,,,,,,
WESTWOOD ISD,2022-07-24,001908,1339,,,,,,,
SLOCUM ISD,2022-07-24,001909,369,,,,,,,
ANDREWS ISD,2022-07-24,002901,4213,,,,,,,
PINEYWOODS COMMUNITY ACADEMY,2022-07-24,003801,999,,,,,,,
HUDSON ISD,2022-07-24,003902,2834,,,,,,,
LUFKIN ISD,2022-07-24,003903,7523,,,,,,,
HUNTINGTON ISD,2022-07-24,003904,1643,,,,,,,
DIBOLL ISD,2022-07-24,003905,1762,,,,,,,
ZAVALLA ISD,2022-07-24,003906,308,,,,,,,
CENTRAL ISD,2022-07-24,003907,1452,,,,,,,
ARANSAS COUNTY ISD,2022-07-24,004901,3026,,,,,,,
ARCHER CITY ISD,2022-07-24,005901,513,,,,,,,
HOLLIDAY ISD,2022-07-24,005902,1133,,,,,,,
WINDTHORST ISD,2022-07-24,005904,531,,,,,,,
CLAUDE ISD,2022-07-24,006902,314,,,,,,,
CHARLOTTE ISD,2022-07-24,007901,401,,,,,,,
JOURDANTON ISD,2022-07-24,007902,1588,,,,,,,
LYTLE ISD,2022-07-24,007904,1762,,,,,,,
PLEASANTON ISD,2022-07-24,007905,3459,,,,,,,
POTEET ISD,2022-07-24,007906,1690,,,,,,,
BELLVILLE ISD,2022-07-24,008901,2217,,,,,,,
SEALY ISD,2022-07-24,008902,2830,,,,,,,
BRAZOS ISD,2022-07-24,008903,770,,,,,,,
MULESHOE ISD,2022-07-24,009901,1372,,,,,,,
MEDINA ISD,2022-07-24,010901,265,,,,,,,
BANDERA ISD,2022-07-24,010902,2321,,,,,,,
