District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-12-12,001902,573,NA,NA,NA,NA,NA,NA,NA
ELKHART ISD,2021-12-12,001903,1185,NA,NA,NA,0,NA,NA,NA
FRANKSTON ISD,2021-12-12,001904,822,NA,NA,0,1,0,1,0
NECHES ISD,2021-12-12,001906,345,NA,NA,NA,NA,NA,NA,NA
PALESTINE ISD,2021-12-12,001907,3392,NA,NA,NA,NA,NA,NA,NA
WESTWOOD ISD,2021-12-12,001908,1339,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-12-12,001909,369,NA,NA,NA,NA,NA,NA,NA
ANDREWS ISD,2021-12-12,002901,4213,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-12-12,003801,999,NA,NA,NA,NA,NA,NA,NA
HUDSON ISD,2021-12-12,003902,2834,NA,NA,NA,0,NA,NA,NA
LUFKIN ISD,2021-12-12,003903,7523,NA,NA,NA,NA,NA,NA,NA
HUNTINGTON ISD,2021-12-12,003904,1643,NA,NA,NA,0,NA,NA,NA
DIBOLL ISD,2021-12-12,003905,1762,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2021-12-12,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-12-12,003907,1452,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-12-12,004901,3026,NA,NA,NA,0,NA,NA,NA
ARCHER CITY ISD,2021-12-12,005901,513,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-12-12,005902,1133,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2021-12-12,005904,531,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2021-12-12,006902,314,NA,NA,NA,0,NA,NA,NA
CHARLOTTE ISD,2021-12-12,007901,401,NA,NA,NA,NA,NA,NA,NA
JOURDANTON ISD,2021-12-12,007902,1588,NA,NA,NA,0,NA,NA,NA
LYTLE ISD,2021-12-12,007904,1762,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2021-12-12,007905,3459,NA,NA,NA,NA,NA,NA,NA
POTEET ISD,2021-12-12,007906,1690,NA,NA,NA,0,NA,NA,NA
BELLVILLE ISD,2021-12-12,008901,2217,NA,NA,NA,NA,NA,NA,NA
SEALY ISD,2021-12-12,008902,2830,NA,NA,NA,0,NA,NA,NA
BRAZOS ISD,2021-12-12,008903,770,NA,NA,NA,NA,NA,NA,NA
MULESHOE ISD,2021-12-12,009901,1372,NA,NA,NA,2,NA,NA,NA
MEDINA ISD,2021-12-12,010901,265,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2021-12-12,010902,2321,NA,NA,NA,0,NA,NA,NA
BASTROP ISD,2021-12-12,011901,12101,NA,NA,NA,NA,NA,NA,NA
ELGIN ISD,2021-12-12,011902,4825,NA,NA,NA,0,NA,NA,NA
SMITHVILLE ISD,2021-12-12,011904,1824,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2021-12-12,011905,322,NA,NA,NA,NA,NA,NA,NA
