District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-09-26,001902,541,NA,NA,NA,2,NA,NA,NA
ELKHART ISD,2021-09-26,001903,1167,NA,NA,6,2,0,0,8
FRANKSTON ISD,2021-09-26,001904,756,NA,NA,NA,0,NA,NA,NA
NECHES ISD,2021-09-26,001906,338,NA,NA,5,2,0,0,7
PALESTINE ISD,2021-09-26,001907,3347,NA,NA,8,0,0,0,8
WESTWOOD ISD,2021-09-26,001908,1333,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-09-26,001909,360,NA,NA,NA,0,NA,NA,NA
ANDREWS ISD,2021-09-26,002901,3992,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-09-26,003801,920,NA,NA,12,2,0,0,14
HUDSON ISD,2021-09-26,003902,2762,NA,NA,9,1,0,0,10
LUFKIN ISD,2021-09-26,003903,7297,NA,NA,NA,NA,NA,NA,NA
HUNTINGTON ISD,2021-09-26,003904,1569,NA,NA,5,4,0,0,9
DIBOLL ISD,2021-09-26,003905,1698,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2021-09-26,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-09-26,003907,1442,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-09-26,004901,2989,NA,NA,18,4,0,0,22
ARCHER CITY ISD,2021-09-26,005901,502,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-09-26,005902,1064,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2021-09-26,005904,438,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2021-09-26,006902,301,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2021-09-26,007901,419,NA,NA,NA,NA,NA,NA,NA
JOURDANTON ISD,2021-09-26,007902,1517,NA,NA,5,0,0,0,5
LYTLE ISD,2021-09-26,007904,1689,NA,NA,6,1,0,7,0
PLEASANTON ISD,2021-09-26,007905,3304,NA,NA,NA,1,NA,NA,NA
POTEET ISD,2021-09-26,007906,1518,NA,NA,NA,0,NA,NA,NA
BELLVILLE ISD,2021-09-26,008901,2206,NA,NA,5,1,0,0,6
SEALY ISD,2021-09-26,008902,2788,NA,NA,11,0,0,1,10
BRAZOS ISD,2021-09-26,008903,761,NA,NA,NA,0,NA,NA,NA
MULESHOE ISD,2021-09-26,009901,1309,NA,NA,5,0,0,5,0
MEDINA ISD,2021-09-26,010901,259,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2021-09-26,010902,2155,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2021-09-26,011901,11423,NA,NA,42,6,0,0,48
ELGIN ISD,2021-09-26,011902,4670,NA,NA,14,5,0,0,19
SMITHVILLE ISD,2021-09-26,011904,1687,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2021-09-26,011905,327,NA,NA,NA,3,NA,NA,NA
SEYMOUR ISD,2021-09-26,012901,625,NA,NA,NA,1,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2021-09-26,013801,376,NA,NA,NA,0,NA,NA,NA
BEEVILLE ISD,2021-09-26,013901,3072,NA,NA,5,0,0,0,5
PAWNEE ISD,2021-09-26,013902,296,NA,NA,NA,1,NA,NA,NA
PETTUS ISD,2021-09-26,013903,361,NA,NA,NA,0,NA,NA,NA
SKIDMORE-TYNAN ISD,2021-09-26,013905,792,NA,NA,9,0,0,0,9
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2021-09-26,014801,1943,NA,NA,NA,3,NA,NA,NA
PRIORITY CHARTER SCHOOLS,2021-09-26,014803,846,NA,NA,NA,NA,NA,NA,NA
ORENDA CHARTER SCHOOL,2021-09-26,014804,1867,NA,NA,NA,4,NA,NA,NA
ACADEMY ISD,2021-09-26,014901,1730,NA,NA,5,0,0,0,5
BARTLETT ISD,2021-09-26,014902,386,NA,NA,NA,NA,NA,NA,NA
BELTON ISD,2021-09-26,014903,12757,NA,NA,56,13,7,21,41
HOLLAND ISD,2021-09-26,014905,656,NA,NA,NA,NA,NA,NA,NA
KILLEEN ISD,2021-09-26,014906,43634,NA,NA,213,46,0,0,259
ROGERS ISD,2021-09-26,014907,890,NA,NA,5,0,0,3,2
SALADO ISD,2021-09-26,014908,2141,NA,NA,NA,NA,NA,NA,NA
TEMPLE ISD,2021-09-26,014909,8363,NA,NA,36,12,0,0,48
TROY ISD,2021-09-26,014910,1576,NA,NA,18,1,0,1,18
POR VIDA ACADEMY,2021-09-26,015801,134,NA,NA,NA,NA,NA,NA,NA
GEORGE GERVIN ACADEMY,2021-09-26,015802,811,NA,NA,NA,NA,NA,NA,NA
NEW FRONTIERS PUBLIC SCHOOLS INC,2021-09-26,015805,474,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF EXCELLENCE IN EDUCATION,2021-09-26,015806,346,NA,NA,NA,NA,NA,NA,NA
SOUTHWEST PREPARATORY SCHOOL,2021-09-26,015807,860,NA,NA,NA,NA,NA,NA,NA
INSPIRE ACADEMIES,2021-09-26,015808,575,NA,NA,0,2,0,1,1
BEXAR COUNTY ACADEMY,2021-09-26,015809,258,NA,NA,6,1,0,0,7
POSITIVE SOLUTIONS CHARTER SCHOOL,2021-09-26,015814,121,NA,NA,NA,0,NA,NA,NA
HERITAGE ACADEMY,2021-09-26,015815,611,NA,NA,NA,0,NA,NA,NA
JUBILEE ACADEMIES,2021-09-26,015822,6124,NA,NA,NA,NA,NA,NA,NA
LIGHTHOUSE PUBLIC SCHOOLS,2021-09-26,015825,287,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF SCIENCE AND TECHNOLOGY,2021-09-26,015827,3243,NA,NA,16,1,0,4,13
HARMONY SCIENCE ACAD (SAN ANTONIO),2021-09-26,015828,4473,NA,NA,NA,1,NA,NA,NA
BROOKS ACADEMIES OF TEXAS,2021-09-26,015830,2844,NA,NA,14,3,0,17,0
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2021-09-26,015831,4792,NA,NA,6,1,1,0,6
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,2021-09-26,015833,97,NA,NA,NA,NA,NA,NA,NA
BASIS TEXAS,2021-09-26,015834,2988,NA,NA,6,0,0,0,6
GREAT HEARTS TEXAS,2021-09-26,015835,6529,NA,NA,18,4,0,0,22
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,2021-09-26,015836,467,NA,NA,NA,2,NA,NA,NA
COMPASS ROSE ACADEMY,2021-09-26,015838,1124,NA,NA,NA,NA,NA,NA,NA
PROMESA ACADEMY CHARTER SCHOOL,2021-09-26,015839,191,NA,NA,NA,0,NA,NA,NA
