District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-06-26,001902,573,,,,,,,
ELKHART ISD,2022-06-26,001903,1185,,,,,,,
FRANKSTON ISD,2022-06-26,001904,822,,,,,,,
NECHES ISD,2022-06-26,001906,345,,,,,,,
PALESTINE ISD,2022-06-26,001907,3392,,,,,,,
WESTWOOD ISD,2022-06-26,001908,1339,,,,,,,
SLOCUM ISD,2022-06-26,001909,369,,,,,,,
ANDREWS ISD,2022-06-26,002901,4213,,,,,,,
PINEYWOODS COMMUNITY ACADEMY,2022-06-26,003801,999,,,,,,,
HUDSON ISD,2022-06-26,003902,2834,,,,,,,
LUFKIN ISD,2022-06-26,003903,7523,,,7,4,0,0,11
HUNTINGTON ISD,2022-06-26,003904,1643,,,,,,,
DIBOLL ISD,2022-06-26,003905,1762,,,,,,,
ZAVALLA ISD,2022-06-26,003906,308,,,,,,,
CENTRAL ISD,2022-06-26,003907,1452,,,,,,,
ARANSAS COUNTY ISD,2022-06-26,004901,3026,,,0,3,0,0,3
ARCHER CITY ISD,2022-06-26,005901,513,,,,,,,
HOLLIDAY ISD,2022-06-26,005902,1133,,,,,,,
WINDTHORST ISD,2022-06-26,005904,531,,,,,,,
CLAUDE ISD,2022-06-26,006902,314,,,,,,,
CHARLOTTE ISD,2022-06-26,007901,401,,,,,,,
JOURDANTON ISD,2022-06-26,007902,1588,,,,,,,
LYTLE ISD,2022-06-26,007904,1762,,,,,,,
PLEASANTON ISD,2022-06-26,007905,3459,,,,,,,
POTEET ISD,2022-06-26,007906,1690,,,,,,,
BELLVILLE ISD,2022-06-26,008901,2217,,,,,,,
SEALY ISD,2022-06-26,008902,2830,,,,,,,
BRAZOS ISD,2022-06-26,008903,770,,,,,,,
MULESHOE ISD,2022-06-26,009901,1372,,,,,,,
MEDINA ISD,2022-06-26,010901,265,,,,,,,
BANDERA ISD,2022-06-26,010902,2321,,,,,,,
BASTROP ISD,2022-06-26,011901,12101,,,,,,,
ELGIN ISD,2022-06-26,011902,4825,,,,,,,
SMITHVILLE ISD,2022-06-26,011904,1824,,,,,,,
MCDADE ISD,2022-06-26,011905,322,,,,,,,
SEYMOUR ISD,2022-06-26,012901,632,,,,,,,
ST MARY'S ACADEMY CHARTER SCHOOL,2022-06-26,013801,410,,,,,,,
BEEVILLE ISD,2022-06-26,013901,3021,,,,,,,
PAWNEE ISD,2022-06-26,013902,499,,,,,,,
PETTUS ISD,2022-06-26,013903,373,,,,,,,
SKIDMORE-TYNAN ISD,2022-06-26,013905,794,,,,,,,
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2022-06-26,014801,1722,,,,,,,
PRIORITY CHARTER SCHOOLS,2022-06-26,014803,880,,,,,,,
ORENDA CHARTER SCHOOL,2022-06-26,014804,1921,,,,,,,
ACADEMY ISD,2022-06-26,014901,1771,,,,,,,
BARTLETT ISD,2022-06-26,014902,390,,,,,,,
BELTON ISD,2022-06-26,014903,13431,,,,,,,
HOLLAND ISD,2022-06-26,014905,646,,,,,,,
KILLEEN ISD,2022-06-26,014906,41565,,,,0,,,
ROGERS ISD,2022-06-26,014907,901,,,,,,,
SALADO ISD,2022-06-26,014908,2275,,,,,,,
TEMPLE ISD,2022-06-26,014909,8522,,,,,,,
TROY ISD,2022-06-26,014910,1639,,,,,,,
POR VIDA ACADEMY,2022-06-26,015801,119,,,,,,,
GEORGE GERVIN ACADEMY,2022-06-26,015802,808,,,,,,,
NEW FRONTIERS PUBLIC SCHOOLS INC,2022-06-26,015805,150,,,,,,,
SCHOOL OF EXCELLENCE IN EDUCATION,2022-06-26,015806,350,,,,,,,
SOUTHWEST PREPARATORY SCHOOL,2022-06-26,015807,833,,,,,,,
INSPIRE ACADEMIES,2022-06-26,015808,643,,,,,,,
BEXAR COUNTY ACADEMY,2022-06-26,015809,272,,,,,,,
POSITIVE SOLUTIONS CHARTER SCHOOL,2022-06-26,015814,84,,,,,,,
HERITAGE ACADEMY,2022-06-26,015815,579,,,,,,,
JUBILEE ACADEMIES,2022-06-26,015822,5856,,,,,,,
LIGHTHOUSE PUBLIC SCHOOLS,2022-06-26,015825,399,,,,,,,
SCHOOL OF SCIENCE AND TECHNOLOGY,2022-06-26,015827,4020,,,,,,,
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,2022-06-26,015828,4487,,,,,,,
BROOKS ACADEMIES OF TEXAS,2022-06-26,015830,3171,,,,,,,
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2022-06-26,015831,5334,,,,,,,
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,2022-06-26,015833,90,,,,,,,
BASIS TEXAS,2022-06-26,015834,3166,,,,,,,
GREAT HEARTS TEXAS,2022-06-26,015835,7268,,,,,,,
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,2022-06-26,015836,491,,,,,,,
COMPASS ROSE PUBLIC SCHOOLS,2022-06-26,015838,1872,,,,,,,
PROMESA ACADEMY CHARTER SCHOOL,2022-06-26,015839,280,,,,,,,
SAN ANTONIO PREPARATORY SCHOOLS,2022-06-26,015840,206,,,,,,,
THE GATHERING PLACE,2022-06-26,015841,462,,,,,,,
ROYAL PUBLIC SCHOOLS,2022-06-26,015842,108,,,,,,,
PRELUDE PREPARATORY CHARTER SCHOOL,2022-06-26,015843,28,,,,,,,
ALAMO HEIGHTS ISD,2022-06-26,015901,4834,,,,1,,,
HARLANDALE ISD,2022-06-26,015904,12158,,,,,,,
EDGEWOOD ISD,2022-06-26,015905,0,,,,,,,
RANDOLPH FIELD ISD,2022-06-26,015906,1474,,,,,,,
SAN ANTONIO ISD,2022-06-26,015907,45456,,,,17,,,
SOUTH SAN ANTONIO ISD,2022-06-26,015908,8045,,,,,,,
SOMERSET ISD,2022-06-26,015909,4031,,,,,,,
NORTH EAST ISD,2022-06-26,015910,60205,,,,,,,
EAST CENTRAL ISD,2022-06-26,015911,10023,,,,,,,
SOUTHWEST ISD,2022-06-26,015912,13325,,,,,,,
LACKLAND ISD,2022-06-26,015913,924,,,,,,,
FT SAM HOUSTON ISD,2022-06-26,015914,1647,,,,,,,
NORTHSIDE ISD,2022-06-26,015915,103115,,,,,,,
JUDSON ISD,2022-06-26,015916,24448,,,,,,,
SOUTHSIDE ISD,2022-06-26,015917,5643,,,,,,,
JOHNSON CITY ISD,2022-06-26,016901,693,,,,,,,
BLANCO ISD,2022-06-26,016902,1072,,,,,,,
BORDEN COUNTY ISD,2022-06-26,017901,247,,,,,,,
CLIFTON ISD,2022-06-26,018901,1023,,,,,,,
MERIDIAN ISD,2022-06-26,018902,401,,,,,,,
MORGAN ISD,2022-06-26,018903,142,,,,,,,
VALLEY MILLS ISD,2022-06-26,018904,624,,,,,,,
WALNUT SPRINGS ISD,2022-06-26,018905,183,,,,,,,
IREDELL ISD,2022-06-26,018906,136,,,,,,,
KOPPERL ISD,2022-06-26,018907,185,,,,,,,
CRANFILLS GAP ISD,2022-06-26,018908,137,,,,,,,
DEKALB ISD,2022-06-26,019901,804,,,,,,,
HOOKS ISD,2022-06-26,019902,890,,,,,,,
MAUD ISD,2022-06-26,019903,477,,,,,,,
NEW BOSTON ISD,2022-06-26,019905,1209,,,,,,,
REDWATER ISD,2022-06-26,019906,1110,,,,,,,
TEXARKANA ISD,2022-06-26,019907,7294,,,,,,,
LIBERTY-EYLAU ISD,2022-06-26,019908,2191,,,,,,,
SIMMS ISD,2022-06-26,019909,484,,,,,,,
MALTA ISD,2022-06-26,019910,212,,,,,,,
RED LICK ISD,2022-06-26,019911,500,,,,,,,
PLEASANT GROVE ISD,2022-06-26,019912,2320,,,,,,,
HUBBARD ISD,2022-06-26,019913,72,,,,,,,
LEARY ISD,2022-06-26,019914,110,,,,,,,
ALVIN ISD,2022-06-26,020901,28285,,,7,2,0,0,9
ANGLETON ISD,2022-06-26,020902,6829,,,,,,,
DANBURY ISD,2022-06-26,020904,777,,,,,,,
BRAZOSPORT ISD,2022-06-26,020905,11654,,,,,,,
SWEENY ISD,2022-06-26,020906,1827,,,,,,,
COLUMBIA-BRAZORIA ISD,2022-06-26,020907,2958,,,,,,,
PEARLAND ISD,2022-06-26,020908,21041,,,,3,,,
DAMON ISD,2022-06-26,020910,114,,,,,,,
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,2022-06-26,021803,335,,,,,,,
ARROW ACADEMY,2022-06-26,021805,598,,,,,,,
COLLEGE STATION ISD,2022-06-26,021901,14280,,,,,,,
BRYAN ISD,2022-06-26,021902,16163,,,,2,,,
TERLINGUA CSD,2022-06-26,022004,107,,,,,,,
ALPINE ISD,2022-06-26,022901,973,,,,,,,
MARATHON ISD,2022-06-26,022902,57,,,,,,,
SAN VICENTE ISD,2022-06-26,022903,<10,,,,,,,
SILVERTON ISD,2022-06-26,023902,192,,,,,,,
BROOKS COUNTY ISD,2022-06-26,024901,1358,,,,,,,
BANGS ISD,2022-06-26,025901,881,,,,,,,
BROWNWOOD ISD,2022-06-26,025902,3525,,,,,,,
BLANKET ISD,2022-06-26,025904,143,,,,,,,
MAY ISD,2022-06-26,025905,223,,,,,,,
ZEPHYR ISD,2022-06-26,025906,212,,,,,,,
BROOKESMITH ISD,2022-06-26,025908,193,,,,,,,
EARLY ISD,2022-06-26,025909,1151,,,,,,,
CALDWELL ISD,2022-06-26,026901,1836,,,,,,,
SOMERVILLE ISD,2022-06-26,026902,555,,,,,,,
SNOOK ISD,2022-06-26,026903,530,,,,,,,
BURNET CISD,2022-06-26,027903,3311,,,,,,,
MARBLE FALLS ISD,2022-06-26,027904,4054,,,,,,,
LOCKHART ISD,2022-06-26,028902,6224,,,,,,,
LULING ISD,2022-06-26,028903,1469,,,,,,,
PRAIRIE LEA ISD,2022-06-26,028906,190,,,,,,,
CALHOUN COUNTY ISD,2022-06-26,029901,3610,,,,,,,
CROSS PLAINS ISD,2022-06-26,030901,381,,,,,,,
CLYDE CISD,2022-06-26,030902,1445,,,,,,,
BAIRD ISD,2022-06-26,030903,296,,,,,,,
EULA ISD,2022-06-26,030906,469,,,,,,,
UNIVERSITY OF TEXAS RIO GRANDE VALLEY,2022-06-26,031505,0,,,,,,,
BROWNSVILLE ISD,2022-06-26,031901,38617,,,14,18,0,0,32
HARLINGEN CISD,2022-06-26,031903,17116,,,,,,,
LA FERIA ISD,2022-06-26,031905,2938,,,,,,,
LOS FRESNOS CISD,2022-06-26,031906,10385,,,,,,,
POINT ISABEL ISD,2022-06-26,031909,2140,,,,,,,
RIO HONDO ISD,2022-06-26,031911,1632,,,,,,,
SAN BENITO CISD,2022-06-26,031912,9290,,,,0,,,
SANTA MARIA ISD,2022-06-26,031913,540,,,0,1,0,0,1
SANTA ROSA ISD,2022-06-26,031914,855,,,,,,,
SOUTH TEXAS ISD,2022-06-26,031916,4281,,,,,,,
PITTSBURG ISD,2022-06-26,032902,2447,,,,,,,
GROOM ISD,2022-06-26,033901,147,,,,,,,
PANHANDLE ISD,2022-06-26,033902,664,,,,,,,
WHITE DEER ISD,2022-06-26,033904,344,,,,,,,
ATLANTA ISD,2022-06-26,034901,1940,,,,,,,
AVINGER ISD,2022-06-26,034902,140,,,,,,,
HUGHES SPRINGS ISD,2022-06-26,034903,1153,,,,,,,
LINDEN-KILDARE CISD,2022-06-26,034905,639,,,,,,,
MCLEOD ISD,2022-06-26,034906,418,,,,,,,
QUEEN CITY ISD,2022-06-26,034907,942,,,,,,,
BLOOMBURG ISD,2022-06-26,034909,246,,,,,,,
DIMMITT ISD,2022-06-26,035901,1160,,,,,,,
HART ISD,2022-06-26,035902,210,,,,,,,
NAZARETH ISD,2022-06-26,035903,250,,,,,,,
ANAHUAC ISD,2022-06-26,036901,1401,,,,,,,
BARBERS HILL ISD,2022-06-26,036902,6823,,,,,,,
EAST CHAMBERS ISD,2022-06-26,036903,1551,,,,,,,
ALTO ISD,2022-06-26,037901,589,,,,,,,
JACKSONVILLE ISD,2022-06-26,037904,4764,,,,,,,
RUSK ISD,2022-06-26,037907,2031,,,,,,,
NEW SUMMERFIELD ISD,2022-06-26,037908,545,,,,,,,
