District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-01-09,001902,573,NA,NA,10,1,4,7,0
ELKHART ISD,2022-01-09,001903,1185,NA,NA,NA,1,NA,NA,NA
FRANKSTON ISD,2022-01-09,001904,822,NA,NA,10,5,0,15,0
NECHES ISD,2022-01-09,001906,345,NA,NA,8,2,1,4,5
PALESTINE ISD,2022-01-09,001907,3392,NA,NA,21,21,1,27,14
WESTWOOD ISD,2022-01-09,001908,1339,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2022-01-09,001909,369,NA,NA,NA,4,NA,NA,NA
ANDREWS ISD,2022-01-09,002901,4213,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2022-01-09,003801,999,NA,NA,NA,NA,NA,NA,NA
HUDSON ISD,2022-01-09,003902,2834,NA,NA,16,4,0,0,20
LUFKIN ISD,2022-01-09,003903,7523,NA,NA,35,8,0,0,43
HUNTINGTON ISD,2022-01-09,003904,1643,NA,NA,6,6,0,0,12
DIBOLL ISD,2022-01-09,003905,1762,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2022-01-09,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2022-01-09,003907,1452,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2022-01-09,004901,3026,NA,NA,NA,22,NA,NA,NA
ARCHER CITY ISD,2022-01-09,005901,513,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2022-01-09,005902,1133,NA,NA,5,5,0,0,10
WINDTHORST ISD,2022-01-09,005904,531,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2022-01-09,006902,314,NA,NA,NA,1,NA,NA,NA
CHARLOTTE ISD,2022-01-09,007901,401,NA,NA,6,6,0,8,4
JOURDANTON ISD,2022-01-09,007902,1588,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2022-01-09,007904,1762,NA,NA,NA,7,NA,NA,NA
PLEASANTON ISD,2022-01-09,007905,3459,NA,NA,15,6,0,0,21
POTEET ISD,2022-01-09,007906,1690,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2022-01-09,008901,2217,NA,NA,NA,NA,NA,NA,NA
SEALY ISD,2022-01-09,008902,2830,NA,NA,49,12,0,61,0
BRAZOS ISD,2022-01-09,008903,770,NA,NA,NA,3,NA,NA,NA
MULESHOE ISD,2022-01-09,009901,1372,NA,NA,NA,NA,NA,NA,NA
MEDINA ISD,2022-01-09,010901,265,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2022-01-09,010902,2321,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2022-01-09,011901,12101,NA,NA,NA,NA,NA,NA,NA
ELGIN ISD,2022-01-09,011902,4825,NA,NA,26,28,0,0,54
SMITHVILLE ISD,2022-01-09,011904,1824,NA,NA,NA,3,NA,NA,NA
MCDADE ISD,2022-01-09,011905,322,NA,NA,NA,4,NA,NA,NA
SEYMOUR ISD,2022-01-09,012901,632,NA,NA,NA,0,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2022-01-09,013801,410,NA,NA,7,2,0,0,9
BEEVILLE ISD,2022-01-09,013901,3021,NA,NA,NA,8,NA,NA,NA
PAWNEE ISD,2022-01-09,013902,499,NA,NA,NA,1,NA,NA,NA
PETTUS ISD,2022-01-09,013903,373,NA,NA,NA,1,NA,NA,NA
SKIDMORE-TYNAN ISD,2022-01-09,013905,794,NA,NA,NA,7,NA,NA,NA
RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,2022-01-09,014801,1722,NA,NA,NA,11,NA,NA,NA
PRIORITY CHARTER SCHOOLS,2022-01-09,014803,880,NA,NA,NA,NA,NA,NA,NA
ORENDA CHARTER SCHOOL,2022-01-09,014804,1921,NA,NA,NA,6,NA,NA,NA
ACADEMY ISD,2022-01-09,014901,1771,NA,NA,NA,0,NA,NA,NA
BARTLETT ISD,2022-01-09,014902,390,NA,NA,NA,9,NA,NA,NA
BELTON ISD,2022-01-09,014903,13431,NA,NA,112,65,1,101,75
HOLLAND ISD,2022-01-09,014905,646,NA,NA,NA,NA,NA,NA,NA
KILLEEN ISD,2022-01-09,014906,41565,NA,NA,43,31,0,0,74
ROGERS ISD,2022-01-09,014907,901,NA,NA,6,1,0,3,4
SALADO ISD,2022-01-09,014908,2275,NA,NA,NA,NA,NA,NA,NA
TEMPLE ISD,2022-01-09,014909,8522,NA,NA,8,13,0,0,21
TROY ISD,2022-01-09,014910,1639,NA,NA,14,8,0,15,7
POR VIDA ACADEMY,2022-01-09,015801,119,NA,NA,NA,NA,NA,NA,NA
GEORGE GERVIN ACADEMY,2022-01-09,015802,808,NA,NA,NA,NA,NA,NA,NA
NEW FRONTIERS PUBLIC SCHOOLS INC,2022-01-09,015805,150,NA,NA,NA,NA,NA,NA,NA
LEGACY TRADITIONAL SCHOOLS - TEXAS,2022-01-09,015806,350,NA,NA,NA,NA,NA,NA,NA
SOUTHWEST PREPARATORY SCHOOL,2022-01-09,015807,833,NA,NA,NA,NA,NA,NA,NA
INSPIRE ACADEMIES,2022-01-09,015808,643,NA,NA,24,11,1,18,16
BEXAR COUNTY ACADEMY,2022-01-09,015809,272,NA,NA,0,2,0,2,0
POSITIVE SOLUTIONS CHARTER SCHOOL,2022-01-09,015814,84,NA,NA,5,0,0,5,0
HERITAGE ACADEMY,2022-01-09,015815,579,NA,NA,NA,3,NA,NA,NA
