District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-12-05,001902,573,NA,NA,NA,NA,NA,NA,NA
ELKHART ISD,2021-12-05,001903,1185,NA,NA,NA,NA,NA,NA,NA
FRANKSTON ISD,2021-12-05,001904,822,NA,NA,NA,NA,NA,NA,NA
NECHES ISD,2021-12-05,001906,345,NA,NA,NA,NA,NA,NA,NA
PALESTINE ISD,2021-12-05,001907,3392,NA,NA,NA,0,NA,NA,NA
WESTWOOD ISD,2021-12-05,001908,1339,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-12-05,001909,369,NA,NA,NA,NA,NA,NA,NA
ANDREWS ISD,2021-12-05,002901,4213,NA,NA,NA,0,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-12-05,003801,999,NA,NA,NA,NA,NA,NA,NA
HUDSON ISD,2021-12-05,003902,2834,NA,NA,NA,NA,NA,NA,NA
LUFKIN ISD,2021-12-05,003903,7523,NA,NA,NA,NA,NA,NA,NA
HUNTINGTON ISD,2021-12-05,003904,1643,NA,NA,NA,NA,NA,NA,NA
DIBOLL ISD,2021-12-05,003905,1762,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2021-12-05,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-12-05,003907,1452,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-12-05,004901,3026,NA,NA,NA,NA,NA,NA,NA
ARCHER CITY ISD,2021-12-05,005901,513,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-12-05,005902,1133,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2021-12-05,005904,531,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2021-12-05,006902,314,NA,NA,NA,0,NA,NA,NA
CHARLOTTE ISD,2021-12-05,007901,401,NA,NA,NA,NA,NA,NA,NA
JOURDANTON ISD,2021-12-05,007902,1588,NA,NA,NA,0,NA,NA,NA
LYTLE ISD,2021-12-05,007904,1762,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2021-12-05,007905,3459,NA,NA,NA,NA,NA,NA,NA
POTEET ISD,2021-12-05,007906,1690,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2021-12-05,008901,2217,NA,NA,NA,NA,NA,NA,NA
SEALY ISD,2021-12-05,008902,2830,NA,NA,NA,0,NA,NA,NA
BRAZOS ISD,2021-12-05,008903,770,NA,NA,NA,NA,NA,NA,NA
MULESHOE ISD,2021-12-05,009901,1372,NA,NA,NA,6,NA,NA,NA
MEDINA ISD,2021-12-05,010901,265,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2021-12-05,010902,2321,NA,NA,NA,0,NA,NA,NA
BASTROP ISD,2021-12-05,011901,12101,NA,NA,NA,NA,NA,NA,NA
ELGIN ISD,2021-12-05,011902,4825,NA,NA,NA,0,NA,NA,NA
SMITHVILLE ISD,2021-12-05,011904,1824,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2021-12-05,011905,322,NA,NA,NA,NA,NA,NA,NA
SEYMOUR ISD,2021-12-05,012901,632,NA,NA,NA,NA,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2021-12-05,013801,410,NA,NA,NA,NA,NA,NA,NA
BEEVILLE ISD,2021-12-05,013901,3021,NA,NA,NA,0,NA,NA,NA
PAWNEE ISD,2021-12-05,013902,499,NA,NA,NA,NA,NA,NA,NA
PETTUS ISD,2021-12-05,013903,373,NA,NA,NA,1,NA,NA,NA
SKIDMORE-TYNAN ISD,2021-12-05,013905,794,NA,NA,NA,0,NA,NA,NA
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2021-12-05,014801,1722,NA,NA,NA,0,NA,NA,NA
PRIORITY CHARTER SCHOOLS,2021-12-05,014803,880,NA,NA,NA,NA,NA,NA,NA
