District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-11-07,001902,541,NA,NA,NA,NA,NA,NA,NA
ELKHART ISD,2021-11-07,001903,1167,NA,NA,NA,NA,NA,NA,NA
FRANKSTON ISD,2021-11-07,001904,756,NA,NA,NA,NA,NA,NA,NA
NECHES ISD,2021-11-07,001906,338,NA,NA,NA,NA,NA,NA,NA
PALESTINE ISD,2021-11-07,001907,3347,NA,NA,NA,NA,NA,NA,NA
WESTWOOD ISD,2021-11-07,001908,1333,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-11-07,001909,360,NA,NA,NA,NA,NA,NA,NA
ANDREWS ISD,2021-11-07,002901,3992,NA,NA,NA,1,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-11-07,003801,920,NA,NA,NA,NA,NA,NA,NA
HUDSON ISD,2021-11-07,003902,2762,NA,NA,0,1,0,0,1
LUFKIN ISD,2021-11-07,003903,7297,NA,NA,6,0,0,0,6
HUNTINGTON ISD,2021-11-07,003904,1569,NA,NA,NA,1,NA,NA,NA
DIBOLL ISD,2021-11-07,003905,1698,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2021-11-07,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-11-07,003907,1442,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-11-07,004901,2989,NA,NA,NA,0,NA,NA,NA
ARCHER CITY ISD,2021-11-07,005901,502,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-11-07,005902,1064,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2021-11-07,005904,438,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2021-11-07,006902,301,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2021-11-07,007901,419,NA,NA,NA,NA,NA,NA,NA
JOURDANTON ISD,2021-11-07,007902,1517,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2021-11-07,007904,1689,NA,NA,NA,1,NA,NA,NA
PLEASANTON ISD,2021-11-07,007905,3304,NA,NA,NA,1,NA,NA,NA
POTEET ISD,2021-11-07,007906,1518,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2021-11-07,008901,2206,NA,NA,NA,NA,NA,NA,NA
SEALY ISD,2021-11-07,008902,2788,NA,NA,5,0,0,0,5
BRAZOS ISD,2021-11-07,008903,761,NA,NA,NA,2,NA,NA,NA
MULESHOE ISD,2021-11-07,009901,1309,NA,NA,NA,NA,NA,NA,NA
MEDINA ISD,2021-11-07,010901,259,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2021-11-07,010902,2155,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2021-11-07,011901,11423,NA,NA,NA,NA,NA,NA,NA
ELGIN ISD,2021-11-07,011902,4670,NA,NA,NA,0,NA,NA,NA
SMITHVILLE ISD,2021-11-07,011904,1687,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2021-11-07,011905,327,NA,NA,NA,NA,NA,NA,NA
SEYMOUR ISD,2021-11-07,012901,625,NA,NA,NA,NA,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2021-11-07,013801,376,NA,NA,NA,NA,NA,NA,NA
BEEVILLE ISD,2021-11-07,013901,3072,NA,NA,NA,NA,NA,NA,NA
PAWNEE ISD,2021-11-07,013902,296,NA,NA,NA,NA,NA,NA,NA
PETTUS ISD,2021-11-07,013903,361,NA,NA,NA,NA,NA,NA,NA
SKIDMORE-TYNAN ISD,2021-11-07,013905,792,NA,NA,NA,NA,NA,NA,NA
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2021-11-07,014801,1943,NA,NA,NA,0,NA,NA,NA
PRIORITY CHARTER SCHOOLS,2021-11-07,014803,846,NA,NA,NA,NA,NA,NA,NA
ORENDA CHARTER SCHOOL,2021-11-07,014804,1867,NA,NA,NA,0,NA,NA,NA
ACADEMY ISD,2021-11-07,014901,1730,NA,NA,0,1,0,0,1
BARTLETT ISD,2021-11-07,014902,386,NA,NA,NA,NA,NA,NA,NA
BELTON ISD,2021-11-07,014903,12757,NA,NA,15,5,3,7,10
HOLLAND ISD,2021-11-07,014905,656,NA,NA,NA,NA,NA,NA,NA
KILLEEN ISD,2021-11-07,014906,43634,NA,NA,33,9,0,0,42
ROGERS ISD,2021-11-07,014907,890,NA,NA,NA,NA,NA,NA,NA
SALADO ISD,2021-11-07,014908,2141,NA,NA,NA,NA,NA,NA,NA
TEMPLE ISD,2021-11-07,014909,8363,NA,NA,NA,1,NA,NA,NA
TROY ISD,2021-11-07,014910,1576,NA,NA,NA,3,NA,NA,NA
POR VIDA ACADEMY,2021-11-07,015801,134,NA,NA,NA,NA,NA,NA,NA
GEORGE GERVIN ACADEMY,2021-11-07,015802,811,NA,NA,NA,NA,NA,NA,NA
NEW FRONTIERS PUBLIC SCHOOLS INC,2021-11-07,015805,474,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF EXCELLENCE IN EDUCATION,2021-11-07,015806,346,NA,NA,NA,NA,NA,NA,NA
SOUTHWEST PREPARATORY SCHOOL,2021-11-07,015807,860,NA,NA,NA,NA,NA,NA,NA
INSPIRE ACADEMIES,2021-11-07,015808,575,NA,NA,NA,NA,NA,NA,NA
BEXAR COUNTY ACADEMY,2021-11-07,015809,258,NA,NA,NA,NA,NA,NA,NA
POSITIVE SOLUTIONS CHARTER SCHOOL,2021-11-07,015814,121,NA,NA,NA,NA,NA,NA,NA
HERITAGE ACADEMY,2021-11-07,015815,611,NA,NA,NA,NA,NA,NA,NA
JUBILEE ACADEMIES,2021-11-07,015822,6124,NA,NA,8,0,8,0,0
LIGHTHOUSE PUBLIC SCHOOLS,2021-11-07,015825,287,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF SCIENCE AND TECHNOLOGY,2021-11-07,015827,3243,NA,NA,NA,NA,NA,NA,NA
HARMONY SCIENCE ACAD (SAN ANTONIO),2021-11-07,015828,4473,NA,NA,NA,0,NA,NA,NA
BROOKS ACADEMIES OF TEXAS,2021-11-07,015830,2844,NA,NA,NA,0,NA,NA,NA
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2021-11-07,015831,4792,NA,NA,NA,0,NA,NA,NA
