District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-05-01,001902,573,NA,NA,NA,NA,NA,NA,NA
ELKHART ISD,2022-05-01,001903,1185,NA,NA,NA,NA,NA,NA,NA
FRANKSTON ISD,2022-05-01,001904,822,NA,NA,NA,NA,NA,NA,NA
NECHES ISD,2022-05-01,001906,345,NA,NA,NA,NA,NA,NA,NA
PALESTINE ISD,2022-05-01,001907,3392,NA,NA,NA,NA,NA,NA,NA
WESTWOOD ISD,2022-05-01,001908,1339,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2022-05-01,001909,369,NA,NA,NA,NA,NA,NA,NA
ANDREWS ISD,2022-05-01,002901,4213,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2022-05-01,003801,999,NA,NA,NA,NA,NA,NA,NA
HUDSON ISD,2022-05-01,003902,2834,NA,NA,NA,NA,NA,NA,NA
LUFKIN ISD,2022-05-01,003903,7523,NA,NA,NA,NA,NA,NA,NA
HUNTINGTON ISD,2022-05-01,003904,1643,NA,NA,NA,NA,NA,NA,NA
DIBOLL ISD,2022-05-01,003905,1762,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2022-05-01,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2022-05-01,003907,1452,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2022-05-01,004901,3026,NA,NA,NA,NA,NA,NA,NA
ARCHER CITY ISD,2022-05-01,005901,513,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2022-05-01,005902,1133,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2022-05-01,005904,531,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2022-05-01,006902,314,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2022-05-01,007901,401,NA,NA,NA,NA,NA,NA,NA
JOURDANTON ISD,2022-05-01,007902,1588,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2022-05-01,007904,1762,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2022-05-01,007905,3459,NA,NA,NA,NA,NA,NA,NA
POTEET ISD,2022-05-01,007906,1690,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2022-05-01,008901,2217,NA,NA,NA,NA,NA,NA,NA
SEALY ISD,2022-05-01,008902,2830,NA,NA,NA,0,NA,NA,NA
BRAZOS ISD,2022-05-01,008903,770,NA,NA,NA,NA,NA,NA,NA
MULESHOE ISD,2022-05-01,009901,1372,NA,NA,NA,NA,NA,NA,NA
MEDINA ISD,2022-05-01,010901,265,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2022-05-01,010902,2321,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2022-05-01,011901,12101,NA,NA,NA,NA,NA,NA,NA
ELGIN ISD,2022-05-01,011902,4825,NA,NA,NA,NA,NA,NA,NA
SMITHVILLE ISD,2022-05-01,011904,1824,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2022-05-01,011905,322,NA,NA,NA,NA,NA,NA,NA
SEYMOUR ISD,2022-05-01,012901,632,NA,NA,NA,NA,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2022-05-01,013801,410,NA,NA,NA,2,NA,NA,NA
BEEVILLE ISD,2022-05-01,013901,3021,NA,NA,NA,0,NA,NA,NA
PAWNEE ISD,2022-05-01,013902,499,NA,NA,NA,NA,NA,NA,NA
PETTUS ISD,2022-05-01,013903,373,NA,NA,NA,NA,NA,NA,NA
SKIDMORE-TYNAN ISD,2022-05-01,013905,794,NA,NA,NA,NA,NA,NA,NA
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2022-05-01,014801,1722,NA,NA,NA,NA,NA,NA,NA
PRIORITY CHARTER SCHOOLS,2022-05-01,014803,880,NA,NA,NA,NA,NA,NA,NA
ORENDA CHARTER SCHOOL,2022-05-01,014804,1921,NA,NA,NA,0,NA,NA,NA
ACADEMY ISD,2022-05-01,014901,1771,NA,NA,NA,NA,NA,NA,NA
BARTLETT ISD,2022-05-01,014902,390,NA,NA,NA,NA,NA,NA,NA
BELTON ISD,2022-05-01,014903,13431,NA,NA,NA,0,NA,NA,NA
HOLLAND ISD,2022-05-01,014905,646,NA,NA,NA,NA,NA,NA,NA
KILLEEN ISD,2022-05-01,014906,41565,NA,NA,NA,1,NA,NA,NA
ROGERS ISD,2022-05-01,014907,901,NA,NA,NA,NA,NA,NA,NA
SALADO ISD,2022-05-01,014908,2275,NA,NA,NA,NA,NA,NA,NA
TEMPLE ISD,2022-05-01,014909,8522,NA,NA,NA,NA,NA,NA,NA
TROY ISD,2022-05-01,014910,1639,NA,NA,NA,0,NA,NA,NA
POR VIDA ACADEMY,2022-05-01,015801,119,NA,NA,NA,NA,NA,NA,NA
GEORGE GERVIN ACADEMY,2022-05-01,015802,808,NA,NA,NA,NA,NA,NA,NA
NEW FRONTIERS PUBLIC SCHOOLS INC,2022-05-01,015805,150,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF EXCELLENCE IN EDUCATION,2022-05-01,015806,350,NA,NA,NA,NA,NA,NA,NA
SOUTHWEST PREPARATORY SCHOOL,2022-05-01,015807,833,NA,NA,NA,NA,NA,NA,NA
INSPIRE ACADEMIES,2022-05-01,015808,643,NA,NA,NA,1,NA,NA,NA
BEXAR COUNTY ACADEMY,2022-05-01,015809,272,NA,NA,NA,NA,NA,NA,NA
POSITIVE SOLUTIONS CHARTER SCHOOL,2022-05-01,015814,84,NA,NA,NA,NA,NA,NA,NA
HERITAGE ACADEMY,2022-05-01,015815,579,NA,NA,NA,NA,NA,NA,NA
JUBILEE ACADEMIES,2022-05-01,015822,5856,NA,NA,NA,NA,NA,NA,NA
LIGHTHOUSE PUBLIC SCHOOLS,2022-05-01,015825,399,NA,NA,0,1,0,0,1
SCHOOL OF SCIENCE AND TECHNOLOGY,2022-05-01,015827,4020,NA,NA,NA,NA,NA,NA,NA
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,2022-05-01,015828,4487,NA,NA,NA,1,NA,NA,NA
BROOKS ACADEMIES OF TEXAS,2022-05-01,015830,3171,NA,NA,NA,0,NA,NA,NA
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2022-05-01,015831,5334,NA,NA,NA,NA,NA,NA,NA
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,2022-05-01,015833,90,NA,NA,NA,NA,NA,NA,NA
BASIS TEXAS,2022-05-01,015834,3166,NA,NA,NA,NA,NA,NA,NA
GREAT HEARTS TEXAS,2022-05-01,015835,7268,NA,NA,NA,2,NA,NA,NA
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,2022-05-01,015836,491,NA,NA,NA,NA,NA,NA,NA
COMPASS ROSE PUBLIC SCHOOLS,2022-05-01,015838,1872,NA,NA,NA,NA,NA,NA,NA
PROMESA ACADEMY CHARTER SCHOOL,2022-05-01,015839,280,NA,NA,NA,NA,NA,NA,NA
SAN ANTONIO PREPARATORY SCHOOLS,2022-05-01,015840,206,NA,NA,NA,NA,NA,NA,NA
THE GATHERING PLACE,2022-05-01,015841,462,NA,NA,NA,NA,NA,NA,NA
ROYAL PUBLIC SCHOOLS,2022-05-01,015842,108,NA,NA,NA,NA,NA,NA,NA
PRELUDE PREPARATORY CHARTER SCHOOL,2022-05-01,015843,28,NA,NA,NA,NA,NA,NA,NA
