District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-06-19,001902,573,,,,,,,
ELKHART ISD,2022-06-19,001903,1185,,,,,,,
FRANKSTON ISD,2022-06-19,001904,822,,,,,,,
NECHES ISD,2022-06-19,001906,345,,,,,,,
PALESTINE ISD,2022-06-19,001907,3392,,,,,,,
WESTWOOD ISD,2022-06-19,001908,1339,,,,,,,
SLOCUM ISD,2022-06-19,001909,369,,,,,,,
ANDREWS ISD,2022-06-19,002901,4213,,,,,,,
PINEYWOODS COMMUNITY ACADEMY,2022-06-19,003801,999,,,,,,,
HUDSON ISD,2022-06-19,003902,2834,,,,,,,
LUFKIN ISD,2022-06-19,003903,7523,,,,,,,
HUNTINGTON ISD,2022-06-19,003904,1643,,,,,,,
DIBOLL ISD,2022-06-19,003905,1762,,,,,,,
ZAVALLA ISD,2022-06-19,003906,308,,,,,,,
CENTRAL ISD,2022-06-19,003907,1452,,,,,,,
ARANSAS COUNTY ISD,2022-06-19,004901,3026,,,,,,,
ARCHER CITY ISD,2022-06-19,005901,513,,,,,,,
HOLLIDAY ISD,2022-06-19,005902,1133,,,,,,,
WINDTHORST ISD,2022-06-19,005904,531,,,,,,,
CLAUDE ISD,2022-06-19,006902,314,,,,,,,
CHARLOTTE ISD,2022-06-19,007901,401,,,,,,,
JOURDANTON ISD,2022-06-19,007902,1588,,,,,,,
LYTLE ISD,2022-06-19,007904,1762,,,,,,,
PLEASANTON ISD,2022-06-19,007905,3459,,,,,,,
POTEET ISD,2022-06-19,007906,1690,,,,,,,
BELLVILLE ISD,2022-06-19,008901,2217,,,,,,,
SEALY ISD,2022-06-19,008902,2830,,,,,,,
BRAZOS ISD,2022-06-19,008903,770,,,,,,,
MULESHOE ISD,2022-06-19,009901,1372,,,,,,,
MEDINA ISD,2022-06-19,010901,265,,,,,,,
BANDERA ISD,2022-06-19,010902,2321,,,,,,,
BASTROP ISD,2022-06-19,011901,12101,,,,,,,
ELGIN ISD,2022-06-19,011902,4825,,,,,,,
SMITHVILLE ISD,2022-06-19,011904,1824,,,,,,,
MCDADE ISD,2022-06-19,011905,322,,,,,,,
SEYMOUR ISD,2022-06-19,012901,632,,,,,,,
ST MARY'S ACADEMY CHARTER SCHOOL,2022-06-19,013801,410,,,,,,,
BEEVILLE ISD,2022-06-19,013901,3021,,,,,,,
PAWNEE ISD,2022-06-19,013902,499,,,,,,,
PETTUS ISD,2022-06-19,013903,373,,,,,,,
SKIDMORE-TYNAN ISD,2022-06-19,013905,794,,,,,,,
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2022-06-19,014801,1722,,,0,1,0,0,1
PRIORITY CHARTER SCHOOLS,2022-06-19,014803,880,,,,,,,
ORENDA CHARTER SCHOOL,2022-06-19,014804,1921,,,,,,,
ACADEMY ISD,2022-06-19,014901,1771,,,,,,,
BARTLETT ISD,2022-06-19,014902,390,,,,,,,
BELTON ISD,2022-06-19,014903,13431,,,0,1,0,0,1
HOLLAND ISD,2022-06-19,014905,646,,,,,,,
KILLEEN ISD,2022-06-19,014906,41565,,,,1,,,
ROGERS ISD,2022-06-19,014907,901,,,,,,,
SALADO ISD,2022-06-19,014908,2275,,,,,,,
TEMPLE ISD,2022-06-19,014909,8522,,,,,,,
TROY ISD,2022-06-19,014910,1639,,,,,,,
POR VIDA ACADEMY,2022-06-19,015801,119,,,,,,,
GEORGE GERVIN ACADEMY,2022-06-19,015802,808,,,,,,,
NEW FRONTIERS PUBLIC SCHOOLS INC,2022-06-19,015805,150,,,,,,,
SCHOOL OF EXCELLENCE IN EDUCATION,2022-06-19,015806,350,,,,,,,
SOUTHWEST PREPARATORY SCHOOL,2022-06-19,015807,833,,,,,,,
INSPIRE ACADEMIES,2022-06-19,015808,643,,,,,,,
BEXAR COUNTY ACADEMY,2022-06-19,015809,272,,,,,,,
POSITIVE SOLUTIONS CHARTER SCHOOL,2022-06-19,015814,84,,,,,,,
HERITAGE ACADEMY,2022-06-19,015815,579,,,,,,,
JUBILEE ACADEMIES,2022-06-19,015822,5856,,,,,,,
LIGHTHOUSE PUBLIC SCHOOLS,2022-06-19,015825,399,,,,,,,
SCHOOL OF SCIENCE AND TECHNOLOGY,2022-06-19,015827,4020,,,,,,,
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,2022-06-19,015828,4487,,,,,,,
BROOKS ACADEMIES OF TEXAS,2022-06-19,015830,3171,,,,,,,
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2022-06-19,015831,5334,,,,,,,
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,2022-06-19,015833,90,,,,,,,
BASIS TEXAS,2022-06-19,015834,3166,,,,,,,
GREAT HEARTS TEXAS,2022-06-19,015835,7268,,,,,,,
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,2022-06-19,015836,491,,,,,,,
COMPASS ROSE PUBLIC SCHOOLS,2022-06-19,015838,1872,,,,,,,
