District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-02-27,001902,573,NA,NA,NA,NA,NA,NA,NA
ELKHART ISD,2022-02-27,001903,1185,NA,NA,NA,NA,NA,NA,NA
FRANKSTON ISD,2022-02-27,001904,822,NA,NA,NA,NA,NA,NA,NA
NECHES ISD,2022-02-27,001906,345,NA,NA,NA,NA,NA,NA,NA
PALESTINE ISD,2022-02-27,001907,3392,NA,NA,NA,NA,NA,NA,NA
WESTWOOD ISD,2022-02-27,001908,1339,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2022-02-27,001909,369,NA,NA,NA,NA,NA,NA,NA
ANDREWS ISD,2022-02-27,002901,4213,NA,NA,NA,0,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2022-02-27,003801,999,NA,NA,NA,NA,NA,NA,NA
HUDSON ISD,2022-02-27,003902,2834,NA,NA,NA,NA,NA,NA,NA
LUFKIN ISD,2022-02-27,003903,7523,NA,NA,11,1,0,0,12
HUNTINGTON ISD,2022-02-27,003904,1643,NA,NA,NA,NA,NA,NA,NA
DIBOLL ISD,2022-02-27,003905,1762,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2022-02-27,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2022-02-27,003907,1452,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2022-02-27,004901,3026,NA,NA,NA,NA,NA,NA,NA
ARCHER CITY ISD,2022-02-27,005901,513,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2022-02-27,005902,1133,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2022-02-27,005904,531,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2022-02-27,006902,314,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2022-02-27,007901,401,NA,NA,NA,NA,NA,NA,NA
JOURDANTON ISD,2022-02-27,007902,1588,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2022-02-27,007904,1762,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2022-02-27,007905,3459,NA,NA,NA,0,NA,NA,NA
POTEET ISD,2022-02-27,007906,1690,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2022-02-27,008901,2217,NA,NA,NA,NA,NA,NA,NA
SEALY ISD,2022-02-27,008902,2830,NA,NA,NA,1,NA,NA,NA
BRAZOS ISD,2022-02-27,008903,770,NA,NA,NA,NA,NA,NA,NA
