District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-01-23,001902,573,NA,NA,NA,4,NA,NA,NA
ELKHART ISD,2022-01-23,001903,1185,NA,NA,NA,18,NA,NA,NA
FRANKSTON ISD,2022-01-23,001904,822,NA,NA,25,12,0,0,37
NECHES ISD,2022-01-23,001906,345,NA,NA,NA,2,NA,NA,NA
PALESTINE ISD,2022-01-23,001907,3392,NA,NA,47,11,0,0,58
WESTWOOD ISD,2022-01-23,001908,1339,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2022-01-23,001909,369,NA,NA,NA,1,NA,NA,NA
ANDREWS ISD,2022-01-23,002901,4213,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2022-01-23,003801,999,NA,NA,31,14,7,0,38
HUDSON ISD,2022-01-23,003902,2834,NA,NA,96,26,0,0,122
LUFKIN ISD,2022-01-23,003903,7523,NA,NA,NA,NA,NA,NA,NA
HUNTINGTON ISD,2022-01-23,003904,1643,NA,NA,17,8,0,0,25
DIBOLL ISD,2022-01-23,003905,1762,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2022-01-23,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2022-01-23,003907,1452,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2022-01-23,004901,3026,NA,NA,69,36,0,0,105
ARCHER CITY ISD,2022-01-23,005901,513,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2022-01-23,005902,1133,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2022-01-23,005904,531,NA,NA,NA,2,NA,NA,NA
CLAUDE ISD,2022-01-23,006902,314,NA,NA,NA,0,NA,NA,NA
CHARLOTTE ISD,2022-01-23,007901,401,NA,NA,35,10,0,1,44
JOURDANTON ISD,2022-01-23,007902,1588,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2022-01-23,007904,1762,NA,NA,NA,11,NA,NA,NA
PLEASANTON ISD,2022-01-23,007905,3459,NA,NA,49,17,0,0,66
POTEET ISD,2022-01-23,007906,1690,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2022-01-23,008901,2217,NA,NA,NA,NA,NA,NA,NA
SEALY ISD,2022-01-23,008902,2830,NA,NA,79,20,0,3,96
BRAZOS ISD,2022-01-23,008903,770,NA,NA,23,4,0,0,27
MULESHOE ISD,2022-01-23,009901,1372,NA,NA,NA,NA,NA,NA,NA
MEDINA ISD,2022-01-23,010901,265,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2022-01-23,010902,2321,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2022-01-23,011901,12101,NA,NA,NA,86,NA,NA,NA
ELGIN ISD,2022-01-23,011902,4825,NA,NA,134,50,0,0,184
SMITHVILLE ISD,2022-01-23,011904,1824,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2022-01-23,011905,322,NA,NA,7,4,0,0,11
SEYMOUR ISD,2022-01-23,012901,632,NA,NA,18,6,0,0,24
ST MARY'S ACADEMY CHARTER SCHOOL,2022-01-23,013801,410,NA,NA,NA,5,NA,NA,NA
BEEVILLE ISD,2022-01-23,013901,3021,NA,NA,NA,NA,NA,NA,NA
PAWNEE ISD,2022-01-23,013902,499,NA,NA,7,3,0,5,5
PETTUS ISD,2022-01-23,013903,373,NA,NA,NA,8,NA,NA,NA
SKIDMORE-TYNAN ISD,2022-01-23,013905,794,NA,NA,30,13,0,0,43
RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,2022-01-23,014801,1722,NA,NA,23,9,1,31,0
PRIORITY CHARTER SCHOOLS,2022-01-23,014803,880,NA,NA,NA,0,NA,NA,NA
ORENDA CHARTER SCHOOL,2022-01-23,014804,1921,NA,NA,NA,12,NA,NA,NA
ACADEMY ISD,2022-01-23,014901,1771,NA,NA,16,10,0,0,26
BARTLETT ISD,2022-01-23,014902,390,NA,NA,10,0,0,0,10
BELTON ISD,2022-01-23,014903,13431,NA,NA,NA,36,NA,NA,NA
HOLLAND ISD,2022-01-23,014905,646,NA,NA,NA,NA,NA,NA,NA
KILLEEN ISD,2022-01-23,014906,41565,NA,NA,1199,404,0,3,1600
ROGERS ISD,2022-01-23,014907,901,NA,NA,NA,5,NA,NA,NA
SALADO ISD,2022-01-23,014908,2275,NA,NA,NA,NA,NA,NA,NA
TEMPLE ISD,2022-01-23,014909,8522,NA,NA,131,78,0,0,209
TROY ISD,2022-01-23,014910,1639,NA,NA,54,13,0,0,67
POR VIDA ACADEMY,2022-01-23,015801,119,NA,NA,NA,NA,NA,NA,NA
GEORGE GERVIN ACADEMY,2022-01-23,015802,808,NA,NA,NA,NA,NA,NA,NA
NEW FRONTIERS PUBLIC SCHOOLS INC,2022-01-23,015805,150,NA,NA,NA,NA,NA,NA,NA
LEGACY TRADITIONAL SCHOOLS - TEXAS,2022-01-23,015806,350,NA,NA,NA,5,NA,NA,NA
SOUTHWEST PREPARATORY SCHOOL,2022-01-23,015807,833,NA,NA,NA,NA,NA,NA,NA
INSPIRE ACADEMIES,2022-01-23,015808,643,NA,NA,5,10,0,1,14
BEXAR COUNTY ACADEMY,2022-01-23,015809,272,NA,NA,14,5,0,0,19
POSITIVE SOLUTIONS CHARTER SCHOOL,2022-01-23,015814,84,NA,NA,NA,3,NA,NA,NA
HERITAGE ACADEMY,2022-01-23,015815,579,NA,NA,NA,4,NA,NA,NA
JUBILEE ACADEMIES,2022-01-23,015822,5856,NA,NA,NA,NA,NA,NA,NA
LIGHTHOUSE PUBLIC SCHOOLS,2022-01-23,015825,399,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF SCIENCE AND TECHNOLOGY,2022-01-23,015827,4020,NA,NA,18,8,0,0,26
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,2022-01-23,015828,4487,NA,NA,NA,1,NA,NA,NA
BROOKS ACADEMIES OF TEXAS,2022-01-23,015830,3171,NA,NA,50,8,0,2,56
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2022-01-23,015831,5334,NA,NA,NA,0,NA,NA,NA
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,2022-01-23,015833,90,NA,NA,NA,NA,NA,NA,NA
BASIS TEXAS,2022-01-23,015834,3166,NA,NA,74,7,0,0,81
GREAT HEARTS TEXAS,2022-01-23,015835,7268,NA,NA,193,44,0,95,142
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,2022-01-23,015836,491,NA,NA,21,0,0,0,21
COMPASS ROSE PUBLIC SCHOOLS,2022-01-23,015838,1872,NA,NA,NA,NA,NA,NA,NA
PROMESA ACADEMY CHARTER SCHOOL,2022-01-23,015839,280,NA,NA,NA,NA,NA,NA,NA
SAN ANTONIO PREPARATORY SCHOOLS,2022-01-23,015840,206,NA,NA,NA,NA,NA,NA,NA
THE GATHERING PLACE,2022-01-23,015841,462,NA,NA,NA,NA,NA,NA,NA
ROYAL PUBLIC SCHOOLS,2022-01-23,015842,108,NA,NA,6,3,0,0,9
PRELUDE PREPARATORY CHARTER SCHOOL,2022-01-23,015843,28,NA,NA,NA,NA,NA,NA,NA
ALAMO HEIGHTS ISD,2022-01-23,015901,4834,NA,NA,173,32,0,205,0
HARLANDALE ISD,2022-01-23,015904,12158,NA,NA,NA,3,NA,NA,NA
EDGEWOOD ISD,2022-01-23,015905,0,NA,NA,NA,8,NA,NA,NA
RANDOLPH FIELD ISD,2022-01-23,015906,1474,NA,NA,NA,NA,NA,NA,NA
SAN ANTONIO ISD,2022-01-23,015907,45456,NA,NA,995,89,0,0,1084
SOUTH SAN ANTONIO ISD,2022-01-23,015908,8045,NA,NA,294,30,0,0,324
SOMERSET ISD,2022-01-23,015909,4031,NA,NA,193,19,0,7,205
NORTH EAST ISD,2022-01-23,015910,60205,NA,NA,1029,217,0,0,1246
EAST CENTRAL ISD,2022-01-23,015911,10023,NA,NA,351,70,0,0,421
SOUTHWEST ISD,2022-01-23,015912,13325,NA,NA,501,99,2,124,474
LACKLAND ISD,2022-01-23,015913,924,NA,NA,NA,NA,NA,NA,NA
FT SAM HOUSTON ISD,2022-01-23,015914,1647,NA,NA,35,0,1,10,24
NORTHSIDE ISD,2022-01-23,015915,103115,NA,NA,444,81,6,124,395
JUDSON ISD,2022-01-23,015916,24448,NA,NA,346,152,129,369,0
SOUTHSIDE ISD,2022-01-23,015917,5643,NA,NA,NA,0,NA,NA,NA
JOHNSON CITY ISD,2022-01-23,016901,693,NA,NA,51,10,0,0,61
BLANCO ISD,2022-01-23,016902,1072,NA,NA,31,7,0,2,36
