District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-10-31,001902,541,NA,NA,NA,NA,NA,NA,NA
ELKHART ISD,2021-10-31,001903,1167,NA,NA,NA,0,NA,NA,NA
FRANKSTON ISD,2021-10-31,001904,756,NA,NA,NA,NA,NA,NA,NA
NECHES ISD,2021-10-31,001906,338,NA,NA,NA,NA,NA,NA,NA
PALESTINE ISD,2021-10-31,001907,3347,NA,NA,0,2,0,0,2
WESTWOOD ISD,2021-10-31,001908,1333,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-10-31,001909,360,NA,NA,NA,0,NA,NA,NA
ANDREWS ISD,2021-10-31,002901,3992,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-10-31,003801,920,NA,NA,NA,0,NA,NA,NA
HUDSON ISD,2021-10-31,003902,2762,NA,NA,NA,0,NA,NA,NA
LUFKIN ISD,2021-10-31,003903,7297,NA,NA,NA,NA,NA,NA,NA
HUNTINGTON ISD,2021-10-31,003904,1569,NA,NA,NA,NA,NA,NA,NA
DIBOLL ISD,2021-10-31,003905,1698,NA,NA,5,0,0,4,1
ZAVALLA ISD,2021-10-31,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-10-31,003907,1442,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-10-31,004901,2989,NA,NA,NA,NA,NA,NA,NA
ARCHER CITY ISD,2021-10-31,005901,502,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-10-31,005902,1064,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2021-10-31,005904,438,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2021-10-31,006902,301,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2021-10-31,007901,419,NA,NA,NA,NA,NA,NA,NA
JOURDANTON ISD,2021-10-31,007902,1517,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2021-10-31,007904,1689,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2021-10-31,007905,3304,NA,NA,0,4,0,0,4
POTEET ISD,2021-10-31,007906,1518,NA,NA,NA,0,NA,NA,NA
BELLVILLE ISD,2021-10-31,008901,2206,NA,NA,NA,NA,NA,NA,NA
SEALY ISD,2021-10-31,008902,2788,NA,NA,5,0,0,0,5
BRAZOS ISD,2021-10-31,008903,761,NA,NA,NA,NA,NA,NA,NA
MULESHOE ISD,2021-10-31,009901,1309,NA,NA,NA,NA,NA,NA,NA
MEDINA ISD,2021-10-31,010901,259,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2021-10-31,010902,2155,NA,NA,NA,0,NA,NA,NA
BASTROP ISD,2021-10-31,011901,11423,NA,NA,NA,NA,NA,NA,NA
ELGIN ISD,2021-10-31,011902,4670,NA,NA,NA,0,NA,NA,NA
SMITHVILLE ISD,2021-10-31,011904,1687,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2021-10-31,011905,327,NA,NA,NA,NA,NA,NA,NA
SEYMOUR ISD,2021-10-31,012901,625,NA,NA,NA,NA,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2021-10-31,013801,376,NA,NA,NA,NA,NA,NA,NA
BEEVILLE ISD,2021-10-31,013901,3072,NA,NA,NA,NA,NA,NA,NA
PAWNEE ISD,2021-10-31,013902,296,NA,NA,NA,NA,NA,NA,NA
PETTUS ISD,2021-10-31,013903,361,NA,NA,NA,NA,NA,NA,NA
SKIDMORE-TYNAN ISD,2021-10-31,013905,792,NA,NA,0,1,0,0,1
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2021-10-31,014801,1943,NA,NA,NA,NA,NA,NA,NA
PRIORITY CHARTER SCHOOLS,2021-10-31,014803,846,NA,NA,NA,NA,NA,NA,NA
ORENDA CHARTER SCHOOL,2021-10-31,014804,1867,NA,NA,NA,NA,NA,NA,NA
ACADEMY ISD,2021-10-31,014901,1730,NA,NA,NA,NA,NA,NA,NA
BARTLETT ISD,2021-10-31,014902,386,NA,NA,NA,NA,NA,NA,NA
BELTON ISD,2021-10-31,014903,12757,NA,NA,16,1,3,4,10
