District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-06-12,001902,573,,,,,,,
ELKHART ISD,2022-06-12,001903,1185,,,,,,,
FRANKSTON ISD,2022-06-12,001904,822,,,,,,,
NECHES ISD,2022-06-12,001906,345,,,,,,,
PALESTINE ISD,2022-06-12,001907,3392,,,,,,,
WESTWOOD ISD,2022-06-12,001908,1339,,,,,,,
SLOCUM ISD,2022-06-12,001909,369,,,,,,,
ANDREWS ISD,2022-06-12,002901,4213,,,,,,,
PINEYWOODS COMMUNITY ACADEMY,2022-06-12,003801,999,,,,,,,
HUDSON ISD,2022-06-12,003902,2834,,,,,,,
LUFKIN ISD,2022-06-12,003903,7523,,,0,1,0,0,1
HUNTINGTON ISD,2022-06-12,003904,1643,,,,,,,
DIBOLL ISD,2022-06-12,003905,1762,,,,,,,
ZAVALLA ISD,2022-06-12,003906,308,,,,,,,
CENTRAL ISD,2022-06-12,003907,1452,,,,,,,
ARANSAS COUNTY ISD,2022-06-12,004901,3026,,,,,,,
ARCHER CITY ISD,2022-06-12,005901,513,,,,,,,
HOLLIDAY ISD,2022-06-12,005902,1133,,,,,,,
WINDTHORST ISD,2022-06-12,005904,531,,,,,,,
CLAUDE ISD,2022-06-12,006902,314,,,,,,,
CHARLOTTE ISD,2022-06-12,007901,401,,,,,,,
JOURDANTON ISD,2022-06-12,007902,1588,,,,,,,
LYTLE ISD,2022-06-12,007904,1762,,,,,,,
PLEASANTON ISD,2022-06-12,007905,3459,,,,,,,
POTEET ISD,2022-06-12,007906,1690,,,,,,,
BELLVILLE ISD,2022-06-12,008901,2217,,,,,,,
SEALY ISD,2022-06-12,008902,2830,,,,,,,
BRAZOS ISD,2022-06-12,008903,770,,,,,,,
MULESHOE ISD,2022-06-12,009901,1372,,,,,,,
MEDINA ISD,2022-06-12,010901,265,,,,,,,
BANDERA ISD,2022-06-12,010902,2321,,,,,,,
BASTROP ISD,2022-06-12,011901,12101,,,,,,,
ELGIN ISD,2022-06-12,011902,4825,,,,,,,
SMITHVILLE ISD,2022-06-12,011904,1824,,,,,,,
MCDADE ISD,2022-06-12,011905,322,,,,,,,
SEYMOUR ISD,2022-06-12,012901,632,,,,,,,
ST MARY'S ACADEMY CHARTER SCHOOL,2022-06-12,013801,410,,,,,,,
BEEVILLE ISD,2022-06-12,013901,3021,,,,,,,
PAWNEE ISD,2022-06-12,013902,499,,,,,,,
PETTUS ISD,2022-06-12,013903,373,,,,,,,
SKIDMORE-TYNAN ISD,2022-06-12,013905,794,,,,,,,
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2022-06-12,014801,1722,,,,,,,
PRIORITY CHARTER SCHOOLS,2022-06-12,014803,880,,,,,,,
ORENDA CHARTER SCHOOL,2022-06-12,014804,1921,,,,2,,,
ACADEMY ISD,2022-06-12,014901,1771,,,,,,,
BARTLETT ISD,2022-06-12,014902,390,,,,,,,
BELTON ISD,2022-06-12,014903,13431,,,0,2,0,0,2
HOLLAND ISD,2022-06-12,014905,646,,,,,,,
KILLEEN ISD,2022-06-12,014906,41565,,,,1,,,
ROGERS ISD,2022-06-12,014907,901,,,,,,,
SALADO ISD,2022-06-12,014908,2275,,,,,,,
TEMPLE ISD,2022-06-12,014909,8522,,,,,,,
TROY ISD,2022-06-12,014910,1639,,,,,,,
POR VIDA ACADEMY,2022-06-12,015801,119,,,,,,,
GEORGE GERVIN ACADEMY,2022-06-12,015802,808,,,,,,,
NEW FRONTIERS PUBLIC SCHOOLS INC,2022-06-12,015805,150,,,,,,,
SCHOOL OF EXCELLENCE IN EDUCATION,2022-06-12,015806,350,,,,,,,
SOUTHWEST PREPARATORY SCHOOL,2022-06-12,015807,833,,,,,,,
INSPIRE ACADEMIES,2022-06-12,015808,643,,,,,,,
BEXAR COUNTY ACADEMY,2022-06-12,015809,272,,,,,,,
POSITIVE SOLUTIONS CHARTER SCHOOL,2022-06-12,015814,84,,,,,,,
HERITAGE ACADEMY,2022-06-12,015815,579,,,,,,,
JUBILEE ACADEMIES,2022-06-12,015822,5856,,,,,,,
LIGHTHOUSE PUBLIC SCHOOLS,2022-06-12,015825,399,,,,,,,
SCHOOL OF SCIENCE AND TECHNOLOGY,2022-06-12,015827,4020,,,,,,,
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,2022-06-12,015828,4487,,,,,,,
BROOKS ACADEMIES OF TEXAS,2022-06-12,015830,3171,,,,,,,
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2022-06-12,015831,5334,,,,,,,
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,2022-06-12,015833,90,,,,,,,
BASIS TEXAS,2022-06-12,015834,3166,,,,,,,
GREAT HEARTS TEXAS,2022-06-12,015835,7268,,,,,,,
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,2022-06-12,015836,491,,,,,,,
COMPASS ROSE PUBLIC SCHOOLS,2022-06-12,015838,1872,,,,,,,
PROMESA ACADEMY CHARTER SCHOOL,2022-06-12,015839,280,,,,,,,
SAN ANTONIO PREPARATORY SCHOOLS,2022-06-12,015840,206,,,,,,,
THE GATHERING PLACE,2022-06-12,015841,462,,,,,,,
ROYAL PUBLIC SCHOOLS,2022-06-12,015842,108,,,,,,,
PRELUDE PREPARATORY CHARTER SCHOOL,2022-06-12,015843,28,,,,,,,
ALAMO HEIGHTS ISD,2022-06-12,015901,4834,,,,0,,,
HARLANDALE ISD,2022-06-12,015904,12158,,,,,,,
EDGEWOOD ISD,2022-06-12,015905,0,,,,,,,
RANDOLPH FIELD ISD,2022-06-12,015906,1474,,,,,,,
SAN ANTONIO ISD,2022-06-12,015907,45456,,,0,14,0,0,14
SOUTH SAN ANTONIO ISD,2022-06-12,015908,8045,,,,,,,
SOMERSET ISD,2022-06-12,015909,4031,,,,,,,
NORTH EAST ISD,2022-06-12,015910,60205,,,,,,,
EAST CENTRAL ISD,2022-06-12,015911,10023,,,,,,,
SOUTHWEST ISD,2022-06-12,015912,13325,,,,8,,,
LACKLAND ISD,2022-06-12,015913,924,,,,,,,
FT SAM HOUSTON ISD,2022-06-12,015914,1647,,,,,,,
NORTHSIDE ISD,2022-06-12,015915,103115,,,14,16,0,0,30
JUDSON ISD,2022-06-12,015916,24448,,,,,,,
SOUTHSIDE ISD,2022-06-12,015917,5643,,,,,,,
JOHNSON CITY ISD,2022-06-12,016901,693,,,,,,,
BLANCO ISD,2022-06-12,016902,1072,,,,,,,
BORDEN COUNTY ISD,2022-06-12,017901,247,,,,,,,
CLIFTON ISD,2022-06-12,018901,1023,,,,,,,
MERIDIAN ISD,2022-06-12,018902,401,,,,,,,
MORGAN ISD,2022-06-12,018903,142,,,,,,,
VALLEY MILLS ISD,2022-06-12,018904,624,,,,,,,
WALNUT SPRINGS ISD,2022-06-12,018905,183,,,,,,,
IREDELL ISD,2022-06-12,018906,136,,,,,,,
KOPPERL ISD,2022-06-12,018907,185,,,,,,,
CRANFILLS GAP ISD,2022-06-12,018908,137,,,,,,,
DEKALB ISD,2022-06-12,019901,804,,,,,,,
HOOKS ISD,2022-06-12,019902,890,,,,,,,
MAUD ISD,2022-06-12,019903,477,,,,,,,
NEW BOSTON ISD,2022-06-12,019905,1209,,,,,,,
REDWATER ISD,2022-06-12,019906,1110,,,,,,,
TEXARKANA ISD,2022-06-12,019907,7294,,,,,,,
LIBERTY-EYLAU ISD,2022-06-12,019908,2191,,,,,,,
SIMMS ISD,2022-06-12,019909,484,,,,,,,
MALTA ISD,2022-06-12,019910,212,,,,,,,
RED LICK ISD,2022-06-12,019911,500,,,,,,,
PLEASANT GROVE ISD,2022-06-12,019912,2320,,,,,,,
HUBBARD ISD,2022-06-12,019913,72,,,,,,,
LEARY ISD,2022-06-12,019914,110,,,,,,,
ALVIN ISD,2022-06-12,020901,28285,,,,2,,,
ANGLETON ISD,2022-06-12,020902,6829,,,,,,,
DANBURY ISD,2022-06-12,020904,777,,,,,,,
BRAZOSPORT ISD,2022-06-12,020905,11654,,,,,,,
