District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-08-15,001902,541,NA,NA,NA,NA,NA,NA,NA
ELKHART ISD,2021-08-15,001903,1167,NA,NA,NA,0,NA,NA,NA
FRANKSTON ISD,2021-08-15,001904,756,NA,NA,NA,2,NA,NA,NA
NECHES ISD,2021-08-15,001906,338,NA,NA,NA,NA,NA,NA,NA
PALESTINE ISD,2021-08-15,001907,3347,NA,NA,NA,NA,NA,NA,NA
WESTWOOD ISD,2021-08-15,001908,1333,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-08-15,001909,360,NA,NA,NA,NA,NA,NA,NA
ANDREWS ISD,2021-08-15,002901,3992,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-08-15,003801,920,NA,NA,NA,NA,NA,NA,NA
HUDSON ISD,2021-08-15,003902,2762,NA,NA,NA,NA,NA,NA,NA
LUFKIN ISD,2021-08-15,003903,7297,NA,NA,NA,0,NA,NA,NA
HUNTINGTON ISD,2021-08-15,003904,1569,NA,NA,NA,NA,NA,NA,NA
DIBOLL ISD,2021-08-15,003905,1698,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2021-08-15,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-08-15,003907,1442,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-08-15,004901,2989,NA,NA,NA,3,NA,NA,NA
ARCHER CITY ISD,2021-08-15,005901,502,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-08-15,005902,1064,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2021-08-15,005904,438,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2021-08-15,006902,301,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2021-08-15,007901,419,NA,NA,NA,1,NA,NA,NA
JOURDANTON ISD,2021-08-15,007902,1517,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2021-08-15,007904,1689,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2021-08-15,007905,3304,NA,NA,NA,NA,NA,NA,NA
POTEET ISD,2021-08-15,007906,1518,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2021-08-15,008901,2206,NA,NA,5,0,0,0,5
SEALY ISD,2021-08-15,008902,2788,NA,NA,NA,NA,NA,NA,NA
BRAZOS ISD,2021-08-15,008903,761,NA,NA,NA,0,NA,NA,NA
MULESHOE ISD,2021-08-15,009901,1309,NA,NA,0,1,0,1,0
MEDINA ISD,2021-08-15,010901,259,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2021-08-15,010902,2155,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2021-08-15,011901,11423,NA,NA,13,6,0,3,16
ELGIN ISD,2021-08-15,011902,4670,NA,NA,NA,NA,NA,NA,NA
SMITHVILLE ISD,2021-08-15,011904,1687,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2021-08-15,011905,327,NA,NA,NA,NA,NA,NA,NA
SEYMOUR ISD,2021-08-15,012901,625,NA,NA,NA,NA,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2021-08-15,013801,376,NA,NA,NA,NA,NA,NA,NA
BEEVILLE ISD,2021-08-15,013901,3072,NA,NA,NA,NA,NA,NA,NA
PAWNEE ISD,2021-08-15,013902,296,NA,NA,NA,NA,NA,NA,NA
PETTUS ISD,2021-08-15,013903,361,NA,NA,NA,NA,NA,NA,NA
SKIDMORE-TYNAN ISD,2021-08-15,013905,792,NA,NA,17,2,11,8,0
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2021-08-15,014801,1943,NA,NA,NA,NA,NA,NA,NA
PRIORITY CHARTER SCHOOLS,2021-08-15,014803,846,NA,NA,NA,NA,NA,NA,NA
ORENDA CHARTER SCHOOL,2021-08-15,014804,1867,NA,NA,0,1,0,1,0
ACADEMY ISD,2021-08-15,014901,1730,NA,NA,NA,NA,NA,NA,NA
BARTLETT ISD,2021-08-15,014902,386,NA,NA,NA,NA,NA,NA,NA
BELTON ISD,2021-08-15,014903,12757,NA,NA,NA,NA,NA,NA,NA
HOLLAND ISD,2021-08-15,014905,656,NA,NA,NA,NA,NA,NA,NA
KILLEEN ISD,2021-08-15,014906,43634,NA,NA,0,15,0,0,15
ROGERS ISD,2021-08-15,014907,890,NA,NA,NA,NA,NA,NA,NA
SALADO ISD,2021-08-15,014908,2141,NA,NA,NA,NA,NA,NA,NA
TEMPLE ISD,2021-08-15,014909,8363,NA,NA,0,4,0,0,4
TROY ISD,2021-08-15,014910,1576,NA,NA,0,2,0,2,0
POR VIDA ACADEMY,2021-08-15,015801,134,NA,NA,NA,NA,NA,NA,NA
GEORGE GERVIN ACADEMY,2021-08-15,015802,811,NA,NA,NA,NA,NA,NA,NA
NEW FRONTIERS PUBLIC SCHOOLS INC,2021-08-15,015805,474,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF EXCELLENCE IN EDUCATION,2021-08-15,015806,346,NA,NA,NA,NA,NA,NA,NA
SOUTHWEST PREPARATORY SCHOOL,2021-08-15,015807,860,NA,NA,NA,NA,NA,NA,NA
INSPIRE ACADEMIES,2021-08-15,015808,575,NA,NA,NA,NA,NA,NA,NA
BEXAR COUNTY ACADEMY,2021-08-15,015809,258,NA,NA,NA,NA,NA,NA,NA
POSITIVE SOLUTIONS CHARTER SCHOOL,2021-08-15,015814,121,NA,NA,NA,NA,NA,NA,NA
HERITAGE ACADEMY,2021-08-15,015815,611,NA,NA,NA,NA,NA,NA,NA
JUBILEE ACADEMIES,2021-08-15,015822,6124,NA,NA,NA,NA,NA,NA,NA
LIGHTHOUSE PUBLIC SCHOOLS,2021-08-15,015825,287,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF SCIENCE AND TECHNOLOGY,2021-08-15,015827,3243,NA,NA,NA,NA,NA,NA,NA
HARMONY SCIENCE ACAD (SAN ANTONIO),2021-08-15,015828,4473,NA,NA,NA,2,NA,NA,NA
BROOKS ACADEMIES OF TEXAS,2021-08-15,015830,2844,NA,NA,0,1,0,1,0
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2021-08-15,015831,4792,NA,NA,NA,NA,NA,NA,NA
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,2021-08-15,015833,97,NA,NA,NA,NA,NA,NA,NA
BASIS TEXAS,2021-08-15,015834,2988,NA,NA,NA,NA,NA,NA,NA
GREAT HEARTS TEXAS,2021-08-15,015835,6529,NA,NA,15,12,0,17,10
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,2021-08-15,015836,467,NA,NA,NA,NA,NA,NA,NA
COMPASS ROSE ACADEMY,2021-08-15,015838,1124,NA,NA,NA,NA,NA,NA,NA
PROMESA ACADEMY CHARTER SCHOOL,2021-08-15,015839,191,NA,NA,NA,NA,NA,NA,NA
SAN ANTONIO PREPARATORY CHARTER SCHOOL,2021-08-15,015840,200,NA,NA,NA,NA,NA,NA,NA
THE GATHERING PLACE,2021-08-15,015841,365,NA,NA,NA,NA,NA,NA,NA
ALAMO HEIGHTS ISD,2021-08-15,015901,4824,NA,NA,NA,6,NA,NA,NA
HARLANDALE ISD,2021-08-15,015904,12032,NA,NA,NA,11,NA,NA,NA
EDGEWOOD ISD - SAN ANTONIO,2021-08-15,015905,8814,NA,NA,23,5,0,0,28
RANDOLPH FIELD ISD,2021-08-15,015906,1430,NA,NA,NA,NA,NA,NA,NA
SAN ANTONIO ISD,2021-08-15,015907,45514,NA,NA,114,56,0,0,170
SOUTH SAN ANTONIO ISD,2021-08-15,015908,8294,NA,NA,54,13,0,0,67
SOMERSET ISD,2021-08-15,015909,4032,NA,NA,17,5,0,0,22
NORTH EAST ISD,2021-08-15,015910,60482,NA,NA,110,57,0,0,167
EAST CENTRAL ISD,2021-08-15,015911,9764,NA,NA,NA,0,NA,NA,NA
SOUTHWEST ISD,2021-08-15,015912,13457,NA,NA,5,7,2,9,1
LACKLAND ISD,2021-08-15,015913,899,NA,NA,NA,NA,NA,NA,NA
FT SAM HOUSTON ISD,2021-08-15,015914,1527,NA,NA,NA,2,NA,NA,NA
NORTHSIDE ISD - SAN ANTONIO,2021-08-15,015915,102631,NA,NA,NA,32,NA,NA,NA
JUDSON ISD,2021-08-15,015916,23771,NA,NA,NA,NA,NA,NA,NA
SOUTHSIDE ISD,2021-08-15,015917,5661,NA,NA,NA,11,NA,NA,NA
JOHNSON CITY ISD,2021-08-15,016901,603,NA,NA,NA,NA,NA,NA,NA
BLANCO ISD,2021-08-15,016902,1011,NA,NA,NA,2,NA,NA,NA
BORDEN COUNTY ISD,2021-08-15,017901,238,NA,NA,NA,NA,NA,NA,NA
CLIFTON ISD,2021-08-15,018901,958,NA,NA,NA,NA,NA,NA,NA
MERIDIAN ISD,2021-08-15,018902,409,NA,NA,NA,NA,NA,NA,NA
MORGAN ISD,2021-08-15,018903,137,NA,NA,NA,1,NA,NA,NA
VALLEY MILLS ISD,2021-08-15,018904,606,NA,NA,NA,NA,NA,NA,NA
WALNUT SPRINGS ISD,2021-08-15,018905,166,NA,NA,0,1,0,1,0
IREDELL ISD,2021-08-15,018906,144,NA,NA,NA,NA,NA,NA,NA
KOPPERL ISD,2021-08-15,018907,179,NA,NA,NA,NA,NA,NA,NA
CRANFILLS GAP ISD,2021-08-15,018908,128,NA,NA,NA,NA,NA,NA,NA
DEKALB ISD,2021-08-15,019901,722,NA,NA,0,1,0,1,0
HOOKS ISD,2021-08-15,019902,838,NA,NA,NA,NA,NA,NA,NA
