District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-08-08,001902,541,NA,NA,NA,NA,NA,NA,NA
ELKHART ISD,2021-08-08,001903,1167,NA,NA,NA,NA,NA,NA,NA
FRANKSTON ISD,2021-08-08,001904,756,NA,NA,0,5,0,1,4
NECHES ISD,2021-08-08,001906,338,NA,NA,NA,NA,NA,NA,NA
PALESTINE ISD,2021-08-08,001907,3347,NA,NA,NA,NA,NA,NA,NA
WESTWOOD ISD,2021-08-08,001908,1333,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-08-08,001909,360,NA,NA,NA,NA,NA,NA,NA
ANDREWS ISD,2021-08-08,002901,3992,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-08-08,003801,920,NA,NA,NA,NA,NA,NA,NA
HUDSON ISD,2021-08-08,003902,2762,NA,NA,NA,NA,NA,NA,NA
LUFKIN ISD,2021-08-08,003903,7297,NA,NA,NA,NA,NA,NA,NA
HUNTINGTON ISD,2021-08-08,003904,1569,NA,NA,NA,NA,NA,NA,NA
DIBOLL ISD,2021-08-08,003905,1698,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2021-08-08,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-08-08,003907,1442,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-08-08,004901,2989,NA,NA,NA,7,NA,NA,NA
ARCHER CITY ISD,2021-08-08,005901,502,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-08-08,005902,1064,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2021-08-08,005904,438,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2021-08-08,006902,301,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2021-08-08,007901,419,NA,NA,NA,NA,NA,NA,NA
JOURDANTON ISD,2021-08-08,007902,1517,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2021-08-08,007904,1689,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2021-08-08,007905,3304,NA,NA,NA,NA,NA,NA,NA
POTEET ISD,2021-08-08,007906,1518,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2021-08-08,008901,2206,NA,NA,NA,NA,NA,NA,NA
SEALY ISD,2021-08-08,008902,2788,NA,NA,NA,NA,NA,NA,NA
BRAZOS ISD,2021-08-08,008903,761,NA,NA,6,0,0,0,6
MULESHOE ISD,2021-08-08,009901,1309,NA,NA,NA,NA,NA,NA,NA
MEDINA ISD,2021-08-08,010901,259,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2021-08-08,010902,2155,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2021-08-08,011901,11423,NA,NA,NA,8,NA,NA,NA
ELGIN ISD,2021-08-08,011902,4670,NA,NA,0,1,0,1,0
SMITHVILLE ISD,2021-08-08,011904,1687,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2021-08-08,011905,327,NA,NA,NA,NA,NA,NA,NA
SEYMOUR ISD,2021-08-08,012901,625,NA,NA,NA,NA,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2021-08-08,013801,376,NA,NA,NA,NA,NA,NA,NA
BEEVILLE ISD,2021-08-08,013901,3072,NA,NA,NA,NA,NA,NA,NA
