District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-10-24,001902,541,NA,NA,NA,NA,NA,NA,NA
ELKHART ISD,2021-10-24,001903,1167,NA,NA,NA,1,NA,NA,NA
FRANKSTON ISD,2021-10-24,001904,756,NA,NA,NA,NA,NA,NA,NA
NECHES ISD,2021-10-24,001906,338,NA,NA,NA,NA,NA,NA,NA
PALESTINE ISD,2021-10-24,001907,3347,NA,NA,NA,NA,NA,NA,NA
WESTWOOD ISD,2021-10-24,001908,1333,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-10-24,001909,360,NA,NA,NA,0,NA,NA,NA
ANDREWS ISD,2021-10-24,002901,3992,NA,NA,NA,1,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-10-24,003801,920,NA,NA,NA,NA,NA,NA,NA
HUDSON ISD,2021-10-24,003902,2762,NA,NA,NA,0,NA,NA,NA
LUFKIN ISD,2021-10-24,003903,7297,NA,NA,NA,NA,NA,NA,NA
HUNTINGTON ISD,2021-10-24,003904,1569,NA,NA,NA,NA,NA,NA,NA
DIBOLL ISD,2021-10-24,003905,1698,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2021-10-24,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-10-24,003907,1442,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-10-24,004901,2989,NA,NA,NA,0,NA,NA,NA
ARCHER CITY ISD,2021-10-24,005901,502,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-10-24,005902,1064,NA,NA,NA,0,NA,NA,NA
WINDTHORST ISD,2021-10-24,005904,438,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2021-10-24,006902,301,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2021-10-24,007901,419,NA,NA,NA,NA,NA,NA,NA
JOURDANTON ISD,2021-10-24,007902,1517,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2021-10-24,007904,1689,NA,NA,NA,NA,NA,NA,NA
