District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-04-10,001902,573,NA,NA,0,1,0,0,1
ELKHART ISD,2022-04-10,001903,1185,NA,NA,NA,NA,NA,NA,NA
FRANKSTON ISD,2022-04-10,001904,822,NA,NA,NA,NA,NA,NA,NA
NECHES ISD,2022-04-10,001906,345,NA,NA,NA,NA,NA,NA,NA
PALESTINE ISD,2022-04-10,001907,3392,NA,NA,NA,NA,NA,NA,NA
WESTWOOD ISD,2022-04-10,001908,1339,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2022-04-10,001909,369,NA,NA,NA,NA,NA,NA,NA
ANDREWS ISD,2022-04-10,002901,4213,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2022-04-10,003801,999,NA,NA,NA,NA,NA,NA,NA
HUDSON ISD,2022-04-10,003902,2834,NA,NA,NA,NA,NA,NA,NA
LUFKIN ISD,2022-04-10,003903,7523,NA,NA,NA,0,NA,NA,NA
HUNTINGTON ISD,2022-04-10,003904,1643,NA,NA,NA,NA,NA,NA,NA
DIBOLL ISD,2022-04-10,003905,1762,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2022-04-10,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2022-04-10,003907,1452,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2022-04-10,004901,3026,NA,NA,NA,0,NA,NA,NA
ARCHER CITY ISD,2022-04-10,005901,513,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2022-04-10,005902,1133,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2022-04-10,005904,531,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2022-04-10,006902,314,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2022-04-10,007901,401,NA,NA,NA,NA,NA,NA,NA
JOURDANTON ISD,2022-04-10,007902,1588,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2022-04-10,007904,1762,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2022-04-10,007905,3459,NA,NA,NA,NA,NA,NA,NA
POTEET ISD,2022-04-10,007906,1690,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2022-04-10,008901,2217,NA,NA,NA,NA,NA,NA,NA
SEALY ISD,2022-04-10,008902,2830,NA,NA,NA,0,NA,NA,NA
BRAZOS ISD,2022-04-10,008903,770,NA,NA,NA,NA,NA,NA,NA
MULESHOE ISD,2022-04-10,009901,1372,NA,NA,NA,NA,NA,NA,NA
MEDINA ISD,2022-04-10,010901,265,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2022-04-10,010902,2321,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2022-04-10,011901,12101,NA,NA,NA,NA,NA,NA,NA
